result/cdn1_lax.ns209.oracleGeneral.bin.zst LeCaR cache size   154412, 5059171 req, miss ratio 0.0827, byte miss ratio 0.0827
result/cdn1_lax.ns209.oracleGeneral.bin.zst LeCaR cache size   308824, 5059171 req, miss ratio 0.0768, byte miss ratio 0.0768
result/cdn1_lax.ns209.oracleGeneral.bin.zst LHD cache size      386, 5059171 req, miss ratio 0.1873, byte miss ratio 0.1873
result/cdn1_lax.ns209.oracleGeneral.bin.zst LHD cache size     1158, 5059171 req, miss ratio 0.1780, byte miss ratio 0.1780
result/cdn1_lax.ns209.oracleGeneral.bin.zst LHD cache size     3860, 5059171 req, miss ratio 0.1638, byte miss ratio 0.1638
result/cdn1_lax.ns209.oracleGeneral.bin.zst LHD cache size    11580, 5059171 req, miss ratio 0.1388, byte miss ratio 0.1388
result/cdn1_lax.ns209.oracleGeneral.bin.zst LHD cache size    38603, 5059171 req, miss ratio 0.1066, byte miss ratio 0.1066
result/cdn1_lax.ns209.oracleGeneral.bin.zst LHD cache size    77206, 5059171 req, miss ratio 0.0946, byte miss ratio 0.0946
result/cdn1_lax.ns209.oracleGeneral.bin.zst LHD cache size   154412, 5059171 req, miss ratio 0.0839, byte miss ratio 0.0839
result/cdn1_lax.ns209.oracleGeneral.bin.zst LHD cache size   308824, 5059171 req, miss ratio 0.0771, byte miss ratio 0.0771
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-1 cache size      386, 5059171 req, miss ratio 0.1931, byte miss ratio 0.1931
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-1 cache size     1158, 5059171 req, miss ratio 0.1775, byte miss ratio 0.1775
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-1 cache size     3860, 5059171 req, miss ratio 0.1599, byte miss ratio 0.1599
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-1 cache size    11580, 5059171 req, miss ratio 0.1335, byte miss ratio 0.1335
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-1 cache size    38603, 5059171 req, miss ratio 0.1016, byte miss ratio 0.1016
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-1 cache size    77206, 5059171 req, miss ratio 0.0915, byte miss ratio 0.0915
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-1 cache size   154412, 5059171 req, miss ratio 0.0830, byte miss ratio 0.0830
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-1 cache size   308824, 5059171 req, miss ratio 0.0769, byte miss ratio 0.0769
result/cdn1_lax.ns209.oracleGeneral.bin.zst Clock cache size      386, 5059171 req, miss ratio 0.1875, byte miss ratio 0.1875
result/cdn1_lax.ns209.oracleGeneral.bin.zst Clock cache size     1158, 5059171 req, miss ratio 0.1791, byte miss ratio 0.1791
result/cdn1_lax.ns209.oracleGeneral.bin.zst Clock cache size     3860, 5059171 req, miss ratio 0.1653, byte miss ratio 0.1653
result/cdn1_lax.ns209.oracleGeneral.bin.zst Clock cache size    11580, 5059171 req, miss ratio 0.1436, byte miss ratio 0.1436
result/cdn1_lax.ns209.oracleGeneral.bin.zst Clock cache size    38603, 5059171 req, miss ratio 0.1110, byte miss ratio 0.1110
result/cdn1_lax.ns209.oracleGeneral.bin.zst Clock cache size    77206, 5059171 req, miss ratio 0.0951, byte miss ratio 0.0951
result/cdn1_lax.ns209.oracleGeneral.bin.zst Clock cache size   154412, 5059171 req, miss ratio 0.0840, byte miss ratio 0.0840
result/cdn1_lax.ns209.oracleGeneral.bin.zst Clock cache size   308824, 5059171 req, miss ratio 0.0769, byte miss ratio 0.0769
result/cdn1_lax.ns209.oracleGeneral.bin.zst FIFO cache size      386, 5059171 req, miss ratio 0.1930, byte miss ratio 0.1930
result/cdn1_lax.ns209.oracleGeneral.bin.zst FIFO cache size     1158, 5059171 req, miss ratio 0.1818, byte miss ratio 0.1818
result/cdn1_lax.ns209.oracleGeneral.bin.zst FIFO cache size     3860, 5059171 req, miss ratio 0.1673, byte miss ratio 0.1673
result/cdn1_lax.ns209.oracleGeneral.bin.zst FIFO cache size    11580, 5059171 req, miss ratio 0.1475, byte miss ratio 0.1475
result/cdn1_lax.ns209.oracleGeneral.bin.zst FIFO cache size    38603, 5059171 req, miss ratio 0.1190, byte miss ratio 0.1190
result/cdn1_lax.ns209.oracleGeneral.bin.zst FIFO cache size    77206, 5059171 req, miss ratio 0.1038, byte miss ratio 0.1038
result/cdn1_lax.ns209.oracleGeneral.bin.zst FIFO cache size   154412, 5059171 req, miss ratio 0.0887, byte miss ratio 0.0887
result/cdn1_lax.ns209.oracleGeneral.bin.zst FIFO cache size   308824, 5059171 req, miss ratio 0.0787, byte miss ratio 0.0787
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-d-1 cache size      386, 5059171 req, miss ratio 0.1861, byte miss ratio 0.1861
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1158, 5059171 req, miss ratio 0.1771, byte miss ratio 0.1771
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-d-1 cache size     3860, 5059171 req, miss ratio 0.1601, byte miss ratio 0.1601
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-d-1 cache size    11580, 5059171 req, miss ratio 0.1336, byte miss ratio 0.1336
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-d-1 cache size    38603, 5059171 req, miss ratio 0.1016, byte miss ratio 0.1016
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-d-1 cache size    77206, 5059171 req, miss ratio 0.0915, byte miss ratio 0.0915
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-d-1 cache size   154412, 5059171 req, miss ratio 0.0830, byte miss ratio 0.0830
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-d-1 cache size   308824, 5059171 req, miss ratio 0.0769, byte miss ratio 0.0769
result/cdn1_lax.ns209.oracleGeneral.bin.zst LRB cache size      386, 5059171 req, miss ratio 0.2722, byte miss ratio 0.2722
result/cdn1_lax.ns209.oracleGeneral.bin.zst LRB cache size     1158, 5059171 req, miss ratio 0.2120, byte miss ratio 0.2120
result/cdn1_lax.ns209.oracleGeneral.bin.zst LRB cache size     3860, 5059171 req, miss ratio 0.1618, byte miss ratio 0.1618
result/cdn1_lax.ns209.oracleGeneral.bin.zst LRB cache size    11580, 5059171 req, miss ratio 0.1262, byte miss ratio 0.1262
result/cdn1_lax.ns209.oracleGeneral.bin.zst LRB cache size    38603, 5059171 req, miss ratio 0.1032, byte miss ratio 0.1032
result/cdn1_lax.ns209.oracleGeneral.bin.zst LRB cache size    77206, 5059171 req, miss ratio 0.0932, byte miss ratio 0.0932
result/cdn1_lax.ns209.oracleGeneral.bin.zst LRB cache size   154412, 5059171 req, miss ratio 0.0837, byte miss ratio 0.0837
result/cdn1_lax.ns209.oracleGeneral.bin.zst LRB cache size   308824, 5059171 req, miss ratio 0.0768, byte miss ratio 0.0768
result/cdn1_lax.ns209.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      386, 5059171 req, miss ratio 0.1903, byte miss ratio 0.1903
result/cdn1_lax.ns209.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1158, 5059171 req, miss ratio 0.1799, byte miss ratio 0.1799
result/cdn1_lax.ns209.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     3860, 5059171 req, miss ratio 0.1660, byte miss ratio 0.1660
result/cdn1_lax.ns209.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    11580, 5059171 req, miss ratio 0.1424, byte miss ratio 0.1424
result/cdn1_lax.ns209.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    38603, 5059171 req, miss ratio 0.1074, byte miss ratio 0.1074
result/cdn1_lax.ns209.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    77206, 5059171 req, miss ratio 0.0930, byte miss ratio 0.0930
result/cdn1_lax.ns209.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   154412, 5059171 req, miss ratio 0.0827, byte miss ratio 0.0827
result/cdn1_lax.ns209.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   308824, 5059171 req, miss ratio 0.0769, byte miss ratio 0.0769
result/cdn1_lax.ns209.oracleGeneral.bin.zst TwoQ cache size      386, 5059171 req, miss ratio 0.1902, byte miss ratio 0.1902
result/cdn1_lax.ns209.oracleGeneral.bin.zst TwoQ cache size     1158, 5059171 req, miss ratio 0.1708, byte miss ratio 0.1708
result/cdn1_lax.ns209.oracleGeneral.bin.zst TwoQ cache size     3860, 5059171 req, miss ratio 0.1502, byte miss ratio 0.1502
result/cdn1_lax.ns209.oracleGeneral.bin.zst TwoQ cache size    11580, 5059171 req, miss ratio 0.1247, byte miss ratio 0.1247
result/cdn1_lax.ns209.oracleGeneral.bin.zst TwoQ cache size    38603, 5059171 req, miss ratio 0.1026, byte miss ratio 0.1026
result/cdn1_lax.ns209.oracleGeneral.bin.zst TwoQ cache size    77206, 5059171 req, miss ratio 0.0961, byte miss ratio 0.0961
result/cdn1_lax.ns209.oracleGeneral.bin.zst TwoQ cache size   154412, 5059171 req, miss ratio 0.0870, byte miss ratio 0.0870
result/cdn1_lax.ns209.oracleGeneral.bin.zst TwoQ cache size   308824, 5059171 req, miss ratio 0.0787, byte miss ratio 0.0787
result/cdn1_lax.ns209.oracleGeneral.bin.zst B-LRU cache size      386, 5059171 req, miss ratio 0.2351, byte miss ratio 0.2351
result/cdn1_lax.ns209.oracleGeneral.bin.zst B-LRU cache size     1158, 5059171 req, miss ratio 0.2265, byte miss ratio 0.2265
result/cdn1_lax.ns209.oracleGeneral.bin.zst B-LRU cache size     3860, 5059171 req, miss ratio 0.2117, byte miss ratio 0.2117
result/cdn1_lax.ns209.oracleGeneral.bin.zst B-LRU cache size    11580, 5059171 req, miss ratio 0.1878, byte miss ratio 0.1878
result/cdn1_lax.ns209.oracleGeneral.bin.zst B-LRU cache size    38603, 5059171 req, miss ratio 0.1559, byte miss ratio 0.1559
result/cdn1_lax.ns209.oracleGeneral.bin.zst B-LRU cache size    77206, 5059171 req, miss ratio 0.1435, byte miss ratio 0.1435
result/cdn1_lax.ns209.oracleGeneral.bin.zst B-LRU cache size   154412, 5059171 req, miss ratio 0.1355, byte miss ratio 0.1355
result/cdn1_lax.ns209.oracleGeneral.bin.zst B-LRU cache size   308824, 5059171 req, miss ratio 0.1324, byte miss ratio 0.1324
result/cdn1_lax.ns209.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      386, 5059171 req, miss ratio 0.1908, byte miss ratio 0.1908
result/cdn1_lax.ns209.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1158, 5059171 req, miss ratio 0.1814, byte miss ratio 0.1814
result/cdn1_lax.ns209.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     3860, 5059171 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn1_lax.ns209.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    11580, 5059171 req, miss ratio 0.1451, byte miss ratio 0.1451
result/cdn1_lax.ns209.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    38603, 5059171 req, miss ratio 0.1127, byte miss ratio 0.1127
result/cdn1_lax.ns209.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    77206, 5059171 req, miss ratio 0.0960, byte miss ratio 0.0960
result/cdn1_lax.ns209.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   154412, 5059171 req, miss ratio 0.0844, byte miss ratio 0.0844
result/cdn1_lax.ns209.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   308824, 5059171 req, miss ratio 0.0775, byte miss ratio 0.0775
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO cache size      386, 5059171 req, miss ratio 0.1989, byte miss ratio 0.1989
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO cache size     1158, 5059171 req, miss ratio 0.1777, byte miss ratio 0.1777
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO cache size     3860, 5059171 req, miss ratio 0.1594, byte miss ratio 0.1594
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO cache size    11580, 5059171 req, miss ratio 0.1327, byte miss ratio 0.1327
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO cache size    38603, 5059171 req, miss ratio 0.1011, byte miss ratio 0.1011
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO cache size    77206, 5059171 req, miss ratio 0.0911, byte miss ratio 0.0911
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO cache size   154412, 5059171 req, miss ratio 0.0830, byte miss ratio 0.0830
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO cache size   308824, 5059171 req, miss ratio 0.0768, byte miss ratio 0.0768
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-d cache size      386, 5059171 req, miss ratio 0.1862, byte miss ratio 0.1862
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-d cache size     1158, 5059171 req, miss ratio 0.1772, byte miss ratio 0.1772
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-d cache size     3860, 5059171 req, miss ratio 0.1597, byte miss ratio 0.1597
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-d cache size    11580, 5059171 req, miss ratio 0.1328, byte miss ratio 0.1328
