result/tencentBlock.ns6008.oracleGeneral.zst clock2 cache size      382, 5112271 req, miss ratio 0.6188, byte miss ratio 0.6188
result/tencentBlock.ns6008.oracleGeneral.zst clock2 cache size     1146, 5112271 req, miss ratio 0.4946, byte miss ratio 0.4946
result/tencentBlock.ns6008.oracleGeneral.zst clock2 cache size     3822, 5112271 req, miss ratio 0.3634, byte miss ratio 0.3634
result/tencentBlock.ns6008.oracleGeneral.zst clock2 cache size    11468, 5112271 req, miss ratio 0.3142, byte miss ratio 0.3142
result/tencentBlock.ns6008.oracleGeneral.zst clock2 cache size    38228, 5112271 req, miss ratio 0.1992, byte miss ratio 0.1992
result/tencentBlock.ns6008.oracleGeneral.zst clock2 cache size    76457, 5112271 req, miss ratio 0.1599, byte miss ratio 0.1599
result/tencentBlock.ns6008.oracleGeneral.zst clock2 cache size   152914, 5112271 req, miss ratio 0.1004, byte miss ratio 0.1004
result/tencentBlock.ns6008.oracleGeneral.zst clock2 cache size   305829, 5112271 req, miss ratio 0.0759, byte miss ratio 0.0759
result/tencentBlock.ns6008.oracleGeneral.zst ARC cache size      382, 5112271 req, miss ratio 0.5516, byte miss ratio 0.5516
result/tencentBlock.ns6008.oracleGeneral.zst ARC cache size     1146, 5112271 req, miss ratio 0.4358, byte miss ratio 0.4358
result/tencentBlock.ns6008.oracleGeneral.zst ARC cache size     3822, 5112271 req, miss ratio 0.3442, byte miss ratio 0.3442
result/tencentBlock.ns6008.oracleGeneral.zst ARC cache size    11468, 5112271 req, miss ratio 0.2746, byte miss ratio 0.2746
result/tencentBlock.ns6008.oracleGeneral.zst ARC cache size    38228, 5112271 req, miss ratio 0.1946, byte miss ratio 0.1946
result/tencentBlock.ns6008.oracleGeneral.zst ARC cache size    76457, 5112271 req, miss ratio 0.1513, byte miss ratio 0.1513
result/tencentBlock.ns6008.oracleGeneral.zst ARC cache size   152914, 5112271 req, miss ratio 0.0874, byte miss ratio 0.0874
result/tencentBlock.ns6008.oracleGeneral.zst ARC cache size   305829, 5112271 req, miss ratio 0.0759, byte miss ratio 0.0759
result/tencentBlock.ns6008.oracleGeneral.zst LHD cache size      382, 5112271 req, miss ratio 0.5852, byte miss ratio 0.5852
result/tencentBlock.ns6008.oracleGeneral.zst LHD cache size     1146, 5112271 req, miss ratio 0.4803, byte miss ratio 0.4803
result/tencentBlock.ns6008.oracleGeneral.zst LHD cache size     3822, 5112271 req, miss ratio 0.3569, byte miss ratio 0.3569
result/tencentBlock.ns6008.oracleGeneral.zst LHD cache size    11468, 5112271 req, miss ratio 0.2910, byte miss ratio 0.2910
result/tencentBlock.ns6008.oracleGeneral.zst LHD cache size    38228, 5112271 req, miss ratio 0.1914, byte miss ratio 0.1914
result/tencentBlock.ns6008.oracleGeneral.zst LHD cache size    76457, 5112271 req, miss ratio 0.1338, byte miss ratio 0.1338
result/tencentBlock.ns6008.oracleGeneral.zst LHD cache size   152914, 5112271 req, miss ratio 0.0859, byte miss ratio 0.0859
result/tencentBlock.ns6008.oracleGeneral.zst LHD cache size   305829, 5112271 req, miss ratio 0.0752, byte miss ratio 0.0752
result/tencentBlock.ns6008.oracleGeneral.zst S3FIFO-1 cache size      382, 5112271 req, miss ratio 0.5552, byte miss ratio 0.5552
result/tencentBlock.ns6008.oracleGeneral.zst S3FIFO-1 cache size     1146, 5112271 req, miss ratio 0.4368, byte miss ratio 0.4368
result/tencentBlock.ns6008.oracleGeneral.zst S3FIFO-1 cache size     3822, 5112271 req, miss ratio 0.3433, byte miss ratio 0.3433
result/tencentBlock.ns6008.oracleGeneral.zst S3FIFO-1 cache size    11468, 5112271 req, miss ratio 0.2733, byte miss ratio 0.2733
result/tencentBlock.ns6008.oracleGeneral.zst S3FIFO-1 cache size    38228, 5112271 req, miss ratio 0.2000, byte miss ratio 0.2000
result/tencentBlock.ns6008.oracleGeneral.zst S3FIFO-1 cache size    76457, 5112271 req, miss ratio 0.1536, byte miss ratio 0.1536
result/tencentBlock.ns6008.oracleGeneral.zst S3FIFO-1 cache size   152914, 5112271 req, miss ratio 0.0895, byte miss ratio 0.0895
result/tencentBlock.ns6008.oracleGeneral.zst S3FIFO-1 cache size   305829, 5112271 req, miss ratio 0.0760, byte miss ratio 0.0760
result/tencentBlock.ns6008.oracleGeneral.zst LeCaR cache size      382, 5112271 req, miss ratio 0.5990, byte miss ratio 0.5990
result/tencentBlock.ns6008.oracleGeneral.zst LeCaR cache size     1146, 5112271 req, miss ratio 0.4970, byte miss ratio 0.4970
result/tencentBlock.ns6008.oracleGeneral.zst LeCaR cache size     3822, 5112271 req, miss ratio 0.3667, byte miss ratio 0.3667
