result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst clock2 cache size    16522, 14409991 req, miss ratio 0.1792, byte miss ratio 0.1792
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst clock2 cache size    49566, 14409991 req, miss ratio 0.1541, byte miss ratio 0.1541
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst clock2 cache size   165220, 14409991 req, miss ratio 0.1334, byte miss ratio 0.1334
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst clock2 cache size   330440, 14409991 req, miss ratio 0.1246, byte miss ratio 0.1246
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst clock2 cache size   660881, 14409991 req, miss ratio 0.1188, byte miss ratio 0.1188
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst clock2 cache size  1321762, 14409991 req, miss ratio 0.1152, byte miss ratio 0.1152
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LeCaR cache size     1652, 14409991 req, miss ratio 0.2567, byte miss ratio 0.2567
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LeCaR cache size     4956, 14409991 req, miss ratio 0.2131, byte miss ratio 0.2131
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LeCaR cache size    16522, 14409991 req, miss ratio 0.1784, byte miss ratio 0.1784
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LeCaR cache size    49566, 14409991 req, miss ratio 0.1529, byte miss ratio 0.1529
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LeCaR cache size   165220, 14409991 req, miss ratio 0.1322, byte miss ratio 0.1322
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LeCaR cache size   330440, 14409991 req, miss ratio 0.1231, byte miss ratio 0.1231
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LeCaR cache size   660881, 14409991 req, miss ratio 0.1176, byte miss ratio 0.1176
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LeCaR cache size  1321762, 14409991 req, miss ratio 0.1149, byte miss ratio 0.1149
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst Cacheus cache size     1652, 14409991 req, miss ratio 0.2779, byte miss ratio 0.2779
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst Cacheus cache size     4956, 14409991 req, miss ratio 0.2119, byte miss ratio 0.2119
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst Cacheus cache size    16522, 14409991 req, miss ratio 0.1775, byte miss ratio 0.1775
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst Cacheus cache size    49566, 14409991 req, miss ratio 0.1600, byte miss ratio 0.1600
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst Cacheus cache size   165220, 14409991 req, miss ratio 0.1319, byte miss ratio 0.1319
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst Cacheus cache size   330440, 14409991 req, miss ratio 0.1263, byte miss ratio 0.1263
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst Cacheus cache size   660881, 14409991 req, miss ratio 0.1175, byte miss ratio 0.1175
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst Cacheus cache size  1321762, 14409991 req, miss ratio 0.1150, byte miss ratio 0.1150
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LIRS cache size     1652, 14409991 req, miss ratio 0.3863, byte miss ratio 0.3863
