result/tencentBlock.ns15529.oracleGeneral.zst LHD cache size      415, 3870054 req, miss ratio 0.5057, byte miss ratio 0.5057
result/tencentBlock.ns15529.oracleGeneral.zst LHD cache size     1246, 3870054 req, miss ratio 0.4025, byte miss ratio 0.4025
result/tencentBlock.ns15529.oracleGeneral.zst LHD cache size     4156, 3870054 req, miss ratio 0.2999, byte miss ratio 0.2999
result/tencentBlock.ns15529.oracleGeneral.zst LHD cache size    12469, 3870054 req, miss ratio 0.2711, byte miss ratio 0.2711
result/tencentBlock.ns15529.oracleGeneral.zst LHD cache size    41566, 3870054 req, miss ratio 0.2155, byte miss ratio 0.2155
result/tencentBlock.ns15529.oracleGeneral.zst LHD cache size    83133, 3870054 req, miss ratio 0.1587, byte miss ratio 0.1587
result/tencentBlock.ns15529.oracleGeneral.zst LHD cache size   166266, 3870054 req, miss ratio 0.1210, byte miss ratio 0.1210
result/tencentBlock.ns15529.oracleGeneral.zst LHD cache size   332532, 3870054 req, miss ratio 0.1079, byte miss ratio 0.1079
result/tencentBlock.ns15529.oracleGeneral.zst LRU cache size      415, 3870054 req, miss ratio 0.5156, byte miss ratio 0.5156
result/tencentBlock.ns15529.oracleGeneral.zst LRU cache size     1246, 3870054 req, miss ratio 0.4177, byte miss ratio 0.4177
result/tencentBlock.ns15529.oracleGeneral.zst LRU cache size     4156, 3870054 req, miss ratio 0.3117, byte miss ratio 0.3117
result/tencentBlock.ns15529.oracleGeneral.zst LRU cache size    12469, 3870054 req, miss ratio 0.2785, byte miss ratio 0.2785
result/tencentBlock.ns15529.oracleGeneral.zst LRU cache size    41566, 3870054 req, miss ratio 0.2189, byte miss ratio 0.2189
result/tencentBlock.ns15529.oracleGeneral.zst LRU cache size    83133, 3870054 req, miss ratio 0.1690, byte miss ratio 0.1690
result/tencentBlock.ns15529.oracleGeneral.zst LRU cache size   166266, 3870054 req, miss ratio 0.1190, byte miss ratio 0.1190
result/tencentBlock.ns15529.oracleGeneral.zst LRU cache size   332532, 3870054 req, miss ratio 0.1077, byte miss ratio 0.1077
result/tencentBlock.ns15529.oracleGeneral.zst Cacheus cache size      415, 3870054 req, miss ratio 0.4917, byte miss ratio 0.4917
result/tencentBlock.ns15529.oracleGeneral.zst Cacheus cache size     1246, 3870054 req, miss ratio 0.3933, byte miss ratio 0.3933
result/tencentBlock.ns15529.oracleGeneral.zst Cacheus cache size     4156, 3870054 req, miss ratio 0.2962, byte miss ratio 0.2962
result/tencentBlock.ns15529.oracleGeneral.zst Cacheus cache size    12469, 3870054 req, miss ratio 0.2719, byte miss ratio 0.2719
result/tencentBlock.ns15529.oracleGeneral.zst Cacheus cache size    41566, 3870054 req, miss ratio 0.2228, byte miss ratio 0.2228
result/tencentBlock.ns15529.oracleGeneral.zst Cacheus cache size    83133, 3870054 req, miss ratio 0.1700, byte miss ratio 0.1700
result/tencentBlock.ns15529.oracleGeneral.zst Cacheus cache size   166266, 3870054 req, miss ratio 0.1258, byte miss ratio 0.1258
result/tencentBlock.ns15529.oracleGeneral.zst Cacheus cache size   332532, 3870054 req, miss ratio 0.1081, byte miss ratio 0.1081
result/tencentBlock.ns15529.oracleGeneral.zst ARC cache size      415, 3870054 req, miss ratio 0.4932, byte miss ratio 0.4932
result/tencentBlock.ns15529.oracleGeneral.zst ARC cache size     1246, 3870054 req, miss ratio 0.3785, byte miss ratio 0.3785
result/tencentBlock.ns15529.oracleGeneral.zst ARC cache size     4156, 3870054 req, miss ratio 0.2952, byte miss ratio 0.2952
result/tencentBlock.ns15529.oracleGeneral.zst ARC cache size    12469, 3870054 req, miss ratio 0.2716, byte miss ratio 0.2716
result/tencentBlock.ns15529.oracleGeneral.zst ARC cache size    41566, 3870054 req, miss ratio 0.2275, byte miss ratio 0.2275
result/tencentBlock.ns15529.oracleGeneral.zst ARC cache size    83133, 3870054 req, miss ratio 0.1723, byte miss ratio 0.1723
result/tencentBlock.ns15529.oracleGeneral.zst ARC cache size   166266, 3870054 req, miss ratio 0.1191, byte miss ratio 0.1191
result/tencentBlock.ns15529.oracleGeneral.zst ARC cache size   332532, 3870054 req, miss ratio 0.1081, byte miss ratio 0.1081
result/tencentBlock.ns15529.oracleGeneral.zst clock2 cache size      415, 3870054 req, miss ratio 0.5154, byte miss ratio 0.5154
result/tencentBlock.ns15529.oracleGeneral.zst clock2 cache size     1246, 3870054 req, miss ratio 0.4233, byte miss ratio 0.4233
result/tencentBlock.ns15529.oracleGeneral.zst clock2 cache size     4156, 3870054 req, miss ratio 0.3006, byte miss ratio 0.3006
result/tencentBlock.ns15529.oracleGeneral.zst clock2 cache size    12469, 3870054 req, miss ratio 0.2818, byte miss ratio 0.2818
result/tencentBlock.ns15529.oracleGeneral.zst clock2 cache size    41566, 3870054 req, miss ratio 0.2297, byte miss ratio 0.2297
result/tencentBlock.ns15529.oracleGeneral.zst clock2 cache size    83133, 3870054 req, miss ratio 0.1937, byte miss ratio 0.1937
result/tencentBlock.ns15529.oracleGeneral.zst clock2 cache size   166266, 3870054 req, miss ratio 0.1318, byte miss ratio 0.1318
result/tencentBlock.ns15529.oracleGeneral.zst clock2 cache size   332532, 3870054 req, miss ratio 0.1079, byte miss ratio 0.1079
result/tencentBlock.ns15529.oracleGeneral.zst S3FIFO-1 cache size      415, 3870054 req, miss ratio 0.5071, byte miss ratio 0.5071
result/tencentBlock.ns15529.oracleGeneral.zst S3FIFO-1 cache size     1246, 3870054 req, miss ratio 0.3584, byte miss ratio 0.3584
result/tencentBlock.ns15529.oracleGeneral.zst S3FIFO-1 cache size     4156, 3870054 req, miss ratio 0.2962, byte miss ratio 0.2962
result/tencentBlock.ns15529.oracleGeneral.zst S3FIFO-1 cache size    12469, 3870054 req, miss ratio 0.2693, byte miss ratio 0.2693
result/tencentBlock.ns15529.oracleGeneral.zst S3FIFO-1 cache size    41566, 3870054 req, miss ratio 0.2272, byte miss ratio 0.2272
result/tencentBlock.ns15529.oracleGeneral.zst S3FIFO-1 cache size    83133, 3870054 req, miss ratio 0.1762, byte miss ratio 0.1762
