result/cdn2_allcolo.ns783.oracleGeneral.zst ARC cache size   873116, 13662451 req, miss ratio 0.0800, byte miss ratio 0.0800
result/cdn2_allcolo.ns783.oracleGeneral.zst clock2 cache size     1091, 13662451 req, miss ratio 0.2989, byte miss ratio 0.2989
result/cdn2_allcolo.ns783.oracleGeneral.zst clock2 cache size     3274, 13662451 req, miss ratio 0.2288, byte miss ratio 0.2288
result/cdn2_allcolo.ns783.oracleGeneral.zst clock2 cache size    10913, 13662451 req, miss ratio 0.1661, byte miss ratio 0.1661
result/cdn2_allcolo.ns783.oracleGeneral.zst clock2 cache size    32741, 13662451 req, miss ratio 0.1257, byte miss ratio 0.1257
result/cdn2_allcolo.ns783.oracleGeneral.zst clock2 cache size   109139, 13662451 req, miss ratio 0.0965, byte miss ratio 0.0965
result/cdn2_allcolo.ns783.oracleGeneral.zst clock2 cache size   218279, 13662451 req, miss ratio 0.0875, byte miss ratio 0.0875
result/cdn2_allcolo.ns783.oracleGeneral.zst clock2 cache size   436558, 13662451 req, miss ratio 0.0820, byte miss ratio 0.0820
result/cdn2_allcolo.ns783.oracleGeneral.zst clock2 cache size   873116, 13662451 req, miss ratio 0.0800, byte miss ratio 0.0800
result/cdn2_allcolo.ns783.oracleGeneral.zst LIRS cache size     1091, 13662451 req, miss ratio 0.2860, byte miss ratio 0.2860
result/cdn2_allcolo.ns783.oracleGeneral.zst LIRS cache size     3274, 13662451 req, miss ratio 0.2173, byte miss ratio 0.2173
result/cdn2_allcolo.ns783.oracleGeneral.zst LIRS cache size    10913, 13662451 req, miss ratio 0.1604, byte miss ratio 0.1604
result/cdn2_allcolo.ns783.oracleGeneral.zst LIRS cache size    32741, 13662451 req, miss ratio 0.1219, byte miss ratio 0.1219
result/cdn2_allcolo.ns783.oracleGeneral.zst LIRS cache size   109139, 13662451 req, miss ratio 0.0942, byte miss ratio 0.0942
result/cdn2_allcolo.ns783.oracleGeneral.zst LIRS cache size   218279, 13662451 req, miss ratio 0.0881, byte miss ratio 0.0881
result/cdn2_allcolo.ns783.oracleGeneral.zst LIRS cache size   436558, 13662451 req, miss ratio 0.0841, byte miss ratio 0.0841
result/cdn2_allcolo.ns783.oracleGeneral.zst LIRS cache size   873116, 13662451 req, miss ratio 0.0804, byte miss ratio 0.0804
result/cdn2_allcolo.ns783.oracleGeneral.zst LeCaR cache size     1091, 13662451 req, miss ratio 0.3075, byte miss ratio 0.3075
result/cdn2_allcolo.ns783.oracleGeneral.zst LeCaR cache size     3274, 13662451 req, miss ratio 0.2350, byte miss ratio 0.2350
result/cdn2_allcolo.ns783.oracleGeneral.zst LeCaR cache size    10913, 13662451 req, miss ratio 0.1698, byte miss ratio 0.1698
result/cdn2_allcolo.ns783.oracleGeneral.zst LeCaR cache size    32741, 13662451 req, miss ratio 0.1279, byte miss ratio 0.1279
result/cdn2_allcolo.ns783.oracleGeneral.zst LeCaR cache size   109139, 13662451 req, miss ratio 0.0960, byte miss ratio 0.0960
result/cdn2_allcolo.ns783.oracleGeneral.zst LeCaR cache size   218279, 13662451 req, miss ratio 0.0878, byte miss ratio 0.0878
result/cdn2_allcolo.ns783.oracleGeneral.zst LeCaR cache size   436558, 13662451 req, miss ratio 0.0822, byte miss ratio 0.0822
result/cdn2_allcolo.ns783.oracleGeneral.zst LeCaR cache size   873116, 13662451 req, miss ratio 0.0800, byte miss ratio 0.0800
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-1 cache size     1091, 13662451 req, miss ratio 0.2733, byte miss ratio 0.2733
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-1 cache size     3274, 13662451 req, miss ratio 0.2098, byte miss ratio 0.2098
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-1 cache size    10913, 13662451 req, miss ratio 0.1551, byte miss ratio 0.1551
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-1 cache size    32741, 13662451 req, miss ratio 0.1162, byte miss ratio 0.1162
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-1 cache size   109139, 13662451 req, miss ratio 0.0914, byte miss ratio 0.0914
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-1 cache size   218279, 13662451 req, miss ratio 0.0859, byte miss ratio 0.0859
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-1 cache size   436558, 13662451 req, miss ratio 0.0819, byte miss ratio 0.0819
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-1 cache size   873116, 13662451 req, miss ratio 0.0800, byte miss ratio 0.0800
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-d-1 cache size     1091, 13662451 req, miss ratio 0.2739, byte miss ratio 0.2739
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-d-1 cache size     3274, 13662451 req, miss ratio 0.2101, byte miss ratio 0.2101
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-d-1 cache size    10913, 13662451 req, miss ratio 0.1552, byte miss ratio 0.1552
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-d-1 cache size    32741, 13662451 req, miss ratio 0.1162, byte miss ratio 0.1162
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-d-1 cache size   109139, 13662451 req, miss ratio 0.0913, byte miss ratio 0.0913
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-d-1 cache size   218279, 13662451 req, miss ratio 0.0859, byte miss ratio 0.0859
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-d-1 cache size   436558, 13662451 req, miss ratio 0.0819, byte miss ratio 0.0819
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-d-1 cache size   873116, 13662451 req, miss ratio 0.0800, byte miss ratio 0.0800
result/cdn2_allcolo.ns783.oracleGeneral.zst LRB cache size     1091, 13662451 req, miss ratio 0.2729, byte miss ratio 0.2729
result/cdn2_allcolo.ns783.oracleGeneral.zst LRB cache size     3274, 13662451 req, miss ratio 0.2086, byte miss ratio 0.2086
result/cdn2_allcolo.ns783.oracleGeneral.zst LRB cache size    10913, 13662451 req, miss ratio 0.1516, byte miss ratio 0.1516
result/cdn2_allcolo.ns783.oracleGeneral.zst LRB cache size    32741, 13662451 req, miss ratio 0.1169, byte miss ratio 0.1169
