result/tencentBlock.ns9024.oracleGeneral.zst Cacheus cache size      104, 2009125 req, miss ratio 0.3619, byte miss ratio 0.3619
result/tencentBlock.ns9024.oracleGeneral.zst Cacheus cache size      312, 2009125 req, miss ratio 0.3155, byte miss ratio 0.3155
result/tencentBlock.ns9024.oracleGeneral.zst Cacheus cache size     1042, 2009125 req, miss ratio 0.2888, byte miss ratio 0.2888
result/tencentBlock.ns9024.oracleGeneral.zst Cacheus cache size     3126, 2009125 req, miss ratio 0.2484, byte miss ratio 0.2484
result/tencentBlock.ns9024.oracleGeneral.zst Cacheus cache size    10421, 2009125 req, miss ratio 0.2021, byte miss ratio 0.2021
result/tencentBlock.ns9024.oracleGeneral.zst Cacheus cache size    20842, 2009125 req, miss ratio 0.1916, byte miss ratio 0.1916
result/tencentBlock.ns9024.oracleGeneral.zst Cacheus cache size    41684, 2009125 req, miss ratio 0.1444, byte miss ratio 0.1444
result/tencentBlock.ns9024.oracleGeneral.zst Cacheus cache size    83368, 2009125 req, miss ratio 0.0530, byte miss ratio 0.0530
result/tencentBlock.ns9024.oracleGeneral.zst S3FIFO-1 cache size      104, 2009125 req, miss ratio 0.3622, byte miss ratio 0.3622
result/tencentBlock.ns9024.oracleGeneral.zst S3FIFO-1 cache size      312, 2009125 req, miss ratio 0.3118, byte miss ratio 0.3118
result/tencentBlock.ns9024.oracleGeneral.zst S3FIFO-1 cache size     1042, 2009125 req, miss ratio 0.2826, byte miss ratio 0.2826
result/tencentBlock.ns9024.oracleGeneral.zst S3FIFO-1 cache size     3126, 2009125 req, miss ratio 0.2244, byte miss ratio 0.2244
result/tencentBlock.ns9024.oracleGeneral.zst S3FIFO-1 cache size    10421, 2009125 req, miss ratio 0.1991, byte miss ratio 0.1991
result/tencentBlock.ns9024.oracleGeneral.zst S3FIFO-1 cache size    20842, 2009125 req, miss ratio 0.1820, byte miss ratio 0.1820
result/tencentBlock.ns9024.oracleGeneral.zst S3FIFO-1 cache size    41684, 2009125 req, miss ratio 0.1460, byte miss ratio 0.1460
result/tencentBlock.ns9024.oracleGeneral.zst S3FIFO-1 cache size    83368, 2009125 req, miss ratio 0.0542, byte miss ratio 0.0542
result/tencentBlock.ns9024.oracleGeneral.zst LIRS cache size      104, 2009125 req, miss ratio 0.3695, byte miss ratio 0.3695
result/tencentBlock.ns9024.oracleGeneral.zst LIRS cache size      312, 2009125 req, miss ratio 0.3294, byte miss ratio 0.3294
result/tencentBlock.ns9024.oracleGeneral.zst LIRS cache size     1042, 2009125 req, miss ratio 0.2890, byte miss ratio 0.2890
result/tencentBlock.ns9024.oracleGeneral.zst LIRS cache size     3126, 2009125 req, miss ratio 0.2316, byte miss ratio 0.2316
result/tencentBlock.ns9024.oracleGeneral.zst LIRS cache size    10421, 2009125 req, miss ratio 0.1978, byte miss ratio 0.1978
result/tencentBlock.ns9024.oracleGeneral.zst LIRS cache size    20842, 2009125 req, miss ratio 0.1713, byte miss ratio 0.1713
result/tencentBlock.ns9024.oracleGeneral.zst LIRS cache size    41684, 2009125 req, miss ratio 0.1399, byte miss ratio 0.1399
result/tencentBlock.ns9024.oracleGeneral.zst LIRS cache size    83368, 2009125 req, miss ratio 0.0530, byte miss ratio 0.0530
result/tencentBlock.ns9024.oracleGeneral.zst FIFO cache size      104, 2009125 req, miss ratio 0.4951, byte miss ratio 0.4951
result/tencentBlock.ns9024.oracleGeneral.zst FIFO cache size      312, 2009125 req, miss ratio 0.3790, byte miss ratio 0.3790
result/tencentBlock.ns9024.oracleGeneral.zst FIFO cache size     1042, 2009125 req, miss ratio 0.3245, byte miss ratio 0.3245
result/tencentBlock.ns9024.oracleGeneral.zst FIFO cache size     3126, 2009125 req, miss ratio 0.2786, byte miss ratio 0.2786
