result/tencentBlock.ns5172.oracleGeneral.zst S3FIFO-1 cache size      141, 1075909 req, miss ratio 0.5798, byte miss ratio 0.5798
result/tencentBlock.ns5172.oracleGeneral.zst S3FIFO-1 cache size      425, 1075909 req, miss ratio 0.5615, byte miss ratio 0.5615
result/tencentBlock.ns5172.oracleGeneral.zst S3FIFO-1 cache size     1417, 1075909 req, miss ratio 0.5584, byte miss ratio 0.5584
result/tencentBlock.ns5172.oracleGeneral.zst S3FIFO-1 cache size     4252, 1075909 req, miss ratio 0.5572, byte miss ratio 0.5572
result/tencentBlock.ns5172.oracleGeneral.zst S3FIFO-1 cache size    14175, 1075909 req, miss ratio 0.5470, byte miss ratio 0.5470
result/tencentBlock.ns5172.oracleGeneral.zst S3FIFO-1 cache size    28351, 1075909 req, miss ratio 0.4606, byte miss ratio 0.4606
result/tencentBlock.ns5172.oracleGeneral.zst S3FIFO-1 cache size    56702, 1075909 req, miss ratio 0.3499, byte miss ratio 0.3499
result/tencentBlock.ns5172.oracleGeneral.zst S3FIFO-1 cache size   113404, 1075909 req, miss ratio 0.1535, byte miss ratio 0.1535
result/tencentBlock.ns5172.oracleGeneral.zst FIFO cache size      141, 1075909 req, miss ratio 0.6531, byte miss ratio 0.6531
result/tencentBlock.ns5172.oracleGeneral.zst FIFO cache size      425, 1075909 req, miss ratio 0.5979, byte miss ratio 0.5979
result/tencentBlock.ns5172.oracleGeneral.zst FIFO cache size     1417, 1075909 req, miss ratio 0.5720, byte miss ratio 0.5720
result/tencentBlock.ns5172.oracleGeneral.zst FIFO cache size     4252, 1075909 req, miss ratio 0.5626, byte miss ratio 0.5626
result/tencentBlock.ns5172.oracleGeneral.zst FIFO cache size    14175, 1075909 req, miss ratio 0.5584, byte miss ratio 0.5584
result/tencentBlock.ns5172.oracleGeneral.zst FIFO cache size    28351, 1075909 req, miss ratio 0.4997, byte miss ratio 0.4997
result/tencentBlock.ns5172.oracleGeneral.zst FIFO cache size    56702, 1075909 req, miss ratio 0.3591, byte miss ratio 0.3591
result/tencentBlock.ns5172.oracleGeneral.zst FIFO cache size   113404, 1075909 req, miss ratio 0.1754, byte miss ratio 0.1754
result/tencentBlock.ns5172.oracleGeneral.zst Cacheus cache size      141, 1075909 req, miss ratio 0.5785, byte miss ratio 0.5785
result/tencentBlock.ns5172.oracleGeneral.zst Cacheus cache size      425, 1075909 req, miss ratio 0.5624, byte miss ratio 0.5624
result/tencentBlock.ns5172.oracleGeneral.zst Cacheus cache size     1417, 1075909 req, miss ratio 0.5577, byte miss ratio 0.5577
result/tencentBlock.ns5172.oracleGeneral.zst Cacheus cache size     4252, 1075909 req, miss ratio 0.5569, byte miss ratio 0.5569
