result/tencentBlock.ns8269.oracleGeneral.zst Clock cache size      102, 3045967 req, miss ratio 0.3393, byte miss ratio 0.3393
result/tencentBlock.ns8269.oracleGeneral.zst Clock cache size      307, 3045967 req, miss ratio 0.1831, byte miss ratio 0.1831
result/tencentBlock.ns8269.oracleGeneral.zst Clock cache size     1023, 3045967 req, miss ratio 0.1324, byte miss ratio 0.1324
result/tencentBlock.ns8269.oracleGeneral.zst Clock cache size     3071, 3045967 req, miss ratio 0.1116, byte miss ratio 0.1116
result/tencentBlock.ns8269.oracleGeneral.zst Clock cache size    10239, 3045967 req, miss ratio 0.0845, byte miss ratio 0.0845
result/tencentBlock.ns8269.oracleGeneral.zst Clock cache size    20478, 3045967 req, miss ratio 0.0709, byte miss ratio 0.0709
result/tencentBlock.ns8269.oracleGeneral.zst Clock cache size    40956, 3045967 req, miss ratio 0.0499, byte miss ratio 0.0499
result/tencentBlock.ns8269.oracleGeneral.zst Clock cache size    81913, 3045967 req, miss ratio 0.0344, byte miss ratio 0.0344
result/tencentBlock.ns8269.oracleGeneral.zst LeCaR cache size      102, 3045967 req, miss ratio 0.3198, byte miss ratio 0.3198
result/tencentBlock.ns8269.oracleGeneral.zst LeCaR cache size      307, 3045967 req, miss ratio 0.1764, byte miss ratio 0.1764
result/tencentBlock.ns8269.oracleGeneral.zst LeCaR cache size     1023, 3045967 req, miss ratio 0.1305, byte miss ratio 0.1305
result/tencentBlock.ns8269.oracleGeneral.zst LeCaR cache size     3071, 3045967 req, miss ratio 0.1096, byte miss ratio 0.1096
result/tencentBlock.ns8269.oracleGeneral.zst LeCaR cache size    10239, 3045967 req, miss ratio 0.0834, byte miss ratio 0.0834
result/tencentBlock.ns8269.oracleGeneral.zst LeCaR cache size    20478, 3045967 req, miss ratio 0.0691, byte miss ratio 0.0691
result/tencentBlock.ns8269.oracleGeneral.zst LeCaR cache size    40956, 3045967 req, miss ratio 0.0452, byte miss ratio 0.0452
result/tencentBlock.ns8269.oracleGeneral.zst LeCaR cache size    81913, 3045967 req, miss ratio 0.0338, byte miss ratio 0.0338
result/tencentBlock.ns8269.oracleGeneral.zst S3FIFO-1 cache size      102, 3045967 req, miss ratio 0.2816, byte miss ratio 0.2816
result/tencentBlock.ns8269.oracleGeneral.zst S3FIFO-1 cache size      307, 3045967 req, miss ratio 0.1661, byte miss ratio 0.1661
result/tencentBlock.ns8269.oracleGeneral.zst S3FIFO-1 cache size     1023, 3045967 req, miss ratio 0.1249, byte miss ratio 0.1249
result/tencentBlock.ns8269.oracleGeneral.zst S3FIFO-1 cache size     3071, 3045967 req, miss ratio 0.1033, byte miss ratio 0.1033
result/tencentBlock.ns8269.oracleGeneral.zst S3FIFO-1 cache size    10239, 3045967 req, miss ratio 0.0809, byte miss ratio 0.0809
result/tencentBlock.ns8269.oracleGeneral.zst S3FIFO-1 cache size    20478, 3045967 req, miss ratio 0.0685, byte miss ratio 0.0685
result/tencentBlock.ns8269.oracleGeneral.zst S3FIFO-1 cache size    40956, 3045967 req, miss ratio 0.0477, byte miss ratio 0.0477
result/tencentBlock.ns8269.oracleGeneral.zst S3FIFO-1 cache size    81913, 3045967 req, miss ratio 0.0340, byte miss ratio 0.0340
result/tencentBlock.ns8269.oracleGeneral.zst ARC cache size      102, 3045967 req, miss ratio 0.2789, byte miss ratio 0.2789
result/tencentBlock.ns8269.oracleGeneral.zst ARC cache size      307, 3045967 req, miss ratio 0.1671, byte miss ratio 0.1671
result/tencentBlock.ns8269.oracleGeneral.zst ARC cache size     1023, 3045967 req, miss ratio 0.1250, byte miss ratio 0.1250
result/tencentBlock.ns8269.oracleGeneral.zst ARC cache size     3071, 3045967 req, miss ratio 0.1037, byte miss ratio 0.1037
result/tencentBlock.ns8269.oracleGeneral.zst ARC cache size    10239, 3045967 req, miss ratio 0.0828, byte miss ratio 0.0828
result/tencentBlock.ns8269.oracleGeneral.zst ARC cache size    20478, 3045967 req, miss ratio 0.0689, byte miss ratio 0.0689
result/tencentBlock.ns8269.oracleGeneral.zst ARC cache size    40956, 3045967 req, miss ratio 0.0455, byte miss ratio 0.0455
result/tencentBlock.ns8269.oracleGeneral.zst ARC cache size    81913, 3045967 req, miss ratio 0.0340, byte miss ratio 0.0340
result/tencentBlock.ns8269.oracleGeneral.zst LHD cache size      102, 3045967 req, miss ratio 0.3266, byte miss ratio 0.3266
result/tencentBlock.ns8269.oracleGeneral.zst LHD cache size      307, 3045967 req, miss ratio 0.1789, byte miss ratio 0.1789
result/tencentBlock.ns8269.oracleGeneral.zst LHD cache size     1023, 3045967 req, miss ratio 0.1282, byte miss ratio 0.1282
result/tencentBlock.ns8269.oracleGeneral.zst LHD cache size     3071, 3045967 req, miss ratio 0.1081, byte miss ratio 0.1081
result/tencentBlock.ns8269.oracleGeneral.zst LHD cache size    10239, 3045967 req, miss ratio 0.0820, byte miss ratio 0.0820
result/tencentBlock.ns8269.oracleGeneral.zst LHD cache size    20478, 3045967 req, miss ratio 0.0667, byte miss ratio 0.0667
result/tencentBlock.ns8269.oracleGeneral.zst LHD cache size    40956, 3045967 req, miss ratio 0.0455, byte miss ratio 0.0455
result/tencentBlock.ns8269.oracleGeneral.zst LHD cache size    81913, 3045967 req, miss ratio 0.0341, byte miss ratio 0.0341
result/tencentBlock.ns8269.oracleGeneral.zst clock2 cache size      102, 3045967 req, miss ratio 0.3396, byte miss ratio 0.3396
result/tencentBlock.ns8269.oracleGeneral.zst clock2 cache size      307, 3045967 req, miss ratio 0.1799, byte miss ratio 0.1799
result/tencentBlock.ns8269.oracleGeneral.zst clock2 cache size     1023, 3045967 req, miss ratio 0.1338, byte miss ratio 0.1338
result/tencentBlock.ns8269.oracleGeneral.zst clock2 cache size     3071, 3045967 req, miss ratio 0.1120, byte miss ratio 0.1120
result/tencentBlock.ns8269.oracleGeneral.zst clock2 cache size    10239, 3045967 req, miss ratio 0.0847, byte miss ratio 0.0847
result/tencentBlock.ns8269.oracleGeneral.zst clock2 cache size    20478, 3045967 req, miss ratio 0.0706, byte miss ratio 0.0706
result/tencentBlock.ns8269.oracleGeneral.zst clock2 cache size    40956, 3045967 req, miss ratio 0.0524, byte miss ratio 0.0524
result/tencentBlock.ns8269.oracleGeneral.zst clock2 cache size    81913, 3045967 req, miss ratio 0.0340, byte miss ratio 0.0340
result/tencentBlock.ns8269.oracleGeneral.zst LIRS cache size      102, 3045967 req, miss ratio 0.2739, byte miss ratio 0.2739
result/tencentBlock.ns8269.oracleGeneral.zst LIRS cache size      307, 3045967 req, miss ratio 0.1804, byte miss ratio 0.1804
result/tencentBlock.ns8269.oracleGeneral.zst LIRS cache size     1023, 3045967 req, miss ratio 0.1308, byte miss ratio 0.1308
result/tencentBlock.ns8269.oracleGeneral.zst LIRS cache size     3071, 3045967 req, miss ratio 0.1053, byte miss ratio 0.1053
result/tencentBlock.ns8269.oracleGeneral.zst LIRS cache size    10239, 3045967 req, miss ratio 0.0847, byte miss ratio 0.0847
result/tencentBlock.ns8269.oracleGeneral.zst LIRS cache size    20478, 3045967 req, miss ratio 0.0670, byte miss ratio 0.0670
result/tencentBlock.ns8269.oracleGeneral.zst LIRS cache size    40956, 3045967 req, miss ratio 0.0464, byte miss ratio 0.0464
