result/cdn2_allcolo.ns1693.oracleGeneral.zst LIRS cache size    45867, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst LIRS cache size   152890, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst LIRS cache size   305781, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst LIRS cache size   611562, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst LIRS cache size  1223124, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst clock2 cache size     1528, 1544613 req, miss ratio 0.9903, byte miss ratio 0.9903
result/cdn2_allcolo.ns1693.oracleGeneral.zst clock2 cache size     4586, 1544613 req, miss ratio 0.9901, byte miss ratio 0.9901
result/cdn2_allcolo.ns1693.oracleGeneral.zst clock2 cache size    15289, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst clock2 cache size    45867, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst clock2 cache size   152890, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst clock2 cache size   305781, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst clock2 cache size   611562, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst clock2 cache size  1223124, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO-d-1 cache size     1528, 1544613 req, miss ratio 0.9901, byte miss ratio 0.9901
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO-d-1 cache size     4586, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO-d-1 cache size    15289, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO-d-1 cache size    45867, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO-d-1 cache size   152890, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO-d-1 cache size   305781, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO-d-1 cache size   611562, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO-d-1 cache size  1223124, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst LRB cache size     1528, 1544613 req, miss ratio 0.9903, byte miss ratio 0.9903
result/cdn2_allcolo.ns1693.oracleGeneral.zst LRB cache size     4586, 1544613 req, miss ratio 0.9902, byte miss ratio 0.9902
result/cdn2_allcolo.ns1693.oracleGeneral.zst LRB cache size    15289, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst LRB cache size    45867, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst LRB cache size   152890, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst LRB cache size   305781, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst LRB cache size   611562, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst LRB cache size  1223124, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst TwoQ cache size     1528, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst TwoQ cache size     4586, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst TwoQ cache size    15289, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst TwoQ cache size    45867, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst TwoQ cache size   152890, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst TwoQ cache size   305781, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst TwoQ cache size   611562, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst TwoQ cache size  1223124, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1528, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4586, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst S4LRU(25:25:25:25) cache size    15289, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst S4LRU(25:25:25:25) cache size    45867, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst S4LRU(25:25:25:25) cache size   152890, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst S4LRU(25:25:25:25) cache size   305781, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst S4LRU(25:25:25:25) cache size   611562, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1223124, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1528, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4586, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    15289, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    45867, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   152890, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   305781, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   611562, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1223124, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst B-LRU cache size     1528, 1544613 req, miss ratio 0.9983, byte miss ratio 0.9983
result/cdn2_allcolo.ns1693.oracleGeneral.zst B-LRU cache size     4586, 1544613 req, miss ratio 0.9983, byte miss ratio 0.9983
result/cdn2_allcolo.ns1693.oracleGeneral.zst B-LRU cache size    15289, 1544613 req, miss ratio 0.9983, byte miss ratio 0.9983
result/cdn2_allcolo.ns1693.oracleGeneral.zst B-LRU cache size    45867, 1544613 req, miss ratio 0.9983, byte miss ratio 0.9983
result/cdn2_allcolo.ns1693.oracleGeneral.zst B-LRU cache size   152890, 1544613 req, miss ratio 0.9983, byte miss ratio 0.9983
result/cdn2_allcolo.ns1693.oracleGeneral.zst B-LRU cache size   305781, 1544613 req, miss ratio 0.9983, byte miss ratio 0.9983
result/cdn2_allcolo.ns1693.oracleGeneral.zst B-LRU cache size   611562, 1544613 req, miss ratio 0.9983, byte miss ratio 0.9983
result/cdn2_allcolo.ns1693.oracleGeneral.zst B-LRU cache size  1223124, 1544613 req, miss ratio 0.9983, byte miss ratio 0.9983
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO-d cache size     1528, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO-d cache size     4586, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO-d cache size    15289, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO-d cache size    45867, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO-d cache size   152890, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO-d cache size   305781, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO-d cache size   611562, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO-d cache size  1223124, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO cache size     1528, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO cache size     4586, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO cache size    15289, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO cache size    45867, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO cache size   152890, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO cache size   305781, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO cache size   611562, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst S3FIFO cache size  1223124, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1528, 1544613 req, miss ratio 0.9905, byte miss ratio 0.9905
result/cdn2_allcolo.ns1693.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4586, 1544613 req, miss ratio 0.9903, byte miss ratio 0.9903
result/cdn2_allcolo.ns1693.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    15289, 1544613 req, miss ratio 0.9902, byte miss ratio 0.9902
result/cdn2_allcolo.ns1693.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    45867, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   152890, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   305781, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   611562, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1223124, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns1693.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1528, 1544613 req, miss ratio 0.9902, byte miss ratio 0.9902
result/cdn2_allcolo.ns1693.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4586, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    15289, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    45867, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   152890, 1544613 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns1693.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   305781, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   611562, 1544613 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns1693.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1223124, 1544613 req, miss ratio 0.9898, byte miss ratio 0.9898
