result/tencentBlock.ns5788.oracleGeneral.zst LRU cache size      169, 4413126 req, miss ratio 0.4531, byte miss ratio 0.4531
result/tencentBlock.ns5788.oracleGeneral.zst LRU cache size      509, 4413126 req, miss ratio 0.3956, byte miss ratio 0.3956
result/tencentBlock.ns5788.oracleGeneral.zst LRU cache size     1698, 4413126 req, miss ratio 0.3636, byte miss ratio 0.3636
result/tencentBlock.ns5788.oracleGeneral.zst LRU cache size     5096, 4413126 req, miss ratio 0.3396, byte miss ratio 0.3396
result/tencentBlock.ns5788.oracleGeneral.zst LRU cache size    16988, 4413126 req, miss ratio 0.2811, byte miss ratio 0.2811
result/tencentBlock.ns5788.oracleGeneral.zst LRU cache size    33976, 4413126 req, miss ratio 0.0849, byte miss ratio 0.0849
result/tencentBlock.ns5788.oracleGeneral.zst LRU cache size    67953, 4413126 req, miss ratio 0.0531, byte miss ratio 0.0531
result/tencentBlock.ns5788.oracleGeneral.zst LRU cache size   135906, 4413126 req, miss ratio 0.0390, byte miss ratio 0.0390
result/tencentBlock.ns5788.oracleGeneral.zst clock2 cache size      169, 4413126 req, miss ratio 0.4423, byte miss ratio 0.4423
result/tencentBlock.ns5788.oracleGeneral.zst clock2 cache size      509, 4413126 req, miss ratio 0.3851, byte miss ratio 0.3851
result/tencentBlock.ns5788.oracleGeneral.zst clock2 cache size     1698, 4413126 req, miss ratio 0.3580, byte miss ratio 0.3580
result/tencentBlock.ns5788.oracleGeneral.zst clock2 cache size     5096, 4413126 req, miss ratio 0.3345, byte miss ratio 0.3345
result/tencentBlock.ns5788.oracleGeneral.zst clock2 cache size    16988, 4413126 req, miss ratio 0.2853, byte miss ratio 0.2853
result/tencentBlock.ns5788.oracleGeneral.zst clock2 cache size    33976, 4413126 req, miss ratio 0.0844, byte miss ratio 0.0844
result/tencentBlock.ns5788.oracleGeneral.zst clock2 cache size    67953, 4413126 req, miss ratio 0.0550, byte miss ratio 0.0550
result/tencentBlock.ns5788.oracleGeneral.zst clock2 cache size   135906, 4413126 req, miss ratio 0.0389, byte miss ratio 0.0389
result/tencentBlock.ns5788.oracleGeneral.zst LeCaR cache size      169, 4413126 req, miss ratio 0.4407, byte miss ratio 0.4407
result/tencentBlock.ns5788.oracleGeneral.zst LeCaR cache size      509, 4413126 req, miss ratio 0.3828, byte miss ratio 0.3828
result/tencentBlock.ns5788.oracleGeneral.zst LeCaR cache size     1698, 4413126 req, miss ratio 0.3534, byte miss ratio 0.3534
result/tencentBlock.ns5788.oracleGeneral.zst LeCaR cache size     5096, 4413126 req, miss ratio 0.3272, byte miss ratio 0.3272
result/tencentBlock.ns5788.oracleGeneral.zst LeCaR cache size    16988, 4413126 req, miss ratio 0.2038, byte miss ratio 0.2038
result/tencentBlock.ns5788.oracleGeneral.zst LeCaR cache size    33976, 4413126 req, miss ratio 0.0825, byte miss ratio 0.0825
result/tencentBlock.ns5788.oracleGeneral.zst LeCaR cache size    67953, 4413126 req, miss ratio 0.0522, byte miss ratio 0.0522
result/tencentBlock.ns5788.oracleGeneral.zst LeCaR cache size   135906, 4413126 req, miss ratio 0.0389, byte miss ratio 0.0389
result/tencentBlock.ns5788.oracleGeneral.zst ARC cache size      169, 4413126 req, miss ratio 0.4175, byte miss ratio 0.4175
result/tencentBlock.ns5788.oracleGeneral.zst ARC cache size      509, 4413126 req, miss ratio 0.3688, byte miss ratio 0.3688
result/tencentBlock.ns5788.oracleGeneral.zst ARC cache size     1698, 4413126 req, miss ratio 0.3364, byte miss ratio 0.3364
result/tencentBlock.ns5788.oracleGeneral.zst ARC cache size     5096, 4413126 req, miss ratio 0.2943, byte miss ratio 0.2943
result/tencentBlock.ns5788.oracleGeneral.zst ARC cache size    16988, 4413126 req, miss ratio 0.1217, byte miss ratio 0.1217
result/tencentBlock.ns5788.oracleGeneral.zst ARC cache size    33976, 4413126 req, miss ratio 0.0809, byte miss ratio 0.0809
result/tencentBlock.ns5788.oracleGeneral.zst ARC cache size    67953, 4413126 req, miss ratio 0.0517, byte miss ratio 0.0517
result/tencentBlock.ns5788.oracleGeneral.zst ARC cache size   135906, 4413126 req, miss ratio 0.0389, byte miss ratio 0.0389
result/tencentBlock.ns5788.oracleGeneral.zst Clock cache size      169, 4413126 req, miss ratio 0.4478, byte miss ratio 0.4478
result/tencentBlock.ns5788.oracleGeneral.zst Clock cache size      509, 4413126 req, miss ratio 0.3918, byte miss ratio 0.3918
result/tencentBlock.ns5788.oracleGeneral.zst Clock cache size     1698, 4413126 req, miss ratio 0.3608, byte miss ratio 0.3608
result/tencentBlock.ns5788.oracleGeneral.zst Clock cache size     5096, 4413126 req, miss ratio 0.3385, byte miss ratio 0.3385
result/tencentBlock.ns5788.oracleGeneral.zst Clock cache size    16988, 4413126 req, miss ratio 0.2795, byte miss ratio 0.2795
result/tencentBlock.ns5788.oracleGeneral.zst Clock cache size    33976, 4413126 req, miss ratio 0.0844, byte miss ratio 0.0844
result/tencentBlock.ns5788.oracleGeneral.zst Clock cache size    67953, 4413126 req, miss ratio 0.0547, byte miss ratio 0.0547
result/tencentBlock.ns5788.oracleGeneral.zst Clock cache size   135906, 4413126 req, miss ratio 0.0389, byte miss ratio 0.0389
result/tencentBlock.ns5788.oracleGeneral.zst FIFO cache size      169, 4413126 req, miss ratio 0.5007, byte miss ratio 0.5007
result/tencentBlock.ns5788.oracleGeneral.zst FIFO cache size      509, 4413126 req, miss ratio 0.4185, byte miss ratio 0.4185
result/tencentBlock.ns5788.oracleGeneral.zst FIFO cache size     1698, 4413126 req, miss ratio 0.3785, byte miss ratio 0.3785
result/tencentBlock.ns5788.oracleGeneral.zst FIFO cache size     5096, 4413126 req, miss ratio 0.3478, byte miss ratio 0.3478
result/tencentBlock.ns5788.oracleGeneral.zst FIFO cache size    16988, 4413126 req, miss ratio 0.2881, byte miss ratio 0.2881
result/tencentBlock.ns5788.oracleGeneral.zst FIFO cache size    33976, 4413126 req, miss ratio 0.1327, byte miss ratio 0.1327
result/tencentBlock.ns5788.oracleGeneral.zst FIFO cache size    67953, 4413126 req, miss ratio 0.0716, byte miss ratio 0.0716
result/tencentBlock.ns5788.oracleGeneral.zst FIFO cache size   135906, 4413126 req, miss ratio 0.0459, byte miss ratio 0.0459
result/tencentBlock.ns5788.oracleGeneral.zst Cacheus cache size      169, 4413126 req, miss ratio 0.4284, byte miss ratio 0.4284
result/tencentBlock.ns5788.oracleGeneral.zst Cacheus cache size      509, 4413126 req, miss ratio 0.3732, byte miss ratio 0.3732
result/tencentBlock.ns5788.oracleGeneral.zst Cacheus cache size     1698, 4413126 req, miss ratio 0.3433, byte miss ratio 0.3433
result/tencentBlock.ns5788.oracleGeneral.zst Cacheus cache size     5096, 4413126 req, miss ratio 0.3105, byte miss ratio 0.3105
result/tencentBlock.ns5788.oracleGeneral.zst Cacheus cache size    16988, 4413126 req, miss ratio 0.1246, byte miss ratio 0.1246
result/tencentBlock.ns5788.oracleGeneral.zst Cacheus cache size    33976, 4413126 req, miss ratio 0.0832, byte miss ratio 0.0832
result/tencentBlock.ns5788.oracleGeneral.zst Cacheus cache size    67953, 4413126 req, miss ratio 0.0526, byte miss ratio 0.0526
result/tencentBlock.ns5788.oracleGeneral.zst Cacheus cache size   135906, 4413126 req, miss ratio 0.0391, byte miss ratio 0.0391
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-1 cache size      169, 4413126 req, miss ratio 0.4145, byte miss ratio 0.4145
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-1 cache size      509, 4413126 req, miss ratio 0.3678, byte miss ratio 0.3678
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-1 cache size     1698, 4413126 req, miss ratio 0.3351, byte miss ratio 0.3351
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-1 cache size     5096, 4413126 req, miss ratio 0.2915, byte miss ratio 0.2915
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-1 cache size    16988, 4413126 req, miss ratio 0.1385, byte miss ratio 0.1385
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-1 cache size    33976, 4413126 req, miss ratio 0.0788, byte miss ratio 0.0788
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-1 cache size    67953, 4413126 req, miss ratio 0.0519, byte miss ratio 0.0519
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-1 cache size   135906, 4413126 req, miss ratio 0.0389, byte miss ratio 0.0389
result/tencentBlock.ns5788.oracleGeneral.zst LHD cache size      169, 4413126 req, miss ratio 0.4331, byte miss ratio 0.4331
result/tencentBlock.ns5788.oracleGeneral.zst LHD cache size      509, 4413126 req, miss ratio 0.3820, byte miss ratio 0.3820
result/tencentBlock.ns5788.oracleGeneral.zst LHD cache size     1698, 4413126 req, miss ratio 0.3525, byte miss ratio 0.3525
result/tencentBlock.ns5788.oracleGeneral.zst LHD cache size     5096, 4413126 req, miss ratio 0.3127, byte miss ratio 0.3127
result/tencentBlock.ns5788.oracleGeneral.zst LHD cache size    16988, 4413126 req, miss ratio 0.1524, byte miss ratio 0.1524
result/tencentBlock.ns5788.oracleGeneral.zst LHD cache size    33976, 4413126 req, miss ratio 0.0819, byte miss ratio 0.0819
result/tencentBlock.ns5788.oracleGeneral.zst LHD cache size    67953, 4413126 req, miss ratio 0.0541, byte miss ratio 0.0541
result/tencentBlock.ns5788.oracleGeneral.zst LHD cache size   135906, 4413126 req, miss ratio 0.0396, byte miss ratio 0.0396
result/tencentBlock.ns5788.oracleGeneral.zst LIRS cache size      169, 4413126 req, miss ratio 0.4199, byte miss ratio 0.4199
result/tencentBlock.ns5788.oracleGeneral.zst LIRS cache size      509, 4413126 req, miss ratio 0.3755, byte miss ratio 0.3755
result/tencentBlock.ns5788.oracleGeneral.zst LIRS cache size     1698, 4413126 req, miss ratio 0.3392, byte miss ratio 0.3392
result/tencentBlock.ns5788.oracleGeneral.zst LIRS cache size     5096, 4413126 req, miss ratio 0.2909, byte miss ratio 0.2909
result/tencentBlock.ns5788.oracleGeneral.zst LIRS cache size    16988, 4413126 req, miss ratio 0.1127, byte miss ratio 0.1127
result/tencentBlock.ns5788.oracleGeneral.zst LIRS cache size    33976, 4413126 req, miss ratio 0.0782, byte miss ratio 0.0782
result/tencentBlock.ns5788.oracleGeneral.zst LIRS cache size    67953, 4413126 req, miss ratio 0.0523, byte miss ratio 0.0523
result/tencentBlock.ns5788.oracleGeneral.zst LIRS cache size   135906, 4413126 req, miss ratio 0.0397, byte miss ratio 0.0397
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-d-1 cache size      169, 4413126 req, miss ratio 0.4137, byte miss ratio 0.4137
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-d-1 cache size      509, 4413126 req, miss ratio 0.3674, byte miss ratio 0.3674
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-d-1 cache size     1698, 4413126 req, miss ratio 0.3351, byte miss ratio 0.3351
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-d-1 cache size     5096, 4413126 req, miss ratio 0.2917, byte miss ratio 0.2917
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-d-1 cache size    16988, 4413126 req, miss ratio 0.1264, byte miss ratio 0.1264
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-d-1 cache size    33976, 4413126 req, miss ratio 0.0787, byte miss ratio 0.0787
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-d-1 cache size    67953, 4413126 req, miss ratio 0.0520, byte miss ratio 0.0520
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-d-1 cache size   135906, 4413126 req, miss ratio 0.0389, byte miss ratio 0.0389
result/tencentBlock.ns5788.oracleGeneral.zst LRB cache size      169, 4413126 req, miss ratio 0.4388, byte miss ratio 0.4388
result/tencentBlock.ns5788.oracleGeneral.zst LRB cache size      509, 4413126 req, miss ratio 0.3776, byte miss ratio 0.3776
result/tencentBlock.ns5788.oracleGeneral.zst LRB cache size     1698, 4413126 req, miss ratio 0.3326, byte miss ratio 0.3326
result/tencentBlock.ns5788.oracleGeneral.zst LRB cache size     5096, 4413126 req, miss ratio 0.2712, byte miss ratio 0.2712
result/tencentBlock.ns5788.oracleGeneral.zst LRB cache size    16988, 4413126 req, miss ratio 0.1163, byte miss ratio 0.1163
result/tencentBlock.ns5788.oracleGeneral.zst LRB cache size    33976, 4413126 req, miss ratio 0.0786, byte miss ratio 0.0786
result/tencentBlock.ns5788.oracleGeneral.zst LRB cache size    67953, 4413126 req, miss ratio 0.0525, byte miss ratio 0.0525
result/tencentBlock.ns5788.oracleGeneral.zst LRB cache size   135906, 4413126 req, miss ratio 0.0399, byte miss ratio 0.0399
result/tencentBlock.ns5788.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      169, 4413126 req, miss ratio 0.4714, byte miss ratio 0.4714
result/tencentBlock.ns5788.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      509, 4413126 req, miss ratio 0.3937, byte miss ratio 0.3937
result/tencentBlock.ns5788.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1698, 4413126 req, miss ratio 0.3640, byte miss ratio 0.3640
result/tencentBlock.ns5788.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5096, 4413126 req, miss ratio 0.3337, byte miss ratio 0.3337
result/tencentBlock.ns5788.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    16988, 4413126 req, miss ratio 0.2281, byte miss ratio 0.2281
result/tencentBlock.ns5788.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    33976, 4413126 req, miss ratio 0.1185, byte miss ratio 0.1185
result/tencentBlock.ns5788.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    67953, 4413126 req, miss ratio 0.0689, byte miss ratio 0.0689
result/tencentBlock.ns5788.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   135906, 4413126 req, miss ratio 0.0443, byte miss ratio 0.0443
result/tencentBlock.ns5788.oracleGeneral.zst B-LRU cache size      169, 4413126 req, miss ratio 0.4544, byte miss ratio 0.4544
result/tencentBlock.ns5788.oracleGeneral.zst B-LRU cache size      509, 4413126 req, miss ratio 0.3986, byte miss ratio 0.3986
result/tencentBlock.ns5788.oracleGeneral.zst B-LRU cache size     1698, 4413126 req, miss ratio 0.3679, byte miss ratio 0.3679
result/tencentBlock.ns5788.oracleGeneral.zst B-LRU cache size     5096, 4413126 req, miss ratio 0.3442, byte miss ratio 0.3442
result/tencentBlock.ns5788.oracleGeneral.zst B-LRU cache size    16988, 4413126 req, miss ratio 0.2593, byte miss ratio 0.2593
result/tencentBlock.ns5788.oracleGeneral.zst B-LRU cache size    33976, 4413126 req, miss ratio 0.0927, byte miss ratio 0.0927
result/tencentBlock.ns5788.oracleGeneral.zst B-LRU cache size    67953, 4413126 req, miss ratio 0.0678, byte miss ratio 0.0678
result/tencentBlock.ns5788.oracleGeneral.zst B-LRU cache size   135906, 4413126 req, miss ratio 0.0634, byte miss ratio 0.0634
result/tencentBlock.ns5788.oracleGeneral.zst TwoQ cache size      169, 4413126 req, miss ratio 0.4164, byte miss ratio 0.4164
result/tencentBlock.ns5788.oracleGeneral.zst TwoQ cache size      509, 4413126 req, miss ratio 0.3685, byte miss ratio 0.3685
result/tencentBlock.ns5788.oracleGeneral.zst TwoQ cache size     1698, 4413126 req, miss ratio 0.3395, byte miss ratio 0.3395
result/tencentBlock.ns5788.oracleGeneral.zst TwoQ cache size     5096, 4413126 req, miss ratio 0.2960, byte miss ratio 0.2960
result/tencentBlock.ns5788.oracleGeneral.zst TwoQ cache size    16988, 4413126 req, miss ratio 0.1480, byte miss ratio 0.1480
result/tencentBlock.ns5788.oracleGeneral.zst TwoQ cache size    33976, 4413126 req, miss ratio 0.0822, byte miss ratio 0.0822
result/tencentBlock.ns5788.oracleGeneral.zst TwoQ cache size    67953, 4413126 req, miss ratio 0.0582, byte miss ratio 0.0582
result/tencentBlock.ns5788.oracleGeneral.zst TwoQ cache size   135906, 4413126 req, miss ratio 0.0459, byte miss ratio 0.0459
result/tencentBlock.ns5788.oracleGeneral.zst S4LRU(25:25:25:25) cache size      169, 4413126 req, miss ratio 0.4232, byte miss ratio 0.4232
result/tencentBlock.ns5788.oracleGeneral.zst S4LRU(25:25:25:25) cache size      509, 4413126 req, miss ratio 0.3726, byte miss ratio 0.3726
result/tencentBlock.ns5788.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1698, 4413126 req, miss ratio 0.3456, byte miss ratio 0.3456
result/tencentBlock.ns5788.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5096, 4413126 req, miss ratio 0.3139, byte miss ratio 0.3139
result/tencentBlock.ns5788.oracleGeneral.zst S4LRU(25:25:25:25) cache size    16988, 4413126 req, miss ratio 0.1858, byte miss ratio 0.1858
result/tencentBlock.ns5788.oracleGeneral.zst S4LRU(25:25:25:25) cache size    33976, 4413126 req, miss ratio 0.0820, byte miss ratio 0.0820
result/tencentBlock.ns5788.oracleGeneral.zst S4LRU(25:25:25:25) cache size    67953, 4413126 req, miss ratio 0.0532, byte miss ratio 0.0532
result/tencentBlock.ns5788.oracleGeneral.zst S4LRU(25:25:25:25) cache size   135906, 4413126 req, miss ratio 0.0390, byte miss ratio 0.0390
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO cache size      169, 4413126 req, miss ratio 0.4160, byte miss ratio 0.4160
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO cache size      509, 4413126 req, miss ratio 0.3686, byte miss ratio 0.3686
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO cache size     1698, 4413126 req, miss ratio 0.3341, byte miss ratio 0.3341
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO cache size     5096, 4413126 req, miss ratio 0.2898, byte miss ratio 0.2898
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO cache size    16988, 4413126 req, miss ratio 0.1292, byte miss ratio 0.1292
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO cache size    33976, 4413126 req, miss ratio 0.0783, byte miss ratio 0.0783
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO cache size    67953, 4413126 req, miss ratio 0.0522, byte miss ratio 0.0522
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO cache size   135906, 4413126 req, miss ratio 0.0394, byte miss ratio 0.0394
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-d cache size      169, 4413126 req, miss ratio 0.4211, byte miss ratio 0.4211
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-d cache size      509, 4413126 req, miss ratio 0.3680, byte miss ratio 0.3680
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-d cache size     1698, 4413126 req, miss ratio 0.3346, byte miss ratio 0.3346
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-d cache size     5096, 4413126 req, miss ratio 0.2904, byte miss ratio 0.2904
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-d cache size    16988, 4413126 req, miss ratio 0.1242, byte miss ratio 0.1242
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-d cache size    33976, 4413126 req, miss ratio 0.0784, byte miss ratio 0.0784
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-d cache size    67953, 4413126 req, miss ratio 0.0522, byte miss ratio 0.0522
result/tencentBlock.ns5788.oracleGeneral.zst S3FIFO-d cache size   135906, 4413126 req, miss ratio 0.0394, byte miss ratio 0.0394
result/tencentBlock.ns5788.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      169, 4413126 req, miss ratio 0.4422, byte miss ratio 0.4422
