result/io_traces.ns193.oracleGeneral.zst LRU cache size    14985, 34400000 req, miss ratio 0.1894, byte miss ratio 0.1894
result/io_traces.ns193.oracleGeneral.zst LRU cache size    44957, 34400000 req, miss ratio 0.1408, byte miss ratio 0.1408
result/io_traces.ns193.oracleGeneral.zst LRU cache size   149859, 34400000 req, miss ratio 0.0791, byte miss ratio 0.0791
result/io_traces.ns193.oracleGeneral.zst LRU cache size   299718, 34400000 req, miss ratio 0.0615, byte miss ratio 0.0615
result/io_traces.ns193.oracleGeneral.zst LRU cache size   599436, 34400000 req, miss ratio 0.0529, byte miss ratio 0.0529
result/io_traces.ns193.oracleGeneral.zst LRU cache size  1198873, 34400000 req, miss ratio 0.0452, byte miss ratio 0.0452
result/io_traces.ns193.oracleGeneral.zst LeCaR cache size     1498, 34400000 req, miss ratio 0.1976, byte miss ratio 0.1976
result/io_traces.ns193.oracleGeneral.zst LeCaR cache size     4495, 34400000 req, miss ratio 0.1958, byte miss ratio 0.1958
result/io_traces.ns193.oracleGeneral.zst LeCaR cache size    14985, 34400000 req, miss ratio 0.1895, byte miss ratio 0.1895
result/io_traces.ns193.oracleGeneral.zst LeCaR cache size    44957, 34400000 req, miss ratio 0.1417, byte miss ratio 0.1417
result/io_traces.ns193.oracleGeneral.zst LeCaR cache size   149859, 34400000 req, miss ratio 0.0803, byte miss ratio 0.0803
result/io_traces.ns193.oracleGeneral.zst LeCaR cache size   299718, 34400000 req, miss ratio 0.0621, byte miss ratio 0.0621
result/io_traces.ns193.oracleGeneral.zst LeCaR cache size   599436, 34400000 req, miss ratio 0.0536, byte miss ratio 0.0536
result/io_traces.ns193.oracleGeneral.zst LeCaR cache size  1198873, 34400000 req, miss ratio 0.0450, byte miss ratio 0.0450
result/io_traces.ns193.oracleGeneral.zst ARC cache size     1498, 34400000 req, miss ratio 0.1966, byte miss ratio 0.1966
result/io_traces.ns193.oracleGeneral.zst ARC cache size     4495, 34400000 req, miss ratio 0.1953, byte miss ratio 0.1953
result/io_traces.ns193.oracleGeneral.zst ARC cache size    14985, 34400000 req, miss ratio 0.1853, byte miss ratio 0.1853
result/io_traces.ns193.oracleGeneral.zst ARC cache size    44957, 34400000 req, miss ratio 0.1425, byte miss ratio 0.1425
result/io_traces.ns193.oracleGeneral.zst ARC cache size   149859, 34400000 req, miss ratio 0.0852, byte miss ratio 0.0852
result/io_traces.ns193.oracleGeneral.zst ARC cache size   299718, 34400000 req, miss ratio 0.0622, byte miss ratio 0.0622
result/io_traces.ns193.oracleGeneral.zst ARC cache size   599436, 34400000 req, miss ratio 0.0536, byte miss ratio 0.0536
result/io_traces.ns193.oracleGeneral.zst ARC cache size  1198873, 34400000 req, miss ratio 0.0454, byte miss ratio 0.0454
result/io_traces.ns193.oracleGeneral.zst LHD cache size     1498, 34400000 req, miss ratio 0.1965, byte miss ratio 0.1965
result/io_traces.ns193.oracleGeneral.zst LHD cache size     4495, 34400000 req, miss ratio 0.1913, byte miss ratio 0.1913
result/io_traces.ns193.oracleGeneral.zst LHD cache size    14985, 34400000 req, miss ratio 0.1752, byte miss ratio 0.1752
result/io_traces.ns193.oracleGeneral.zst LHD cache size    44957, 34400000 req, miss ratio 0.1310, byte miss ratio 0.1310
result/io_traces.ns193.oracleGeneral.zst LHD cache size   149859, 34400000 req, miss ratio 0.0794, byte miss ratio 0.0794
result/io_traces.ns193.oracleGeneral.zst LHD cache size   299718, 34400000 req, miss ratio 0.0607, byte miss ratio 0.0607
result/io_traces.ns193.oracleGeneral.zst LHD cache size   599436, 34400000 req, miss ratio 0.0506, byte miss ratio 0.0506
result/io_traces.ns193.oracleGeneral.zst LHD cache size  1198873, 34400000 req, miss ratio 0.0445, byte miss ratio 0.0445
result/io_traces.ns193.oracleGeneral.zst S3FIFO-d-1 cache size     1498, 34400000 req, miss ratio 0.1964, byte miss ratio 0.1964
result/io_traces.ns193.oracleGeneral.zst S3FIFO-d-1 cache size     4495, 34400000 req, miss ratio 0.1951, byte miss ratio 0.1951
result/io_traces.ns193.oracleGeneral.zst S3FIFO-d-1 cache size    14985, 34400000 req, miss ratio 0.1873, byte miss ratio 0.1873
result/io_traces.ns193.oracleGeneral.zst S3FIFO-d-1 cache size    44957, 34400000 req, miss ratio 0.1507, byte miss ratio 0.1507
result/io_traces.ns193.oracleGeneral.zst S3FIFO-d-1 cache size   149859, 34400000 req, miss ratio 0.0844, byte miss ratio 0.0844
result/io_traces.ns193.oracleGeneral.zst S3FIFO-d-1 cache size   299718, 34400000 req, miss ratio 0.0623, byte miss ratio 0.0623
result/io_traces.ns193.oracleGeneral.zst S3FIFO-d-1 cache size   599436, 34400000 req, miss ratio 0.0537, byte miss ratio 0.0537
