result/tencentBlock.ns22218.oracleGeneral.zst Clock cache size      193, 1601774 req, miss ratio 0.5846, byte miss ratio 0.5846
result/tencentBlock.ns22218.oracleGeneral.zst Clock cache size      579, 1601774 req, miss ratio 0.5695, byte miss ratio 0.5695
result/tencentBlock.ns22218.oracleGeneral.zst Clock cache size     1931, 1601774 req, miss ratio 0.5628, byte miss ratio 0.5628
result/tencentBlock.ns22218.oracleGeneral.zst Clock cache size     5793, 1601774 req, miss ratio 0.5600, byte miss ratio 0.5600
result/tencentBlock.ns22218.oracleGeneral.zst Clock cache size    19310, 1601774 req, miss ratio 0.5453, byte miss ratio 0.5453
result/tencentBlock.ns22218.oracleGeneral.zst Clock cache size    38620, 1601774 req, miss ratio 0.5021, byte miss ratio 0.5021
result/tencentBlock.ns22218.oracleGeneral.zst Clock cache size    77240, 1601774 req, miss ratio 0.4417, byte miss ratio 0.4417
result/tencentBlock.ns22218.oracleGeneral.zst Clock cache size   154480, 1601774 req, miss ratio 0.1451, byte miss ratio 0.1451
result/tencentBlock.ns22218.oracleGeneral.zst LHD cache size      193, 1601774 req, miss ratio 0.5836, byte miss ratio 0.5836
result/tencentBlock.ns22218.oracleGeneral.zst LHD cache size      579, 1601774 req, miss ratio 0.5697, byte miss ratio 0.5697
result/tencentBlock.ns22218.oracleGeneral.zst LHD cache size     1931, 1601774 req, miss ratio 0.5621, byte miss ratio 0.5621
result/tencentBlock.ns22218.oracleGeneral.zst LHD cache size     5793, 1601774 req, miss ratio 0.5597, byte miss ratio 0.5597
result/tencentBlock.ns22218.oracleGeneral.zst LHD cache size    19310, 1601774 req, miss ratio 0.5307, byte miss ratio 0.5307
result/tencentBlock.ns22218.oracleGeneral.zst LHD cache size    38620, 1601774 req, miss ratio 0.4803, byte miss ratio 0.4803
result/tencentBlock.ns22218.oracleGeneral.zst LHD cache size    77240, 1601774 req, miss ratio 0.3654, byte miss ratio 0.3654
result/tencentBlock.ns22218.oracleGeneral.zst LHD cache size   154480, 1601774 req, miss ratio 0.1376, byte miss ratio 0.1376
result/tencentBlock.ns22218.oracleGeneral.zst Cacheus cache size      193, 1601774 req, miss ratio 0.5726, byte miss ratio 0.5726
result/tencentBlock.ns22218.oracleGeneral.zst Cacheus cache size      579, 1601774 req, miss ratio 0.5646, byte miss ratio 0.5646
result/tencentBlock.ns22218.oracleGeneral.zst Cacheus cache size     1931, 1601774 req, miss ratio 0.5602, byte miss ratio 0.5602
result/tencentBlock.ns22218.oracleGeneral.zst Cacheus cache size     5793, 1601774 req, miss ratio 0.5592, byte miss ratio 0.5592
result/tencentBlock.ns22218.oracleGeneral.zst Cacheus cache size    19310, 1601774 req, miss ratio 0.5311, byte miss ratio 0.5311
result/tencentBlock.ns22218.oracleGeneral.zst Cacheus cache size    38620, 1601774 req, miss ratio 0.4862, byte miss ratio 0.4862
result/tencentBlock.ns22218.oracleGeneral.zst Cacheus cache size    77240, 1601774 req, miss ratio 0.3836, byte miss ratio 0.3836
result/tencentBlock.ns22218.oracleGeneral.zst Cacheus cache size   154480, 1601774 req, miss ratio 0.1402, byte miss ratio 0.1402
result/tencentBlock.ns22218.oracleGeneral.zst LRU cache size      193, 1601774 req, miss ratio 0.5872, byte miss ratio 0.5872
result/tencentBlock.ns22218.oracleGeneral.zst LRU cache size      579, 1601774 req, miss ratio 0.5701, byte miss ratio 0.5701
result/tencentBlock.ns22218.oracleGeneral.zst LRU cache size     1931, 1601774 req, miss ratio 0.5632, byte miss ratio 0.5632
result/tencentBlock.ns22218.oracleGeneral.zst LRU cache size     5793, 1601774 req, miss ratio 0.5602, byte miss ratio 0.5602
result/tencentBlock.ns22218.oracleGeneral.zst LRU cache size    19310, 1601774 req, miss ratio 0.5351, byte miss ratio 0.5351
result/tencentBlock.ns22218.oracleGeneral.zst LRU cache size    38620, 1601774 req, miss ratio 0.4990, byte miss ratio 0.4990
result/tencentBlock.ns22218.oracleGeneral.zst LRU cache size    77240, 1601774 req, miss ratio 0.4173, byte miss ratio 0.4173
result/tencentBlock.ns22218.oracleGeneral.zst LRU cache size   154480, 1601774 req, miss ratio 0.1371, byte miss ratio 0.1371
result/tencentBlock.ns22218.oracleGeneral.zst ARC cache size      193, 1601774 req, miss ratio 0.5727, byte miss ratio 0.5727
result/tencentBlock.ns22218.oracleGeneral.zst ARC cache size      579, 1601774 req, miss ratio 0.5641, byte miss ratio 0.5641
result/tencentBlock.ns22218.oracleGeneral.zst ARC cache size     1931, 1601774 req, miss ratio 0.5602, byte miss ratio 0.5602
result/tencentBlock.ns22218.oracleGeneral.zst ARC cache size     5793, 1601774 req, miss ratio 0.5594, byte miss ratio 0.5594
result/tencentBlock.ns22218.oracleGeneral.zst ARC cache size    19310, 1601774 req, miss ratio 0.5280, byte miss ratio 0.5280
result/tencentBlock.ns22218.oracleGeneral.zst ARC cache size    38620, 1601774 req, miss ratio 0.4706, byte miss ratio 0.4706
result/tencentBlock.ns22218.oracleGeneral.zst ARC cache size    77240, 1601774 req, miss ratio 0.4140, byte miss ratio 0.4140
result/tencentBlock.ns22218.oracleGeneral.zst ARC cache size   154480, 1601774 req, miss ratio 0.1392, byte miss ratio 0.1392
result/tencentBlock.ns22218.oracleGeneral.zst LeCaR cache size      193, 1601774 req, miss ratio 0.5816, byte miss ratio 0.5816
result/tencentBlock.ns22218.oracleGeneral.zst LeCaR cache size      579, 1601774 req, miss ratio 0.5686, byte miss ratio 0.5686
result/tencentBlock.ns22218.oracleGeneral.zst LeCaR cache size     1931, 1601774 req, miss ratio 0.5622, byte miss ratio 0.5622
result/tencentBlock.ns22218.oracleGeneral.zst LeCaR cache size     5793, 1601774 req, miss ratio 0.5598, byte miss ratio 0.5598
result/tencentBlock.ns22218.oracleGeneral.zst LeCaR cache size    19310, 1601774 req, miss ratio 0.5327, byte miss ratio 0.5327
result/tencentBlock.ns22218.oracleGeneral.zst LeCaR cache size    38620, 1601774 req, miss ratio 0.4956, byte miss ratio 0.4956
result/tencentBlock.ns22218.oracleGeneral.zst LeCaR cache size    77240, 1601774 req, miss ratio 0.4081, byte miss ratio 0.4081
result/tencentBlock.ns22218.oracleGeneral.zst LeCaR cache size   154480, 1601774 req, miss ratio 0.1407, byte miss ratio 0.1407
result/tencentBlock.ns22218.oracleGeneral.zst LIRS cache size      193, 1601774 req, miss ratio 0.6423, byte miss ratio 0.6423
result/tencentBlock.ns22218.oracleGeneral.zst LIRS cache size      579, 1601774 req, miss ratio 0.6097, byte miss ratio 0.6097
result/tencentBlock.ns22218.oracleGeneral.zst LIRS cache size     1931, 1601774 req, miss ratio 0.5649, byte miss ratio 0.5649
result/tencentBlock.ns22218.oracleGeneral.zst LIRS cache size     5793, 1601774 req, miss ratio 0.5586, byte miss ratio 0.5586
