result/tencentBlock.ns4900.oracleGeneral.zst LHD cache size      338, 3351565 req, miss ratio 0.4916, byte miss ratio 0.4916
result/tencentBlock.ns4900.oracleGeneral.zst LHD cache size     1016, 3351565 req, miss ratio 0.4199, byte miss ratio 0.4199
result/tencentBlock.ns4900.oracleGeneral.zst LHD cache size     3388, 3351565 req, miss ratio 0.3134, byte miss ratio 0.3134
result/tencentBlock.ns4900.oracleGeneral.zst LHD cache size    10164, 3351565 req, miss ratio 0.2803, byte miss ratio 0.2803
result/tencentBlock.ns4900.oracleGeneral.zst LHD cache size    33880, 3351565 req, miss ratio 0.2255, byte miss ratio 0.2255
result/tencentBlock.ns4900.oracleGeneral.zst LHD cache size    67760, 3351565 req, miss ratio 0.1730, byte miss ratio 0.1730
result/tencentBlock.ns4900.oracleGeneral.zst LHD cache size   135521, 3351565 req, miss ratio 0.1141, byte miss ratio 0.1141
result/tencentBlock.ns4900.oracleGeneral.zst LHD cache size   271042, 3351565 req, miss ratio 0.1020, byte miss ratio 0.1020
result/tencentBlock.ns4900.oracleGeneral.zst Cacheus cache size      338, 3351565 req, miss ratio 0.4809, byte miss ratio 0.4809
result/tencentBlock.ns4900.oracleGeneral.zst Cacheus cache size     1016, 3351565 req, miss ratio 0.4135, byte miss ratio 0.4135
result/tencentBlock.ns4900.oracleGeneral.zst Cacheus cache size     3388, 3351565 req, miss ratio 0.3067, byte miss ratio 0.3067
result/tencentBlock.ns4900.oracleGeneral.zst Cacheus cache size    10164, 3351565 req, miss ratio 0.2894, byte miss ratio 0.2894
result/tencentBlock.ns4900.oracleGeneral.zst Cacheus cache size    33880, 3351565 req, miss ratio 0.2287, byte miss ratio 0.2287
result/tencentBlock.ns4900.oracleGeneral.zst Cacheus cache size    67760, 3351565 req, miss ratio 0.1877, byte miss ratio 0.1877
result/tencentBlock.ns4900.oracleGeneral.zst Cacheus cache size   135521, 3351565 req, miss ratio 0.1156, byte miss ratio 0.1156
result/tencentBlock.ns4900.oracleGeneral.zst Cacheus cache size   271042, 3351565 req, miss ratio 0.1018, byte miss ratio 0.1018
result/tencentBlock.ns4900.oracleGeneral.zst LIRS cache size      338, 3351565 req, miss ratio 0.5165, byte miss ratio 0.5165
result/tencentBlock.ns4900.oracleGeneral.zst LIRS cache size     1016, 3351565 req, miss ratio 0.4049, byte miss ratio 0.4049
result/tencentBlock.ns4900.oracleGeneral.zst LIRS cache size     3388, 3351565 req, miss ratio 0.3120, byte miss ratio 0.3120
result/tencentBlock.ns4900.oracleGeneral.zst LIRS cache size    10164, 3351565 req, miss ratio 0.2823, byte miss ratio 0.2823
result/tencentBlock.ns4900.oracleGeneral.zst LIRS cache size    33880, 3351565 req, miss ratio 0.2295, byte miss ratio 0.2295
result/tencentBlock.ns4900.oracleGeneral.zst LIRS cache size    67760, 3351565 req, miss ratio 0.1845, byte miss ratio 0.1845
result/tencentBlock.ns4900.oracleGeneral.zst LIRS cache size   135521, 3351565 req, miss ratio 0.1240, byte miss ratio 0.1240
result/tencentBlock.ns4900.oracleGeneral.zst LIRS cache size   271042, 3351565 req, miss ratio 0.1046, byte miss ratio 0.1046
result/tencentBlock.ns4900.oracleGeneral.zst ARC cache size      338, 3351565 req, miss ratio 0.4774, byte miss ratio 0.4774
result/tencentBlock.ns4900.oracleGeneral.zst ARC cache size     1016, 3351565 req, miss ratio 0.3976, byte miss ratio 0.3976
result/tencentBlock.ns4900.oracleGeneral.zst ARC cache size     3388, 3351565 req, miss ratio 0.3024, byte miss ratio 0.3024
result/tencentBlock.ns4900.oracleGeneral.zst ARC cache size    10164, 3351565 req, miss ratio 0.2838, byte miss ratio 0.2838
result/tencentBlock.ns4900.oracleGeneral.zst ARC cache size    33880, 3351565 req, miss ratio 0.2292, byte miss ratio 0.2292
result/tencentBlock.ns4900.oracleGeneral.zst ARC cache size    67760, 3351565 req, miss ratio 0.1831, byte miss ratio 0.1831
result/tencentBlock.ns4900.oracleGeneral.zst ARC cache size   135521, 3351565 req, miss ratio 0.1165, byte miss ratio 0.1165
result/tencentBlock.ns4900.oracleGeneral.zst ARC cache size   271042, 3351565 req, miss ratio 0.1016, byte miss ratio 0.1016
result/tencentBlock.ns4900.oracleGeneral.zst FIFO cache size      338, 3351565 req, miss ratio 0.5971, byte miss ratio 0.5971
result/tencentBlock.ns4900.oracleGeneral.zst FIFO cache size     1016, 3351565 req, miss ratio 0.4686, byte miss ratio 0.4686
result/tencentBlock.ns4900.oracleGeneral.zst FIFO cache size     3388, 3351565 req, miss ratio 0.3703, byte miss ratio 0.3703
result/tencentBlock.ns4900.oracleGeneral.zst FIFO cache size    10164, 3351565 req, miss ratio 0.3158, byte miss ratio 0.3158
result/tencentBlock.ns4900.oracleGeneral.zst FIFO cache size    33880, 3351565 req, miss ratio 0.2489, byte miss ratio 0.2489
result/tencentBlock.ns4900.oracleGeneral.zst FIFO cache size    67760, 3351565 req, miss ratio 0.1858, byte miss ratio 0.1858
result/tencentBlock.ns4900.oracleGeneral.zst FIFO cache size   135521, 3351565 req, miss ratio 0.1372, byte miss ratio 0.1372
result/tencentBlock.ns4900.oracleGeneral.zst FIFO cache size   271042, 3351565 req, miss ratio 0.1105, byte miss ratio 0.1105
result/tencentBlock.ns4900.oracleGeneral.zst LeCaR cache size      338, 3351565 req, miss ratio 0.4901, byte miss ratio 0.4901
result/tencentBlock.ns4900.oracleGeneral.zst LeCaR cache size     1016, 3351565 req, miss ratio 0.4245, byte miss ratio 0.4245
result/tencentBlock.ns4900.oracleGeneral.zst LeCaR cache size     3388, 3351565 req, miss ratio 0.3105, byte miss ratio 0.3105
