result/io_traces.ns281.oracleGeneral.zst FIFO cache size     5779, 3400000 req, miss ratio 0.4719, byte miss ratio 0.4719
result/io_traces.ns281.oracleGeneral.zst FIFO cache size    19265, 3400000 req, miss ratio 0.3334, byte miss ratio 0.3334
result/io_traces.ns281.oracleGeneral.zst FIFO cache size    38531, 3400000 req, miss ratio 0.1775, byte miss ratio 0.1775
result/io_traces.ns281.oracleGeneral.zst FIFO cache size    77062, 3400000 req, miss ratio 0.0870, byte miss ratio 0.0870
result/io_traces.ns281.oracleGeneral.zst FIFO cache size   154124, 3400000 req, miss ratio 0.0668, byte miss ratio 0.0668
result/io_traces.ns281.oracleGeneral.zst LIRS cache size      192, 3400000 req, miss ratio 0.5059, byte miss ratio 0.5059
result/io_traces.ns281.oracleGeneral.zst LIRS cache size      577, 3400000 req, miss ratio 0.4914, byte miss ratio 0.4914
result/io_traces.ns281.oracleGeneral.zst LIRS cache size     1926, 3400000 req, miss ratio 0.4596, byte miss ratio 0.4596
result/io_traces.ns281.oracleGeneral.zst LIRS cache size     5779, 3400000 req, miss ratio 0.4235, byte miss ratio 0.4235
result/io_traces.ns281.oracleGeneral.zst LIRS cache size    19265, 3400000 req, miss ratio 0.2636, byte miss ratio 0.2636
result/io_traces.ns281.oracleGeneral.zst LIRS cache size    38531, 3400000 req, miss ratio 0.0751, byte miss ratio 0.0751
result/io_traces.ns281.oracleGeneral.zst LIRS cache size    77062, 3400000 req, miss ratio 0.0584, byte miss ratio 0.0584
result/io_traces.ns281.oracleGeneral.zst LIRS cache size   154124, 3400000 req, miss ratio 0.0571, byte miss ratio 0.0571
result/io_traces.ns281.oracleGeneral.zst S3FIFO-1 cache size      192, 3400000 req, miss ratio 0.5058, byte miss ratio 0.5058
result/io_traces.ns281.oracleGeneral.zst S3FIFO-1 cache size      577, 3400000 req, miss ratio 0.4831, byte miss ratio 0.4831
result/io_traces.ns281.oracleGeneral.zst S3FIFO-1 cache size     1926, 3400000 req, miss ratio 0.4511, byte miss ratio 0.4511
result/io_traces.ns281.oracleGeneral.zst S3FIFO-1 cache size     5779, 3400000 req, miss ratio 0.4356, byte miss ratio 0.4356
result/io_traces.ns281.oracleGeneral.zst S3FIFO-1 cache size    19265, 3400000 req, miss ratio 0.2882, byte miss ratio 0.2882
result/io_traces.ns281.oracleGeneral.zst S3FIFO-1 cache size    38531, 3400000 req, miss ratio 0.0791, byte miss ratio 0.0791
result/io_traces.ns281.oracleGeneral.zst S3FIFO-1 cache size    77062, 3400000 req, miss ratio 0.0576, byte miss ratio 0.0576
result/io_traces.ns281.oracleGeneral.zst S3FIFO-1 cache size   154124, 3400000 req, miss ratio 0.0567, byte miss ratio 0.0567
result/io_traces.ns281.oracleGeneral.zst Clock cache size      192, 3400000 req, miss ratio 0.5711, byte miss ratio 0.5711
result/io_traces.ns281.oracleGeneral.zst Clock cache size      577, 3400000 req, miss ratio 0.4937, byte miss ratio 0.4937
result/io_traces.ns281.oracleGeneral.zst Clock cache size     1926, 3400000 req, miss ratio 0.4777, byte miss ratio 0.4777
result/io_traces.ns281.oracleGeneral.zst Clock cache size     5779, 3400000 req, miss ratio 0.4565, byte miss ratio 0.4565
result/io_traces.ns281.oracleGeneral.zst Clock cache size    19265, 3400000 req, miss ratio 0.2762, byte miss ratio 0.2762
result/io_traces.ns281.oracleGeneral.zst Clock cache size    38531, 3400000 req, miss ratio 0.1065, byte miss ratio 0.1065
result/io_traces.ns281.oracleGeneral.zst Clock cache size    77062, 3400000 req, miss ratio 0.0575, byte miss ratio 0.0575
result/io_traces.ns281.oracleGeneral.zst Clock cache size   154124, 3400000 req, miss ratio 0.0567, byte miss ratio 0.0567
result/io_traces.ns281.oracleGeneral.zst S3FIFO-d-1 cache size      192, 3400000 req, miss ratio 0.5025, byte miss ratio 0.5025
result/io_traces.ns281.oracleGeneral.zst S3FIFO-d-1 cache size      577, 3400000 req, miss ratio 0.4821, byte miss ratio 0.4821
result/io_traces.ns281.oracleGeneral.zst S3FIFO-d-1 cache size     1926, 3400000 req, miss ratio 0.4487, byte miss ratio 0.4487
result/io_traces.ns281.oracleGeneral.zst S3FIFO-d-1 cache size     5779, 3400000 req, miss ratio 0.4356, byte miss ratio 0.4356
result/io_traces.ns281.oracleGeneral.zst S3FIFO-d-1 cache size    19265, 3400000 req, miss ratio 0.2818, byte miss ratio 0.2818
result/io_traces.ns281.oracleGeneral.zst S3FIFO-d-1 cache size    38531, 3400000 req, miss ratio 0.0785, byte miss ratio 0.0785
result/io_traces.ns281.oracleGeneral.zst S3FIFO-d-1 cache size    77062, 3400000 req, miss ratio 0.0576, byte miss ratio 0.0576
result/io_traces.ns281.oracleGeneral.zst S3FIFO-d-1 cache size   154124, 3400000 req, miss ratio 0.0567, byte miss ratio 0.0567
result/io_traces.ns281.oracleGeneral.zst LRB cache size      192, 3400000 req, miss ratio 0.4991, byte miss ratio 0.4991
result/io_traces.ns281.oracleGeneral.zst LRB cache size      577, 3400000 req, miss ratio 0.4711, byte miss ratio 0.4711
result/io_traces.ns281.oracleGeneral.zst LRB cache size     1926, 3400000 req, miss ratio 0.4414, byte miss ratio 0.4414
result/io_traces.ns281.oracleGeneral.zst LRB cache size     5779, 3400000 req, miss ratio 0.3988, byte miss ratio 0.3988
result/io_traces.ns281.oracleGeneral.zst LRB cache size    19265, 3400000 req, miss ratio 0.2442, byte miss ratio 0.2442
result/io_traces.ns281.oracleGeneral.zst LRB cache size    38531, 3400000 req, miss ratio 0.0692, byte miss ratio 0.0692
result/io_traces.ns281.oracleGeneral.zst LRB cache size    77062, 3400000 req, miss ratio 0.0589, byte miss ratio 0.0589
result/io_traces.ns281.oracleGeneral.zst LRB cache size   154124, 3400000 req, miss ratio 0.0567, byte miss ratio 0.0567
result/io_traces.ns281.oracleGeneral.zst TwoQ cache size      192, 3400000 req, miss ratio 0.5019, byte miss ratio 0.5019
result/io_traces.ns281.oracleGeneral.zst TwoQ cache size      577, 3400000 req, miss ratio 0.4894, byte miss ratio 0.4894
result/io_traces.ns281.oracleGeneral.zst TwoQ cache size     1926, 3400000 req, miss ratio 0.4476, byte miss ratio 0.4476
result/io_traces.ns281.oracleGeneral.zst TwoQ cache size     5779, 3400000 req, miss ratio 0.4383, byte miss ratio 0.4383
result/io_traces.ns281.oracleGeneral.zst TwoQ cache size    19265, 3400000 req, miss ratio 0.3195, byte miss ratio 0.3195
result/io_traces.ns281.oracleGeneral.zst TwoQ cache size    38531, 3400000 req, miss ratio 0.1082, byte miss ratio 0.1082
result/io_traces.ns281.oracleGeneral.zst TwoQ cache size    77062, 3400000 req, miss ratio 0.0680, byte miss ratio 0.0680
result/io_traces.ns281.oracleGeneral.zst TwoQ cache size   154124, 3400000 req, miss ratio 0.0668, byte miss ratio 0.0668
result/io_traces.ns281.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      192, 3400000 req, miss ratio 0.5747, byte miss ratio 0.5747
result/io_traces.ns281.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      577, 3400000 req, miss ratio 0.5099, byte miss ratio 0.5099
result/io_traces.ns281.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1926, 3400000 req, miss ratio 0.4754, byte miss ratio 0.4754
result/io_traces.ns281.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5779, 3400000 req, miss ratio 0.4496, byte miss ratio 0.4496
result/io_traces.ns281.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    19265, 3400000 req, miss ratio 0.3366, byte miss ratio 0.3366
result/io_traces.ns281.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    38531, 3400000 req, miss ratio 0.1593, byte miss ratio 0.1593
result/io_traces.ns281.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    77062, 3400000 req, miss ratio 0.0723, byte miss ratio 0.0723
result/io_traces.ns281.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   154124, 3400000 req, miss ratio 0.0633, byte miss ratio 0.0633
result/io_traces.ns281.oracleGeneral.zst S4LRU(25:25:25:25) cache size      192, 3400000 req, miss ratio 0.5656, byte miss ratio 0.5656
result/io_traces.ns281.oracleGeneral.zst S4LRU(25:25:25:25) cache size      577, 3400000 req, miss ratio 0.4904, byte miss ratio 0.4904
result/io_traces.ns281.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1926, 3400000 req, miss ratio 0.4680, byte miss ratio 0.4680
result/io_traces.ns281.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5779, 3400000 req, miss ratio 0.4305, byte miss ratio 0.4305
result/io_traces.ns281.oracleGeneral.zst S4LRU(25:25:25:25) cache size    19265, 3400000 req, miss ratio 0.3298, byte miss ratio 0.3298
result/io_traces.ns281.oracleGeneral.zst S4LRU(25:25:25:25) cache size    38531, 3400000 req, miss ratio 0.0900, byte miss ratio 0.0900
result/io_traces.ns281.oracleGeneral.zst S4LRU(25:25:25:25) cache size    77062, 3400000 req, miss ratio 0.0575, byte miss ratio 0.0575
result/io_traces.ns281.oracleGeneral.zst S4LRU(25:25:25:25) cache size   154124, 3400000 req, miss ratio 0.0567, byte miss ratio 0.0567
result/io_traces.ns281.oracleGeneral.zst B-LRU cache size      192, 3400000 req, miss ratio 0.5813, byte miss ratio 0.5813
result/io_traces.ns281.oracleGeneral.zst B-LRU cache size      577, 3400000 req, miss ratio 0.5069, byte miss ratio 0.5069
result/io_traces.ns281.oracleGeneral.zst B-LRU cache size     1926, 3400000 req, miss ratio 0.4933, byte miss ratio 0.4933
result/io_traces.ns281.oracleGeneral.zst B-LRU cache size     5779, 3400000 req, miss ratio 0.4699, byte miss ratio 0.4699
result/io_traces.ns281.oracleGeneral.zst B-LRU cache size    19265, 3400000 req, miss ratio 0.2932, byte miss ratio 0.2932
result/io_traces.ns281.oracleGeneral.zst B-LRU cache size    38531, 3400000 req, miss ratio 0.0934, byte miss ratio 0.0934
result/io_traces.ns281.oracleGeneral.zst B-LRU cache size    77062, 3400000 req, miss ratio 0.0821, byte miss ratio 0.0821
result/io_traces.ns281.oracleGeneral.zst B-LRU cache size   154124, 3400000 req, miss ratio 0.0821, byte miss ratio 0.0821
result/io_traces.ns281.oracleGeneral.zst S3FIFO cache size      192, 3400000 req, miss ratio 0.5085, byte miss ratio 0.5085
result/io_traces.ns281.oracleGeneral.zst S3FIFO cache size      577, 3400000 req, miss ratio 0.4834, byte miss ratio 0.4834
result/io_traces.ns281.oracleGeneral.zst S3FIFO cache size     1926, 3400000 req, miss ratio 0.4490, byte miss ratio 0.4490
result/io_traces.ns281.oracleGeneral.zst S3FIFO cache size     5779, 3400000 req, miss ratio 0.4368, byte miss ratio 0.4368
result/io_traces.ns281.oracleGeneral.zst S3FIFO cache size    19265, 3400000 req, miss ratio 0.2856, byte miss ratio 0.2856
result/io_traces.ns281.oracleGeneral.zst S3FIFO cache size    38531, 3400000 req, miss ratio 0.0767, byte miss ratio 0.0767
result/io_traces.ns281.oracleGeneral.zst S3FIFO cache size    77062, 3400000 req, miss ratio 0.0576, byte miss ratio 0.0576
result/io_traces.ns281.oracleGeneral.zst S3FIFO cache size   154124, 3400000 req, miss ratio 0.0567, byte miss ratio 0.0567
result/io_traces.ns281.oracleGeneral.zst S3FIFO-d cache size      192, 3400000 req, miss ratio 0.5056, byte miss ratio 0.5056
result/io_traces.ns281.oracleGeneral.zst S3FIFO-d cache size      577, 3400000 req, miss ratio 0.4805, byte miss ratio 0.4805
result/io_traces.ns281.oracleGeneral.zst S3FIFO-d cache size     1926, 3400000 req, miss ratio 0.4457, byte miss ratio 0.4457
result/io_traces.ns281.oracleGeneral.zst S3FIFO-d cache size     5779, 3400000 req, miss ratio 0.4367, byte miss ratio 0.4367
result/io_traces.ns281.oracleGeneral.zst S3FIFO-d cache size    19265, 3400000 req, miss ratio 0.2818, byte miss ratio 0.2818
result/io_traces.ns281.oracleGeneral.zst S3FIFO-d cache size    38531, 3400000 req, miss ratio 0.0790, byte miss ratio 0.0790
result/io_traces.ns281.oracleGeneral.zst S3FIFO-d cache size    77062, 3400000 req, miss ratio 0.0576, byte miss ratio 0.0576
result/io_traces.ns281.oracleGeneral.zst S3FIFO-d cache size   154124, 3400000 req, miss ratio 0.0567, byte miss ratio 0.0567
result/io_traces.ns281.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      192, 3400000 req, miss ratio 0.5377, byte miss ratio 0.5377
result/io_traces.ns281.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      577, 3400000 req, miss ratio 0.5207, byte miss ratio 0.5207
result/io_traces.ns281.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1926, 3400000 req, miss ratio 0.4824, byte miss ratio 0.4824
result/io_traces.ns281.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5779, 3400000 req, miss ratio 0.4063, byte miss ratio 0.4063
result/io_traces.ns281.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    19265, 3400000 req, miss ratio 0.2483, byte miss ratio 0.2483
result/io_traces.ns281.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    38531, 3400000 req, miss ratio 0.0673, byte miss ratio 0.0673
result/io_traces.ns281.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    77062, 3400000 req, miss ratio 0.0602, byte miss ratio 0.0602
result/io_traces.ns281.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   154124, 3400000 req, miss ratio 0.0584, byte miss ratio 0.0584
result/io_traces.ns281.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      192, 3400000 req, miss ratio 0.5258, byte miss ratio 0.5258
result/io_traces.ns281.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      577, 3400000 req, miss ratio 0.4881, byte miss ratio 0.4881
result/io_traces.ns281.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1926, 3400000 req, miss ratio 0.4598, byte miss ratio 0.4598
result/io_traces.ns281.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5779, 3400000 req, miss ratio 0.4021, byte miss ratio 0.4021
result/io_traces.ns281.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    19265, 3400000 req, miss ratio 0.2593, byte miss ratio 0.2593
result/io_traces.ns281.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    38531, 3400000 req, miss ratio 0.0764, byte miss ratio 0.0764
result/io_traces.ns281.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    77062, 3400000 req, miss ratio 0.0626, byte miss ratio 0.0626
result/io_traces.ns281.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   154124, 3400000 req, miss ratio 0.0634, byte miss ratio 0.0634
