result/cdn2_allcolo.ns2923.oracleGeneral.zst FIFO cache size      621, 1055551 req, miss ratio 0.0176, byte miss ratio 0.0176
result/cdn2_allcolo.ns2923.oracleGeneral.zst FIFO cache size     1242, 1055551 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns2923.oracleGeneral.zst LHD cache size       15, 1055551 req, miss ratio 0.6336, byte miss ratio 0.6336
result/cdn2_allcolo.ns2923.oracleGeneral.zst LHD cache size       46, 1055551 req, miss ratio 0.4834, byte miss ratio 0.4834
result/cdn2_allcolo.ns2923.oracleGeneral.zst LHD cache size      155, 1055551 req, miss ratio 0.1968, byte miss ratio 0.1968
result/cdn2_allcolo.ns2923.oracleGeneral.zst LHD cache size      310, 1055551 req, miss ratio 0.0510, byte miss ratio 0.0510
result/cdn2_allcolo.ns2923.oracleGeneral.zst LHD cache size      621, 1055551 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_allcolo.ns2923.oracleGeneral.zst LHD cache size     1242, 1055551 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns2923.oracleGeneral.zst LeCaR cache size       15, 1055551 req, miss ratio 0.6559, byte miss ratio 0.6559
result/cdn2_allcolo.ns2923.oracleGeneral.zst LeCaR cache size       46, 1055551 req, miss ratio 0.5365, byte miss ratio 0.5365
result/cdn2_allcolo.ns2923.oracleGeneral.zst LeCaR cache size      155, 1055551 req, miss ratio 0.2241, byte miss ratio 0.2241
result/cdn2_allcolo.ns2923.oracleGeneral.zst LeCaR cache size      310, 1055551 req, miss ratio 0.0393, byte miss ratio 0.0393
result/cdn2_allcolo.ns2923.oracleGeneral.zst LeCaR cache size      621, 1055551 req, miss ratio 0.0070, byte miss ratio 0.0070
result/cdn2_allcolo.ns2923.oracleGeneral.zst LeCaR cache size     1242, 1055551 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-d-1 cache size       15, 1055551 req, miss ratio 0.6219, byte miss ratio 0.6219
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-d-1 cache size       46, 1055551 req, miss ratio 0.4849, byte miss ratio 0.4849
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-d-1 cache size      155, 1055551 req, miss ratio 0.1994, byte miss ratio 0.1994
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-d-1 cache size      310, 1055551 req, miss ratio 0.0393, byte miss ratio 0.0393
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-d-1 cache size      621, 1055551 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-d-1 cache size     1242, 1055551 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns2923.oracleGeneral.zst LRB cache size       15, 1055551 req, miss ratio 0.6159, byte miss ratio 0.6159
result/cdn2_allcolo.ns2923.oracleGeneral.zst LRB cache size       46, 1055551 req, miss ratio 0.4501, byte miss ratio 0.4501
result/cdn2_allcolo.ns2923.oracleGeneral.zst LRB cache size      155, 1055551 req, miss ratio 0.1727, byte miss ratio 0.1727
result/cdn2_allcolo.ns2923.oracleGeneral.zst LRB cache size      310, 1055551 req, miss ratio 0.0312, byte miss ratio 0.0312
result/cdn2_allcolo.ns2923.oracleGeneral.zst LRB cache size      621, 1055551 req, miss ratio 0.0064, byte miss ratio 0.0064
result/cdn2_allcolo.ns2923.oracleGeneral.zst LRB cache size     1242, 1055551 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns2923.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       15, 1055551 req, miss ratio 0.6807, byte miss ratio 0.6807
result/cdn2_allcolo.ns2923.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       46, 1055551 req, miss ratio 0.5584, byte miss ratio 0.5584
result/cdn2_allcolo.ns2923.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      155, 1055551 req, miss ratio 0.2497, byte miss ratio 0.2497
result/cdn2_allcolo.ns2923.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      310, 1055551 req, miss ratio 0.0637, byte miss ratio 0.0637
result/cdn2_allcolo.ns2923.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      621, 1055551 req, miss ratio 0.0101, byte miss ratio 0.0101
result/cdn2_allcolo.ns2923.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1242, 1055551 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns2923.oracleGeneral.zst B-LRU cache size       15, 1055551 req, miss ratio 0.6616, byte miss ratio 0.6616
result/cdn2_allcolo.ns2923.oracleGeneral.zst B-LRU cache size       46, 1055551 req, miss ratio 0.5419, byte miss ratio 0.5419
result/cdn2_allcolo.ns2923.oracleGeneral.zst B-LRU cache size      155, 1055551 req, miss ratio 0.2438, byte miss ratio 0.2438
result/cdn2_allcolo.ns2923.oracleGeneral.zst B-LRU cache size      310, 1055551 req, miss ratio 0.0507, byte miss ratio 0.0507
result/cdn2_allcolo.ns2923.oracleGeneral.zst B-LRU cache size      621, 1055551 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_allcolo.ns2923.oracleGeneral.zst B-LRU cache size     1242, 1055551 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns2923.oracleGeneral.zst S4LRU(25:25:25:25) cache size       15, 1055551 req, miss ratio 0.6315, byte miss ratio 0.6315
result/cdn2_allcolo.ns2923.oracleGeneral.zst S4LRU(25:25:25:25) cache size       46, 1055551 req, miss ratio 0.4849, byte miss ratio 0.4849
