result/cdn1_lax.ns194.oracleGeneral.bin.zst LIRS cache size    46479, 4153796 req, miss ratio 0.0399, byte miss ratio 0.0399
result/cdn1_lax.ns194.oracleGeneral.bin.zst LIRS cache size    92958, 4153796 req, miss ratio 0.0292, byte miss ratio 0.0292
result/cdn1_lax.ns194.oracleGeneral.bin.zst Clock cache size      116, 4153796 req, miss ratio 0.6125, byte miss ratio 0.6125
result/cdn1_lax.ns194.oracleGeneral.bin.zst Clock cache size      348, 4153796 req, miss ratio 0.5540, byte miss ratio 0.5540
result/cdn1_lax.ns194.oracleGeneral.bin.zst Clock cache size     1161, 4153796 req, miss ratio 0.4540, byte miss ratio 0.4540
result/cdn1_lax.ns194.oracleGeneral.bin.zst Clock cache size     3485, 4153796 req, miss ratio 0.3257, byte miss ratio 0.3257
result/cdn1_lax.ns194.oracleGeneral.bin.zst Clock cache size    11619, 4153796 req, miss ratio 0.1641, byte miss ratio 0.1641
result/cdn1_lax.ns194.oracleGeneral.bin.zst Clock cache size    23239, 4153796 req, miss ratio 0.0854, byte miss ratio 0.0854
result/cdn1_lax.ns194.oracleGeneral.bin.zst Clock cache size    46479, 4153796 req, miss ratio 0.0409, byte miss ratio 0.0409
result/cdn1_lax.ns194.oracleGeneral.bin.zst Clock cache size    92958, 4153796 req, miss ratio 0.0284, byte miss ratio 0.0284
result/cdn1_lax.ns194.oracleGeneral.bin.zst Cacheus cache size      116, 4153796 req, miss ratio 0.5909, byte miss ratio 0.5909
result/cdn1_lax.ns194.oracleGeneral.bin.zst Cacheus cache size      348, 4153796 req, miss ratio 0.5287, byte miss ratio 0.5287
result/cdn1_lax.ns194.oracleGeneral.bin.zst Cacheus cache size     1161, 4153796 req, miss ratio 0.4307, byte miss ratio 0.4307
result/cdn1_lax.ns194.oracleGeneral.bin.zst Cacheus cache size     3485, 4153796 req, miss ratio 0.3099, byte miss ratio 0.3099
result/cdn1_lax.ns194.oracleGeneral.bin.zst Cacheus cache size    11619, 4153796 req, miss ratio 0.1591, byte miss ratio 0.1591
result/cdn1_lax.ns194.oracleGeneral.bin.zst Cacheus cache size    23239, 4153796 req, miss ratio 0.0842, byte miss ratio 0.0842
result/cdn1_lax.ns194.oracleGeneral.bin.zst Cacheus cache size    46479, 4153796 req, miss ratio 0.0409, byte miss ratio 0.0409
result/cdn1_lax.ns194.oracleGeneral.bin.zst Cacheus cache size    92958, 4153796 req, miss ratio 0.0285, byte miss ratio 0.0285
result/cdn1_lax.ns194.oracleGeneral.bin.zst LeCaR cache size      116, 4153796 req, miss ratio 0.6094, byte miss ratio 0.6094
result/cdn1_lax.ns194.oracleGeneral.bin.zst LeCaR cache size      348, 4153796 req, miss ratio 0.5540, byte miss ratio 0.5540
result/cdn1_lax.ns194.oracleGeneral.bin.zst LeCaR cache size     1161, 4153796 req, miss ratio 0.4547, byte miss ratio 0.4547
result/cdn1_lax.ns194.oracleGeneral.bin.zst LeCaR cache size     3485, 4153796 req, miss ratio 0.3254, byte miss ratio 0.3254
result/cdn1_lax.ns194.oracleGeneral.bin.zst LeCaR cache size    11619, 4153796 req, miss ratio 0.1587, byte miss ratio 0.1587
result/cdn1_lax.ns194.oracleGeneral.bin.zst LeCaR cache size    23239, 4153796 req, miss ratio 0.0811, byte miss ratio 0.0811
result/cdn1_lax.ns194.oracleGeneral.bin.zst LeCaR cache size    46479, 4153796 req, miss ratio 0.0399, byte miss ratio 0.0399
result/cdn1_lax.ns194.oracleGeneral.bin.zst LeCaR cache size    92958, 4153796 req, miss ratio 0.0284, byte miss ratio 0.0284
result/cdn1_lax.ns194.oracleGeneral.bin.zst clock2 cache size      116, 4153796 req, miss ratio 0.6054, byte miss ratio 0.6054
result/cdn1_lax.ns194.oracleGeneral.bin.zst clock2 cache size      348, 4153796 req, miss ratio 0.5476, byte miss ratio 0.5476
result/cdn1_lax.ns194.oracleGeneral.bin.zst clock2 cache size     1161, 4153796 req, miss ratio 0.4435, byte miss ratio 0.4435
result/cdn1_lax.ns194.oracleGeneral.bin.zst clock2 cache size     3485, 4153796 req, miss ratio 0.3131, byte miss ratio 0.3131
result/cdn1_lax.ns194.oracleGeneral.bin.zst clock2 cache size    11619, 4153796 req, miss ratio 0.1540, byte miss ratio 0.1540
result/cdn1_lax.ns194.oracleGeneral.bin.zst clock2 cache size    23239, 4153796 req, miss ratio 0.0794, byte miss ratio 0.0794
result/cdn1_lax.ns194.oracleGeneral.bin.zst clock2 cache size    46479, 4153796 req, miss ratio 0.0394, byte miss ratio 0.0394
result/cdn1_lax.ns194.oracleGeneral.bin.zst clock2 cache size    92958, 4153796 req, miss ratio 0.0284, byte miss ratio 0.0284
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-d-1 cache size      116, 4153796 req, miss ratio 0.5707, byte miss ratio 0.5707
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-d-1 cache size      348, 4153796 req, miss ratio 0.4990, byte miss ratio 0.4990
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1161, 4153796 req, miss ratio 0.3962, byte miss ratio 0.3962
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-d-1 cache size     3485, 4153796 req, miss ratio 0.2796, byte miss ratio 0.2796
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-d-1 cache size    11619, 4153796 req, miss ratio 0.1419, byte miss ratio 0.1419
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-d-1 cache size    23239, 4153796 req, miss ratio 0.0752, byte miss ratio 0.0752
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-d-1 cache size    46479, 4153796 req, miss ratio 0.0387, byte miss ratio 0.0387
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-d-1 cache size    92958, 4153796 req, miss ratio 0.0284, byte miss ratio 0.0284
result/cdn1_lax.ns194.oracleGeneral.bin.zst LRB cache size      116, 4153796 req, miss ratio 0.5526, byte miss ratio 0.5526
result/cdn1_lax.ns194.oracleGeneral.bin.zst LRB cache size      348, 4153796 req, miss ratio 0.4785, byte miss ratio 0.4785
result/cdn1_lax.ns194.oracleGeneral.bin.zst LRB cache size     1161, 4153796 req, miss ratio 0.3743, byte miss ratio 0.3743
result/cdn1_lax.ns194.oracleGeneral.bin.zst LRB cache size     3485, 4153796 req, miss ratio 0.2602, byte miss ratio 0.2602
result/cdn1_lax.ns194.oracleGeneral.bin.zst LRB cache size    11619, 4153796 req, miss ratio 0.1320, byte miss ratio 0.1320
result/cdn1_lax.ns194.oracleGeneral.bin.zst LRB cache size    23239, 4153796 req, miss ratio 0.0764, byte miss ratio 0.0764
result/cdn1_lax.ns194.oracleGeneral.bin.zst LRB cache size    46479, 4153796 req, miss ratio 0.0427, byte miss ratio 0.0427
result/cdn1_lax.ns194.oracleGeneral.bin.zst LRB cache size    92958, 4153796 req, miss ratio 0.0285, byte miss ratio 0.0285
result/cdn1_lax.ns194.oracleGeneral.bin.zst TwoQ cache size      116, 4153796 req, miss ratio 0.5649, byte miss ratio 0.5649
result/cdn1_lax.ns194.oracleGeneral.bin.zst TwoQ cache size      348, 4153796 req, miss ratio 0.4984, byte miss ratio 0.4984
result/cdn1_lax.ns194.oracleGeneral.bin.zst TwoQ cache size     1161, 4153796 req, miss ratio 0.3996, byte miss ratio 0.3996
result/cdn1_lax.ns194.oracleGeneral.bin.zst TwoQ cache size     3485, 4153796 req, miss ratio 0.2859, byte miss ratio 0.2859
result/cdn1_lax.ns194.oracleGeneral.bin.zst TwoQ cache size    11619, 4153796 req, miss ratio 0.1504, byte miss ratio 0.1504
result/cdn1_lax.ns194.oracleGeneral.bin.zst TwoQ cache size    23239, 4153796 req, miss ratio 0.0847, byte miss ratio 0.0847
result/cdn1_lax.ns194.oracleGeneral.bin.zst TwoQ cache size    46479, 4153796 req, miss ratio 0.0466, byte miss ratio 0.0466
result/cdn1_lax.ns194.oracleGeneral.bin.zst TwoQ cache size    92958, 4153796 req, miss ratio 0.0337, byte miss ratio 0.0337
result/cdn1_lax.ns194.oracleGeneral.bin.zst B-LRU cache size      116, 4153796 req, miss ratio 0.6171, byte miss ratio 0.6171
result/cdn1_lax.ns194.oracleGeneral.bin.zst B-LRU cache size      348, 4153796 req, miss ratio 0.5565, byte miss ratio 0.5565
result/cdn1_lax.ns194.oracleGeneral.bin.zst B-LRU cache size     1161, 4153796 req, miss ratio 0.4566, byte miss ratio 0.4566
result/cdn1_lax.ns194.oracleGeneral.bin.zst B-LRU cache size     3485, 4153796 req, miss ratio 0.3264, byte miss ratio 0.3264
result/cdn1_lax.ns194.oracleGeneral.bin.zst B-LRU cache size    11619, 4153796 req, miss ratio 0.1626, byte miss ratio 0.1626
result/cdn1_lax.ns194.oracleGeneral.bin.zst B-LRU cache size    23239, 4153796 req, miss ratio 0.0853, byte miss ratio 0.0853
result/cdn1_lax.ns194.oracleGeneral.bin.zst B-LRU cache size    46479, 4153796 req, miss ratio 0.0487, byte miss ratio 0.0487
result/cdn1_lax.ns194.oracleGeneral.bin.zst B-LRU cache size    92958, 4153796 req, miss ratio 0.0453, byte miss ratio 0.0453
result/cdn1_lax.ns194.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      116, 4153796 req, miss ratio 0.5726, byte miss ratio 0.5726
result/cdn1_lax.ns194.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      348, 4153796 req, miss ratio 0.5065, byte miss ratio 0.5065
result/cdn1_lax.ns194.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1161, 4153796 req, miss ratio 0.4061, byte miss ratio 0.4061
result/cdn1_lax.ns194.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     3485, 4153796 req, miss ratio 0.2880, byte miss ratio 0.2880
result/cdn1_lax.ns194.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    11619, 4153796 req, miss ratio 0.1453, byte miss ratio 0.1453
result/cdn1_lax.ns194.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    23239, 4153796 req, miss ratio 0.0770, byte miss ratio 0.0770
