result/cdn2_allcolo.ns579.oracleGeneral.zst FIFO cache size   395377, 1917229 req, miss ratio 0.2611, byte miss ratio 0.2611
result/cdn2_allcolo.ns579.oracleGeneral.zst Cacheus cache size      494, 1917229 req, miss ratio 0.4308, byte miss ratio 0.4308
result/cdn2_allcolo.ns579.oracleGeneral.zst Cacheus cache size     1482, 1917229 req, miss ratio 0.3724, byte miss ratio 0.3724
result/cdn2_allcolo.ns579.oracleGeneral.zst Cacheus cache size     4942, 1917229 req, miss ratio 0.3296, byte miss ratio 0.3296
result/cdn2_allcolo.ns579.oracleGeneral.zst Cacheus cache size    14826, 1917229 req, miss ratio 0.2992, byte miss ratio 0.2992
result/cdn2_allcolo.ns579.oracleGeneral.zst Cacheus cache size    49422, 1917229 req, miss ratio 0.2757, byte miss ratio 0.2757
result/cdn2_allcolo.ns579.oracleGeneral.zst Cacheus cache size    98844, 1917229 req, miss ratio 0.2678, byte miss ratio 0.2678
result/cdn2_allcolo.ns579.oracleGeneral.zst Cacheus cache size   197688, 1917229 req, miss ratio 0.2625, byte miss ratio 0.2625
result/cdn2_allcolo.ns579.oracleGeneral.zst Cacheus cache size   395377, 1917229 req, miss ratio 0.2595, byte miss ratio 0.2595
result/cdn2_allcolo.ns579.oracleGeneral.zst LHD cache size      494, 1917229 req, miss ratio 0.4491, byte miss ratio 0.4491
result/cdn2_allcolo.ns579.oracleGeneral.zst LHD cache size     1482, 1917229 req, miss ratio 0.3794, byte miss ratio 0.3794
result/cdn2_allcolo.ns579.oracleGeneral.zst LHD cache size     4942, 1917229 req, miss ratio 0.3363, byte miss ratio 0.3363
result/cdn2_allcolo.ns579.oracleGeneral.zst LHD cache size    14826, 1917229 req, miss ratio 0.3052, byte miss ratio 0.3052
result/cdn2_allcolo.ns579.oracleGeneral.zst LHD cache size    49422, 1917229 req, miss ratio 0.2803, byte miss ratio 0.2803
result/cdn2_allcolo.ns579.oracleGeneral.zst LHD cache size    98844, 1917229 req, miss ratio 0.2685, byte miss ratio 0.2685
result/cdn2_allcolo.ns579.oracleGeneral.zst LHD cache size   197688, 1917229 req, miss ratio 0.2620, byte miss ratio 0.2620
result/cdn2_allcolo.ns579.oracleGeneral.zst LHD cache size   395377, 1917229 req, miss ratio 0.2584, byte miss ratio 0.2584
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-1 cache size      494, 1917229 req, miss ratio 0.4259, byte miss ratio 0.4259
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-1 cache size     1482, 1917229 req, miss ratio 0.3665, byte miss ratio 0.3665
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-1 cache size     4942, 1917229 req, miss ratio 0.3183, byte miss ratio 0.3183
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-1 cache size    14826, 1917229 req, miss ratio 0.2908, byte miss ratio 0.2908
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-1 cache size    49422, 1917229 req, miss ratio 0.2731, byte miss ratio 0.2731
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-1 cache size    98844, 1917229 req, miss ratio 0.2654, byte miss ratio 0.2654
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-1 cache size   197688, 1917229 req, miss ratio 0.2607, byte miss ratio 0.2607
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-1 cache size   395377, 1917229 req, miss ratio 0.2580, byte miss ratio 0.2580
result/cdn2_allcolo.ns579.oracleGeneral.zst ARC cache size      494, 1917229 req, miss ratio 0.4261, byte miss ratio 0.4261
result/cdn2_allcolo.ns579.oracleGeneral.zst ARC cache size     1482, 1917229 req, miss ratio 0.3690, byte miss ratio 0.3690
result/cdn2_allcolo.ns579.oracleGeneral.zst ARC cache size     4942, 1917229 req, miss ratio 0.3260, byte miss ratio 0.3260
result/cdn2_allcolo.ns579.oracleGeneral.zst ARC cache size    14826, 1917229 req, miss ratio 0.2954, byte miss ratio 0.2954
result/cdn2_allcolo.ns579.oracleGeneral.zst ARC cache size    49422, 1917229 req, miss ratio 0.2737, byte miss ratio 0.2737
result/cdn2_allcolo.ns579.oracleGeneral.zst ARC cache size    98844, 1917229 req, miss ratio 0.2657, byte miss ratio 0.2657
result/cdn2_allcolo.ns579.oracleGeneral.zst ARC cache size   197688, 1917229 req, miss ratio 0.2608, byte miss ratio 0.2608
result/cdn2_allcolo.ns579.oracleGeneral.zst ARC cache size   395377, 1917229 req, miss ratio 0.2580, byte miss ratio 0.2580
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-d-1 cache size      494, 1917229 req, miss ratio 0.4224, byte miss ratio 0.4224
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-d-1 cache size     1482, 1917229 req, miss ratio 0.3615, byte miss ratio 0.3615
