result/tencentBlock.ns4830.oracleGeneral.zst LeCaR cache size      363, 5307161 req, miss ratio 0.6698, byte miss ratio 0.6698
result/tencentBlock.ns4830.oracleGeneral.zst LeCaR cache size     1089, 5307161 req, miss ratio 0.6473, byte miss ratio 0.6473
result/tencentBlock.ns4830.oracleGeneral.zst LeCaR cache size     3632, 5307161 req, miss ratio 0.6028, byte miss ratio 0.6028
result/tencentBlock.ns4830.oracleGeneral.zst LeCaR cache size    10898, 5307161 req, miss ratio 0.5194, byte miss ratio 0.5194
result/tencentBlock.ns4830.oracleGeneral.zst LeCaR cache size    36329, 5307161 req, miss ratio 0.2616, byte miss ratio 0.2616
result/tencentBlock.ns4830.oracleGeneral.zst LeCaR cache size    72659, 5307161 req, miss ratio 0.1266, byte miss ratio 0.1266
result/tencentBlock.ns4830.oracleGeneral.zst LeCaR cache size   145319, 5307161 req, miss ratio 0.0785, byte miss ratio 0.0785
result/tencentBlock.ns4830.oracleGeneral.zst LeCaR cache size   290638, 5307161 req, miss ratio 0.0695, byte miss ratio 0.0695
result/tencentBlock.ns4830.oracleGeneral.zst clock2 cache size      363, 5307161 req, miss ratio 0.6710, byte miss ratio 0.6710
result/tencentBlock.ns4830.oracleGeneral.zst clock2 cache size     1089, 5307161 req, miss ratio 0.6524, byte miss ratio 0.6524
result/tencentBlock.ns4830.oracleGeneral.zst clock2 cache size     3632, 5307161 req, miss ratio 0.6000, byte miss ratio 0.6000
result/tencentBlock.ns4830.oracleGeneral.zst clock2 cache size    10898, 5307161 req, miss ratio 0.5617, byte miss ratio 0.5617
result/tencentBlock.ns4830.oracleGeneral.zst clock2 cache size    36329, 5307161 req, miss ratio 0.2861, byte miss ratio 0.2861
result/tencentBlock.ns4830.oracleGeneral.zst clock2 cache size    72659, 5307161 req, miss ratio 0.1279, byte miss ratio 0.1279
result/tencentBlock.ns4830.oracleGeneral.zst clock2 cache size   145319, 5307161 req, miss ratio 0.0903, byte miss ratio 0.0903
result/tencentBlock.ns4830.oracleGeneral.zst clock2 cache size   290638, 5307161 req, miss ratio 0.0695, byte miss ratio 0.0695
result/tencentBlock.ns4830.oracleGeneral.zst Clock cache size      363, 5307161 req, miss ratio 0.6733, byte miss ratio 0.6733
result/tencentBlock.ns4830.oracleGeneral.zst Clock cache size     1089, 5307161 req, miss ratio 0.6491, byte miss ratio 0.6491
result/tencentBlock.ns4830.oracleGeneral.zst Clock cache size     3632, 5307161 req, miss ratio 0.6028, byte miss ratio 0.6028
result/tencentBlock.ns4830.oracleGeneral.zst Clock cache size    10898, 5307161 req, miss ratio 0.5615, byte miss ratio 0.5615
result/tencentBlock.ns4830.oracleGeneral.zst Clock cache size    36329, 5307161 req, miss ratio 0.2713, byte miss ratio 0.2713
result/tencentBlock.ns4830.oracleGeneral.zst Clock cache size    72659, 5307161 req, miss ratio 0.1327, byte miss ratio 0.1327
result/tencentBlock.ns4830.oracleGeneral.zst Clock cache size   145319, 5307161 req, miss ratio 0.0829, byte miss ratio 0.0829
result/tencentBlock.ns4830.oracleGeneral.zst Clock cache size   290638, 5307161 req, miss ratio 0.0700, byte miss ratio 0.0700
result/tencentBlock.ns4830.oracleGeneral.zst LIRS cache size      363, 5307161 req, miss ratio 0.6761, byte miss ratio 0.6761
result/tencentBlock.ns4830.oracleGeneral.zst LIRS cache size     1089, 5307161 req, miss ratio 0.6165, byte miss ratio 0.6165
result/tencentBlock.ns4830.oracleGeneral.zst LIRS cache size     3632, 5307161 req, miss ratio 0.5730, byte miss ratio 0.5730
result/tencentBlock.ns4830.oracleGeneral.zst LIRS cache size    10898, 5307161 req, miss ratio 0.4686, byte miss ratio 0.4686
result/tencentBlock.ns4830.oracleGeneral.zst LIRS cache size    36329, 5307161 req, miss ratio 0.2459, byte miss ratio 0.2459
result/tencentBlock.ns4830.oracleGeneral.zst LIRS cache size    72659, 5307161 req, miss ratio 0.1292, byte miss ratio 0.1292
result/tencentBlock.ns4830.oracleGeneral.zst LIRS cache size   145319, 5307161 req, miss ratio 0.0887, byte miss ratio 0.0887
result/tencentBlock.ns4830.oracleGeneral.zst LIRS cache size   290638, 5307161 req, miss ratio 0.0718, byte miss ratio 0.0718
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-d-1 cache size      363, 5307161 req, miss ratio 0.6566, byte miss ratio 0.6566
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-d-1 cache size     1089, 5307161 req, miss ratio 0.6057, byte miss ratio 0.6057
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-d-1 cache size     3632, 5307161 req, miss ratio 0.5776, byte miss ratio 0.5776
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-d-1 cache size    10898, 5307161 req, miss ratio 0.4731, byte miss ratio 0.4731
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-d-1 cache size    36329, 5307161 req, miss ratio 0.2553, byte miss ratio 0.2553
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-d-1 cache size    72659, 5307161 req, miss ratio 0.1303, byte miss ratio 0.1303
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-d-1 cache size   145319, 5307161 req, miss ratio 0.0817, byte miss ratio 0.0817
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-d-1 cache size   290638, 5307161 req, miss ratio 0.0697, byte miss ratio 0.0697
result/tencentBlock.ns4830.oracleGeneral.zst LRB cache size      363, 5307161 req, miss ratio 0.6558, byte miss ratio 0.6558
result/tencentBlock.ns4830.oracleGeneral.zst LRB cache size     1089, 5307161 req, miss ratio 0.6014, byte miss ratio 0.6014
result/tencentBlock.ns4830.oracleGeneral.zst LRB cache size     3632, 5307161 req, miss ratio 0.5420, byte miss ratio 0.5420
result/tencentBlock.ns4830.oracleGeneral.zst LRB cache size    10898, 5307161 req, miss ratio 0.4636, byte miss ratio 0.4636
result/tencentBlock.ns4830.oracleGeneral.zst LRB cache size    36329, 5307161 req, miss ratio 0.1916, byte miss ratio 0.1916
result/tencentBlock.ns4830.oracleGeneral.zst LRB cache size    72659, 5307161 req, miss ratio 0.1239, byte miss ratio 0.1239
result/tencentBlock.ns4830.oracleGeneral.zst LRB cache size   145319, 5307161 req, miss ratio 0.0844, byte miss ratio 0.0844
result/tencentBlock.ns4830.oracleGeneral.zst LRB cache size   290638, 5307161 req, miss ratio 0.0705, byte miss ratio 0.0705
result/tencentBlock.ns4830.oracleGeneral.zst S4LRU(25:25:25:25) cache size      363, 5307161 req, miss ratio 0.6678, byte miss ratio 0.6678
result/tencentBlock.ns4830.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1089, 5307161 req, miss ratio 0.6561, byte miss ratio 0.6561
result/tencentBlock.ns4830.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3632, 5307161 req, miss ratio 0.5975, byte miss ratio 0.5975
result/tencentBlock.ns4830.oracleGeneral.zst S4LRU(25:25:25:25) cache size    10898, 5307161 req, miss ratio 0.5343, byte miss ratio 0.5343
result/tencentBlock.ns4830.oracleGeneral.zst S4LRU(25:25:25:25) cache size    36329, 5307161 req, miss ratio 0.2733, byte miss ratio 0.2733
result/tencentBlock.ns4830.oracleGeneral.zst S4LRU(25:25:25:25) cache size    72659, 5307161 req, miss ratio 0.1269, byte miss ratio 0.1269
result/tencentBlock.ns4830.oracleGeneral.zst S4LRU(25:25:25:25) cache size   145319, 5307161 req, miss ratio 0.0896, byte miss ratio 0.0896
result/tencentBlock.ns4830.oracleGeneral.zst S4LRU(25:25:25:25) cache size   290638, 5307161 req, miss ratio 0.0695, byte miss ratio 0.0695
result/tencentBlock.ns4830.oracleGeneral.zst TwoQ cache size      363, 5307161 req, miss ratio 0.6634, byte miss ratio 0.6634
result/tencentBlock.ns4830.oracleGeneral.zst TwoQ cache size     1089, 5307161 req, miss ratio 0.6284, byte miss ratio 0.6284
result/tencentBlock.ns4830.oracleGeneral.zst TwoQ cache size     3632, 5307161 req, miss ratio 0.5828, byte miss ratio 0.5828
result/tencentBlock.ns4830.oracleGeneral.zst TwoQ cache size    10898, 5307161 req, miss ratio 0.4906, byte miss ratio 0.4906
result/tencentBlock.ns4830.oracleGeneral.zst TwoQ cache size    36329, 5307161 req, miss ratio 0.2422, byte miss ratio 0.2422
result/tencentBlock.ns4830.oracleGeneral.zst TwoQ cache size    72659, 5307161 req, miss ratio 0.1220, byte miss ratio 0.1220
result/tencentBlock.ns4830.oracleGeneral.zst TwoQ cache size   145319, 5307161 req, miss ratio 0.0888, byte miss ratio 0.0888
result/tencentBlock.ns4830.oracleGeneral.zst TwoQ cache size   290638, 5307161 req, miss ratio 0.0810, byte miss ratio 0.0810
result/tencentBlock.ns4830.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      363, 5307161 req, miss ratio 0.6827, byte miss ratio 0.6827
result/tencentBlock.ns4830.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1089, 5307161 req, miss ratio 0.6497, byte miss ratio 0.6497
result/tencentBlock.ns4830.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3632, 5307161 req, miss ratio 0.6028, byte miss ratio 0.6028
result/tencentBlock.ns4830.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10898, 5307161 req, miss ratio 0.5273, byte miss ratio 0.5273
result/tencentBlock.ns4830.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    36329, 5307161 req, miss ratio 0.3310, byte miss ratio 0.3310
result/tencentBlock.ns4830.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    72659, 5307161 req, miss ratio 0.1801, byte miss ratio 0.1801
result/tencentBlock.ns4830.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   145319, 5307161 req, miss ratio 0.1025, byte miss ratio 0.1025
result/tencentBlock.ns4830.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   290638, 5307161 req, miss ratio 0.0771, byte miss ratio 0.0771
result/tencentBlock.ns4830.oracleGeneral.zst B-LRU cache size      363, 5307161 req, miss ratio 0.6972, byte miss ratio 0.6972
result/tencentBlock.ns4830.oracleGeneral.zst B-LRU cache size     1089, 5307161 req, miss ratio 0.6697, byte miss ratio 0.6697
result/tencentBlock.ns4830.oracleGeneral.zst B-LRU cache size     3632, 5307161 req, miss ratio 0.6292, byte miss ratio 0.6292
result/tencentBlock.ns4830.oracleGeneral.zst B-LRU cache size    10898, 5307161 req, miss ratio 0.5123, byte miss ratio 0.5123
result/tencentBlock.ns4830.oracleGeneral.zst B-LRU cache size    36329, 5307161 req, miss ratio 0.2899, byte miss ratio 0.2899
result/tencentBlock.ns4830.oracleGeneral.zst B-LRU cache size    72659, 5307161 req, miss ratio 0.1748, byte miss ratio 0.1748
result/tencentBlock.ns4830.oracleGeneral.zst B-LRU cache size   145319, 5307161 req, miss ratio 0.1298, byte miss ratio 0.1298
result/tencentBlock.ns4830.oracleGeneral.zst B-LRU cache size   290638, 5307161 req, miss ratio 0.1255, byte miss ratio 0.1255
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-d cache size      363, 5307161 req, miss ratio 0.6569, byte miss ratio 0.6569
