result/event_sessions_cache.1.oracleGeneral.sample10.zst clock2 cache size   323499, 147784001 req, miss ratio 0.0845, byte miss ratio 0.0845
result/event_sessions_cache.1.oracleGeneral.sample10.zst clock2 cache size  1078332, 147784001 req, miss ratio 0.0768, byte miss ratio 0.0768
result/event_sessions_cache.1.oracleGeneral.sample10.zst clock2 cache size  2156664, 147784001 req, miss ratio 0.0741, byte miss ratio 0.0741
result/event_sessions_cache.1.oracleGeneral.sample10.zst clock2 cache size  4313328, 147784001 req, miss ratio 0.0733, byte miss ratio 0.0733
result/event_sessions_cache.1.oracleGeneral.sample10.zst clock2 cache size  8626656, 147784001 req, miss ratio 0.0730, byte miss ratio 0.0730
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    10783, 147784001 req, miss ratio 0.2491, byte miss ratio 0.2491
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    32349, 147784001 req, miss ratio 0.2062, byte miss ratio 0.2062
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   107833, 147784001 req, miss ratio 0.1305, byte miss ratio 0.1305
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   323499, 147784001 req, miss ratio 0.0859, byte miss ratio 0.0859
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  1078332, 147784001 req, miss ratio 0.0784, byte miss ratio 0.0784
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  2156664, 147784001 req, miss ratio 0.0747, byte miss ratio 0.0747
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  4313328, 147784001 req, miss ratio 0.0733, byte miss ratio 0.0733
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  8626656, 147784001 req, miss ratio 0.0730, byte miss ratio 0.0730
result/event_sessions_cache.1.oracleGeneral.sample10.zst LeCaR cache size    10783, 147784001 req, miss ratio 0.2516, byte miss ratio 0.2516
result/event_sessions_cache.1.oracleGeneral.sample10.zst LeCaR cache size    32349, 147784001 req, miss ratio 0.2209, byte miss ratio 0.2209
result/event_sessions_cache.1.oracleGeneral.sample10.zst LeCaR cache size   107833, 147784001 req, miss ratio 0.0939, byte miss ratio 0.0939
result/event_sessions_cache.1.oracleGeneral.sample10.zst LeCaR cache size   323499, 147784001 req, miss ratio 0.0846, byte miss ratio 0.0846
result/event_sessions_cache.1.oracleGeneral.sample10.zst LeCaR cache size  1078332, 147784001 req, miss ratio 0.0770, byte miss ratio 0.0770
result/event_sessions_cache.1.oracleGeneral.sample10.zst LeCaR cache size  2156664, 147784001 req, miss ratio 0.0742, byte miss ratio 0.0742
result/event_sessions_cache.1.oracleGeneral.sample10.zst LeCaR cache size  4313328, 147784001 req, miss ratio 0.0733, byte miss ratio 0.0733
result/event_sessions_cache.1.oracleGeneral.sample10.zst LeCaR cache size  8626656, 147784001 req, miss ratio 0.0730, byte miss ratio 0.0730
result/event_sessions_cache.1.oracleGeneral.sample10.zst FIFO cache size    10783, 147784001 req, miss ratio 0.2514, byte miss ratio 0.2514
result/event_sessions_cache.1.oracleGeneral.sample10.zst FIFO cache size    32349, 147784001 req, miss ratio 0.2191, byte miss ratio 0.2191
result/event_sessions_cache.1.oracleGeneral.sample10.zst FIFO cache size   107833, 147784001 req, miss ratio 0.0982, byte miss ratio 0.0982
result/event_sessions_cache.1.oracleGeneral.sample10.zst FIFO cache size   323499, 147784001 req, miss ratio 0.0850, byte miss ratio 0.0850
result/event_sessions_cache.1.oracleGeneral.sample10.zst FIFO cache size  1078332, 147784001 req, miss ratio 0.0768, byte miss ratio 0.0768
result/event_sessions_cache.1.oracleGeneral.sample10.zst FIFO cache size  2156664, 147784001 req, miss ratio 0.0741, byte miss ratio 0.0741
result/event_sessions_cache.1.oracleGeneral.sample10.zst FIFO cache size  4313328, 147784001 req, miss ratio 0.0733, byte miss ratio 0.0733
result/event_sessions_cache.1.oracleGeneral.sample10.zst FIFO cache size  8626656, 147784001 req, miss ratio 0.0730, byte miss ratio 0.0730
result/event_sessions_cache.1.oracleGeneral.sample10.zst Clock cache size    10783, 147784001 req, miss ratio 0.2493, byte miss ratio 0.2493
result/event_sessions_cache.1.oracleGeneral.sample10.zst Clock cache size    32349, 147784001 req, miss ratio 0.2179, byte miss ratio 0.2179
result/event_sessions_cache.1.oracleGeneral.sample10.zst Clock cache size   107833, 147784001 req, miss ratio 0.0945, byte miss ratio 0.0945
result/event_sessions_cache.1.oracleGeneral.sample10.zst Clock cache size   323499, 147784001 req, miss ratio 0.0844, byte miss ratio 0.0844
result/event_sessions_cache.1.oracleGeneral.sample10.zst Clock cache size  1078332, 147784001 req, miss ratio 0.0767, byte miss ratio 0.0767
result/event_sessions_cache.1.oracleGeneral.sample10.zst Clock cache size  2156664, 147784001 req, miss ratio 0.0741, byte miss ratio 0.0741
result/event_sessions_cache.1.oracleGeneral.sample10.zst Clock cache size  4313328, 147784001 req, miss ratio 0.0733, byte miss ratio 0.0733
result/event_sessions_cache.1.oracleGeneral.sample10.zst Clock cache size  8626656, 147784001 req, miss ratio 0.0730, byte miss ratio 0.0730
result/event_sessions_cache.1.oracleGeneral.sample10.zst Cacheus cache size    10783, 147784001 req, miss ratio 0.2481, byte miss ratio 0.2481
result/event_sessions_cache.1.oracleGeneral.sample10.zst Cacheus cache size    32349, 147784001 req, miss ratio 0.2164, byte miss ratio 0.2164
result/event_sessions_cache.1.oracleGeneral.sample10.zst Cacheus cache size   107833, 147784001 req, miss ratio 0.0940, byte miss ratio 0.0940
result/event_sessions_cache.1.oracleGeneral.sample10.zst Cacheus cache size   323499, 147784001 req, miss ratio 0.0845, byte miss ratio 0.0845
result/event_sessions_cache.1.oracleGeneral.sample10.zst Cacheus cache size  1078332, 147784001 req, miss ratio 0.0770, byte miss ratio 0.0770
result/event_sessions_cache.1.oracleGeneral.sample10.zst Cacheus cache size  2156664, 147784001 req, miss ratio 0.0748, byte miss ratio 0.0748
result/event_sessions_cache.1.oracleGeneral.sample10.zst Cacheus cache size  4313328, 147784001 req, miss ratio 0.0735, byte miss ratio 0.0735
result/event_sessions_cache.1.oracleGeneral.sample10.zst Cacheus cache size  8626656, 147784001 req, miss ratio 0.0730, byte miss ratio 0.0730
result/event_sessions_cache.1.oracleGeneral.sample10.zst ARC cache size    10783, 147784001 req, miss ratio 0.2501, byte miss ratio 0.2501
result/event_sessions_cache.1.oracleGeneral.sample10.zst ARC cache size    32349, 147784001 req, miss ratio 0.2203, byte miss ratio 0.2203
result/event_sessions_cache.1.oracleGeneral.sample10.zst ARC cache size   107833, 147784001 req, miss ratio 0.0953, byte miss ratio 0.0953
result/event_sessions_cache.1.oracleGeneral.sample10.zst ARC cache size   323499, 147784001 req, miss ratio 0.0851, byte miss ratio 0.0851
result/event_sessions_cache.1.oracleGeneral.sample10.zst ARC cache size  1078332, 147784001 req, miss ratio 0.0770, byte miss ratio 0.0770
result/event_sessions_cache.1.oracleGeneral.sample10.zst ARC cache size  2156664, 147784001 req, miss ratio 0.0742, byte miss ratio 0.0742
result/event_sessions_cache.1.oracleGeneral.sample10.zst ARC cache size  4313328, 147784001 req, miss ratio 0.0733, byte miss ratio 0.0733
result/event_sessions_cache.1.oracleGeneral.sample10.zst ARC cache size  8626656, 147784001 req, miss ratio 0.0730, byte miss ratio 0.0730
result/event_sessions_cache.1.oracleGeneral.sample10.zst LIRS cache size    10783, 147784001 req, miss ratio 0.2509, byte miss ratio 0.2509
result/event_sessions_cache.1.oracleGeneral.sample10.zst LIRS cache size    32349, 147784001 req, miss ratio 0.2206, byte miss ratio 0.2206
result/event_sessions_cache.1.oracleGeneral.sample10.zst LIRS cache size   107833, 147784001 req, miss ratio 0.0937, byte miss ratio 0.0937
result/event_sessions_cache.1.oracleGeneral.sample10.zst LIRS cache size   323499, 147784001 req, miss ratio 0.0845, byte miss ratio 0.0845
result/event_sessions_cache.1.oracleGeneral.sample10.zst LIRS cache size  1078332, 147784001 req, miss ratio 0.0769, byte miss ratio 0.0769
result/event_sessions_cache.1.oracleGeneral.sample10.zst LIRS cache size  2156664, 147784001 req, miss ratio 0.0742, byte miss ratio 0.0742
result/event_sessions_cache.1.oracleGeneral.sample10.zst LIRS cache size  4313328, 147784001 req, miss ratio 0.0733, byte miss ratio 0.0733
result/event_sessions_cache.1.oracleGeneral.sample10.zst LIRS cache size  8626656, 147784001 req, miss ratio 0.0730, byte miss ratio 0.0730
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    10783, 147784001 req, miss ratio 0.2489, byte miss ratio 0.2489
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    32349, 147784001 req, miss ratio 0.2050, byte miss ratio 0.2050
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   107833, 147784001 req, miss ratio 0.1321, byte miss ratio 0.1321
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   323499, 147784001 req, miss ratio 0.0845, byte miss ratio 0.0845
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1078332, 147784001 req, miss ratio 0.0774, byte miss ratio 0.0774
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  2156664, 147784001 req, miss ratio 0.0749, byte miss ratio 0.0749
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  4313328, 147784001 req, miss ratio 0.0733, byte miss ratio 0.0733
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  8626656, 147784001 req, miss ratio 0.0730, byte miss ratio 0.0730
result/event_sessions_cache.1.oracleGeneral.sample10.zst LRB cache size    10783, 147784001 req, miss ratio 0.2532, byte miss ratio 0.2532
result/event_sessions_cache.1.oracleGeneral.sample10.zst LRB cache size    32349, 147784001 req, miss ratio 0.1734, byte miss ratio 0.1734
result/event_sessions_cache.1.oracleGeneral.sample10.zst LRB cache size   107833, 147784001 req, miss ratio 0.1071, byte miss ratio 0.1071
result/event_sessions_cache.1.oracleGeneral.sample10.zst LRB cache size   323499, 147784001 req, miss ratio 0.0923, byte miss ratio 0.0923
result/event_sessions_cache.1.oracleGeneral.sample10.zst LRB cache size  1078332, 147784001 req, miss ratio 0.0812, byte miss ratio 0.0812
result/event_sessions_cache.1.oracleGeneral.sample10.zst LRB cache size  2156664, 147784001 req, miss ratio 0.0758, byte miss ratio 0.0758
result/event_sessions_cache.1.oracleGeneral.sample10.zst LRB cache size  4313328, 147784001 req, miss ratio 0.0733, byte miss ratio 0.0733
result/event_sessions_cache.1.oracleGeneral.sample10.zst LRB cache size  8626656, 147784001 req, miss ratio 0.0730, byte miss ratio 0.0730
result/event_sessions_cache.1.oracleGeneral.sample10.zst B-LRU cache size    10783, 147784001 req, miss ratio 0.3198, byte miss ratio 0.3198
result/event_sessions_cache.1.oracleGeneral.sample10.zst B-LRU cache size    32349, 147784001 req, miss ratio 0.2889, byte miss ratio 0.2889
result/event_sessions_cache.1.oracleGeneral.sample10.zst B-LRU cache size   107833, 147784001 req, miss ratio 0.1663, byte miss ratio 0.1663
result/event_sessions_cache.1.oracleGeneral.sample10.zst B-LRU cache size   323499, 147784001 req, miss ratio 0.1569, byte miss ratio 0.1569
result/event_sessions_cache.1.oracleGeneral.sample10.zst B-LRU cache size  1078332, 147784001 req, miss ratio 0.1493, byte miss ratio 0.1493
result/event_sessions_cache.1.oracleGeneral.sample10.zst B-LRU cache size  2156664, 147784001 req, miss ratio 0.1466, byte miss ratio 0.1466
result/event_sessions_cache.1.oracleGeneral.sample10.zst B-LRU cache size  4313328, 147784001 req, miss ratio 0.1457, byte miss ratio 0.1457
result/event_sessions_cache.1.oracleGeneral.sample10.zst B-LRU cache size  8626656, 147784001 req, miss ratio 0.1454, byte miss ratio 0.1454
