result/cdn2_allcolo.ns1605.oracleGeneral.zst Clock cache size     5664, 1724371 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns1605.oracleGeneral.zst ARC cache size        7, 1724371 req, miss ratio 0.1895, byte miss ratio 0.1895
result/cdn2_allcolo.ns1605.oracleGeneral.zst ARC cache size       21, 1724371 req, miss ratio 0.1448, byte miss ratio 0.1448
result/cdn2_allcolo.ns1605.oracleGeneral.zst ARC cache size       70, 1724371 req, miss ratio 0.0939, byte miss ratio 0.0939
result/cdn2_allcolo.ns1605.oracleGeneral.zst ARC cache size      212, 1724371 req, miss ratio 0.0584, byte miss ratio 0.0584
result/cdn2_allcolo.ns1605.oracleGeneral.zst ARC cache size      708, 1724371 req, miss ratio 0.0281, byte miss ratio 0.0281
result/cdn2_allcolo.ns1605.oracleGeneral.zst ARC cache size     1416, 1724371 req, miss ratio 0.0165, byte miss ratio 0.0165
result/cdn2_allcolo.ns1605.oracleGeneral.zst ARC cache size     2832, 1724371 req, miss ratio 0.0089, byte miss ratio 0.0089
result/cdn2_allcolo.ns1605.oracleGeneral.zst ARC cache size     5664, 1724371 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns1605.oracleGeneral.zst LIRS cache size        7, 1724371 req, miss ratio 0.1873, byte miss ratio 0.1873
result/cdn2_allcolo.ns1605.oracleGeneral.zst LIRS cache size       21, 1724371 req, miss ratio 0.1433, byte miss ratio 0.1433
result/cdn2_allcolo.ns1605.oracleGeneral.zst LIRS cache size       70, 1724371 req, miss ratio 0.0949, byte miss ratio 0.0949
result/cdn2_allcolo.ns1605.oracleGeneral.zst LIRS cache size      212, 1724371 req, miss ratio 0.0605, byte miss ratio 0.0605
result/cdn2_allcolo.ns1605.oracleGeneral.zst LIRS cache size      708, 1724371 req, miss ratio 0.0293, byte miss ratio 0.0293
result/cdn2_allcolo.ns1605.oracleGeneral.zst LIRS cache size     1416, 1724371 req, miss ratio 0.0167, byte miss ratio 0.0167
result/cdn2_allcolo.ns1605.oracleGeneral.zst LIRS cache size     2832, 1724371 req, miss ratio 0.0088, byte miss ratio 0.0088
result/cdn2_allcolo.ns1605.oracleGeneral.zst LIRS cache size     5664, 1724371 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-1 cache size        7, 1724371 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-1 cache size       21, 1724371 req, miss ratio 0.1387, byte miss ratio 0.1387
