result/w47.oracleGeneral.bin.zst S3FIFO-1 cache size      894, 14314717 req, miss ratio 0.1517, byte miss ratio 0.1517
result/w47.oracleGeneral.bin.zst S3FIFO-1 cache size     2982, 14314717 req, miss ratio 0.1471, byte miss ratio 0.1471
result/w47.oracleGeneral.bin.zst S3FIFO-1 cache size     8946, 14314717 req, miss ratio 0.1454, byte miss ratio 0.1454
result/w47.oracleGeneral.bin.zst S3FIFO-1 cache size    29821, 14314717 req, miss ratio 0.0954, byte miss ratio 0.0954
result/w47.oracleGeneral.bin.zst S3FIFO-1 cache size    59642, 14314717 req, miss ratio 0.0473, byte miss ratio 0.0473
result/w47.oracleGeneral.bin.zst S3FIFO-1 cache size   119285, 14314717 req, miss ratio 0.0330, byte miss ratio 0.0330
result/w47.oracleGeneral.bin.zst S3FIFO-1 cache size   238571, 14314717 req, miss ratio 0.0222, byte miss ratio 0.0222
result/w47.oracleGeneral.bin.zst LRU cache size      298, 14314717 req, miss ratio 0.1713, byte miss ratio 0.1713
result/w47.oracleGeneral.bin.zst LRU cache size      894, 14314717 req, miss ratio 0.1574, byte miss ratio 0.1574
result/w47.oracleGeneral.bin.zst LRU cache size     2982, 14314717 req, miss ratio 0.1496, byte miss ratio 0.1496
result/w47.oracleGeneral.bin.zst LRU cache size     8946, 14314717 req, miss ratio 0.1465, byte miss ratio 0.1465
result/w47.oracleGeneral.bin.zst LRU cache size    29821, 14314717 req, miss ratio 0.1054, byte miss ratio 0.1054
result/w47.oracleGeneral.bin.zst LRU cache size    59642, 14314717 req, miss ratio 0.0564, byte miss ratio 0.0564
result/w47.oracleGeneral.bin.zst LRU cache size   119285, 14314717 req, miss ratio 0.0308, byte miss ratio 0.0308
result/w47.oracleGeneral.bin.zst LRU cache size   238571, 14314717 req, miss ratio 0.0214, byte miss ratio 0.0214
result/w47.oracleGeneral.bin.zst FIFO cache size      298, 14314717 req, miss ratio 0.2135, byte miss ratio 0.2135
