result/io_traces.ns460.oracleGeneral.zst LHD cache size    20886, 19000000 req, miss ratio 0.2126, byte miss ratio 0.2126
result/io_traces.ns460.oracleGeneral.zst LHD cache size    62660, 19000000 req, miss ratio 0.1529, byte miss ratio 0.1529
result/io_traces.ns460.oracleGeneral.zst LHD cache size   208867, 19000000 req, miss ratio 0.1192, byte miss ratio 0.1192
result/io_traces.ns460.oracleGeneral.zst LHD cache size   417735, 19000000 req, miss ratio 0.1164, byte miss ratio 0.1164
result/io_traces.ns460.oracleGeneral.zst LHD cache size   835471, 19000000 req, miss ratio 0.1143, byte miss ratio 0.1143
result/io_traces.ns460.oracleGeneral.zst LHD cache size  1670943, 19000000 req, miss ratio 0.1101, byte miss ratio 0.1101
result/io_traces.ns460.oracleGeneral.zst Clock cache size     2088, 19000000 req, miss ratio 0.3589, byte miss ratio 0.3589
result/io_traces.ns460.oracleGeneral.zst Clock cache size     6266, 19000000 req, miss ratio 0.2877, byte miss ratio 0.2877
result/io_traces.ns460.oracleGeneral.zst Clock cache size    20886, 19000000 req, miss ratio 0.2186, byte miss ratio 0.2186
result/io_traces.ns460.oracleGeneral.zst Clock cache size    62660, 19000000 req, miss ratio 0.1672, byte miss ratio 0.1672
result/io_traces.ns460.oracleGeneral.zst Clock cache size   208867, 19000000 req, miss ratio 0.1251, byte miss ratio 0.1251
result/io_traces.ns460.oracleGeneral.zst Clock cache size   417735, 19000000 req, miss ratio 0.1176, byte miss ratio 0.1176
result/io_traces.ns460.oracleGeneral.zst Clock cache size   835471, 19000000 req, miss ratio 0.1157, byte miss ratio 0.1157
result/io_traces.ns460.oracleGeneral.zst Clock cache size  1670943, 19000000 req, miss ratio 0.1103, byte miss ratio 0.1103
result/io_traces.ns460.oracleGeneral.zst LIRS cache size     2088, 19000000 req, miss ratio 0.3373, byte miss ratio 0.3373
result/io_traces.ns460.oracleGeneral.zst LIRS cache size     6266, 19000000 req, miss ratio 0.3003, byte miss ratio 0.3003
result/io_traces.ns460.oracleGeneral.zst LIRS cache size    20886, 19000000 req, miss ratio 0.2379, byte miss ratio 0.2379
result/io_traces.ns460.oracleGeneral.zst LIRS cache size    62660, 19000000 req, miss ratio 0.2064, byte miss ratio 0.2064
result/io_traces.ns460.oracleGeneral.zst LIRS cache size   208867, 19000000 req, miss ratio 0.1562, byte miss ratio 0.1562
result/io_traces.ns460.oracleGeneral.zst LIRS cache size   417735, 19000000 req, miss ratio 0.1437, byte miss ratio 0.1437
result/io_traces.ns460.oracleGeneral.zst LIRS cache size   835471, 19000000 req, miss ratio 0.1288, byte miss ratio 0.1288
result/io_traces.ns460.oracleGeneral.zst LIRS cache size  1670943, 19000000 req, miss ratio 0.1118, byte miss ratio 0.1118
result/io_traces.ns460.oracleGeneral.zst S3FIFO-1 cache size     2088, 19000000 req, miss ratio 0.3167, byte miss ratio 0.3167
result/io_traces.ns460.oracleGeneral.zst S3FIFO-1 cache size     6266, 19000000 req, miss ratio 0.2867, byte miss ratio 0.2867
result/io_traces.ns460.oracleGeneral.zst S3FIFO-1 cache size    20886, 19000000 req, miss ratio 0.2333, byte miss ratio 0.2333
result/io_traces.ns460.oracleGeneral.zst S3FIFO-1 cache size    62660, 19000000 req, miss ratio 0.1885, byte miss ratio 0.1885
result/io_traces.ns460.oracleGeneral.zst S3FIFO-1 cache size   208867, 19000000 req, miss ratio 0.1251, byte miss ratio 0.1251
result/io_traces.ns460.oracleGeneral.zst S3FIFO-1 cache size   417735, 19000000 req, miss ratio 0.1202, byte miss ratio 0.1202
result/io_traces.ns460.oracleGeneral.zst S3FIFO-1 cache size   835471, 19000000 req, miss ratio 0.1164, byte miss ratio 0.1164
result/io_traces.ns460.oracleGeneral.zst S3FIFO-1 cache size  1670943, 19000000 req, miss ratio 0.1103, byte miss ratio 0.1103
result/io_traces.ns460.oracleGeneral.zst S3FIFO-d-1 cache size     2088, 19000000 req, miss ratio 0.3131, byte miss ratio 0.3131
result/io_traces.ns460.oracleGeneral.zst S3FIFO-d-1 cache size     6266, 19000000 req, miss ratio 0.2849, byte miss ratio 0.2849
result/io_traces.ns460.oracleGeneral.zst S3FIFO-d-1 cache size    20886, 19000000 req, miss ratio 0.2226, byte miss ratio 0.2226
result/io_traces.ns460.oracleGeneral.zst S3FIFO-d-1 cache size    62660, 19000000 req, miss ratio 0.1687, byte miss ratio 0.1687
result/io_traces.ns460.oracleGeneral.zst S3FIFO-d-1 cache size   208867, 19000000 req, miss ratio 0.1215, byte miss ratio 0.1215
result/io_traces.ns460.oracleGeneral.zst S3FIFO-d-1 cache size   417735, 19000000 req, miss ratio 0.1184, byte miss ratio 0.1184
result/io_traces.ns460.oracleGeneral.zst S3FIFO-d-1 cache size   835471, 19000000 req, miss ratio 0.1161, byte miss ratio 0.1161
result/io_traces.ns460.oracleGeneral.zst S3FIFO-d-1 cache size  1670943, 19000000 req, miss ratio 0.1103, byte miss ratio 0.1103
result/io_traces.ns460.oracleGeneral.zst LRB cache size     2088, 19000000 req, miss ratio 0.3456, byte miss ratio 0.3456
result/io_traces.ns460.oracleGeneral.zst LRB cache size     6266, 19000000 req, miss ratio 0.3002, byte miss ratio 0.3002
result/io_traces.ns460.oracleGeneral.zst LRB cache size    20886, 19000000 req, miss ratio 0.2339, byte miss ratio 0.2339
result/io_traces.ns460.oracleGeneral.zst LRB cache size    62660, 19000000 req, miss ratio 0.1618, byte miss ratio 0.1618
result/io_traces.ns460.oracleGeneral.zst LRB cache size   208867, 19000000 req, miss ratio 0.1210, byte miss ratio 0.1210
result/io_traces.ns460.oracleGeneral.zst LRB cache size   417735, 19000000 req, miss ratio 0.1173, byte miss ratio 0.1173
result/io_traces.ns460.oracleGeneral.zst LRB cache size   835471, 19000000 req, miss ratio 0.1155, byte miss ratio 0.1155
result/io_traces.ns460.oracleGeneral.zst LRB cache size  1670943, 19000000 req, miss ratio 0.1102, byte miss ratio 0.1102
result/io_traces.ns460.oracleGeneral.zst TwoQ cache size     2088, 19000000 req, miss ratio 0.3139, byte miss ratio 0.3139
result/io_traces.ns460.oracleGeneral.zst TwoQ cache size     6266, 19000000 req, miss ratio 0.2886, byte miss ratio 0.2886
result/io_traces.ns460.oracleGeneral.zst TwoQ cache size    20886, 19000000 req, miss ratio 0.2378, byte miss ratio 0.2378
result/io_traces.ns460.oracleGeneral.zst TwoQ cache size    62660, 19000000 req, miss ratio 0.1770, byte miss ratio 0.1770
result/io_traces.ns460.oracleGeneral.zst TwoQ cache size   208867, 19000000 req, miss ratio 0.1210, byte miss ratio 0.1210
result/io_traces.ns460.oracleGeneral.zst TwoQ cache size   417735, 19000000 req, miss ratio 0.1189, byte miss ratio 0.1189
result/io_traces.ns460.oracleGeneral.zst TwoQ cache size   835471, 19000000 req, miss ratio 0.1177, byte miss ratio 0.1177
result/io_traces.ns460.oracleGeneral.zst TwoQ cache size  1670943, 19000000 req, miss ratio 0.1119, byte miss ratio 0.1119
result/io_traces.ns460.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2088, 19000000 req, miss ratio 0.3788, byte miss ratio 0.3788
result/io_traces.ns460.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6266, 19000000 req, miss ratio 0.3053, byte miss ratio 0.3053
result/io_traces.ns460.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    20886, 19000000 req, miss ratio 0.2519, byte miss ratio 0.2519
result/io_traces.ns460.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    62660, 19000000 req, miss ratio 0.1997, byte miss ratio 0.1997
result/io_traces.ns460.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   208867, 19000000 req, miss ratio 0.1467, byte miss ratio 0.1467
result/io_traces.ns460.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   417735, 19000000 req, miss ratio 0.1229, byte miss ratio 0.1229
result/io_traces.ns460.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   835471, 19000000 req, miss ratio 0.1155, byte miss ratio 0.1155
result/io_traces.ns460.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1670943, 19000000 req, miss ratio 0.1104, byte miss ratio 0.1104
result/io_traces.ns460.oracleGeneral.zst B-LRU cache size     2088, 19000000 req, miss ratio 0.3779, byte miss ratio 0.3779
result/io_traces.ns460.oracleGeneral.zst B-LRU cache size     6266, 19000000 req, miss ratio 0.3161, byte miss ratio 0.3161
result/io_traces.ns460.oracleGeneral.zst B-LRU cache size    20886, 19000000 req, miss ratio 0.2563, byte miss ratio 0.2563
result/io_traces.ns460.oracleGeneral.zst B-LRU cache size    62660, 19000000 req, miss ratio 0.2188, byte miss ratio 0.2188
result/io_traces.ns460.oracleGeneral.zst B-LRU cache size   208867, 19000000 req, miss ratio 0.1902, byte miss ratio 0.1902
result/io_traces.ns460.oracleGeneral.zst B-LRU cache size   417735, 19000000 req, miss ratio 0.1885, byte miss ratio 0.1885
result/io_traces.ns460.oracleGeneral.zst B-LRU cache size   835471, 19000000 req, miss ratio 0.1875, byte miss ratio 0.1875
result/io_traces.ns460.oracleGeneral.zst B-LRU cache size  1670943, 19000000 req, miss ratio 0.1845, byte miss ratio 0.1845
result/io_traces.ns460.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2088, 19000000 req, miss ratio 0.3170, byte miss ratio 0.3170
result/io_traces.ns460.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6266, 19000000 req, miss ratio 0.2968, byte miss ratio 0.2968
result/io_traces.ns460.oracleGeneral.zst S4LRU(25:25:25:25) cache size    20886, 19000000 req, miss ratio 0.2590, byte miss ratio 0.2590
result/io_traces.ns460.oracleGeneral.zst S4LRU(25:25:25:25) cache size    62660, 19000000 req, miss ratio 0.1920, byte miss ratio 0.1920
result/io_traces.ns460.oracleGeneral.zst S4LRU(25:25:25:25) cache size   208867, 19000000 req, miss ratio 0.1248, byte miss ratio 0.1248
result/io_traces.ns460.oracleGeneral.zst S4LRU(25:25:25:25) cache size   417735, 19000000 req, miss ratio 0.1186, byte miss ratio 0.1186
result/io_traces.ns460.oracleGeneral.zst S4LRU(25:25:25:25) cache size   835471, 19000000 req, miss ratio 0.1154, byte miss ratio 0.1154
result/io_traces.ns460.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1670943, 19000000 req, miss ratio 0.1103, byte miss ratio 0.1103
result/io_traces.ns460.oracleGeneral.zst S3FIFO-d cache size     2088, 19000000 req, miss ratio 0.3176, byte miss ratio 0.3176
result/io_traces.ns460.oracleGeneral.zst S3FIFO-d cache size     6266, 19000000 req, miss ratio 0.2856, byte miss ratio 0.2856
result/io_traces.ns460.oracleGeneral.zst S3FIFO-d cache size    20886, 19000000 req, miss ratio 0.2273, byte miss ratio 0.2273
result/io_traces.ns460.oracleGeneral.zst S3FIFO-d cache size    62660, 19000000 req, miss ratio 0.1695, byte miss ratio 0.1695
result/io_traces.ns460.oracleGeneral.zst S3FIFO-d cache size   208867, 19000000 req, miss ratio 0.1219, byte miss ratio 0.1219
result/io_traces.ns460.oracleGeneral.zst S3FIFO-d cache size   417735, 19000000 req, miss ratio 0.1188, byte miss ratio 0.1188
result/io_traces.ns460.oracleGeneral.zst S3FIFO-d cache size   835471, 19000000 req, miss ratio 0.1145, byte miss ratio 0.1145
result/io_traces.ns460.oracleGeneral.zst S3FIFO-d cache size  1670943, 19000000 req, miss ratio 0.1102, byte miss ratio 0.1102
result/io_traces.ns460.oracleGeneral.zst S3FIFO cache size     2088, 19000000 req, miss ratio 0.3190, byte miss ratio 0.3190
result/io_traces.ns460.oracleGeneral.zst S3FIFO cache size     6266, 19000000 req, miss ratio 0.2879, byte miss ratio 0.2879
