result/io_traces.ns276.oracleGeneral.zst S3FIFO-d-1 cache size   452308, 51600000 req, miss ratio 0.2119, byte miss ratio 0.2119
result/io_traces.ns276.oracleGeneral.zst S3FIFO-d-1 cache size   904617, 51600000 req, miss ratio 0.1774, byte miss ratio 0.1774
result/io_traces.ns276.oracleGeneral.zst S3FIFO-d-1 cache size  1809234, 51600000 req, miss ratio 0.1238, byte miss ratio 0.1238
result/io_traces.ns276.oracleGeneral.zst S3FIFO-d-1 cache size  3618468, 51600000 req, miss ratio 0.0885, byte miss ratio 0.0885
result/io_traces.ns276.oracleGeneral.zst LRB cache size     4523, 51600000 req, miss ratio 0.4566, byte miss ratio 0.4566
result/io_traces.ns276.oracleGeneral.zst LRB cache size    13569, 51600000 req, miss ratio 0.3389, byte miss ratio 0.3389
result/io_traces.ns276.oracleGeneral.zst LRB cache size    45230, 51600000 req, miss ratio 0.2719, byte miss ratio 0.2719
result/io_traces.ns276.oracleGeneral.zst LRB cache size   135692, 51600000 req, miss ratio 0.2428, byte miss ratio 0.2428
result/io_traces.ns276.oracleGeneral.zst LRB cache size   452308, 51600000 req, miss ratio 0.2059, byte miss ratio 0.2059
result/io_traces.ns276.oracleGeneral.zst LRB cache size   904617, 51600000 req, miss ratio 0.1740, byte miss ratio 0.1740
result/io_traces.ns276.oracleGeneral.zst LRB cache size  1809234, 51600000 req, miss ratio 0.1356, byte miss ratio 0.1356
result/io_traces.ns276.oracleGeneral.zst LRB cache size  3618468, 51600000 req, miss ratio 0.0972, byte miss ratio 0.0972
result/io_traces.ns276.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4523, 51600000 req, miss ratio 0.4258, byte miss ratio 0.4258
result/io_traces.ns276.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    13569, 51600000 req, miss ratio 0.3393, byte miss ratio 0.3393
result/io_traces.ns276.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    45230, 51600000 req, miss ratio 0.2724, byte miss ratio 0.2724
result/io_traces.ns276.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   135692, 51600000 req, miss ratio 0.2498, byte miss ratio 0.2498
result/io_traces.ns276.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   452308, 51600000 req, miss ratio 0.2161, byte miss ratio 0.2161
result/io_traces.ns276.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   904617, 51600000 req, miss ratio 0.1782, byte miss ratio 0.1782
result/io_traces.ns276.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1809234, 51600000 req, miss ratio 0.1501, byte miss ratio 0.1501
result/io_traces.ns276.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  3618468, 51600000 req, miss ratio 0.0887, byte miss ratio 0.0887
result/io_traces.ns276.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4523, 51600000 req, miss ratio 0.4129, byte miss ratio 0.4129
