result/cdn2_colo28.ns478.oracleGeneral.zst FIFO cache size    48601, 5128446 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cdn2_colo28.ns478.oracleGeneral.zst ARC cache size       60, 5128446 req, miss ratio 0.6874, byte miss ratio 0.6874
result/cdn2_colo28.ns478.oracleGeneral.zst ARC cache size      182, 5128446 req, miss ratio 0.3601, byte miss ratio 0.3601
result/cdn2_colo28.ns478.oracleGeneral.zst ARC cache size      607, 5128446 req, miss ratio 0.1703, byte miss ratio 0.1703
result/cdn2_colo28.ns478.oracleGeneral.zst ARC cache size     1822, 5128446 req, miss ratio 0.1043, byte miss ratio 0.1043
result/cdn2_colo28.ns478.oracleGeneral.zst ARC cache size     6075, 5128446 req, miss ratio 0.0639, byte miss ratio 0.0639
result/cdn2_colo28.ns478.oracleGeneral.zst ARC cache size    12150, 5128446 req, miss ratio 0.0386, byte miss ratio 0.0386
result/cdn2_colo28.ns478.oracleGeneral.zst ARC cache size    24300, 5128446 req, miss ratio 0.0167, byte miss ratio 0.0167
result/cdn2_colo28.ns478.oracleGeneral.zst ARC cache size    48601, 5128446 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn2_colo28.ns478.oracleGeneral.zst LRU cache size       60, 5128446 req, miss ratio 0.7826, byte miss ratio 0.7826
result/cdn2_colo28.ns478.oracleGeneral.zst LRU cache size      182, 5128446 req, miss ratio 0.4950, byte miss ratio 0.4950
result/cdn2_colo28.ns478.oracleGeneral.zst LRU cache size      607, 5128446 req, miss ratio 0.2090, byte miss ratio 0.2090
result/cdn2_colo28.ns478.oracleGeneral.zst LRU cache size     1822, 5128446 req, miss ratio 0.1204, byte miss ratio 0.1204
result/cdn2_colo28.ns478.oracleGeneral.zst LRU cache size     6075, 5128446 req, miss ratio 0.0669, byte miss ratio 0.0669
result/cdn2_colo28.ns478.oracleGeneral.zst LRU cache size    12150, 5128446 req, miss ratio 0.0390, byte miss ratio 0.0390
result/cdn2_colo28.ns478.oracleGeneral.zst LRU cache size    24300, 5128446 req, miss ratio 0.0183, byte miss ratio 0.0183
result/cdn2_colo28.ns478.oracleGeneral.zst LRU cache size    48601, 5128446 req, miss ratio 0.0123, byte miss ratio 0.0123
result/cdn2_colo28.ns478.oracleGeneral.zst LHD cache size       60, 5128446 req, miss ratio 0.6997, byte miss ratio 0.6997
result/cdn2_colo28.ns478.oracleGeneral.zst LHD cache size      182, 5128446 req, miss ratio 0.3734, byte miss ratio 0.3734
result/cdn2_colo28.ns478.oracleGeneral.zst LHD cache size      607, 5128446 req, miss ratio 0.1873, byte miss ratio 0.1873
result/cdn2_colo28.ns478.oracleGeneral.zst LHD cache size     1822, 5128446 req, miss ratio 0.1099, byte miss ratio 0.1099
result/cdn2_colo28.ns478.oracleGeneral.zst LHD cache size     6075, 5128446 req, miss ratio 0.0637, byte miss ratio 0.0637
result/cdn2_colo28.ns478.oracleGeneral.zst LHD cache size    12150, 5128446 req, miss ratio 0.0366, byte miss ratio 0.0366
result/cdn2_colo28.ns478.oracleGeneral.zst LHD cache size    24300, 5128446 req, miss ratio 0.0177, byte miss ratio 0.0177
result/cdn2_colo28.ns478.oracleGeneral.zst LHD cache size    48601, 5128446 req, miss ratio 0.0124, byte miss ratio 0.0124
result/cdn2_colo28.ns478.oracleGeneral.zst LIRS cache size       60, 5128446 req, miss ratio 0.6753, byte miss ratio 0.6753
result/cdn2_colo28.ns478.oracleGeneral.zst LIRS cache size      182, 5128446 req, miss ratio 0.3485, byte miss ratio 0.3485
result/cdn2_colo28.ns478.oracleGeneral.zst LIRS cache size      607, 5128446 req, miss ratio 0.1699, byte miss ratio 0.1699
result/cdn2_colo28.ns478.oracleGeneral.zst LIRS cache size     1822, 5128446 req, miss ratio 0.1046, byte miss ratio 0.1046
result/cdn2_colo28.ns478.oracleGeneral.zst LIRS cache size     6075, 5128446 req, miss ratio 0.0637, byte miss ratio 0.0637
result/cdn2_colo28.ns478.oracleGeneral.zst LIRS cache size    12150, 5128446 req, miss ratio 0.0355, byte miss ratio 0.0355
result/cdn2_colo28.ns478.oracleGeneral.zst LIRS cache size    24300, 5128446 req, miss ratio 0.0165, byte miss ratio 0.0165
result/cdn2_colo28.ns478.oracleGeneral.zst LIRS cache size    48601, 5128446 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-d-1 cache size       60, 5128446 req, miss ratio 0.6519, byte miss ratio 0.6519
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-d-1 cache size      182, 5128446 req, miss ratio 0.3315, byte miss ratio 0.3315
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-d-1 cache size      607, 5128446 req, miss ratio 0.1638, byte miss ratio 0.1638
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-d-1 cache size     1822, 5128446 req, miss ratio 0.1016, byte miss ratio 0.1016
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-d-1 cache size     6075, 5128446 req, miss ratio 0.0600, byte miss ratio 0.0600
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-d-1 cache size    12150, 5128446 req, miss ratio 0.0329, byte miss ratio 0.0329
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-d-1 cache size    24300, 5128446 req, miss ratio 0.0166, byte miss ratio 0.0166
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-d-1 cache size    48601, 5128446 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn2_colo28.ns478.oracleGeneral.zst LRB cache size       60, 5128446 req, miss ratio 0.6481, byte miss ratio 0.6481
result/cdn2_colo28.ns478.oracleGeneral.zst LRB cache size      182, 5128446 req, miss ratio 0.3133, byte miss ratio 0.3133
result/cdn2_colo28.ns478.oracleGeneral.zst LRB cache size      607, 5128446 req, miss ratio 0.1596, byte miss ratio 0.1596
result/cdn2_colo28.ns478.oracleGeneral.zst LRB cache size     1822, 5128446 req, miss ratio 0.0983, byte miss ratio 0.0983
result/cdn2_colo28.ns478.oracleGeneral.zst LRB cache size     6075, 5128446 req, miss ratio 0.0547, byte miss ratio 0.0547
result/cdn2_colo28.ns478.oracleGeneral.zst LRB cache size    12150, 5128446 req, miss ratio 0.0285, byte miss ratio 0.0285
result/cdn2_colo28.ns478.oracleGeneral.zst LRB cache size    24300, 5128446 req, miss ratio 0.0176, byte miss ratio 0.0176
result/cdn2_colo28.ns478.oracleGeneral.zst LRB cache size    48601, 5128446 req, miss ratio 0.0123, byte miss ratio 0.0123
result/cdn2_colo28.ns478.oracleGeneral.zst TwoQ cache size       60, 5128446 req, miss ratio 0.6771, byte miss ratio 0.6771
result/cdn2_colo28.ns478.oracleGeneral.zst TwoQ cache size      182, 5128446 req, miss ratio 0.3797, byte miss ratio 0.3797
result/cdn2_colo28.ns478.oracleGeneral.zst TwoQ cache size      607, 5128446 req, miss ratio 0.1746, byte miss ratio 0.1746
result/cdn2_colo28.ns478.oracleGeneral.zst TwoQ cache size     1822, 5128446 req, miss ratio 0.1063, byte miss ratio 0.1063
result/cdn2_colo28.ns478.oracleGeneral.zst TwoQ cache size     6075, 5128446 req, miss ratio 0.0639, byte miss ratio 0.0639
result/cdn2_colo28.ns478.oracleGeneral.zst TwoQ cache size    12150, 5128446 req, miss ratio 0.0362, byte miss ratio 0.0362
result/cdn2_colo28.ns478.oracleGeneral.zst TwoQ cache size    24300, 5128446 req, miss ratio 0.0198, byte miss ratio 0.0198
result/cdn2_colo28.ns478.oracleGeneral.zst TwoQ cache size    48601, 5128446 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cdn2_colo28.ns478.oracleGeneral.zst B-LRU cache size       60, 5128446 req, miss ratio 0.7814, byte miss ratio 0.7814
result/cdn2_colo28.ns478.oracleGeneral.zst B-LRU cache size      182, 5128446 req, miss ratio 0.4902, byte miss ratio 0.4902
result/cdn2_colo28.ns478.oracleGeneral.zst B-LRU cache size      607, 5128446 req, miss ratio 0.2061, byte miss ratio 0.2061
result/cdn2_colo28.ns478.oracleGeneral.zst B-LRU cache size     1822, 5128446 req, miss ratio 0.1180, byte miss ratio 0.1180
