result/cdn2_colo28.ns66.oracleGeneral.zst Clock cache size       10, 111611006 req, miss ratio 0.0915, byte miss ratio 0.0915
result/cdn2_colo28.ns66.oracleGeneral.zst Clock cache size       32, 111611006 req, miss ratio 0.0160, byte miss ratio 0.0160
result/cdn2_colo28.ns66.oracleGeneral.zst Clock cache size      106, 111611006 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_colo28.ns66.oracleGeneral.zst Clock cache size      213, 111611006 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_colo28.ns66.oracleGeneral.zst Clock cache size      427, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst Clock cache size      854, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst FIFO cache size       10, 111611006 req, miss ratio 0.0907, byte miss ratio 0.0907
result/cdn2_colo28.ns66.oracleGeneral.zst FIFO cache size       32, 111611006 req, miss ratio 0.0236, byte miss ratio 0.0236
result/cdn2_colo28.ns66.oracleGeneral.zst FIFO cache size      106, 111611006 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_colo28.ns66.oracleGeneral.zst FIFO cache size      213, 111611006 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns66.oracleGeneral.zst FIFO cache size      427, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst FIFO cache size      854, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst S3FIFO-d-1 cache size       10, 111611006 req, miss ratio 0.0756, byte miss ratio 0.0756
result/cdn2_colo28.ns66.oracleGeneral.zst S3FIFO-d-1 cache size       32, 111611006 req, miss ratio 0.0127, byte miss ratio 0.0127
result/cdn2_colo28.ns66.oracleGeneral.zst S3FIFO-d-1 cache size      106, 111611006 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_colo28.ns66.oracleGeneral.zst S3FIFO-d-1 cache size      213, 111611006 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_colo28.ns66.oracleGeneral.zst S3FIFO-d-1 cache size      427, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst S3FIFO-d-1 cache size      854, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst LRB cache size       10, 111611006 req, miss ratio 0.0477, byte miss ratio 0.0477
result/cdn2_colo28.ns66.oracleGeneral.zst LRB cache size       32, 111611006 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_colo28.ns66.oracleGeneral.zst LRB cache size      106, 111611006 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_colo28.ns66.oracleGeneral.zst LRB cache size      213, 111611006 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_colo28.ns66.oracleGeneral.zst LRB cache size      427, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst LRB cache size      854, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst B-LRU cache size       10, 111611006 req, miss ratio 0.0923, byte miss ratio 0.0923
result/cdn2_colo28.ns66.oracleGeneral.zst B-LRU cache size       32, 111611006 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_colo28.ns66.oracleGeneral.zst B-LRU cache size      106, 111611006 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_colo28.ns66.oracleGeneral.zst B-LRU cache size      213, 111611006 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_colo28.ns66.oracleGeneral.zst B-LRU cache size      427, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst B-LRU cache size      854, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       10, 111611006 req, miss ratio 0.0907, byte miss ratio 0.0907
result/cdn2_colo28.ns66.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       32, 111611006 req, miss ratio 0.0236, byte miss ratio 0.0236
result/cdn2_colo28.ns66.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      106, 111611006 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_colo28.ns66.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      213, 111611006 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_colo28.ns66.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      427, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      854, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst TwoQ cache size       10, 111611006 req, miss ratio 0.0668, byte miss ratio 0.0668
result/cdn2_colo28.ns66.oracleGeneral.zst TwoQ cache size       32, 111611006 req, miss ratio 0.0149, byte miss ratio 0.0149
result/cdn2_colo28.ns66.oracleGeneral.zst TwoQ cache size      106, 111611006 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_colo28.ns66.oracleGeneral.zst TwoQ cache size      213, 111611006 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_colo28.ns66.oracleGeneral.zst TwoQ cache size      427, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst TwoQ cache size      854, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst S4LRU(25:25:25:25) cache size       10, 111611006 req, miss ratio 0.0915, byte miss ratio 0.0915
result/cdn2_colo28.ns66.oracleGeneral.zst S4LRU(25:25:25:25) cache size       32, 111611006 req, miss ratio 0.0140, byte miss ratio 0.0140
result/cdn2_colo28.ns66.oracleGeneral.zst S4LRU(25:25:25:25) cache size      106, 111611006 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_colo28.ns66.oracleGeneral.zst S4LRU(25:25:25:25) cache size      213, 111611006 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_colo28.ns66.oracleGeneral.zst S4LRU(25:25:25:25) cache size      427, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
