result/tencentBlock.ns7555.oracleGeneral.zst LIRS cache size      114, 11209797 req, miss ratio 0.8865, byte miss ratio 0.8865
result/tencentBlock.ns7555.oracleGeneral.zst LIRS cache size      344, 11209797 req, miss ratio 0.8724, byte miss ratio 0.8724
result/tencentBlock.ns7555.oracleGeneral.zst LIRS cache size     1149, 11209797 req, miss ratio 0.8504, byte miss ratio 0.8504
result/tencentBlock.ns7555.oracleGeneral.zst LIRS cache size     3447, 11209797 req, miss ratio 0.7963, byte miss ratio 0.7963
result/tencentBlock.ns7555.oracleGeneral.zst LIRS cache size    11492, 11209797 req, miss ratio 0.7543, byte miss ratio 0.7543
result/tencentBlock.ns7555.oracleGeneral.zst LIRS cache size    22984, 11209797 req, miss ratio 0.1612, byte miss ratio 0.1612
result/tencentBlock.ns7555.oracleGeneral.zst LIRS cache size    45968, 11209797 req, miss ratio 0.0401, byte miss ratio 0.0401
result/tencentBlock.ns7555.oracleGeneral.zst LIRS cache size    91937, 11209797 req, miss ratio 0.0136, byte miss ratio 0.0136
result/tencentBlock.ns7555.oracleGeneral.zst ARC cache size      114, 11209797 req, miss ratio 0.8867, byte miss ratio 0.8867
result/tencentBlock.ns7555.oracleGeneral.zst ARC cache size      344, 11209797 req, miss ratio 0.8705, byte miss ratio 0.8705
result/tencentBlock.ns7555.oracleGeneral.zst ARC cache size     1149, 11209797 req, miss ratio 0.8496, byte miss ratio 0.8496
result/tencentBlock.ns7555.oracleGeneral.zst ARC cache size     3447, 11209797 req, miss ratio 0.8351, byte miss ratio 0.8351
result/tencentBlock.ns7555.oracleGeneral.zst ARC cache size    11492, 11209797 req, miss ratio 0.5692, byte miss ratio 0.5692
result/tencentBlock.ns7555.oracleGeneral.zst ARC cache size    22984, 11209797 req, miss ratio 0.3385, byte miss ratio 0.3385
result/tencentBlock.ns7555.oracleGeneral.zst ARC cache size    45968, 11209797 req, miss ratio 0.0444, byte miss ratio 0.0444
result/tencentBlock.ns7555.oracleGeneral.zst ARC cache size    91937, 11209797 req, miss ratio 0.0148, byte miss ratio 0.0148
result/tencentBlock.ns7555.oracleGeneral.zst Cacheus cache size      114, 11209797 req, miss ratio 0.8871, byte miss ratio 0.8871
result/tencentBlock.ns7555.oracleGeneral.zst Cacheus cache size      344, 11209797 req, miss ratio 0.8722, byte miss ratio 0.8722
result/tencentBlock.ns7555.oracleGeneral.zst Cacheus cache size     1149, 11209797 req, miss ratio 0.8604, byte miss ratio 0.8604
result/tencentBlock.ns7555.oracleGeneral.zst Cacheus cache size     3447, 11209797 req, miss ratio 0.8391, byte miss ratio 0.8391
result/tencentBlock.ns7555.oracleGeneral.zst Cacheus cache size    11492, 11209797 req, miss ratio 0.7366, byte miss ratio 0.7366
result/tencentBlock.ns7555.oracleGeneral.zst Cacheus cache size    22984, 11209797 req, miss ratio 0.2124, byte miss ratio 0.2124
result/tencentBlock.ns7555.oracleGeneral.zst Cacheus cache size    45968, 11209797 req, miss ratio 0.0432, byte miss ratio 0.0432
result/tencentBlock.ns7555.oracleGeneral.zst Cacheus cache size    91937, 11209797 req, miss ratio 0.0144, byte miss ratio 0.0144
result/tencentBlock.ns7555.oracleGeneral.zst LeCaR cache size      114, 11209797 req, miss ratio 0.8967, byte miss ratio 0.8967
result/tencentBlock.ns7555.oracleGeneral.zst LeCaR cache size      344, 11209797 req, miss ratio 0.8773, byte miss ratio 0.8773
result/tencentBlock.ns7555.oracleGeneral.zst LeCaR cache size     1149, 11209797 req, miss ratio 0.8688, byte miss ratio 0.8688
result/tencentBlock.ns7555.oracleGeneral.zst LeCaR cache size     3447, 11209797 req, miss ratio 0.8652, byte miss ratio 0.8652
result/tencentBlock.ns7555.oracleGeneral.zst LeCaR cache size    11492, 11209797 req, miss ratio 0.6051, byte miss ratio 0.6051
result/tencentBlock.ns7555.oracleGeneral.zst LeCaR cache size    22984, 11209797 req, miss ratio 0.2110, byte miss ratio 0.2110
result/tencentBlock.ns7555.oracleGeneral.zst LeCaR cache size    45968, 11209797 req, miss ratio 0.0433, byte miss ratio 0.0433
result/tencentBlock.ns7555.oracleGeneral.zst LeCaR cache size    91937, 11209797 req, miss ratio 0.0141, byte miss ratio 0.0141
result/tencentBlock.ns7555.oracleGeneral.zst clock2 cache size      114, 11209797 req, miss ratio 0.8977, byte miss ratio 0.8977
result/tencentBlock.ns7555.oracleGeneral.zst clock2 cache size      344, 11209797 req, miss ratio 0.8781, byte miss ratio 0.8781
result/tencentBlock.ns7555.oracleGeneral.zst clock2 cache size     1149, 11209797 req, miss ratio 0.8704, byte miss ratio 0.8704
result/tencentBlock.ns7555.oracleGeneral.zst clock2 cache size     3447, 11209797 req, miss ratio 0.8662, byte miss ratio 0.8662
result/tencentBlock.ns7555.oracleGeneral.zst clock2 cache size    11492, 11209797 req, miss ratio 0.6084, byte miss ratio 0.6084
result/tencentBlock.ns7555.oracleGeneral.zst clock2 cache size    22984, 11209797 req, miss ratio 0.2627, byte miss ratio 0.2627
result/tencentBlock.ns7555.oracleGeneral.zst clock2 cache size    45968, 11209797 req, miss ratio 0.0435, byte miss ratio 0.0435
result/tencentBlock.ns7555.oracleGeneral.zst clock2 cache size    91937, 11209797 req, miss ratio 0.0161, byte miss ratio 0.0161
result/tencentBlock.ns7555.oracleGeneral.zst Clock cache size      114, 11209797 req, miss ratio 0.8983, byte miss ratio 0.8983
result/tencentBlock.ns7555.oracleGeneral.zst Clock cache size      344, 11209797 req, miss ratio 0.8783, byte miss ratio 0.8783
result/tencentBlock.ns7555.oracleGeneral.zst Clock cache size     1149, 11209797 req, miss ratio 0.8706, byte miss ratio 0.8706
result/tencentBlock.ns7555.oracleGeneral.zst Clock cache size     3447, 11209797 req, miss ratio 0.8669, byte miss ratio 0.8669
result/tencentBlock.ns7555.oracleGeneral.zst Clock cache size    11492, 11209797 req, miss ratio 0.6063, byte miss ratio 0.6063
result/tencentBlock.ns7555.oracleGeneral.zst Clock cache size    22984, 11209797 req, miss ratio 0.3489, byte miss ratio 0.3489
result/tencentBlock.ns7555.oracleGeneral.zst Clock cache size    45968, 11209797 req, miss ratio 0.0438, byte miss ratio 0.0438
result/tencentBlock.ns7555.oracleGeneral.zst Clock cache size    91937, 11209797 req, miss ratio 0.0147, byte miss ratio 0.0147
result/tencentBlock.ns7555.oracleGeneral.zst FIFO cache size      114, 11209797 req, miss ratio 0.9107, byte miss ratio 0.9107
result/tencentBlock.ns7555.oracleGeneral.zst FIFO cache size      344, 11209797 req, miss ratio 0.8864, byte miss ratio 0.8864
