result/tencentBlock.ns23707.oracleGeneral.zst FIFO cache size   940560, 5213615 req, miss ratio 0.2327, byte miss ratio 0.2327
result/tencentBlock.ns23707.oracleGeneral.zst LIRS cache size     1175, 5213615 req, miss ratio 0.5182, byte miss ratio 0.5182
result/tencentBlock.ns23707.oracleGeneral.zst LIRS cache size     3527, 5213615 req, miss ratio 0.4232, byte miss ratio 0.4232
result/tencentBlock.ns23707.oracleGeneral.zst LIRS cache size    11757, 5213615 req, miss ratio 0.3775, byte miss ratio 0.3775
result/tencentBlock.ns23707.oracleGeneral.zst LIRS cache size    35271, 5213615 req, miss ratio 0.3459, byte miss ratio 0.3459
result/tencentBlock.ns23707.oracleGeneral.zst LIRS cache size   117570, 5213615 req, miss ratio 0.2977, byte miss ratio 0.2977
result/tencentBlock.ns23707.oracleGeneral.zst LIRS cache size   235140, 5213615 req, miss ratio 0.2667, byte miss ratio 0.2667
result/tencentBlock.ns23707.oracleGeneral.zst LIRS cache size   470280, 5213615 req, miss ratio 0.2422, byte miss ratio 0.2422
result/tencentBlock.ns23707.oracleGeneral.zst LIRS cache size   940560, 5213615 req, miss ratio 0.2285, byte miss ratio 0.2285
result/tencentBlock.ns23707.oracleGeneral.zst LRU cache size     1175, 5213615 req, miss ratio 0.5019, byte miss ratio 0.5019
result/tencentBlock.ns23707.oracleGeneral.zst LRU cache size     3527, 5213615 req, miss ratio 0.4239, byte miss ratio 0.4239
result/tencentBlock.ns23707.oracleGeneral.zst LRU cache size    11757, 5213615 req, miss ratio 0.3816, byte miss ratio 0.3816
result/tencentBlock.ns23707.oracleGeneral.zst LRU cache size    35271, 5213615 req, miss ratio 0.3412, byte miss ratio 0.3412
result/tencentBlock.ns23707.oracleGeneral.zst LRU cache size   117570, 5213615 req, miss ratio 0.3003, byte miss ratio 0.3003
result/tencentBlock.ns23707.oracleGeneral.zst LRU cache size   235140, 5213615 req, miss ratio 0.2667, byte miss ratio 0.2667
result/tencentBlock.ns23707.oracleGeneral.zst LRU cache size   470280, 5213615 req, miss ratio 0.2364, byte miss ratio 0.2364
result/tencentBlock.ns23707.oracleGeneral.zst LRU cache size   940560, 5213615 req, miss ratio 0.2261, byte miss ratio 0.2261
result/tencentBlock.ns23707.oracleGeneral.zst Clock cache size     1175, 5213615 req, miss ratio 0.5026, byte miss ratio 0.5026
result/tencentBlock.ns23707.oracleGeneral.zst Clock cache size     3527, 5213615 req, miss ratio 0.4199, byte miss ratio 0.4199
result/tencentBlock.ns23707.oracleGeneral.zst Clock cache size    11757, 5213615 req, miss ratio 0.3819, byte miss ratio 0.3819
result/tencentBlock.ns23707.oracleGeneral.zst Clock cache size    35271, 5213615 req, miss ratio 0.3446, byte miss ratio 0.3446
result/tencentBlock.ns23707.oracleGeneral.zst Clock cache size   117570, 5213615 req, miss ratio 0.3011, byte miss ratio 0.3011
result/tencentBlock.ns23707.oracleGeneral.zst Clock cache size   235140, 5213615 req, miss ratio 0.2713, byte miss ratio 0.2713
result/tencentBlock.ns23707.oracleGeneral.zst Clock cache size   470280, 5213615 req, miss ratio 0.2375, byte miss ratio 0.2375
result/tencentBlock.ns23707.oracleGeneral.zst Clock cache size   940560, 5213615 req, miss ratio 0.2263, byte miss ratio 0.2263
result/tencentBlock.ns23707.oracleGeneral.zst clock2 cache size     1175, 5213615 req, miss ratio 0.5060, byte miss ratio 0.5060
result/tencentBlock.ns23707.oracleGeneral.zst clock2 cache size     3527, 5213615 req, miss ratio 0.4105, byte miss ratio 0.4105
result/tencentBlock.ns23707.oracleGeneral.zst clock2 cache size    11757, 5213615 req, miss ratio 0.3814, byte miss ratio 0.3814
