result/cdn2_colo28.ns552.oracleGeneral.zst FIFO cache size     1877, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_colo28.ns552.oracleGeneral.zst LHD cache size        7, 1289443 req, miss ratio 0.2322, byte miss ratio 0.2322
result/cdn2_colo28.ns552.oracleGeneral.zst LHD cache size       23, 1289443 req, miss ratio 0.1023, byte miss ratio 0.1023
result/cdn2_colo28.ns552.oracleGeneral.zst LHD cache size       70, 1289443 req, miss ratio 0.0248, byte miss ratio 0.0248
result/cdn2_colo28.ns552.oracleGeneral.zst LHD cache size      234, 1289443 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns552.oracleGeneral.zst LHD cache size      469, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_colo28.ns552.oracleGeneral.zst LHD cache size      938, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst LHD cache size     1877, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst LeCaR cache size        7, 1289443 req, miss ratio 0.2174, byte miss ratio 0.2174
result/cdn2_colo28.ns552.oracleGeneral.zst LeCaR cache size       23, 1289443 req, miss ratio 0.1002, byte miss ratio 0.1002
result/cdn2_colo28.ns552.oracleGeneral.zst LeCaR cache size       70, 1289443 req, miss ratio 0.0228, byte miss ratio 0.0228
result/cdn2_colo28.ns552.oracleGeneral.zst LeCaR cache size      234, 1289443 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_colo28.ns552.oracleGeneral.zst LeCaR cache size      469, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_colo28.ns552.oracleGeneral.zst LeCaR cache size      938, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst LeCaR cache size     1877, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO-1 cache size        7, 1289443 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO-1 cache size       23, 1289443 req, miss ratio 0.0920, byte miss ratio 0.0920
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO-1 cache size       70, 1289443 req, miss ratio 0.0235, byte miss ratio 0.0235
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO-1 cache size      234, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO-1 cache size      469, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO-1 cache size      938, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO-1 cache size     1877, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO-d-1 cache size        7, 1289443 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO-d-1 cache size       23, 1289443 req, miss ratio 0.0916, byte miss ratio 0.0916
