result/w59.oracleGeneral.bin.zst LHD cache size   205021, 10223136 req, miss ratio 0.4598, byte miss ratio 0.4598
result/w59.oracleGeneral.bin.zst LHD cache size   410042, 10223136 req, miss ratio 0.2006, byte miss ratio 0.2006
result/w59.oracleGeneral.bin.zst LHD cache size   820085, 10223136 req, miss ratio 0.1121, byte miss ratio 0.1121
result/w59.oracleGeneral.bin.zst ARC cache size     1025, 10223136 req, miss ratio 0.9651, byte miss ratio 0.9651
result/w59.oracleGeneral.bin.zst ARC cache size     3075, 10223136 req, miss ratio 0.9253, byte miss ratio 0.9253
result/w59.oracleGeneral.bin.zst ARC cache size    10251, 10223136 req, miss ratio 0.8508, byte miss ratio 0.8508
result/w59.oracleGeneral.bin.zst ARC cache size    30753, 10223136 req, miss ratio 0.7414, byte miss ratio 0.7414
result/w59.oracleGeneral.bin.zst ARC cache size   102510, 10223136 req, miss ratio 0.5931, byte miss ratio 0.5931
result/w59.oracleGeneral.bin.zst ARC cache size   205021, 10223136 req, miss ratio 0.4509, byte miss ratio 0.4509
result/w59.oracleGeneral.bin.zst ARC cache size   410042, 10223136 req, miss ratio 0.1947, byte miss ratio 0.1947
result/w59.oracleGeneral.bin.zst ARC cache size   820085, 10223136 req, miss ratio 0.1098, byte miss ratio 0.1098
result/w59.oracleGeneral.bin.zst S3FIFO-1 cache size     1025, 10223136 req, miss ratio 0.9662, byte miss ratio 0.9662
result/w59.oracleGeneral.bin.zst S3FIFO-1 cache size     3075, 10223136 req, miss ratio 0.9286, byte miss ratio 0.9286
result/w59.oracleGeneral.bin.zst S3FIFO-1 cache size    10251, 10223136 req, miss ratio 0.8556, byte miss ratio 0.8556
result/w59.oracleGeneral.bin.zst S3FIFO-1 cache size    30753, 10223136 req, miss ratio 0.7475, byte miss ratio 0.7475
result/w59.oracleGeneral.bin.zst S3FIFO-1 cache size   102510, 10223136 req, miss ratio 0.5909, byte miss ratio 0.5909
result/w59.oracleGeneral.bin.zst S3FIFO-1 cache size   205021, 10223136 req, miss ratio 0.4520, byte miss ratio 0.4520
result/w59.oracleGeneral.bin.zst S3FIFO-1 cache size   410042, 10223136 req, miss ratio 0.1948, byte miss ratio 0.1948
result/w59.oracleGeneral.bin.zst S3FIFO-1 cache size   820085, 10223136 req, miss ratio 0.1101, byte miss ratio 0.1101
result/w59.oracleGeneral.bin.zst Cacheus cache size     1025, 10223136 req, miss ratio 0.9680, byte miss ratio 0.9680
result/w59.oracleGeneral.bin.zst Cacheus cache size     3075, 10223136 req, miss ratio 0.9343, byte miss ratio 0.9343
result/w59.oracleGeneral.bin.zst Cacheus cache size    10251, 10223136 req, miss ratio 0.8675, byte miss ratio 0.8675
result/w59.oracleGeneral.bin.zst Cacheus cache size    30753, 10223136 req, miss ratio 0.7638, byte miss ratio 0.7638
result/w59.oracleGeneral.bin.zst Cacheus cache size   102510, 10223136 req, miss ratio 0.6078, byte miss ratio 0.6078
result/w59.oracleGeneral.bin.zst Cacheus cache size   205021, 10223136 req, miss ratio 0.4536, byte miss ratio 0.4536
result/w59.oracleGeneral.bin.zst Cacheus cache size   410042, 10223136 req, miss ratio 0.2028, byte miss ratio 0.2028
result/w59.oracleGeneral.bin.zst Cacheus cache size   820085, 10223136 req, miss ratio 0.1069, byte miss ratio 0.1069
result/w59.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1025, 10223136 req, miss ratio 0.9658, byte miss ratio 0.9658
result/w59.oracleGeneral.bin.zst S3FIFO-d-1 cache size     3075, 10223136 req, miss ratio 0.9285, byte miss ratio 0.9285
result/w59.oracleGeneral.bin.zst S3FIFO-d-1 cache size    10251, 10223136 req, miss ratio 0.8553, byte miss ratio 0.8553
result/w59.oracleGeneral.bin.zst S3FIFO-d-1 cache size    30753, 10223136 req, miss ratio 0.7482, byte miss ratio 0.7482
result/w59.oracleGeneral.bin.zst S3FIFO-d-1 cache size   102510, 10223136 req, miss ratio 0.5986, byte miss ratio 0.5986
result/w59.oracleGeneral.bin.zst S3FIFO-d-1 cache size   205021, 10223136 req, miss ratio 0.4414, byte miss ratio 0.4414
result/w59.oracleGeneral.bin.zst S3FIFO-d-1 cache size   410042, 10223136 req, miss ratio 0.1929, byte miss ratio 0.1929
result/w59.oracleGeneral.bin.zst S3FIFO-d-1 cache size   820085, 10223136 req, miss ratio 0.1139, byte miss ratio 0.1139
result/w59.oracleGeneral.bin.zst LRB cache size     1025, 10223136 req, miss ratio 0.9663, byte miss ratio 0.9663
result/w59.oracleGeneral.bin.zst LRB cache size     3075, 10223136 req, miss ratio 0.9317, byte miss ratio 0.9317
result/w59.oracleGeneral.bin.zst LRB cache size    10251, 10223136 req, miss ratio 0.8604, byte miss ratio 0.8604
result/w59.oracleGeneral.bin.zst LRB cache size    30753, 10223136 req, miss ratio 0.7795, byte miss ratio 0.7795
result/w59.oracleGeneral.bin.zst LRB cache size   102510, 10223136 req, miss ratio 0.6214, byte miss ratio 0.6214
result/w59.oracleGeneral.bin.zst LRB cache size   205021, 10223136 req, miss ratio 0.4347, byte miss ratio 0.4347
result/w59.oracleGeneral.bin.zst LRB cache size   410042, 10223136 req, miss ratio 0.2215, byte miss ratio 0.2215
result/w59.oracleGeneral.bin.zst LRB cache size   820085, 10223136 req, miss ratio 0.1138, byte miss ratio 0.1138
result/w59.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1025, 10223136 req, miss ratio 0.9839, byte miss ratio 0.9839
result/w59.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     3075, 10223136 req, miss ratio 0.9603, byte miss ratio 0.9603
result/w59.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    10251, 10223136 req, miss ratio 0.9070, byte miss ratio 0.9070
result/w59.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    30753, 10223136 req, miss ratio 0.8117, byte miss ratio 0.8117
result/w59.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   102510, 10223136 req, miss ratio 0.6298, byte miss ratio 0.6298
result/w59.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   205021, 10223136 req, miss ratio 0.4611, byte miss ratio 0.4611
result/w59.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   410042, 10223136 req, miss ratio 0.2359, byte miss ratio 0.2359
result/w59.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   820085, 10223136 req, miss ratio 0.1203, byte miss ratio 0.1203
result/w59.oracleGeneral.bin.zst TwoQ cache size     1025, 10223136 req, miss ratio 0.9717, byte miss ratio 0.9717
result/w59.oracleGeneral.bin.zst TwoQ cache size     3075, 10223136 req, miss ratio 0.9375, byte miss ratio 0.9375
result/w59.oracleGeneral.bin.zst TwoQ cache size    10251, 10223136 req, miss ratio 0.8722, byte miss ratio 0.8722
result/w59.oracleGeneral.bin.zst TwoQ cache size    30753, 10223136 req, miss ratio 0.7692, byte miss ratio 0.7692
result/w59.oracleGeneral.bin.zst TwoQ cache size   102510, 10223136 req, miss ratio 0.6093, byte miss ratio 0.6093
result/w59.oracleGeneral.bin.zst TwoQ cache size   205021, 10223136 req, miss ratio 0.4518, byte miss ratio 0.4518
result/w59.oracleGeneral.bin.zst TwoQ cache size   410042, 10223136 req, miss ratio 0.2192, byte miss ratio 0.2192
result/w59.oracleGeneral.bin.zst TwoQ cache size   820085, 10223136 req, miss ratio 0.1250, byte miss ratio 0.1250
result/w59.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1025, 10223136 req, miss ratio 0.9849, byte miss ratio 0.9849
result/w59.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     3075, 10223136 req, miss ratio 0.9480, byte miss ratio 0.9480
result/w59.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    10251, 10223136 req, miss ratio 0.8926, byte miss ratio 0.8926
result/w59.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    30753, 10223136 req, miss ratio 0.8009, byte miss ratio 0.8009
result/w59.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   102510, 10223136 req, miss ratio 0.6065, byte miss ratio 0.6065
result/w59.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   205021, 10223136 req, miss ratio 0.4458, byte miss ratio 0.4458
result/w59.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   410042, 10223136 req, miss ratio 0.2018, byte miss ratio 0.2018
