result/cdn2_allcolo.ns8937.oracleGeneral.zst Clock cache size    14501, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst Clock cache size    29002, 3509388 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns8937.oracleGeneral.zst clock2 cache size       36, 3509388 req, miss ratio 0.0128, byte miss ratio 0.0128
result/cdn2_allcolo.ns8937.oracleGeneral.zst clock2 cache size      108, 3509388 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_allcolo.ns8937.oracleGeneral.zst clock2 cache size      362, 3509388 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_allcolo.ns8937.oracleGeneral.zst clock2 cache size     1087, 3509388 req, miss ratio 0.0108, byte miss ratio 0.0108
result/cdn2_allcolo.ns8937.oracleGeneral.zst clock2 cache size     3625, 3509388 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns8937.oracleGeneral.zst clock2 cache size     7250, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst clock2 cache size    14501, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst clock2 cache size    29002, 3509388 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-1 cache size       36, 3509388 req, miss ratio 0.0121, byte miss ratio 0.0121
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-1 cache size      108, 3509388 req, miss ratio 0.0114, byte miss ratio 0.0114
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-1 cache size      362, 3509388 req, miss ratio 0.0109, byte miss ratio 0.0109
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-1 cache size     1087, 3509388 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-1 cache size     3625, 3509388 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-1 cache size     7250, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-1 cache size    14501, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-1 cache size    29002, 3509388 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns8937.oracleGeneral.zst LeCaR cache size       36, 3509388 req, miss ratio 0.0130, byte miss ratio 0.0130
result/cdn2_allcolo.ns8937.oracleGeneral.zst LeCaR cache size      108, 3509388 req, miss ratio 0.0120, byte miss ratio 0.0120
