result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO-1 cache size    88735, 1009487 req, miss ratio 0.1122, byte miss ratio 0.1122
result/tencentBlock.ns16320.oracleGeneral.zst clock2 cache size      110, 1009487 req, miss ratio 0.6214, byte miss ratio 0.6214
result/tencentBlock.ns16320.oracleGeneral.zst clock2 cache size      332, 1009487 req, miss ratio 0.5388, byte miss ratio 0.5388
result/tencentBlock.ns16320.oracleGeneral.zst clock2 cache size     1109, 1009487 req, miss ratio 0.4872, byte miss ratio 0.4872
result/tencentBlock.ns16320.oracleGeneral.zst clock2 cache size     3327, 1009487 req, miss ratio 0.4419, byte miss ratio 0.4419
result/tencentBlock.ns16320.oracleGeneral.zst clock2 cache size    11091, 1009487 req, miss ratio 0.3356, byte miss ratio 0.3356
result/tencentBlock.ns16320.oracleGeneral.zst clock2 cache size    22183, 1009487 req, miss ratio 0.1960, byte miss ratio 0.1960
result/tencentBlock.ns16320.oracleGeneral.zst clock2 cache size    44367, 1009487 req, miss ratio 0.1516, byte miss ratio 0.1516
result/tencentBlock.ns16320.oracleGeneral.zst clock2 cache size    88735, 1009487 req, miss ratio 0.1122, byte miss ratio 0.1122
result/tencentBlock.ns16320.oracleGeneral.zst LHD cache size      110, 1009487 req, miss ratio 0.6074, byte miss ratio 0.6074
result/tencentBlock.ns16320.oracleGeneral.zst LHD cache size      332, 1009487 req, miss ratio 0.5366, byte miss ratio 0.5366
result/tencentBlock.ns16320.oracleGeneral.zst LHD cache size     1109, 1009487 req, miss ratio 0.4922, byte miss ratio 0.4922
result/tencentBlock.ns16320.oracleGeneral.zst LHD cache size     3327, 1009487 req, miss ratio 0.4439, byte miss ratio 0.4439
result/tencentBlock.ns16320.oracleGeneral.zst LHD cache size    11091, 1009487 req, miss ratio 0.3376, byte miss ratio 0.3376
result/tencentBlock.ns16320.oracleGeneral.zst LHD cache size    22183, 1009487 req, miss ratio 0.2058, byte miss ratio 0.2058
result/tencentBlock.ns16320.oracleGeneral.zst LHD cache size    44367, 1009487 req, miss ratio 0.1475, byte miss ratio 0.1475
result/tencentBlock.ns16320.oracleGeneral.zst LHD cache size    88735, 1009487 req, miss ratio 0.1120, byte miss ratio 0.1120
result/tencentBlock.ns16320.oracleGeneral.zst LRU cache size      110, 1009487 req, miss ratio 0.6318, byte miss ratio 0.6318
result/tencentBlock.ns16320.oracleGeneral.zst LRU cache size      332, 1009487 req, miss ratio 0.5490, byte miss ratio 0.5490
result/tencentBlock.ns16320.oracleGeneral.zst LRU cache size     1109, 1009487 req, miss ratio 0.4950, byte miss ratio 0.4950
result/tencentBlock.ns16320.oracleGeneral.zst LRU cache size     3327, 1009487 req, miss ratio 0.4505, byte miss ratio 0.4505
result/tencentBlock.ns16320.oracleGeneral.zst LRU cache size    11091, 1009487 req, miss ratio 0.3520, byte miss ratio 0.3520
result/tencentBlock.ns16320.oracleGeneral.zst LRU cache size    22183, 1009487 req, miss ratio 0.2060, byte miss ratio 0.2060
result/tencentBlock.ns16320.oracleGeneral.zst LRU cache size    44367, 1009487 req, miss ratio 0.1456, byte miss ratio 0.1456
result/tencentBlock.ns16320.oracleGeneral.zst LRU cache size    88735, 1009487 req, miss ratio 0.1121, byte miss ratio 0.1121
result/tencentBlock.ns16320.oracleGeneral.zst ARC cache size      110, 1009487 req, miss ratio 0.5770, byte miss ratio 0.5770
result/tencentBlock.ns16320.oracleGeneral.zst ARC cache size      332, 1009487 req, miss ratio 0.5116, byte miss ratio 0.5116
result/tencentBlock.ns16320.oracleGeneral.zst ARC cache size     1109, 1009487 req, miss ratio 0.4748, byte miss ratio 0.4748
result/tencentBlock.ns16320.oracleGeneral.zst ARC cache size     3327, 1009487 req, miss ratio 0.4059, byte miss ratio 0.4059
result/tencentBlock.ns16320.oracleGeneral.zst ARC cache size    11091, 1009487 req, miss ratio 0.2985, byte miss ratio 0.2985
result/tencentBlock.ns16320.oracleGeneral.zst ARC cache size    22183, 1009487 req, miss ratio 0.1787, byte miss ratio 0.1787
result/tencentBlock.ns16320.oracleGeneral.zst ARC cache size    44367, 1009487 req, miss ratio 0.1464, byte miss ratio 0.1464
result/tencentBlock.ns16320.oracleGeneral.zst ARC cache size    88735, 1009487 req, miss ratio 0.1122, byte miss ratio 0.1122
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO-d-1 cache size      110, 1009487 req, miss ratio 0.5776, byte miss ratio 0.5776
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO-d-1 cache size      332, 1009487 req, miss ratio 0.5119, byte miss ratio 0.5119
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO-d-1 cache size     1109, 1009487 req, miss ratio 0.4716, byte miss ratio 0.4716
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO-d-1 cache size     3327, 1009487 req, miss ratio 0.3986, byte miss ratio 0.3986
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO-d-1 cache size    11091, 1009487 req, miss ratio 0.2743, byte miss ratio 0.2743
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO-d-1 cache size    22183, 1009487 req, miss ratio 0.1823, byte miss ratio 0.1823
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO-d-1 cache size    44367, 1009487 req, miss ratio 0.1449, byte miss ratio 0.1449
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO-d-1 cache size    88735, 1009487 req, miss ratio 0.1122, byte miss ratio 0.1122
result/tencentBlock.ns16320.oracleGeneral.zst LRB cache size      110, 1009487 req, miss ratio 0.5953, byte miss ratio 0.5953
result/tencentBlock.ns16320.oracleGeneral.zst LRB cache size      332, 1009487 req, miss ratio 0.5205, byte miss ratio 0.5205
result/tencentBlock.ns16320.oracleGeneral.zst LRB cache size     1109, 1009487 req, miss ratio 0.4693, byte miss ratio 0.4693
result/tencentBlock.ns16320.oracleGeneral.zst LRB cache size     3327, 1009487 req, miss ratio 0.4176, byte miss ratio 0.4176
result/tencentBlock.ns16320.oracleGeneral.zst LRB cache size    11091, 1009487 req, miss ratio 0.3115, byte miss ratio 0.3115
result/tencentBlock.ns16320.oracleGeneral.zst LRB cache size    22183, 1009487 req, miss ratio 0.1919, byte miss ratio 0.1919
result/tencentBlock.ns16320.oracleGeneral.zst LRB cache size    44367, 1009487 req, miss ratio 0.1415, byte miss ratio 0.1415
result/tencentBlock.ns16320.oracleGeneral.zst LRB cache size    88735, 1009487 req, miss ratio 0.1121, byte miss ratio 0.1121
result/tencentBlock.ns16320.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      110, 1009487 req, miss ratio 0.6287, byte miss ratio 0.6287
result/tencentBlock.ns16320.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      332, 1009487 req, miss ratio 0.5462, byte miss ratio 0.5462
result/tencentBlock.ns16320.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1109, 1009487 req, miss ratio 0.4925, byte miss ratio 0.4925
result/tencentBlock.ns16320.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3327, 1009487 req, miss ratio 0.4425, byte miss ratio 0.4425
result/tencentBlock.ns16320.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    11091, 1009487 req, miss ratio 0.3346, byte miss ratio 0.3346
result/tencentBlock.ns16320.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    22183, 1009487 req, miss ratio 0.2364, byte miss ratio 0.2364
result/tencentBlock.ns16320.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    44367, 1009487 req, miss ratio 0.1583, byte miss ratio 0.1583
result/tencentBlock.ns16320.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    88735, 1009487 req, miss ratio 0.1153, byte miss ratio 0.1153
result/tencentBlock.ns16320.oracleGeneral.zst TwoQ cache size      110, 1009487 req, miss ratio 0.5813, byte miss ratio 0.5813
result/tencentBlock.ns16320.oracleGeneral.zst TwoQ cache size      332, 1009487 req, miss ratio 0.5167, byte miss ratio 0.5167
result/tencentBlock.ns16320.oracleGeneral.zst TwoQ cache size     1109, 1009487 req, miss ratio 0.4762, byte miss ratio 0.4762
result/tencentBlock.ns16320.oracleGeneral.zst TwoQ cache size     3327, 1009487 req, miss ratio 0.4046, byte miss ratio 0.4046
result/tencentBlock.ns16320.oracleGeneral.zst TwoQ cache size    11091, 1009487 req, miss ratio 0.2845, byte miss ratio 0.2845
result/tencentBlock.ns16320.oracleGeneral.zst TwoQ cache size    22183, 1009487 req, miss ratio 0.1948, byte miss ratio 0.1948
result/tencentBlock.ns16320.oracleGeneral.zst TwoQ cache size    44367, 1009487 req, miss ratio 0.1529, byte miss ratio 0.1529
result/tencentBlock.ns16320.oracleGeneral.zst TwoQ cache size    88735, 1009487 req, miss ratio 0.1170, byte miss ratio 0.1170
result/tencentBlock.ns16320.oracleGeneral.zst S4LRU(25:25:25:25) cache size      110, 1009487 req, miss ratio 0.5985, byte miss ratio 0.5985
