result/tencentBlock.ns17026.oracleGeneral.zst LIRS cache size      493, 4421028 req, miss ratio 0.5486, byte miss ratio 0.5486
result/tencentBlock.ns17026.oracleGeneral.zst LIRS cache size     1479, 4421028 req, miss ratio 0.3709, byte miss ratio 0.3709
result/tencentBlock.ns17026.oracleGeneral.zst LIRS cache size     4932, 4421028 req, miss ratio 0.3113, byte miss ratio 0.3113
result/tencentBlock.ns17026.oracleGeneral.zst LIRS cache size    14797, 4421028 req, miss ratio 0.2687, byte miss ratio 0.2687
result/tencentBlock.ns17026.oracleGeneral.zst LIRS cache size    49324, 4421028 req, miss ratio 0.2234, byte miss ratio 0.2234
result/tencentBlock.ns17026.oracleGeneral.zst LIRS cache size    98648, 4421028 req, miss ratio 0.1779, byte miss ratio 0.1779
result/tencentBlock.ns17026.oracleGeneral.zst LIRS cache size   197297, 4421028 req, miss ratio 0.1337, byte miss ratio 0.1337
result/tencentBlock.ns17026.oracleGeneral.zst LIRS cache size   394595, 4421028 req, miss ratio 0.1148, byte miss ratio 0.1148
result/tencentBlock.ns17026.oracleGeneral.zst Clock cache size      493, 4421028 req, miss ratio 0.5213, byte miss ratio 0.5213
result/tencentBlock.ns17026.oracleGeneral.zst Clock cache size     1479, 4421028 req, miss ratio 0.4142, byte miss ratio 0.4142
result/tencentBlock.ns17026.oracleGeneral.zst Clock cache size     4932, 4421028 req, miss ratio 0.3064, byte miss ratio 0.3064
result/tencentBlock.ns17026.oracleGeneral.zst Clock cache size    14797, 4421028 req, miss ratio 0.2780, byte miss ratio 0.2780
result/tencentBlock.ns17026.oracleGeneral.zst Clock cache size    49324, 4421028 req, miss ratio 0.2144, byte miss ratio 0.2144
result/tencentBlock.ns17026.oracleGeneral.zst Clock cache size    98648, 4421028 req, miss ratio 0.1758, byte miss ratio 0.1758
result/tencentBlock.ns17026.oracleGeneral.zst Clock cache size   197297, 4421028 req, miss ratio 0.1278, byte miss ratio 0.1278
result/tencentBlock.ns17026.oracleGeneral.zst Clock cache size   394595, 4421028 req, miss ratio 0.1126, byte miss ratio 0.1126
result/tencentBlock.ns17026.oracleGeneral.zst LHD cache size      493, 4421028 req, miss ratio 0.5206, byte miss ratio 0.5206
