result/tencentBlock.ns14918.oracleGeneral.zst ARC cache size       95, 2373929 req, miss ratio 0.2399, byte miss ratio 0.2399
result/tencentBlock.ns14918.oracleGeneral.zst ARC cache size      285, 2373929 req, miss ratio 0.2055, byte miss ratio 0.2055
result/tencentBlock.ns14918.oracleGeneral.zst ARC cache size      953, 2373929 req, miss ratio 0.1859, byte miss ratio 0.1859
result/tencentBlock.ns14918.oracleGeneral.zst ARC cache size     2859, 2373929 req, miss ratio 0.1381, byte miss ratio 0.1381
result/tencentBlock.ns14918.oracleGeneral.zst ARC cache size     9531, 2373929 req, miss ratio 0.1137, byte miss ratio 0.1137
result/tencentBlock.ns14918.oracleGeneral.zst ARC cache size    19063, 2373929 req, miss ratio 0.0804, byte miss ratio 0.0804
result/tencentBlock.ns14918.oracleGeneral.zst ARC cache size    38127, 2373929 req, miss ratio 0.0534, byte miss ratio 0.0534
result/tencentBlock.ns14918.oracleGeneral.zst ARC cache size    76255, 2373929 req, miss ratio 0.0443, byte miss ratio 0.0443
result/tencentBlock.ns14918.oracleGeneral.zst Cacheus cache size       95, 2373929 req, miss ratio 0.2586, byte miss ratio 0.2586
result/tencentBlock.ns14918.oracleGeneral.zst Cacheus cache size      285, 2373929 req, miss ratio 0.2051, byte miss ratio 0.2051
result/tencentBlock.ns14918.oracleGeneral.zst Cacheus cache size      953, 2373929 req, miss ratio 0.1862, byte miss ratio 0.1862
result/tencentBlock.ns14918.oracleGeneral.zst Cacheus cache size     2859, 2373929 req, miss ratio 0.1671, byte miss ratio 0.1671
result/tencentBlock.ns14918.oracleGeneral.zst Cacheus cache size     9531, 2373929 req, miss ratio 0.1144, byte miss ratio 0.1144
result/tencentBlock.ns14918.oracleGeneral.zst Cacheus cache size    19063, 2373929 req, miss ratio 0.0817, byte miss ratio 0.0817
result/tencentBlock.ns14918.oracleGeneral.zst Cacheus cache size    38127, 2373929 req, miss ratio 0.0542, byte miss ratio 0.0542
result/tencentBlock.ns14918.oracleGeneral.zst Cacheus cache size    76255, 2373929 req, miss ratio 0.0443, byte miss ratio 0.0443
result/tencentBlock.ns14918.oracleGeneral.zst LeCaR cache size       95, 2373929 req, miss ratio 0.2727, byte miss ratio 0.2727
result/tencentBlock.ns14918.oracleGeneral.zst LeCaR cache size      285, 2373929 req, miss ratio 0.2101, byte miss ratio 0.2101
result/tencentBlock.ns14918.oracleGeneral.zst LeCaR cache size      953, 2373929 req, miss ratio 0.1882, byte miss ratio 0.1882
result/tencentBlock.ns14918.oracleGeneral.zst LeCaR cache size     2859, 2373929 req, miss ratio 0.1722, byte miss ratio 0.1722
result/tencentBlock.ns14918.oracleGeneral.zst LeCaR cache size     9531, 2373929 req, miss ratio 0.1159, byte miss ratio 0.1159
result/tencentBlock.ns14918.oracleGeneral.zst LeCaR cache size    19063, 2373929 req, miss ratio 0.0816, byte miss ratio 0.0816
result/tencentBlock.ns14918.oracleGeneral.zst LeCaR cache size    38127, 2373929 req, miss ratio 0.0517, byte miss ratio 0.0517
result/tencentBlock.ns14918.oracleGeneral.zst LeCaR cache size    76255, 2373929 req, miss ratio 0.0444, byte miss ratio 0.0444
result/tencentBlock.ns14918.oracleGeneral.zst LHD cache size       95, 2373929 req, miss ratio 0.2695, byte miss ratio 0.2695
result/tencentBlock.ns14918.oracleGeneral.zst LHD cache size      285, 2373929 req, miss ratio 0.2109, byte miss ratio 0.2109
result/tencentBlock.ns14918.oracleGeneral.zst LHD cache size      953, 2373929 req, miss ratio 0.1883, byte miss ratio 0.1883
result/tencentBlock.ns14918.oracleGeneral.zst LHD cache size     2859, 2373929 req, miss ratio 0.1709, byte miss ratio 0.1709
result/tencentBlock.ns14918.oracleGeneral.zst LHD cache size     9531, 2373929 req, miss ratio 0.1166, byte miss ratio 0.1166
result/tencentBlock.ns14918.oracleGeneral.zst LHD cache size    19063, 2373929 req, miss ratio 0.0830, byte miss ratio 0.0830
result/tencentBlock.ns14918.oracleGeneral.zst LHD cache size    38127, 2373929 req, miss ratio 0.0549, byte miss ratio 0.0549
result/tencentBlock.ns14918.oracleGeneral.zst LHD cache size    76255, 2373929 req, miss ratio 0.0426, byte miss ratio 0.0426
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-d-1 cache size       95, 2373929 req, miss ratio 0.2497, byte miss ratio 0.2497
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-d-1 cache size      285, 2373929 req, miss ratio 0.2056, byte miss ratio 0.2056
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-d-1 cache size      953, 2373929 req, miss ratio 0.1844, byte miss ratio 0.1844
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-d-1 cache size     2859, 2373929 req, miss ratio 0.1366, byte miss ratio 0.1366
