result/tencentBlock.ns7160.oracleGeneral.zst LHD cache size     1034, 16514846 req, miss ratio 0.8673, byte miss ratio 0.8673
result/tencentBlock.ns7160.oracleGeneral.zst LHD cache size     3104, 16514846 req, miss ratio 0.7341, byte miss ratio 0.7341
result/tencentBlock.ns7160.oracleGeneral.zst LHD cache size    10349, 16514846 req, miss ratio 0.5883, byte miss ratio 0.5883
result/tencentBlock.ns7160.oracleGeneral.zst LHD cache size    31048, 16514846 req, miss ratio 0.4819, byte miss ratio 0.4819
result/tencentBlock.ns7160.oracleGeneral.zst LHD cache size   103494, 16514846 req, miss ratio 0.3214, byte miss ratio 0.3214
result/tencentBlock.ns7160.oracleGeneral.zst LHD cache size   206989, 16514846 req, miss ratio 0.1970, byte miss ratio 0.1970
result/tencentBlock.ns7160.oracleGeneral.zst LHD cache size   413979, 16514846 req, miss ratio 0.1100, byte miss ratio 0.1100
result/tencentBlock.ns7160.oracleGeneral.zst LHD cache size   827958, 16514846 req, miss ratio 0.0668, byte miss ratio 0.0668
result/tencentBlock.ns7160.oracleGeneral.zst LRU cache size     1034, 16514846 req, miss ratio 0.8771, byte miss ratio 0.8771
result/tencentBlock.ns7160.oracleGeneral.zst LRU cache size     3104, 16514846 req, miss ratio 0.7388, byte miss ratio 0.7388
result/tencentBlock.ns7160.oracleGeneral.zst LRU cache size    10349, 16514846 req, miss ratio 0.5898, byte miss ratio 0.5898
result/tencentBlock.ns7160.oracleGeneral.zst LRU cache size    31048, 16514846 req, miss ratio 0.4952, byte miss ratio 0.4952
result/tencentBlock.ns7160.oracleGeneral.zst LRU cache size   103494, 16514846 req, miss ratio 0.3387, byte miss ratio 0.3387
result/tencentBlock.ns7160.oracleGeneral.zst LRU cache size   206989, 16514846 req, miss ratio 0.2056, byte miss ratio 0.2056
result/tencentBlock.ns7160.oracleGeneral.zst LRU cache size   413979, 16514846 req, miss ratio 0.1096, byte miss ratio 0.1096
result/tencentBlock.ns7160.oracleGeneral.zst LRU cache size   827958, 16514846 req, miss ratio 0.0648, byte miss ratio 0.0648
result/tencentBlock.ns7160.oracleGeneral.zst FIFO cache size     1034, 16514846 req, miss ratio 0.8821, byte miss ratio 0.8821
result/tencentBlock.ns7160.oracleGeneral.zst FIFO cache size     3104, 16514846 req, miss ratio 0.7597, byte miss ratio 0.7597
result/tencentBlock.ns7160.oracleGeneral.zst FIFO cache size    10349, 16514846 req, miss ratio 0.6116, byte miss ratio 0.6116
result/tencentBlock.ns7160.oracleGeneral.zst FIFO cache size    31048, 16514846 req, miss ratio 0.5133, byte miss ratio 0.5133
result/tencentBlock.ns7160.oracleGeneral.zst FIFO cache size   103494, 16514846 req, miss ratio 0.3638, byte miss ratio 0.3638
result/tencentBlock.ns7160.oracleGeneral.zst FIFO cache size   206989, 16514846 req, miss ratio 0.2433, byte miss ratio 0.2433
result/tencentBlock.ns7160.oracleGeneral.zst FIFO cache size   413979, 16514846 req, miss ratio 0.1390, byte miss ratio 0.1390
result/tencentBlock.ns7160.oracleGeneral.zst FIFO cache size   827958, 16514846 req, miss ratio 0.0759, byte miss ratio 0.0759
result/tencentBlock.ns7160.oracleGeneral.zst LeCaR cache size     1034, 16514846 req, miss ratio 0.8722, byte miss ratio 0.8722
result/tencentBlock.ns7160.oracleGeneral.zst LeCaR cache size     3104, 16514846 req, miss ratio 0.7347, byte miss ratio 0.7347
result/tencentBlock.ns7160.oracleGeneral.zst LeCaR cache size    10349, 16514846 req, miss ratio 0.5875, byte miss ratio 0.5875
result/tencentBlock.ns7160.oracleGeneral.zst LeCaR cache size    31048, 16514846 req, miss ratio 0.4903, byte miss ratio 0.4903
result/tencentBlock.ns7160.oracleGeneral.zst LeCaR cache size   103494, 16514846 req, miss ratio 0.3326, byte miss ratio 0.3326
result/tencentBlock.ns7160.oracleGeneral.zst LeCaR cache size   206989, 16514846 req, miss ratio 0.1979, byte miss ratio 0.1979
result/tencentBlock.ns7160.oracleGeneral.zst LeCaR cache size   413979, 16514846 req, miss ratio 0.1093, byte miss ratio 0.1093
result/tencentBlock.ns7160.oracleGeneral.zst LeCaR cache size   827958, 16514846 req, miss ratio 0.0648, byte miss ratio 0.0648
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO-d-1 cache size     1034, 16514846 req, miss ratio 0.8533, byte miss ratio 0.8533
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO-d-1 cache size     3104, 16514846 req, miss ratio 0.7304, byte miss ratio 0.7304
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO-d-1 cache size    10349, 16514846 req, miss ratio 0.5852, byte miss ratio 0.5852
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO-d-1 cache size    31048, 16514846 req, miss ratio 0.4788, byte miss ratio 0.4788
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO-d-1 cache size   103494, 16514846 req, miss ratio 0.3255, byte miss ratio 0.3255
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO-d-1 cache size   206989, 16514846 req, miss ratio 0.1971, byte miss ratio 0.1971
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO-d-1 cache size   413979, 16514846 req, miss ratio 0.1081, byte miss ratio 0.1081
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO-d-1 cache size   827958, 16514846 req, miss ratio 0.0686, byte miss ratio 0.0686
result/tencentBlock.ns7160.oracleGeneral.zst LRB cache size     1034, 16514846 req, miss ratio 0.8509, byte miss ratio 0.8509
result/tencentBlock.ns7160.oracleGeneral.zst LRB cache size     3104, 16514846 req, miss ratio 0.7541, byte miss ratio 0.7541
result/tencentBlock.ns7160.oracleGeneral.zst LRB cache size    10349, 16514846 req, miss ratio 0.6202, byte miss ratio 0.6202
result/tencentBlock.ns7160.oracleGeneral.zst LRB cache size    31048, 16514846 req, miss ratio 0.5064, byte miss ratio 0.5064
result/tencentBlock.ns7160.oracleGeneral.zst LRB cache size   103494, 16514846 req, miss ratio 0.3236, byte miss ratio 0.3236
result/tencentBlock.ns7160.oracleGeneral.zst LRB cache size   206989, 16514846 req, miss ratio 0.2063, byte miss ratio 0.2063
result/tencentBlock.ns7160.oracleGeneral.zst LRB cache size   413979, 16514846 req, miss ratio 0.1225, byte miss ratio 0.1225
result/tencentBlock.ns7160.oracleGeneral.zst LRB cache size   827958, 16514846 req, miss ratio 0.0671, byte miss ratio 0.0671
result/tencentBlock.ns7160.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1034, 16514846 req, miss ratio 0.8783, byte miss ratio 0.8783
result/tencentBlock.ns7160.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3104, 16514846 req, miss ratio 0.7969, byte miss ratio 0.7969
result/tencentBlock.ns7160.oracleGeneral.zst S4LRU(25:25:25:25) cache size    10349, 16514846 req, miss ratio 0.6198, byte miss ratio 0.6198
result/tencentBlock.ns7160.oracleGeneral.zst S4LRU(25:25:25:25) cache size    31048, 16514846 req, miss ratio 0.4851, byte miss ratio 0.4851
result/tencentBlock.ns7160.oracleGeneral.zst S4LRU(25:25:25:25) cache size   103494, 16514846 req, miss ratio 0.3289, byte miss ratio 0.3289
result/tencentBlock.ns7160.oracleGeneral.zst S4LRU(25:25:25:25) cache size   206989, 16514846 req, miss ratio 0.1942, byte miss ratio 0.1942
result/tencentBlock.ns7160.oracleGeneral.zst S4LRU(25:25:25:25) cache size   413979, 16514846 req, miss ratio 0.1077, byte miss ratio 0.1077
result/tencentBlock.ns7160.oracleGeneral.zst S4LRU(25:25:25:25) cache size   827958, 16514846 req, miss ratio 0.0657, byte miss ratio 0.0657
result/tencentBlock.ns7160.oracleGeneral.zst TwoQ cache size     1034, 16514846 req, miss ratio 0.8599, byte miss ratio 0.8599
result/tencentBlock.ns7160.oracleGeneral.zst TwoQ cache size     3104, 16514846 req, miss ratio 0.7504, byte miss ratio 0.7504
result/tencentBlock.ns7160.oracleGeneral.zst TwoQ cache size    10349, 16514846 req, miss ratio 0.6191, byte miss ratio 0.6191
result/tencentBlock.ns7160.oracleGeneral.zst TwoQ cache size    31048, 16514846 req, miss ratio 0.4874, byte miss ratio 0.4874
result/tencentBlock.ns7160.oracleGeneral.zst TwoQ cache size   103494, 16514846 req, miss ratio 0.3163, byte miss ratio 0.3163
result/tencentBlock.ns7160.oracleGeneral.zst TwoQ cache size   206989, 16514846 req, miss ratio 0.2002, byte miss ratio 0.2002
result/tencentBlock.ns7160.oracleGeneral.zst TwoQ cache size   413979, 16514846 req, miss ratio 0.1178, byte miss ratio 0.1178
result/tencentBlock.ns7160.oracleGeneral.zst TwoQ cache size   827958, 16514846 req, miss ratio 0.0759, byte miss ratio 0.0759
result/tencentBlock.ns7160.oracleGeneral.zst B-LRU cache size     1034, 16514846 req, miss ratio 0.8927, byte miss ratio 0.8927
result/tencentBlock.ns7160.oracleGeneral.zst B-LRU cache size     3104, 16514846 req, miss ratio 0.7545, byte miss ratio 0.7545
result/tencentBlock.ns7160.oracleGeneral.zst B-LRU cache size    10349, 16514846 req, miss ratio 0.6093, byte miss ratio 0.6093
result/tencentBlock.ns7160.oracleGeneral.zst B-LRU cache size    31048, 16514846 req, miss ratio 0.5163, byte miss ratio 0.5163
result/tencentBlock.ns7160.oracleGeneral.zst B-LRU cache size   103494, 16514846 req, miss ratio 0.3588, byte miss ratio 0.3588
result/tencentBlock.ns7160.oracleGeneral.zst B-LRU cache size   206989, 16514846 req, miss ratio 0.2300, byte miss ratio 0.2300
result/tencentBlock.ns7160.oracleGeneral.zst B-LRU cache size   413979, 16514846 req, miss ratio 0.1480, byte miss ratio 0.1480
result/tencentBlock.ns7160.oracleGeneral.zst B-LRU cache size   827958, 16514846 req, miss ratio 0.1177, byte miss ratio 0.1177
result/tencentBlock.ns7160.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1034, 16514846 req, miss ratio 0.8666, byte miss ratio 0.8666
result/tencentBlock.ns7160.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3104, 16514846 req, miss ratio 0.7568, byte miss ratio 0.7568
result/tencentBlock.ns7160.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10349, 16514846 req, miss ratio 0.6235, byte miss ratio 0.6235
result/tencentBlock.ns7160.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    31048, 16514846 req, miss ratio 0.5053, byte miss ratio 0.5053
result/tencentBlock.ns7160.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   103494, 16514846 req, miss ratio 0.3499, byte miss ratio 0.3499
result/tencentBlock.ns7160.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   206989, 16514846 req, miss ratio 0.2298, byte miss ratio 0.2298
result/tencentBlock.ns7160.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   413979, 16514846 req, miss ratio 0.1247, byte miss ratio 0.1247
result/tencentBlock.ns7160.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   827958, 16514846 req, miss ratio 0.0726, byte miss ratio 0.0726
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO-d cache size     1034, 16514846 req, miss ratio 0.8784, byte miss ratio 0.8784
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO-d cache size     3104, 16514846 req, miss ratio 0.7473, byte miss ratio 0.7473
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO-d cache size    10349, 16514846 req, miss ratio 0.5890, byte miss ratio 0.5890
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO-d cache size    31048, 16514846 req, miss ratio 0.4755, byte miss ratio 0.4755
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO-d cache size   103494, 16514846 req, miss ratio 0.3157, byte miss ratio 0.3157
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO-d cache size   206989, 16514846 req, miss ratio 0.1946, byte miss ratio 0.1946
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO-d cache size   413979, 16514846 req, miss ratio 0.1057, byte miss ratio 0.1057
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO-d cache size   827958, 16514846 req, miss ratio 0.0664, byte miss ratio 0.0664
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO cache size     1034, 16514846 req, miss ratio 0.8461, byte miss ratio 0.8461
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO cache size     3104, 16514846 req, miss ratio 0.7475, byte miss ratio 0.7475
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO cache size    10349, 16514846 req, miss ratio 0.6292, byte miss ratio 0.6292
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO cache size    31048, 16514846 req, miss ratio 0.4955, byte miss ratio 0.4955
