result/cdn2_colo28.ns1289.oracleGeneral.zst FIFO cache size    11635, 5688431 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-1 cache size       14, 5688431 req, miss ratio 0.3206, byte miss ratio 0.3206
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-1 cache size       43, 5688431 req, miss ratio 0.1758, byte miss ratio 0.1758
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-1 cache size      145, 5688431 req, miss ratio 0.0620, byte miss ratio 0.0620
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-1 cache size      436, 5688431 req, miss ratio 0.0236, byte miss ratio 0.0236
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-1 cache size     1454, 5688431 req, miss ratio 0.0046, byte miss ratio 0.0046
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-1 cache size     2908, 5688431 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-1 cache size     5817, 5688431 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-1 cache size    11635, 5688431 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns1289.oracleGeneral.zst Cacheus cache size       14, 5688431 req, miss ratio 0.3057, byte miss ratio 0.3057
result/cdn2_colo28.ns1289.oracleGeneral.zst Cacheus cache size       43, 5688431 req, miss ratio 0.1824, byte miss ratio 0.1824
result/cdn2_colo28.ns1289.oracleGeneral.zst Cacheus cache size      145, 5688431 req, miss ratio 0.0773, byte miss ratio 0.0773
result/cdn2_colo28.ns1289.oracleGeneral.zst Cacheus cache size      436, 5688431 req, miss ratio 0.0265, byte miss ratio 0.0265
result/cdn2_colo28.ns1289.oracleGeneral.zst Cacheus cache size     1454, 5688431 req, miss ratio 0.0048, byte miss ratio 0.0048
result/cdn2_colo28.ns1289.oracleGeneral.zst Cacheus cache size     2908, 5688431 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1289.oracleGeneral.zst Cacheus cache size     5817, 5688431 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_colo28.ns1289.oracleGeneral.zst Cacheus cache size    11635, 5688431 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns1289.oracleGeneral.zst LRU cache size       14, 5688431 req, miss ratio 0.3138, byte miss ratio 0.3138
result/cdn2_colo28.ns1289.oracleGeneral.zst LRU cache size       43, 5688431 req, miss ratio 0.1886, byte miss ratio 0.1886
result/cdn2_colo28.ns1289.oracleGeneral.zst LRU cache size      145, 5688431 req, miss ratio 0.0836, byte miss ratio 0.0836
result/cdn2_colo28.ns1289.oracleGeneral.zst LRU cache size      436, 5688431 req, miss ratio 0.0283, byte miss ratio 0.0283
result/cdn2_colo28.ns1289.oracleGeneral.zst LRU cache size     1454, 5688431 req, miss ratio 0.0049, byte miss ratio 0.0049
result/cdn2_colo28.ns1289.oracleGeneral.zst LRU cache size     2908, 5688431 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1289.oracleGeneral.zst LRU cache size     5817, 5688431 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_colo28.ns1289.oracleGeneral.zst LRU cache size    11635, 5688431 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns1289.oracleGeneral.zst LHD cache size       14, 5688431 req, miss ratio 0.3659, byte miss ratio 0.3659
result/cdn2_colo28.ns1289.oracleGeneral.zst LHD cache size       43, 5688431 req, miss ratio 0.2220, byte miss ratio 0.2220
result/cdn2_colo28.ns1289.oracleGeneral.zst LHD cache size      145, 5688431 req, miss ratio 0.0667, byte miss ratio 0.0667
result/cdn2_colo28.ns1289.oracleGeneral.zst LHD cache size      436, 5688431 req, miss ratio 0.0251, byte miss ratio 0.0251
result/cdn2_colo28.ns1289.oracleGeneral.zst LHD cache size     1454, 5688431 req, miss ratio 0.0049, byte miss ratio 0.0049
result/cdn2_colo28.ns1289.oracleGeneral.zst LHD cache size     2908, 5688431 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1289.oracleGeneral.zst LHD cache size     5817, 5688431 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_colo28.ns1289.oracleGeneral.zst LHD cache size    11635, 5688431 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-d-1 cache size       14, 5688431 req, miss ratio 0.3197, byte miss ratio 0.3197
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-d-1 cache size       43, 5688431 req, miss ratio 0.1733, byte miss ratio 0.1733
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-d-1 cache size      145, 5688431 req, miss ratio 0.0600, byte miss ratio 0.0600
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-d-1 cache size      436, 5688431 req, miss ratio 0.0233, byte miss ratio 0.0233
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-d-1 cache size     1454, 5688431 req, miss ratio 0.0046, byte miss ratio 0.0046
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-d-1 cache size     2908, 5688431 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-d-1 cache size     5817, 5688431 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-d-1 cache size    11635, 5688431 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns1289.oracleGeneral.zst LRB cache size       14, 5688431 req, miss ratio 0.2807, byte miss ratio 0.2807
result/cdn2_colo28.ns1289.oracleGeneral.zst LRB cache size       43, 5688431 req, miss ratio 0.1551, byte miss ratio 0.1551
result/cdn2_colo28.ns1289.oracleGeneral.zst LRB cache size      145, 5688431 req, miss ratio 0.0558, byte miss ratio 0.0558
result/cdn2_colo28.ns1289.oracleGeneral.zst LRB cache size      436, 5688431 req, miss ratio 0.0209, byte miss ratio 0.0209
result/cdn2_colo28.ns1289.oracleGeneral.zst LRB cache size     1454, 5688431 req, miss ratio 0.0050, byte miss ratio 0.0050
result/cdn2_colo28.ns1289.oracleGeneral.zst LRB cache size     2908, 5688431 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_colo28.ns1289.oracleGeneral.zst LRB cache size     5817, 5688431 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_colo28.ns1289.oracleGeneral.zst LRB cache size    11635, 5688431 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns1289.oracleGeneral.zst TwoQ cache size       14, 5688431 req, miss ratio 0.3013, byte miss ratio 0.3013
result/cdn2_colo28.ns1289.oracleGeneral.zst TwoQ cache size       43, 5688431 req, miss ratio 0.1701, byte miss ratio 0.1701
result/cdn2_colo28.ns1289.oracleGeneral.zst TwoQ cache size      145, 5688431 req, miss ratio 0.0710, byte miss ratio 0.0710
result/cdn2_colo28.ns1289.oracleGeneral.zst TwoQ cache size      436, 5688431 req, miss ratio 0.0257, byte miss ratio 0.0257
result/cdn2_colo28.ns1289.oracleGeneral.zst TwoQ cache size     1454, 5688431 req, miss ratio 0.0050, byte miss ratio 0.0050
result/cdn2_colo28.ns1289.oracleGeneral.zst TwoQ cache size     2908, 5688431 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_colo28.ns1289.oracleGeneral.zst TwoQ cache size     5817, 5688431 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_colo28.ns1289.oracleGeneral.zst TwoQ cache size    11635, 5688431 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_colo28.ns1289.oracleGeneral.zst B-LRU cache size       14, 5688431 req, miss ratio 0.3136, byte miss ratio 0.3136
result/cdn2_colo28.ns1289.oracleGeneral.zst B-LRU cache size       43, 5688431 req, miss ratio 0.1886, byte miss ratio 0.1886
result/cdn2_colo28.ns1289.oracleGeneral.zst B-LRU cache size      145, 5688431 req, miss ratio 0.0836, byte miss ratio 0.0836
result/cdn2_colo28.ns1289.oracleGeneral.zst B-LRU cache size      436, 5688431 req, miss ratio 0.0287, byte miss ratio 0.0287
result/cdn2_colo28.ns1289.oracleGeneral.zst B-LRU cache size     1454, 5688431 req, miss ratio 0.0061, byte miss ratio 0.0061
result/cdn2_colo28.ns1289.oracleGeneral.zst B-LRU cache size     2908, 5688431 req, miss ratio 0.0047, byte miss ratio 0.0047
result/cdn2_colo28.ns1289.oracleGeneral.zst B-LRU cache size     5817, 5688431 req, miss ratio 0.0045, byte miss ratio 0.0045
result/cdn2_colo28.ns1289.oracleGeneral.zst B-LRU cache size    11635, 5688431 req, miss ratio 0.0044, byte miss ratio 0.0044
result/cdn2_colo28.ns1289.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       14, 5688431 req, miss ratio 0.3476, byte miss ratio 0.3476
result/cdn2_colo28.ns1289.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       43, 5688431 req, miss ratio 0.2187, byte miss ratio 0.2187
result/cdn2_colo28.ns1289.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      145, 5688431 req, miss ratio 0.0869, byte miss ratio 0.0869
result/cdn2_colo28.ns1289.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      436, 5688431 req, miss ratio 0.0299, byte miss ratio 0.0299
result/cdn2_colo28.ns1289.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1454, 5688431 req, miss ratio 0.0070, byte miss ratio 0.0070
result/cdn2_colo28.ns1289.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2908, 5688431 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_colo28.ns1289.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5817, 5688431 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns1289.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    11635, 5688431 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_colo28.ns1289.oracleGeneral.zst S4LRU(25:25:25:25) cache size       14, 5688431 req, miss ratio 0.3138, byte miss ratio 0.3138
result/cdn2_colo28.ns1289.oracleGeneral.zst S4LRU(25:25:25:25) cache size       43, 5688431 req, miss ratio 0.1811, byte miss ratio 0.1811
result/cdn2_colo28.ns1289.oracleGeneral.zst S4LRU(25:25:25:25) cache size      145, 5688431 req, miss ratio 0.0654, byte miss ratio 0.0654
result/cdn2_colo28.ns1289.oracleGeneral.zst S4LRU(25:25:25:25) cache size      436, 5688431 req, miss ratio 0.0238, byte miss ratio 0.0238
result/cdn2_colo28.ns1289.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1454, 5688431 req, miss ratio 0.0049, byte miss ratio 0.0049
result/cdn2_colo28.ns1289.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2908, 5688431 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_colo28.ns1289.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5817, 5688431 req, miss ratio 0.0027, byte miss ratio 0.0027
