result/tencentBlock.ns16530.oracleGeneral.zst S3FIFO-1 cache size      507, 30919593 req, miss ratio 0.5543, byte miss ratio 0.5543
result/tencentBlock.ns16530.oracleGeneral.zst S3FIFO-1 cache size     1523, 30919593 req, miss ratio 0.2099, byte miss ratio 0.2099
result/tencentBlock.ns16530.oracleGeneral.zst S3FIFO-1 cache size     5078, 30919593 req, miss ratio 0.1020, byte miss ratio 0.1020
result/tencentBlock.ns16530.oracleGeneral.zst S3FIFO-1 cache size    15236, 30919593 req, miss ratio 0.0800, byte miss ratio 0.0800
result/tencentBlock.ns16530.oracleGeneral.zst S3FIFO-1 cache size    50786, 30919593 req, miss ratio 0.0633, byte miss ratio 0.0633
result/tencentBlock.ns16530.oracleGeneral.zst S3FIFO-1 cache size   101573, 30919593 req, miss ratio 0.0521, byte miss ratio 0.0521
result/tencentBlock.ns16530.oracleGeneral.zst S3FIFO-1 cache size   203147, 30919593 req, miss ratio 0.0317, byte miss ratio 0.0317
result/tencentBlock.ns16530.oracleGeneral.zst S3FIFO-1 cache size   406295, 30919593 req, miss ratio 0.0171, byte miss ratio 0.0171
result/tencentBlock.ns16530.oracleGeneral.zst Cacheus cache size      507, 30919593 req, miss ratio 0.7159, byte miss ratio 0.7159
result/tencentBlock.ns16530.oracleGeneral.zst Cacheus cache size     1523, 30919593 req, miss ratio 0.2531, byte miss ratio 0.2531
result/tencentBlock.ns16530.oracleGeneral.zst Cacheus cache size     5078, 30919593 req, miss ratio 0.0892, byte miss ratio 0.0892
result/tencentBlock.ns16530.oracleGeneral.zst Cacheus cache size    15236, 30919593 req, miss ratio 0.0785, byte miss ratio 0.0785
result/tencentBlock.ns16530.oracleGeneral.zst Cacheus cache size    50786, 30919593 req, miss ratio 0.0724, byte miss ratio 0.0724
result/tencentBlock.ns16530.oracleGeneral.zst Cacheus cache size   101573, 30919593 req, miss ratio 0.0581, byte miss ratio 0.0581
result/tencentBlock.ns16530.oracleGeneral.zst Cacheus cache size   203147, 30919593 req, miss ratio 0.0366, byte miss ratio 0.0366
result/tencentBlock.ns16530.oracleGeneral.zst Cacheus cache size   406295, 30919593 req, miss ratio 0.0171, byte miss ratio 0.0171
result/tencentBlock.ns16530.oracleGeneral.zst clock2 cache size      507, 30919593 req, miss ratio 0.8656, byte miss ratio 0.8656
result/tencentBlock.ns16530.oracleGeneral.zst clock2 cache size     1523, 30919593 req, miss ratio 0.2356, byte miss ratio 0.2356
result/tencentBlock.ns16530.oracleGeneral.zst clock2 cache size     5078, 30919593 req, miss ratio 0.0923, byte miss ratio 0.0923
result/tencentBlock.ns16530.oracleGeneral.zst clock2 cache size    15236, 30919593 req, miss ratio 0.0787, byte miss ratio 0.0787
result/tencentBlock.ns16530.oracleGeneral.zst clock2 cache size    50786, 30919593 req, miss ratio 0.0702, byte miss ratio 0.0702
result/tencentBlock.ns16530.oracleGeneral.zst clock2 cache size   101573, 30919593 req, miss ratio 0.0569, byte miss ratio 0.0569
result/tencentBlock.ns16530.oracleGeneral.zst clock2 cache size   203147, 30919593 req, miss ratio 0.0336, byte miss ratio 0.0336
result/tencentBlock.ns16530.oracleGeneral.zst clock2 cache size   406295, 30919593 req, miss ratio 0.0171, byte miss ratio 0.0171
result/tencentBlock.ns16530.oracleGeneral.zst LRU cache size      507, 30919593 req, miss ratio 0.8802, byte miss ratio 0.8802
result/tencentBlock.ns16530.oracleGeneral.zst LRU cache size     1523, 30919593 req, miss ratio 0.2800, byte miss ratio 0.2800
result/tencentBlock.ns16530.oracleGeneral.zst LRU cache size     5078, 30919593 req, miss ratio 0.0908, byte miss ratio 0.0908
result/tencentBlock.ns16530.oracleGeneral.zst LRU cache size    15236, 30919593 req, miss ratio 0.0787, byte miss ratio 0.0787
result/tencentBlock.ns16530.oracleGeneral.zst LRU cache size    50786, 30919593 req, miss ratio 0.0740, byte miss ratio 0.0740
result/tencentBlock.ns16530.oracleGeneral.zst LRU cache size   101573, 30919593 req, miss ratio 0.0613, byte miss ratio 0.0613
result/tencentBlock.ns16530.oracleGeneral.zst LRU cache size   203147, 30919593 req, miss ratio 0.0369, byte miss ratio 0.0369
result/tencentBlock.ns16530.oracleGeneral.zst LRU cache size   406295, 30919593 req, miss ratio 0.0171, byte miss ratio 0.0171
result/tencentBlock.ns16530.oracleGeneral.zst FIFO cache size      507, 30919593 req, miss ratio 0.8852, byte miss ratio 0.8852
result/tencentBlock.ns16530.oracleGeneral.zst FIFO cache size     1523, 30919593 req, miss ratio 0.3665, byte miss ratio 0.3665
result/tencentBlock.ns16530.oracleGeneral.zst FIFO cache size     5078, 30919593 req, miss ratio 0.1158, byte miss ratio 0.1158
result/tencentBlock.ns16530.oracleGeneral.zst FIFO cache size    15236, 30919593 req, miss ratio 0.0875, byte miss ratio 0.0875
result/tencentBlock.ns16530.oracleGeneral.zst FIFO cache size    50786, 30919593 req, miss ratio 0.0776, byte miss ratio 0.0776
result/tencentBlock.ns16530.oracleGeneral.zst FIFO cache size   101573, 30919593 req, miss ratio 0.0665, byte miss ratio 0.0665
result/tencentBlock.ns16530.oracleGeneral.zst FIFO cache size   203147, 30919593 req, miss ratio 0.0427, byte miss ratio 0.0427
result/tencentBlock.ns16530.oracleGeneral.zst FIFO cache size   406295, 30919593 req, miss ratio 0.0197, byte miss ratio 0.0197
result/tencentBlock.ns16530.oracleGeneral.zst ARC cache size      507, 30919593 req, miss ratio 0.6033, byte miss ratio 0.6033
result/tencentBlock.ns16530.oracleGeneral.zst ARC cache size     1523, 30919593 req, miss ratio 0.2239, byte miss ratio 0.2239
result/tencentBlock.ns16530.oracleGeneral.zst ARC cache size     5078, 30919593 req, miss ratio 0.0930, byte miss ratio 0.0930
result/tencentBlock.ns16530.oracleGeneral.zst ARC cache size    15236, 30919593 req, miss ratio 0.0784, byte miss ratio 0.0784
result/tencentBlock.ns16530.oracleGeneral.zst ARC cache size    50786, 30919593 req, miss ratio 0.0678, byte miss ratio 0.0678
result/tencentBlock.ns16530.oracleGeneral.zst ARC cache size   101573, 30919593 req, miss ratio 0.0542, byte miss ratio 0.0542
result/tencentBlock.ns16530.oracleGeneral.zst ARC cache size   203147, 30919593 req, miss ratio 0.0320, byte miss ratio 0.0320
result/tencentBlock.ns16530.oracleGeneral.zst ARC cache size   406295, 30919593 req, miss ratio 0.0171, byte miss ratio 0.0171
result/tencentBlock.ns16530.oracleGeneral.zst LHD cache size      507, 30919593 req, miss ratio 0.5596, byte miss ratio 0.5596
