result/cluster43.oracleGeneral.sample10.zst B-LRU cache size    43294, 905365674 req, miss ratio 0.2603, byte miss ratio 0.2603
result/cluster43.oracleGeneral.sample10.zst B-LRU cache size   129882, 905365674 req, miss ratio 0.1978, byte miss ratio 0.1978
result/cluster43.oracleGeneral.sample10.zst B-LRU cache size   432941, 905365674 req, miss ratio 0.1478, byte miss ratio 0.1478
result/cluster43.oracleGeneral.sample10.zst B-LRU cache size  1298824, 905365674 req, miss ratio 0.1192, byte miss ratio 0.1192
result/cluster43.oracleGeneral.sample10.zst B-LRU cache size  4329415, 905365674 req, miss ratio 0.1029, byte miss ratio 0.1029
result/cluster43.oracleGeneral.sample10.zst B-LRU cache size  8658831, 905365674 req, miss ratio 0.0986, byte miss ratio 0.0986
result/cluster43.oracleGeneral.sample10.zst B-LRU cache size 17317662, 905365674 req, miss ratio 0.0966, byte miss ratio 0.0966
result/cluster43.oracleGeneral.sample10.zst B-LRU cache size 34635324, 905365674 req, miss ratio 0.0956, byte miss ratio 0.0956
result/cluster43.oracleGeneral.sample10.zst S3FIFO-d cache size    43294, 905365674 req, miss ratio 0.1746, byte miss ratio 0.1746
result/cluster43.oracleGeneral.sample10.zst S3FIFO-d cache size   129882, 905365674 req, miss ratio 0.1264, byte miss ratio 0.1264
result/cluster43.oracleGeneral.sample10.zst S3FIFO-d cache size   432941, 905365674 req, miss ratio 0.0883, byte miss ratio 0.0883
result/cluster43.oracleGeneral.sample10.zst S3FIFO-d cache size  1298824, 905365674 req, miss ratio 0.0664, byte miss ratio 0.0664
result/cluster43.oracleGeneral.sample10.zst S3FIFO-d cache size  4329415, 905365674 req, miss ratio 0.0537, byte miss ratio 0.0537
result/cluster43.oracleGeneral.sample10.zst S3FIFO-d cache size  8658831, 905365674 req, miss ratio 0.0506, byte miss ratio 0.0506
result/cluster43.oracleGeneral.sample10.zst S3FIFO-d cache size 17317662, 905365674 req, miss ratio 0.0485, byte miss ratio 0.0485
result/cluster43.oracleGeneral.sample10.zst S3FIFO-d cache size 34635324, 905365674 req, miss ratio 0.0478, byte miss ratio 0.0478
result/cluster43.oracleGeneral.sample10.zst S3FIFO cache size    43294, 905365674 req, miss ratio 0.1743, byte miss ratio 0.1743
result/cluster43.oracleGeneral.sample10.zst S3FIFO cache size   129882, 905365674 req, miss ratio 0.1260, byte miss ratio 0.1260
result/cluster43.oracleGeneral.sample10.zst S3FIFO cache size   432941, 905365674 req, miss ratio 0.0884, byte miss ratio 0.0884
result/cluster43.oracleGeneral.sample10.zst S3FIFO cache size  1298824, 905365674 req, miss ratio 0.0672, byte miss ratio 0.0672
result/cluster43.oracleGeneral.sample10.zst S3FIFO cache size  4329415, 905365674 req, miss ratio 0.0549, byte miss ratio 0.0549
result/cluster43.oracleGeneral.sample10.zst S3FIFO cache size  8658831, 905365674 req, miss ratio 0.0511, byte miss ratio 0.0511
