result/tencentBlock.ns14611.oracleGeneral.zst ARC cache size      260, 3324775 req, miss ratio 0.5612, byte miss ratio 0.5612
result/tencentBlock.ns14611.oracleGeneral.zst ARC cache size      782, 3324775 req, miss ratio 0.4002, byte miss ratio 0.4002
result/tencentBlock.ns14611.oracleGeneral.zst ARC cache size     2606, 3324775 req, miss ratio 0.2373, byte miss ratio 0.2373
result/tencentBlock.ns14611.oracleGeneral.zst ARC cache size     7820, 3324775 req, miss ratio 0.2054, byte miss ratio 0.2054
result/tencentBlock.ns14611.oracleGeneral.zst ARC cache size    26067, 3324775 req, miss ratio 0.1459, byte miss ratio 0.1459
result/tencentBlock.ns14611.oracleGeneral.zst ARC cache size    52134, 3324775 req, miss ratio 0.1172, byte miss ratio 0.1172
result/tencentBlock.ns14611.oracleGeneral.zst ARC cache size   104269, 3324775 req, miss ratio 0.0831, byte miss ratio 0.0831
result/tencentBlock.ns14611.oracleGeneral.zst ARC cache size   208538, 3324775 req, miss ratio 0.0785, byte miss ratio 0.0785
result/tencentBlock.ns14611.oracleGeneral.zst Cacheus cache size      260, 3324775 req, miss ratio 0.5594, byte miss ratio 0.5594
result/tencentBlock.ns14611.oracleGeneral.zst Cacheus cache size      782, 3324775 req, miss ratio 0.4200, byte miss ratio 0.4200
result/tencentBlock.ns14611.oracleGeneral.zst Cacheus cache size     2606, 3324775 req, miss ratio 0.2446, byte miss ratio 0.2446
result/tencentBlock.ns14611.oracleGeneral.zst Cacheus cache size     7820, 3324775 req, miss ratio 0.2104, byte miss ratio 0.2104
result/tencentBlock.ns14611.oracleGeneral.zst Cacheus cache size    26067, 3324775 req, miss ratio 0.1460, byte miss ratio 0.1460
result/tencentBlock.ns14611.oracleGeneral.zst Cacheus cache size    52134, 3324775 req, miss ratio 0.1230, byte miss ratio 0.1230
result/tencentBlock.ns14611.oracleGeneral.zst Cacheus cache size   104269, 3324775 req, miss ratio 0.0828, byte miss ratio 0.0828
result/tencentBlock.ns14611.oracleGeneral.zst Cacheus cache size   208538, 3324775 req, miss ratio 0.0785, byte miss ratio 0.0785
result/tencentBlock.ns14611.oracleGeneral.zst LeCaR cache size      260, 3324775 req, miss ratio 0.5711, byte miss ratio 0.5711
result/tencentBlock.ns14611.oracleGeneral.zst LeCaR cache size      782, 3324775 req, miss ratio 0.4511, byte miss ratio 0.4511
