result/tencentBlock.ns10992.oracleGeneral.zst clock2 cache size      391, 82478700 req, miss ratio 0.8441, byte miss ratio 0.8441
result/tencentBlock.ns10992.oracleGeneral.zst clock2 cache size     1173, 82478700 req, miss ratio 0.1643, byte miss ratio 0.1643
result/tencentBlock.ns10992.oracleGeneral.zst clock2 cache size     3912, 82478700 req, miss ratio 0.1088, byte miss ratio 0.1088
result/tencentBlock.ns10992.oracleGeneral.zst clock2 cache size    11736, 82478700 req, miss ratio 0.0527, byte miss ratio 0.0527
result/tencentBlock.ns10992.oracleGeneral.zst clock2 cache size    39121, 82478700 req, miss ratio 0.0215, byte miss ratio 0.0215
result/tencentBlock.ns10992.oracleGeneral.zst clock2 cache size    78243, 82478700 req, miss ratio 0.0113, byte miss ratio 0.0113
result/tencentBlock.ns10992.oracleGeneral.zst clock2 cache size   156486, 82478700 req, miss ratio 0.0066, byte miss ratio 0.0066
result/tencentBlock.ns10992.oracleGeneral.zst clock2 cache size   312972, 82478700 req, miss ratio 0.0048, byte miss ratio 0.0048
result/tencentBlock.ns10992.oracleGeneral.zst Clock cache size      391, 82478700 req, miss ratio 0.8607, byte miss ratio 0.8607
result/tencentBlock.ns10992.oracleGeneral.zst Clock cache size     1173, 82478700 req, miss ratio 0.1703, byte miss ratio 0.1703
result/tencentBlock.ns10992.oracleGeneral.zst Clock cache size     3912, 82478700 req, miss ratio 0.1105, byte miss ratio 0.1105
result/tencentBlock.ns10992.oracleGeneral.zst Clock cache size    11736, 82478700 req, miss ratio 0.0572, byte miss ratio 0.0572
result/tencentBlock.ns10992.oracleGeneral.zst Clock cache size    39121, 82478700 req, miss ratio 0.0219, byte miss ratio 0.0219
result/tencentBlock.ns10992.oracleGeneral.zst Clock cache size    78243, 82478700 req, miss ratio 0.0113, byte miss ratio 0.0113
result/tencentBlock.ns10992.oracleGeneral.zst Clock cache size   156486, 82478700 req, miss ratio 0.0059, byte miss ratio 0.0059
result/tencentBlock.ns10992.oracleGeneral.zst Clock cache size   312972, 82478700 req, miss ratio 0.0048, byte miss ratio 0.0048
result/tencentBlock.ns10992.oracleGeneral.zst LHD cache size      391, 82478700 req, miss ratio 0.4048, byte miss ratio 0.4048
result/tencentBlock.ns10992.oracleGeneral.zst LHD cache size     1173, 82478700 req, miss ratio 0.1551, byte miss ratio 0.1551
result/tencentBlock.ns10992.oracleGeneral.zst LHD cache size     3912, 82478700 req, miss ratio 0.0983, byte miss ratio 0.0983
result/tencentBlock.ns10992.oracleGeneral.zst LHD cache size    11736, 82478700 req, miss ratio 0.0500, byte miss ratio 0.0500
result/tencentBlock.ns10992.oracleGeneral.zst LHD cache size    39121, 82478700 req, miss ratio 0.0203, byte miss ratio 0.0203
result/tencentBlock.ns10992.oracleGeneral.zst LHD cache size    78243, 82478700 req, miss ratio 0.0108, byte miss ratio 0.0108
result/tencentBlock.ns10992.oracleGeneral.zst LHD cache size   156486, 82478700 req, miss ratio 0.0056, byte miss ratio 0.0056
result/tencentBlock.ns10992.oracleGeneral.zst LHD cache size   312972, 82478700 req, miss ratio 0.0048, byte miss ratio 0.0048
result/tencentBlock.ns10992.oracleGeneral.zst ARC cache size      391, 82478700 req, miss ratio 0.6185, byte miss ratio 0.6185
result/tencentBlock.ns10992.oracleGeneral.zst ARC cache size     1173, 82478700 req, miss ratio 0.1421, byte miss ratio 0.1421
result/tencentBlock.ns10992.oracleGeneral.zst ARC cache size     3912, 82478700 req, miss ratio 0.0974, byte miss ratio 0.0974
result/tencentBlock.ns10992.oracleGeneral.zst ARC cache size    11736, 82478700 req, miss ratio 0.0493, byte miss ratio 0.0493
result/tencentBlock.ns10992.oracleGeneral.zst ARC cache size    39121, 82478700 req, miss ratio 0.0205, byte miss ratio 0.0205
result/tencentBlock.ns10992.oracleGeneral.zst ARC cache size    78243, 82478700 req, miss ratio 0.0116, byte miss ratio 0.0116
result/tencentBlock.ns10992.oracleGeneral.zst ARC cache size   156486, 82478700 req, miss ratio 0.0059, byte miss ratio 0.0059
result/tencentBlock.ns10992.oracleGeneral.zst ARC cache size   312972, 82478700 req, miss ratio 0.0048, byte miss ratio 0.0048
result/tencentBlock.ns10992.oracleGeneral.zst LRU cache size      391, 82478700 req, miss ratio 0.8857, byte miss ratio 0.8857
result/tencentBlock.ns10992.oracleGeneral.zst LRU cache size     1173, 82478700 req, miss ratio 0.1750, byte miss ratio 0.1750
result/tencentBlock.ns10992.oracleGeneral.zst LRU cache size     3912, 82478700 req, miss ratio 0.1123, byte miss ratio 0.1123
result/tencentBlock.ns10992.oracleGeneral.zst LRU cache size    11736, 82478700 req, miss ratio 0.0601, byte miss ratio 0.0601
result/tencentBlock.ns10992.oracleGeneral.zst LRU cache size    39121, 82478700 req, miss ratio 0.0226, byte miss ratio 0.0226
