result/tencentBlock.ns13494.oracleGeneral.zst FIFO cache size    16487, 68526267 req, miss ratio 0.7060, byte miss ratio 0.7060
result/tencentBlock.ns13494.oracleGeneral.zst FIFO cache size    49463, 68526267 req, miss ratio 0.5328, byte miss ratio 0.5328
result/tencentBlock.ns13494.oracleGeneral.zst FIFO cache size   164878, 68526267 req, miss ratio 0.4043, byte miss ratio 0.4043
result/tencentBlock.ns13494.oracleGeneral.zst FIFO cache size   494635, 68526267 req, miss ratio 0.3483, byte miss ratio 0.3483
result/tencentBlock.ns13494.oracleGeneral.zst FIFO cache size  1648784, 68526267 req, miss ratio 0.3196, byte miss ratio 0.3196
result/tencentBlock.ns13494.oracleGeneral.zst FIFO cache size  3297569, 68526267 req, miss ratio 0.3069, byte miss ratio 0.3069
result/tencentBlock.ns13494.oracleGeneral.zst FIFO cache size  6595138, 68526267 req, miss ratio 0.2793, byte miss ratio 0.2793
result/tencentBlock.ns13494.oracleGeneral.zst FIFO cache size 13190276, 68526267 req, miss ratio 0.2450, byte miss ratio 0.2450
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-1 cache size    16487, 68526267 req, miss ratio 0.5599, byte miss ratio 0.5599
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-1 cache size    49463, 68526267 req, miss ratio 0.4212, byte miss ratio 0.4212
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-1 cache size   164878, 68526267 req, miss ratio 0.3598, byte miss ratio 0.3598
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-1 cache size   494635, 68526267 req, miss ratio 0.3275, byte miss ratio 0.3275
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-1 cache size  1648784, 68526267 req, miss ratio 0.3042, byte miss ratio 0.3042
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-1 cache size  3297569, 68526267 req, miss ratio 0.2923, byte miss ratio 0.2923
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-1 cache size  6595138, 68526267 req, miss ratio 0.2764, byte miss ratio 0.2764
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-1 cache size 13190276, 68526267 req, miss ratio 0.2420, byte miss ratio 0.2420
result/tencentBlock.ns13494.oracleGeneral.zst LIRS cache size    16487, 68526267 req, miss ratio 0.5622, byte miss ratio 0.5622
result/tencentBlock.ns13494.oracleGeneral.zst LIRS cache size    49463, 68526267 req, miss ratio 0.4270, byte miss ratio 0.4270
result/tencentBlock.ns13494.oracleGeneral.zst LIRS cache size   164878, 68526267 req, miss ratio 0.3780, byte miss ratio 0.3780
result/tencentBlock.ns13494.oracleGeneral.zst LIRS cache size   494635, 68526267 req, miss ratio 0.3492, byte miss ratio 0.3492
result/tencentBlock.ns13494.oracleGeneral.zst LIRS cache size  1648784, 68526267 req, miss ratio 0.3230, byte miss ratio 0.3230
result/tencentBlock.ns13494.oracleGeneral.zst LIRS cache size  3297569, 68526267 req, miss ratio 0.3039, byte miss ratio 0.3039
result/tencentBlock.ns13494.oracleGeneral.zst LIRS cache size  6595138, 68526267 req, miss ratio 0.2656, byte miss ratio 0.2656
result/tencentBlock.ns13494.oracleGeneral.zst LIRS cache size 13190276, 68526267 req, miss ratio 0.2436, byte miss ratio 0.2436
result/tencentBlock.ns13494.oracleGeneral.zst Cacheus cache size    16487, 68526267 req, miss ratio 0.5948, byte miss ratio 0.5948
result/tencentBlock.ns13494.oracleGeneral.zst Cacheus cache size    49463, 68526267 req, miss ratio 0.4331, byte miss ratio 0.4331
result/tencentBlock.ns13494.oracleGeneral.zst Cacheus cache size   164878, 68526267 req, miss ratio 0.3491, byte miss ratio 0.3491
result/tencentBlock.ns13494.oracleGeneral.zst Cacheus cache size   494635, 68526267 req, miss ratio 0.3232, byte miss ratio 0.3232
result/tencentBlock.ns13494.oracleGeneral.zst Cacheus cache size  1648784, 68526267 req, miss ratio 0.3052, byte miss ratio 0.3052
result/tencentBlock.ns13494.oracleGeneral.zst Cacheus cache size  3297569, 68526267 req, miss ratio 0.2959, byte miss ratio 0.2959
result/tencentBlock.ns13494.oracleGeneral.zst Cacheus cache size  6595138, 68526267 req, miss ratio 0.2753, byte miss ratio 0.2753
result/tencentBlock.ns13494.oracleGeneral.zst Cacheus cache size 13190276, 68526267 req, miss ratio 0.2501, byte miss ratio 0.2501
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-d-1 cache size    16487, 68526267 req, miss ratio 0.5645, byte miss ratio 0.5645
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-d-1 cache size    49463, 68526267 req, miss ratio 0.4139, byte miss ratio 0.4139
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-d-1 cache size   164878, 68526267 req, miss ratio 0.3504, byte miss ratio 0.3504
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-d-1 cache size   494635, 68526267 req, miss ratio 0.3216, byte miss ratio 0.3216
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-d-1 cache size  1648784, 68526267 req, miss ratio 0.3027, byte miss ratio 0.3027
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-d-1 cache size  3297569, 68526267 req, miss ratio 0.2920, byte miss ratio 0.2920
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-d-1 cache size  6595138, 68526267 req, miss ratio 0.2764, byte miss ratio 0.2764
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-d-1 cache size 13190276, 68526267 req, miss ratio 0.2420, byte miss ratio 0.2420
result/tencentBlock.ns13494.oracleGeneral.zst LRB cache size    16487, 68526267 req, miss ratio 0.5668, byte miss ratio 0.5668
result/tencentBlock.ns13494.oracleGeneral.zst LRB cache size    49463, 68526267 req, miss ratio 0.4306, byte miss ratio 0.4306
result/tencentBlock.ns13494.oracleGeneral.zst LRB cache size   164878, 68526267 req, miss ratio 0.3704, byte miss ratio 0.3704
result/tencentBlock.ns13494.oracleGeneral.zst LRB cache size   494635, 68526267 req, miss ratio 0.3424, byte miss ratio 0.3424
result/tencentBlock.ns13494.oracleGeneral.zst LRB cache size  1648784, 68526267 req, miss ratio 0.3133, byte miss ratio 0.3133
result/tencentBlock.ns13494.oracleGeneral.zst LRB cache size  3297569, 68526267 req, miss ratio 0.2903, byte miss ratio 0.2903
result/tencentBlock.ns13494.oracleGeneral.zst LRB cache size  6595138, 68526267 req, miss ratio 0.2700, byte miss ratio 0.2700
result/tencentBlock.ns13494.oracleGeneral.zst LRB cache size 13190276, 68526267 req, miss ratio 0.2427, byte miss ratio 0.2427
result/tencentBlock.ns13494.oracleGeneral.zst B-LRU cache size    16487, 68526267 req, miss ratio 0.5974, byte miss ratio 0.5974
result/tencentBlock.ns13494.oracleGeneral.zst B-LRU cache size    49463, 68526267 req, miss ratio 0.4364, byte miss ratio 0.4364
result/tencentBlock.ns13494.oracleGeneral.zst B-LRU cache size   164878, 68526267 req, miss ratio 0.3713, byte miss ratio 0.3713
result/tencentBlock.ns13494.oracleGeneral.zst B-LRU cache size   494635, 68526267 req, miss ratio 0.3536, byte miss ratio 0.3536
result/tencentBlock.ns13494.oracleGeneral.zst B-LRU cache size  1648784, 68526267 req, miss ratio 0.3384, byte miss ratio 0.3384
result/tencentBlock.ns13494.oracleGeneral.zst B-LRU cache size  3297569, 68526267 req, miss ratio 0.3252, byte miss ratio 0.3252
result/tencentBlock.ns13494.oracleGeneral.zst B-LRU cache size  6595138, 68526267 req, miss ratio 0.3223, byte miss ratio 0.3223
result/tencentBlock.ns13494.oracleGeneral.zst B-LRU cache size 13190276, 68526267 req, miss ratio 0.3223, byte miss ratio 0.3223
result/tencentBlock.ns13494.oracleGeneral.zst TwoQ cache size    16487, 68526267 req, miss ratio 0.5777, byte miss ratio 0.5777
result/tencentBlock.ns13494.oracleGeneral.zst TwoQ cache size    49463, 68526267 req, miss ratio 0.4305, byte miss ratio 0.4305
result/tencentBlock.ns13494.oracleGeneral.zst TwoQ cache size   164878, 68526267 req, miss ratio 0.3691, byte miss ratio 0.3691
result/tencentBlock.ns13494.oracleGeneral.zst TwoQ cache size   494635, 68526267 req, miss ratio 0.3321, byte miss ratio 0.3321
result/tencentBlock.ns13494.oracleGeneral.zst TwoQ cache size  1648784, 68526267 req, miss ratio 0.3114, byte miss ratio 0.3114
result/tencentBlock.ns13494.oracleGeneral.zst TwoQ cache size  3297569, 68526267 req, miss ratio 0.3039, byte miss ratio 0.3039
result/tencentBlock.ns13494.oracleGeneral.zst TwoQ cache size  6595138, 68526267 req, miss ratio 0.2774, byte miss ratio 0.2774
result/tencentBlock.ns13494.oracleGeneral.zst TwoQ cache size 13190276, 68526267 req, miss ratio 0.2450, byte miss ratio 0.2450
result/tencentBlock.ns13494.oracleGeneral.zst S4LRU(25:25:25:25) cache size    16487, 68526267 req, miss ratio 0.6016, byte miss ratio 0.6016
result/tencentBlock.ns13494.oracleGeneral.zst S4LRU(25:25:25:25) cache size    49463, 68526267 req, miss ratio 0.4359, byte miss ratio 0.4359
result/tencentBlock.ns13494.oracleGeneral.zst S4LRU(25:25:25:25) cache size   164878, 68526267 req, miss ratio 0.3623, byte miss ratio 0.3623
result/tencentBlock.ns13494.oracleGeneral.zst S4LRU(25:25:25:25) cache size   494635, 68526267 req, miss ratio 0.3278, byte miss ratio 0.3278
result/tencentBlock.ns13494.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1648784, 68526267 req, miss ratio 0.3070, byte miss ratio 0.3070
result/tencentBlock.ns13494.oracleGeneral.zst S4LRU(25:25:25:25) cache size  3297569, 68526267 req, miss ratio 0.2972, byte miss ratio 0.2972
result/tencentBlock.ns13494.oracleGeneral.zst S4LRU(25:25:25:25) cache size  6595138, 68526267 req, miss ratio 0.2735, byte miss ratio 0.2735
result/tencentBlock.ns13494.oracleGeneral.zst S4LRU(25:25:25:25) cache size 13190276, 68526267 req, miss ratio 0.2423, byte miss ratio 0.2423
result/tencentBlock.ns13494.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    16487, 68526267 req, miss ratio 0.6615, byte miss ratio 0.6615
result/tencentBlock.ns13494.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    49463, 68526267 req, miss ratio 0.4889, byte miss ratio 0.4889
result/tencentBlock.ns13494.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   164878, 68526267 req, miss ratio 0.3871, byte miss ratio 0.3871
result/tencentBlock.ns13494.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   494635, 68526267 req, miss ratio 0.3437, byte miss ratio 0.3437
result/tencentBlock.ns13494.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1648784, 68526267 req, miss ratio 0.3145, byte miss ratio 0.3145
result/tencentBlock.ns13494.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  3297569, 68526267 req, miss ratio 0.2953, byte miss ratio 0.2953
result/tencentBlock.ns13494.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  6595138, 68526267 req, miss ratio 0.2775, byte miss ratio 0.2775
