result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO-1 cache size   542551, 95487082 req, miss ratio 0.0245, byte miss ratio 0.0245
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO-1 cache size  1085103, 95487082 req, miss ratio 0.0148, byte miss ratio 0.0148
result/cdn2_allcolo.ns198.oracleGeneral.zst LIRS cache size     1356, 95487082 req, miss ratio 0.6311, byte miss ratio 0.6311
result/cdn2_allcolo.ns198.oracleGeneral.zst LIRS cache size     4069, 95487082 req, miss ratio 0.4927, byte miss ratio 0.4927
result/cdn2_allcolo.ns198.oracleGeneral.zst LIRS cache size    13563, 95487082 req, miss ratio 0.3247, byte miss ratio 0.3247
result/cdn2_allcolo.ns198.oracleGeneral.zst LIRS cache size    40691, 95487082 req, miss ratio 0.1845, byte miss ratio 0.1845
result/cdn2_allcolo.ns198.oracleGeneral.zst LIRS cache size   135637, 95487082 req, miss ratio 0.0859, byte miss ratio 0.0859
result/cdn2_allcolo.ns198.oracleGeneral.zst LIRS cache size   271275, 95487082 req, miss ratio 0.0576, byte miss ratio 0.0576
result/cdn2_allcolo.ns198.oracleGeneral.zst LIRS cache size   542551, 95487082 req, miss ratio 0.0251, byte miss ratio 0.0251
result/cdn2_allcolo.ns198.oracleGeneral.zst LIRS cache size  1085103, 95487082 req, miss ratio 0.0150, byte miss ratio 0.0150
result/cdn2_allcolo.ns198.oracleGeneral.zst Clock cache size     1356, 95487082 req, miss ratio 0.7147, byte miss ratio 0.7147
result/cdn2_allcolo.ns198.oracleGeneral.zst Clock cache size     4069, 95487082 req, miss ratio 0.5691, byte miss ratio 0.5691
result/cdn2_allcolo.ns198.oracleGeneral.zst Clock cache size    13563, 95487082 req, miss ratio 0.3750, byte miss ratio 0.3750
result/cdn2_allcolo.ns198.oracleGeneral.zst Clock cache size    40691, 95487082 req, miss ratio 0.2085, byte miss ratio 0.2085
result/cdn2_allcolo.ns198.oracleGeneral.zst Clock cache size   135637, 95487082 req, miss ratio 0.0848, byte miss ratio 0.0848
result/cdn2_allcolo.ns198.oracleGeneral.zst Clock cache size   271275, 95487082 req, miss ratio 0.0513, byte miss ratio 0.0513
result/cdn2_allcolo.ns198.oracleGeneral.zst Clock cache size   542551, 95487082 req, miss ratio 0.0274, byte miss ratio 0.0274
result/cdn2_allcolo.ns198.oracleGeneral.zst Clock cache size  1085103, 95487082 req, miss ratio 0.0148, byte miss ratio 0.0148
result/cdn2_allcolo.ns198.oracleGeneral.zst LeCaR cache size     1356, 95487082 req, miss ratio 0.7234, byte miss ratio 0.7234
result/cdn2_allcolo.ns198.oracleGeneral.zst LeCaR cache size     4069, 95487082 req, miss ratio 0.5794, byte miss ratio 0.5794
result/cdn2_allcolo.ns198.oracleGeneral.zst LeCaR cache size    13563, 95487082 req, miss ratio 0.3811, byte miss ratio 0.3811
result/cdn2_allcolo.ns198.oracleGeneral.zst LeCaR cache size    40691, 95487082 req, miss ratio 0.2080, byte miss ratio 0.2080
result/cdn2_allcolo.ns198.oracleGeneral.zst LeCaR cache size   135637, 95487082 req, miss ratio 0.0839, byte miss ratio 0.0839
result/cdn2_allcolo.ns198.oracleGeneral.zst LeCaR cache size   271275, 95487082 req, miss ratio 0.0510, byte miss ratio 0.0510
result/cdn2_allcolo.ns198.oracleGeneral.zst LeCaR cache size   542551, 95487082 req, miss ratio 0.0248, byte miss ratio 0.0248
result/cdn2_allcolo.ns198.oracleGeneral.zst LeCaR cache size  1085103, 95487082 req, miss ratio 0.0148, byte miss ratio 0.0148
result/cdn2_allcolo.ns198.oracleGeneral.zst ARC cache size     1356, 95487082 req, miss ratio 0.6316, byte miss ratio 0.6316
result/cdn2_allcolo.ns198.oracleGeneral.zst ARC cache size     4069, 95487082 req, miss ratio 0.4923, byte miss ratio 0.4923
result/cdn2_allcolo.ns198.oracleGeneral.zst ARC cache size    13563, 95487082 req, miss ratio 0.3244, byte miss ratio 0.3244
result/cdn2_allcolo.ns198.oracleGeneral.zst ARC cache size    40691, 95487082 req, miss ratio 0.1855, byte miss ratio 0.1855
result/cdn2_allcolo.ns198.oracleGeneral.zst ARC cache size   135637, 95487082 req, miss ratio 0.0842, byte miss ratio 0.0842
