result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LHD cache size    68839, 58463439 req, miss ratio 0.0571, byte miss ratio 0.0571
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LHD cache size   137678, 58463439 req, miss ratio 0.0407, byte miss ratio 0.0407
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LHD cache size   275356, 58463439 req, miss ratio 0.0236, byte miss ratio 0.0236
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LHD cache size   550712, 58463439 req, miss ratio 0.0129, byte miss ratio 0.0129
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst Clock cache size      688, 58463439 req, miss ratio 0.3822, byte miss ratio 0.3822
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst Clock cache size     2065, 58463439 req, miss ratio 0.1849, byte miss ratio 0.1849
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst Clock cache size     6883, 58463439 req, miss ratio 0.1164, byte miss ratio 0.1164
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst Clock cache size    20651, 58463439 req, miss ratio 0.0849, byte miss ratio 0.0849
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst Clock cache size    68839, 58463439 req, miss ratio 0.0575, byte miss ratio 0.0575
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst Clock cache size   137678, 58463439 req, miss ratio 0.0419, byte miss ratio 0.0419
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst Clock cache size   275356, 58463439 req, miss ratio 0.0238, byte miss ratio 0.0238
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst Clock cache size   550712, 58463439 req, miss ratio 0.0130, byte miss ratio 0.0130
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst ARC cache size      688, 58463439 req, miss ratio 0.3733, byte miss ratio 0.3733
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst ARC cache size     2065, 58463439 req, miss ratio 0.2459, byte miss ratio 0.2459
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst ARC cache size     6883, 58463439 req, miss ratio 0.1419, byte miss ratio 0.1419
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst ARC cache size    20651, 58463439 req, miss ratio 0.0926, byte miss ratio 0.0926
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst ARC cache size    68839, 58463439 req, miss ratio 0.0579, byte miss ratio 0.0579
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst ARC cache size   137678, 58463439 req, miss ratio 0.0416, byte miss ratio 0.0416
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst ARC cache size   275356, 58463439 req, miss ratio 0.0228, byte miss ratio 0.0228
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst ARC cache size   550712, 58463439 req, miss ratio 0.0124, byte miss ratio 0.0124
