result/expandodo_cache.0.oracleGeneral.sample10.zst LRB cache size  2777447, 296493967 req, miss ratio 0.0250, byte miss ratio 0.0250
result/expandodo_cache.0.oracleGeneral.sample10.zst LRB cache size  5554894, 296493967 req, miss ratio 0.0235, byte miss ratio 0.0235
result/expandodo_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     6943, 296493967 req, miss ratio 0.3168, byte miss ratio 0.3168
result/expandodo_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    20830, 296493967 req, miss ratio 0.2387, byte miss ratio 0.2387
result/expandodo_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    69436, 296493967 req, miss ratio 0.1370, byte miss ratio 0.1370
result/expandodo_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   208308, 296493967 req, miss ratio 0.0471, byte miss ratio 0.0471
result/expandodo_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   694361, 296493967 req, miss ratio 0.0326, byte miss ratio 0.0326
result/expandodo_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1388723, 296493967 req, miss ratio 0.0278, byte miss ratio 0.0278
result/expandodo_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  2777447, 296493967 req, miss ratio 0.0248, byte miss ratio 0.0248
result/expandodo_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  5554894, 296493967 req, miss ratio 0.0235, byte miss ratio 0.0235
result/expandodo_cache.0.oracleGeneral.sample10.zst TwoQ cache size     6943, 296493967 req, miss ratio 0.2932, byte miss ratio 0.2932
result/expandodo_cache.0.oracleGeneral.sample10.zst TwoQ cache size    20830, 296493967 req, miss ratio 0.2229, byte miss ratio 0.2229
result/expandodo_cache.0.oracleGeneral.sample10.zst TwoQ cache size    69436, 296493967 req, miss ratio 0.1108, byte miss ratio 0.1108
result/expandodo_cache.0.oracleGeneral.sample10.zst TwoQ cache size   208308, 296493967 req, miss ratio 0.0469, byte miss ratio 0.0469
result/expandodo_cache.0.oracleGeneral.sample10.zst TwoQ cache size   694361, 296493967 req, miss ratio 0.0342, byte miss ratio 0.0342
result/expandodo_cache.0.oracleGeneral.sample10.zst TwoQ cache size  1388723, 296493967 req, miss ratio 0.0296, byte miss ratio 0.0296
result/expandodo_cache.0.oracleGeneral.sample10.zst TwoQ cache size  2777447, 296493967 req, miss ratio 0.0262, byte miss ratio 0.0262
result/expandodo_cache.0.oracleGeneral.sample10.zst TwoQ cache size  5554894, 296493967 req, miss ratio 0.0241, byte miss ratio 0.0241
result/expandodo_cache.0.oracleGeneral.sample10.zst B-LRU cache size     6943, 296493967 req, miss ratio 0.3662, byte miss ratio 0.3662
result/expandodo_cache.0.oracleGeneral.sample10.zst B-LRU cache size    20830, 296493967 req, miss ratio 0.3017, byte miss ratio 0.3017
result/expandodo_cache.0.oracleGeneral.sample10.zst B-LRU cache size    69436, 296493967 req, miss ratio 0.2081, byte miss ratio 0.2081
result/expandodo_cache.0.oracleGeneral.sample10.zst B-LRU cache size   208308, 296493967 req, miss ratio 0.0678, byte miss ratio 0.0678
result/expandodo_cache.0.oracleGeneral.sample10.zst B-LRU cache size   694361, 296493967 req, miss ratio 0.0533, byte miss ratio 0.0533
result/expandodo_cache.0.oracleGeneral.sample10.zst B-LRU cache size  1388723, 296493967 req, miss ratio 0.0485, byte miss ratio 0.0485
result/expandodo_cache.0.oracleGeneral.sample10.zst B-LRU cache size  2777447, 296493967 req, miss ratio 0.0455, byte miss ratio 0.0455
result/expandodo_cache.0.oracleGeneral.sample10.zst B-LRU cache size  5554894, 296493967 req, miss ratio 0.0444, byte miss ratio 0.0444
result/expandodo_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     6943, 296493967 req, miss ratio 0.3408, byte miss ratio 0.3408
result/expandodo_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    20830, 296493967 req, miss ratio 0.2741, byte miss ratio 0.2741
result/expandodo_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    69436, 296493967 req, miss ratio 0.1800, byte miss ratio 0.1800
result/expandodo_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   208308, 296493967 req, miss ratio 0.0538, byte miss ratio 0.0538
result/expandodo_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   694361, 296493967 req, miss ratio 0.0347, byte miss ratio 0.0347
result/expandodo_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1388723, 296493967 req, miss ratio 0.0292, byte miss ratio 0.0292
result/expandodo_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  2777447, 296493967 req, miss ratio 0.0254, byte miss ratio 0.0254
result/expandodo_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  5554894, 296493967 req, miss ratio 0.0237, byte miss ratio 0.0237
result/expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     6943, 296493967 req, miss ratio 0.2942, byte miss ratio 0.2942
result/expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    20830, 296493967 req, miss ratio 0.2197, byte miss ratio 0.2197
result/expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    69436, 296493967 req, miss ratio 0.1060, byte miss ratio 0.1060
result/expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   208308, 296493967 req, miss ratio 0.0448, byte miss ratio 0.0448
result/expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   694361, 296493967 req, miss ratio 0.0319, byte miss ratio 0.0319
result/expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  1388723, 296493967 req, miss ratio 0.0274, byte miss ratio 0.0274
result/expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  2777447, 296493967 req, miss ratio 0.0248, byte miss ratio 0.0248
result/expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  5554894, 296493967 req, miss ratio 0.0235, byte miss ratio 0.0235
result/expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     6943, 296493967 req, miss ratio 0.2942, byte miss ratio 0.2942
result/expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    20830, 296493967 req, miss ratio 0.2210, byte miss ratio 0.2210
result/expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    69436, 296493967 req, miss ratio 0.1217, byte miss ratio 0.1217
result/expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   208308, 296493967 req, miss ratio 0.0447, byte miss ratio 0.0447
result/expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   694361, 296493967 req, miss ratio 0.0320, byte miss ratio 0.0320
result/expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  1388723, 296493967 req, miss ratio 0.0276, byte miss ratio 0.0276
result/expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  2777447, 296493967 req, miss ratio 0.0249, byte miss ratio 0.0249
result/expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  5554894, 296493967 req, miss ratio 0.0235, byte miss ratio 0.0235
result/expandodo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     6943, 296493967 req, miss ratio 0.3015, byte miss ratio 0.3015
result/expandodo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    20830, 296493967 req, miss ratio 0.2264, byte miss ratio 0.2264
result/expandodo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    69436, 296493967 req, miss ratio 0.0852, byte miss ratio 0.0852
result/expandodo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   208308, 296493967 req, miss ratio 0.1627, byte miss ratio 0.1627
