result/tencentBlock.ns6846.oracleGeneral.zst LeCaR cache size      164, 3761385 req, miss ratio 0.6624, byte miss ratio 0.6624
result/tencentBlock.ns6846.oracleGeneral.zst LeCaR cache size      493, 3761385 req, miss ratio 0.6306, byte miss ratio 0.6306
result/tencentBlock.ns6846.oracleGeneral.zst LeCaR cache size     1643, 3761385 req, miss ratio 0.6103, byte miss ratio 0.6103
result/tencentBlock.ns6846.oracleGeneral.zst LeCaR cache size     4931, 3761385 req, miss ratio 0.5340, byte miss ratio 0.5340
result/tencentBlock.ns6846.oracleGeneral.zst LeCaR cache size    16439, 3761385 req, miss ratio 0.1073, byte miss ratio 0.1073
result/tencentBlock.ns6846.oracleGeneral.zst LeCaR cache size    32879, 3761385 req, miss ratio 0.0812, byte miss ratio 0.0812
result/tencentBlock.ns6846.oracleGeneral.zst LeCaR cache size    65758, 3761385 req, miss ratio 0.0530, byte miss ratio 0.0530
result/tencentBlock.ns6846.oracleGeneral.zst LeCaR cache size   131517, 3761385 req, miss ratio 0.0438, byte miss ratio 0.0438
result/tencentBlock.ns6846.oracleGeneral.zst LRU cache size      164, 3761385 req, miss ratio 0.6766, byte miss ratio 0.6766
result/tencentBlock.ns6846.oracleGeneral.zst LRU cache size      493, 3761385 req, miss ratio 0.6411, byte miss ratio 0.6411
result/tencentBlock.ns6846.oracleGeneral.zst LRU cache size     1643, 3761385 req, miss ratio 0.6189, byte miss ratio 0.6189
result/tencentBlock.ns6846.oracleGeneral.zst LRU cache size     4931, 3761385 req, miss ratio 0.5556, byte miss ratio 0.5556
result/tencentBlock.ns6846.oracleGeneral.zst LRU cache size    16439, 3761385 req, miss ratio 0.1164, byte miss ratio 0.1164
result/tencentBlock.ns6846.oracleGeneral.zst LRU cache size    32879, 3761385 req, miss ratio 0.0841, byte miss ratio 0.0841
result/tencentBlock.ns6846.oracleGeneral.zst LRU cache size    65758, 3761385 req, miss ratio 0.0552, byte miss ratio 0.0552
result/tencentBlock.ns6846.oracleGeneral.zst LRU cache size   131517, 3761385 req, miss ratio 0.0438, byte miss ratio 0.0438
result/tencentBlock.ns6846.oracleGeneral.zst clock2 cache size      164, 3761385 req, miss ratio 0.6707, byte miss ratio 0.6707
result/tencentBlock.ns6846.oracleGeneral.zst clock2 cache size      493, 3761385 req, miss ratio 0.6362, byte miss ratio 0.6362
result/tencentBlock.ns6846.oracleGeneral.zst clock2 cache size     1643, 3761385 req, miss ratio 0.6139, byte miss ratio 0.6139
result/tencentBlock.ns6846.oracleGeneral.zst clock2 cache size     4931, 3761385 req, miss ratio 0.5316, byte miss ratio 0.5316
result/tencentBlock.ns6846.oracleGeneral.zst clock2 cache size    16439, 3761385 req, miss ratio 0.1105, byte miss ratio 0.1105
result/tencentBlock.ns6846.oracleGeneral.zst clock2 cache size    32879, 3761385 req, miss ratio 0.0831, byte miss ratio 0.0831
result/tencentBlock.ns6846.oracleGeneral.zst clock2 cache size    65758, 3761385 req, miss ratio 0.0533, byte miss ratio 0.0533
result/tencentBlock.ns6846.oracleGeneral.zst clock2 cache size   131517, 3761385 req, miss ratio 0.0439, byte miss ratio 0.0439
result/tencentBlock.ns6846.oracleGeneral.zst Cacheus cache size      164, 3761385 req, miss ratio 0.6458, byte miss ratio 0.6458
result/tencentBlock.ns6846.oracleGeneral.zst Cacheus cache size      493, 3761385 req, miss ratio 0.6175, byte miss ratio 0.6175
result/tencentBlock.ns6846.oracleGeneral.zst Cacheus cache size     1643, 3761385 req, miss ratio 0.5688, byte miss ratio 0.5688
result/tencentBlock.ns6846.oracleGeneral.zst Cacheus cache size     4931, 3761385 req, miss ratio 0.5489, byte miss ratio 0.5489
result/tencentBlock.ns6846.oracleGeneral.zst Cacheus cache size    16439, 3761385 req, miss ratio 0.1088, byte miss ratio 0.1088
result/tencentBlock.ns6846.oracleGeneral.zst Cacheus cache size    32879, 3761385 req, miss ratio 0.0796, byte miss ratio 0.0796
result/tencentBlock.ns6846.oracleGeneral.zst Cacheus cache size    65758, 3761385 req, miss ratio 0.0529, byte miss ratio 0.0529
result/tencentBlock.ns6846.oracleGeneral.zst Cacheus cache size   131517, 3761385 req, miss ratio 0.0439, byte miss ratio 0.0439
result/tencentBlock.ns6846.oracleGeneral.zst FIFO cache size      164, 3761385 req, miss ratio 0.6930, byte miss ratio 0.6930
result/tencentBlock.ns6846.oracleGeneral.zst FIFO cache size      493, 3761385 req, miss ratio 0.6477, byte miss ratio 0.6477
result/tencentBlock.ns6846.oracleGeneral.zst FIFO cache size     1643, 3761385 req, miss ratio 0.6237, byte miss ratio 0.6237
result/tencentBlock.ns6846.oracleGeneral.zst FIFO cache size     4931, 3761385 req, miss ratio 0.5731, byte miss ratio 0.5731
result/tencentBlock.ns6846.oracleGeneral.zst FIFO cache size    16439, 3761385 req, miss ratio 0.1662, byte miss ratio 0.1662
result/tencentBlock.ns6846.oracleGeneral.zst FIFO cache size    32879, 3761385 req, miss ratio 0.1017, byte miss ratio 0.1017
result/tencentBlock.ns6846.oracleGeneral.zst FIFO cache size    65758, 3761385 req, miss ratio 0.0660, byte miss ratio 0.0660
result/tencentBlock.ns6846.oracleGeneral.zst FIFO cache size   131517, 3761385 req, miss ratio 0.0489, byte miss ratio 0.0489
result/tencentBlock.ns6846.oracleGeneral.zst LHD cache size      164, 3761385 req, miss ratio 0.6615, byte miss ratio 0.6615
result/tencentBlock.ns6846.oracleGeneral.zst LHD cache size      493, 3761385 req, miss ratio 0.6321, byte miss ratio 0.6321
result/tencentBlock.ns6846.oracleGeneral.zst LHD cache size     1643, 3761385 req, miss ratio 0.5777, byte miss ratio 0.5777
result/tencentBlock.ns6846.oracleGeneral.zst LHD cache size     4931, 3761385 req, miss ratio 0.3587, byte miss ratio 0.3587
result/tencentBlock.ns6846.oracleGeneral.zst LHD cache size    16439, 3761385 req, miss ratio 0.1099, byte miss ratio 0.1099
result/tencentBlock.ns6846.oracleGeneral.zst LHD cache size    32879, 3761385 req, miss ratio 0.0787, byte miss ratio 0.0787
