result/tencentBlock.ns9883.oracleGeneral.zst Clock cache size      186, 5605332 req, miss ratio 0.2046, byte miss ratio 0.2046
result/tencentBlock.ns9883.oracleGeneral.zst Clock cache size      560, 5605332 req, miss ratio 0.1031, byte miss ratio 0.1031
result/tencentBlock.ns9883.oracleGeneral.zst Clock cache size     1869, 5605332 req, miss ratio 0.0831, byte miss ratio 0.0831
result/tencentBlock.ns9883.oracleGeneral.zst Clock cache size     5608, 5605332 req, miss ratio 0.0633, byte miss ratio 0.0633
result/tencentBlock.ns9883.oracleGeneral.zst Clock cache size    18693, 5605332 req, miss ratio 0.0515, byte miss ratio 0.0515
result/tencentBlock.ns9883.oracleGeneral.zst Clock cache size    37387, 5605332 req, miss ratio 0.0426, byte miss ratio 0.0426
result/tencentBlock.ns9883.oracleGeneral.zst Clock cache size    74775, 5605332 req, miss ratio 0.0361, byte miss ratio 0.0361
result/tencentBlock.ns9883.oracleGeneral.zst Clock cache size   149550, 5605332 req, miss ratio 0.0336, byte miss ratio 0.0336
result/tencentBlock.ns9883.oracleGeneral.zst LHD cache size      186, 5605332 req, miss ratio 0.1824, byte miss ratio 0.1824
result/tencentBlock.ns9883.oracleGeneral.zst LHD cache size      560, 5605332 req, miss ratio 0.1016, byte miss ratio 0.1016
result/tencentBlock.ns9883.oracleGeneral.zst LHD cache size     1869, 5605332 req, miss ratio 0.0791, byte miss ratio 0.0791
result/tencentBlock.ns9883.oracleGeneral.zst LHD cache size     5608, 5605332 req, miss ratio 0.0601, byte miss ratio 0.0601
result/tencentBlock.ns9883.oracleGeneral.zst LHD cache size    18693, 5605332 req, miss ratio 0.0488, byte miss ratio 0.0488
result/tencentBlock.ns9883.oracleGeneral.zst LHD cache size    37387, 5605332 req, miss ratio 0.0407, byte miss ratio 0.0407
result/tencentBlock.ns9883.oracleGeneral.zst LHD cache size    74775, 5605332 req, miss ratio 0.0353, byte miss ratio 0.0353
result/tencentBlock.ns9883.oracleGeneral.zst LHD cache size   149550, 5605332 req, miss ratio 0.0335, byte miss ratio 0.0335
result/tencentBlock.ns9883.oracleGeneral.zst ARC cache size      186, 5605332 req, miss ratio 0.1669, byte miss ratio 0.1669
result/tencentBlock.ns9883.oracleGeneral.zst ARC cache size      560, 5605332 req, miss ratio 0.0986, byte miss ratio 0.0986
result/tencentBlock.ns9883.oracleGeneral.zst ARC cache size     1869, 5605332 req, miss ratio 0.0784, byte miss ratio 0.0784
result/tencentBlock.ns9883.oracleGeneral.zst ARC cache size     5608, 5605332 req, miss ratio 0.0611, byte miss ratio 0.0611
result/tencentBlock.ns9883.oracleGeneral.zst ARC cache size    18693, 5605332 req, miss ratio 0.0499, byte miss ratio 0.0499
result/tencentBlock.ns9883.oracleGeneral.zst ARC cache size    37387, 5605332 req, miss ratio 0.0418, byte miss ratio 0.0418
result/tencentBlock.ns9883.oracleGeneral.zst ARC cache size    74775, 5605332 req, miss ratio 0.0359, byte miss ratio 0.0359
result/tencentBlock.ns9883.oracleGeneral.zst ARC cache size   149550, 5605332 req, miss ratio 0.0336, byte miss ratio 0.0336
result/tencentBlock.ns9883.oracleGeneral.zst LRU cache size      186, 5605332 req, miss ratio 0.2131, byte miss ratio 0.2131
result/tencentBlock.ns9883.oracleGeneral.zst LRU cache size      560, 5605332 req, miss ratio 0.1045, byte miss ratio 0.1045
result/tencentBlock.ns9883.oracleGeneral.zst LRU cache size     1869, 5605332 req, miss ratio 0.0829, byte miss ratio 0.0829
result/tencentBlock.ns9883.oracleGeneral.zst LRU cache size     5608, 5605332 req, miss ratio 0.0620, byte miss ratio 0.0620
result/tencentBlock.ns9883.oracleGeneral.zst LRU cache size    18693, 5605332 req, miss ratio 0.0510, byte miss ratio 0.0510
result/tencentBlock.ns9883.oracleGeneral.zst LRU cache size    37387, 5605332 req, miss ratio 0.0413, byte miss ratio 0.0413
result/tencentBlock.ns9883.oracleGeneral.zst LRU cache size    74775, 5605332 req, miss ratio 0.0354, byte miss ratio 0.0354
result/tencentBlock.ns9883.oracleGeneral.zst LRU cache size   149550, 5605332 req, miss ratio 0.0335, byte miss ratio 0.0335
result/tencentBlock.ns9883.oracleGeneral.zst Cacheus cache size      186, 5605332 req, miss ratio 0.1711, byte miss ratio 0.1711
