result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-1 cache size       81, 2052141 req, miss ratio 0.3396, byte miss ratio 0.3396
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-1 cache size      243, 2052141 req, miss ratio 0.2723, byte miss ratio 0.2723
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-1 cache size      811, 2052141 req, miss ratio 0.2044, byte miss ratio 0.2044
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-1 cache size     2435, 2052141 req, miss ratio 0.1445, byte miss ratio 0.1445
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-1 cache size     8117, 2052141 req, miss ratio 0.0895, byte miss ratio 0.0895
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-1 cache size    16235, 2052141 req, miss ratio 0.0660, byte miss ratio 0.0660
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-1 cache size    32470, 2052141 req, miss ratio 0.0491, byte miss ratio 0.0491
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-1 cache size    64940, 2052141 req, miss ratio 0.0416, byte miss ratio 0.0416
result/cdn2_colo28.ns130.oracleGeneral.zst Cacheus cache size       81, 2052141 req, miss ratio 0.3548, byte miss ratio 0.3548
result/cdn2_colo28.ns130.oracleGeneral.zst Cacheus cache size      243, 2052141 req, miss ratio 0.2888, byte miss ratio 0.2888
result/cdn2_colo28.ns130.oracleGeneral.zst Cacheus cache size      811, 2052141 req, miss ratio 0.2180, byte miss ratio 0.2180
result/cdn2_colo28.ns130.oracleGeneral.zst Cacheus cache size     2435, 2052141 req, miss ratio 0.1550, byte miss ratio 0.1550
result/cdn2_colo28.ns130.oracleGeneral.zst Cacheus cache size     8117, 2052141 req, miss ratio 0.0968, byte miss ratio 0.0968
result/cdn2_colo28.ns130.oracleGeneral.zst Cacheus cache size    16235, 2052141 req, miss ratio 0.0712, byte miss ratio 0.0712
result/cdn2_colo28.ns130.oracleGeneral.zst Cacheus cache size    32470, 2052141 req, miss ratio 0.0494, byte miss ratio 0.0494
result/cdn2_colo28.ns130.oracleGeneral.zst Cacheus cache size    64940, 2052141 req, miss ratio 0.0402, byte miss ratio 0.0402
result/cdn2_colo28.ns130.oracleGeneral.zst ARC cache size       81, 2052141 req, miss ratio 0.3565, byte miss ratio 0.3565
result/cdn2_colo28.ns130.oracleGeneral.zst ARC cache size      243, 2052141 req, miss ratio 0.2901, byte miss ratio 0.2901
result/cdn2_colo28.ns130.oracleGeneral.zst ARC cache size      811, 2052141 req, miss ratio 0.2193, byte miss ratio 0.2193
result/cdn2_colo28.ns130.oracleGeneral.zst ARC cache size     2435, 2052141 req, miss ratio 0.1566, byte miss ratio 0.1566
result/cdn2_colo28.ns130.oracleGeneral.zst ARC cache size     8117, 2052141 req, miss ratio 0.0973, byte miss ratio 0.0973
result/cdn2_colo28.ns130.oracleGeneral.zst ARC cache size    16235, 2052141 req, miss ratio 0.0713, byte miss ratio 0.0713
result/cdn2_colo28.ns130.oracleGeneral.zst ARC cache size    32470, 2052141 req, miss ratio 0.0493, byte miss ratio 0.0493
result/cdn2_colo28.ns130.oracleGeneral.zst ARC cache size    64940, 2052141 req, miss ratio 0.0401, byte miss ratio 0.0401
result/cdn2_colo28.ns130.oracleGeneral.zst LIRS cache size       81, 2052141 req, miss ratio 0.3641, byte miss ratio 0.3641
result/cdn2_colo28.ns130.oracleGeneral.zst LIRS cache size      243, 2052141 req, miss ratio 0.2931, byte miss ratio 0.2931
result/cdn2_colo28.ns130.oracleGeneral.zst LIRS cache size      811, 2052141 req, miss ratio 0.2182, byte miss ratio 0.2182
result/cdn2_colo28.ns130.oracleGeneral.zst LIRS cache size     2435, 2052141 req, miss ratio 0.1551, byte miss ratio 0.1551
result/cdn2_colo28.ns130.oracleGeneral.zst LIRS cache size     8117, 2052141 req, miss ratio 0.0969, byte miss ratio 0.0969
