result/io_traces.ns292.oracleGeneral.zst FIFO cache size     9853, 1200000 req, miss ratio 0.7341, byte miss ratio 0.7341
result/io_traces.ns292.oracleGeneral.zst FIFO cache size    19707, 1200000 req, miss ratio 0.4995, byte miss ratio 0.4995
result/io_traces.ns292.oracleGeneral.zst FIFO cache size    39415, 1200000 req, miss ratio 0.0829, byte miss ratio 0.0829
result/io_traces.ns292.oracleGeneral.zst LHD cache size       49, 1200000 req, miss ratio 0.8892, byte miss ratio 0.8892
result/io_traces.ns292.oracleGeneral.zst LHD cache size      147, 1200000 req, miss ratio 0.7922, byte miss ratio 0.7922
result/io_traces.ns292.oracleGeneral.zst LHD cache size      492, 1200000 req, miss ratio 0.7705, byte miss ratio 0.7705
result/io_traces.ns292.oracleGeneral.zst LHD cache size     1478, 1200000 req, miss ratio 0.7516, byte miss ratio 0.7516
result/io_traces.ns292.oracleGeneral.zst LHD cache size     4926, 1200000 req, miss ratio 0.7327, byte miss ratio 0.7327
result/io_traces.ns292.oracleGeneral.zst LHD cache size     9853, 1200000 req, miss ratio 0.7071, byte miss ratio 0.7071
result/io_traces.ns292.oracleGeneral.zst LHD cache size    19707, 1200000 req, miss ratio 0.5136, byte miss ratio 0.5136
result/io_traces.ns292.oracleGeneral.zst LHD cache size    39415, 1200000 req, miss ratio 0.0479, byte miss ratio 0.0479
result/io_traces.ns292.oracleGeneral.zst Cacheus cache size       49, 1200000 req, miss ratio 0.8947, byte miss ratio 0.8947
result/io_traces.ns292.oracleGeneral.zst Cacheus cache size      147, 1200000 req, miss ratio 0.7794, byte miss ratio 0.7794
result/io_traces.ns292.oracleGeneral.zst Cacheus cache size      492, 1200000 req, miss ratio 0.7549, byte miss ratio 0.7549
result/io_traces.ns292.oracleGeneral.zst Cacheus cache size     1478, 1200000 req, miss ratio 0.7319, byte miss ratio 0.7319
result/io_traces.ns292.oracleGeneral.zst Cacheus cache size     4926, 1200000 req, miss ratio 0.6976, byte miss ratio 0.6976
result/io_traces.ns292.oracleGeneral.zst Cacheus cache size     9853, 1200000 req, miss ratio 0.6940, byte miss ratio 0.6940
result/io_traces.ns292.oracleGeneral.zst Cacheus cache size    19707, 1200000 req, miss ratio 0.6912, byte miss ratio 0.6912
result/io_traces.ns292.oracleGeneral.zst Cacheus cache size    39415, 1200000 req, miss ratio 0.0414, byte miss ratio 0.0414
result/io_traces.ns292.oracleGeneral.zst LRU cache size       49, 1200000 req, miss ratio 0.9874, byte miss ratio 0.9874
result/io_traces.ns292.oracleGeneral.zst LRU cache size      147, 1200000 req, miss ratio 0.9290, byte miss ratio 0.9290
result/io_traces.ns292.oracleGeneral.zst LRU cache size      492, 1200000 req, miss ratio 0.7808, byte miss ratio 0.7808
result/io_traces.ns292.oracleGeneral.zst LRU cache size     1478, 1200000 req, miss ratio 0.7529, byte miss ratio 0.7529
result/io_traces.ns292.oracleGeneral.zst LRU cache size     4926, 1200000 req, miss ratio 0.7364, byte miss ratio 0.7364
result/io_traces.ns292.oracleGeneral.zst LRU cache size     9853, 1200000 req, miss ratio 0.7234, byte miss ratio 0.7234
result/io_traces.ns292.oracleGeneral.zst LRU cache size    19707, 1200000 req, miss ratio 0.7084, byte miss ratio 0.7084
result/io_traces.ns292.oracleGeneral.zst LRU cache size    39415, 1200000 req, miss ratio 0.0415, byte miss ratio 0.0415
result/io_traces.ns292.oracleGeneral.zst ARC cache size       49, 1200000 req, miss ratio 0.8477, byte miss ratio 0.8477
result/io_traces.ns292.oracleGeneral.zst ARC cache size      147, 1200000 req, miss ratio 0.7824, byte miss ratio 0.7824
result/io_traces.ns292.oracleGeneral.zst ARC cache size      492, 1200000 req, miss ratio 0.7576, byte miss ratio 0.7576
result/io_traces.ns292.oracleGeneral.zst ARC cache size     1478, 1200000 req, miss ratio 0.7191, byte miss ratio 0.7191
result/io_traces.ns292.oracleGeneral.zst ARC cache size     4926, 1200000 req, miss ratio 0.6979, byte miss ratio 0.6979
result/io_traces.ns292.oracleGeneral.zst ARC cache size     9853, 1200000 req, miss ratio 0.6945, byte miss ratio 0.6945
result/io_traces.ns292.oracleGeneral.zst ARC cache size    19707, 1200000 req, miss ratio 0.6749, byte miss ratio 0.6749
result/io_traces.ns292.oracleGeneral.zst ARC cache size    39415, 1200000 req, miss ratio 0.0417, byte miss ratio 0.0417
