result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-1 cache size     2250, 56844956 req, miss ratio 0.7890, byte miss ratio 0.7890
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-1 cache size     6750, 56844956 req, miss ratio 0.6923, byte miss ratio 0.6923
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-1 cache size    22500, 56844956 req, miss ratio 0.5676, byte miss ratio 0.5676
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-1 cache size    67500, 56844956 req, miss ratio 0.4362, byte miss ratio 0.4362
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-1 cache size   225001, 56844956 req, miss ratio 0.2283, byte miss ratio 0.2283
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-1 cache size   450002, 56844956 req, miss ratio 0.1302, byte miss ratio 0.1302
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-1 cache size   900004, 56844956 req, miss ratio 0.0591, byte miss ratio 0.0591
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-1 cache size  1800008, 56844956 req, miss ratio 0.0409, byte miss ratio 0.0409
result/tencentBlock.ns2109.oracleGeneral.zst Cacheus cache size     2250, 56844956 req, miss ratio 0.7805, byte miss ratio 0.7805
result/tencentBlock.ns2109.oracleGeneral.zst Cacheus cache size     6750, 56844956 req, miss ratio 0.6689, byte miss ratio 0.6689
result/tencentBlock.ns2109.oracleGeneral.zst Cacheus cache size    22500, 56844956 req, miss ratio 0.5610, byte miss ratio 0.5610
result/tencentBlock.ns2109.oracleGeneral.zst Cacheus cache size    67500, 56844956 req, miss ratio 0.4543, byte miss ratio 0.4543
result/tencentBlock.ns2109.oracleGeneral.zst Cacheus cache size   225001, 56844956 req, miss ratio 0.2258, byte miss ratio 0.2258
result/tencentBlock.ns2109.oracleGeneral.zst Cacheus cache size   450002, 56844956 req, miss ratio 0.1274, byte miss ratio 0.1274
result/tencentBlock.ns2109.oracleGeneral.zst Cacheus cache size   900004, 56844956 req, miss ratio 0.0582, byte miss ratio 0.0582
result/tencentBlock.ns2109.oracleGeneral.zst Cacheus cache size  1800008, 56844956 req, miss ratio 0.0402, byte miss ratio 0.0402
result/tencentBlock.ns2109.oracleGeneral.zst ARC cache size     2250, 56844956 req, miss ratio 0.7809, byte miss ratio 0.7809
result/tencentBlock.ns2109.oracleGeneral.zst ARC cache size     6750, 56844956 req, miss ratio 0.6700, byte miss ratio 0.6700
result/tencentBlock.ns2109.oracleGeneral.zst ARC cache size    22500, 56844956 req, miss ratio 0.5708, byte miss ratio 0.5708
result/tencentBlock.ns2109.oracleGeneral.zst ARC cache size    67500, 56844956 req, miss ratio 0.4507, byte miss ratio 0.4507
result/tencentBlock.ns2109.oracleGeneral.zst ARC cache size   225001, 56844956 req, miss ratio 0.2394, byte miss ratio 0.2394
result/tencentBlock.ns2109.oracleGeneral.zst ARC cache size   450002, 56844956 req, miss ratio 0.1380, byte miss ratio 0.1380
result/tencentBlock.ns2109.oracleGeneral.zst ARC cache size   900004, 56844956 req, miss ratio 0.0563, byte miss ratio 0.0563
result/tencentBlock.ns2109.oracleGeneral.zst ARC cache size  1800008, 56844956 req, miss ratio 0.0404, byte miss ratio 0.0404
result/tencentBlock.ns2109.oracleGeneral.zst LIRS cache size     2250, 56844956 req, miss ratio 0.8001, byte miss ratio 0.8001
result/tencentBlock.ns2109.oracleGeneral.zst LIRS cache size     6750, 56844956 req, miss ratio 0.7238, byte miss ratio 0.7238
result/tencentBlock.ns2109.oracleGeneral.zst LIRS cache size    22500, 56844956 req, miss ratio 0.6200, byte miss ratio 0.6200
result/tencentBlock.ns2109.oracleGeneral.zst LIRS cache size    67500, 56844956 req, miss ratio 0.4754, byte miss ratio 0.4754
result/tencentBlock.ns2109.oracleGeneral.zst LIRS cache size   225001, 56844956 req, miss ratio 0.2445, byte miss ratio 0.2445
result/tencentBlock.ns2109.oracleGeneral.zst LIRS cache size   450002, 56844956 req, miss ratio 0.1509, byte miss ratio 0.1509
result/tencentBlock.ns2109.oracleGeneral.zst LIRS cache size   900004, 56844956 req, miss ratio 0.0597, byte miss ratio 0.0597
result/tencentBlock.ns2109.oracleGeneral.zst LIRS cache size  1800008, 56844956 req, miss ratio 0.0405, byte miss ratio 0.0405
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-d-1 cache size     2250, 56844956 req, miss ratio 0.7800, byte miss ratio 0.7800
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-d-1 cache size     6750, 56844956 req, miss ratio 0.6701, byte miss ratio 0.6701
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-d-1 cache size    22500, 56844956 req, miss ratio 0.5563, byte miss ratio 0.5563
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-d-1 cache size    67500, 56844956 req, miss ratio 0.4383, byte miss ratio 0.4383
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-d-1 cache size   225001, 56844956 req, miss ratio 0.2296, byte miss ratio 0.2296
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-d-1 cache size   450002, 56844956 req, miss ratio 0.1315, byte miss ratio 0.1315
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-d-1 cache size   900004, 56844956 req, miss ratio 0.0609, byte miss ratio 0.0609
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-d-1 cache size  1800008, 56844956 req, miss ratio 0.0409, byte miss ratio 0.0409
result/tencentBlock.ns2109.oracleGeneral.zst LRB cache size     2250, 56844956 req, miss ratio 0.7915, byte miss ratio 0.7915
result/tencentBlock.ns2109.oracleGeneral.zst LRB cache size     6750, 56844956 req, miss ratio 0.6956, byte miss ratio 0.6956
result/tencentBlock.ns2109.oracleGeneral.zst LRB cache size    22500, 56844956 req, miss ratio 0.5765, byte miss ratio 0.5765
result/tencentBlock.ns2109.oracleGeneral.zst LRB cache size    67500, 56844956 req, miss ratio 0.4238, byte miss ratio 0.4238
result/tencentBlock.ns2109.oracleGeneral.zst LRB cache size   225001, 56844956 req, miss ratio 0.2165, byte miss ratio 0.2165
result/tencentBlock.ns2109.oracleGeneral.zst LRB cache size   450002, 56844956 req, miss ratio 0.1174, byte miss ratio 0.1174
result/tencentBlock.ns2109.oracleGeneral.zst LRB cache size   900004, 56844956 req, miss ratio 0.0615, byte miss ratio 0.0615
result/tencentBlock.ns2109.oracleGeneral.zst LRB cache size  1800008, 56844956 req, miss ratio 0.0421, byte miss ratio 0.0421
result/tencentBlock.ns2109.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2250, 56844956 req, miss ratio 0.8219, byte miss ratio 0.8219
result/tencentBlock.ns2109.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6750, 56844956 req, miss ratio 0.6980, byte miss ratio 0.6980
result/tencentBlock.ns2109.oracleGeneral.zst S4LRU(25:25:25:25) cache size    22500, 56844956 req, miss ratio 0.5619, byte miss ratio 0.5619
result/tencentBlock.ns2109.oracleGeneral.zst S4LRU(25:25:25:25) cache size    67500, 56844956 req, miss ratio 0.4487, byte miss ratio 0.4487
result/tencentBlock.ns2109.oracleGeneral.zst S4LRU(25:25:25:25) cache size   225001, 56844956 req, miss ratio 0.2499, byte miss ratio 0.2499
result/tencentBlock.ns2109.oracleGeneral.zst S4LRU(25:25:25:25) cache size   450002, 56844956 req, miss ratio 0.1312, byte miss ratio 0.1312
result/tencentBlock.ns2109.oracleGeneral.zst S4LRU(25:25:25:25) cache size   900004, 56844956 req, miss ratio 0.0561, byte miss ratio 0.0561
result/tencentBlock.ns2109.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1800008, 56844956 req, miss ratio 0.0402, byte miss ratio 0.0402
result/tencentBlock.ns2109.oracleGeneral.zst TwoQ cache size     2250, 56844956 req, miss ratio 0.7890, byte miss ratio 0.7890
result/tencentBlock.ns2109.oracleGeneral.zst TwoQ cache size     6750, 56844956 req, miss ratio 0.6857, byte miss ratio 0.6857
result/tencentBlock.ns2109.oracleGeneral.zst TwoQ cache size    22500, 56844956 req, miss ratio 0.5593, byte miss ratio 0.5593
result/tencentBlock.ns2109.oracleGeneral.zst TwoQ cache size    67500, 56844956 req, miss ratio 0.4269, byte miss ratio 0.4269
result/tencentBlock.ns2109.oracleGeneral.zst TwoQ cache size   225001, 56844956 req, miss ratio 0.2275, byte miss ratio 0.2275
result/tencentBlock.ns2109.oracleGeneral.zst TwoQ cache size   450002, 56844956 req, miss ratio 0.1237, byte miss ratio 0.1237
result/tencentBlock.ns2109.oracleGeneral.zst TwoQ cache size   900004, 56844956 req, miss ratio 0.0643, byte miss ratio 0.0643
result/tencentBlock.ns2109.oracleGeneral.zst TwoQ cache size  1800008, 56844956 req, miss ratio 0.0476, byte miss ratio 0.0476
result/tencentBlock.ns2109.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2250, 56844956 req, miss ratio 0.7965, byte miss ratio 0.7965
result/tencentBlock.ns2109.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6750, 56844956 req, miss ratio 0.6995, byte miss ratio 0.6995
result/tencentBlock.ns2109.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    22500, 56844956 req, miss ratio 0.5843, byte miss ratio 0.5843
result/tencentBlock.ns2109.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    67500, 56844956 req, miss ratio 0.4630, byte miss ratio 0.4630
result/tencentBlock.ns2109.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   225001, 56844956 req, miss ratio 0.2609, byte miss ratio 0.2609
result/tencentBlock.ns2109.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   450002, 56844956 req, miss ratio 0.1442, byte miss ratio 0.1442
result/tencentBlock.ns2109.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   900004, 56844956 req, miss ratio 0.0734, byte miss ratio 0.0734
result/tencentBlock.ns2109.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1800008, 56844956 req, miss ratio 0.0451, byte miss ratio 0.0451
result/tencentBlock.ns2109.oracleGeneral.zst B-LRU cache size     2250, 56844956 req, miss ratio 0.8081, byte miss ratio 0.8081
result/tencentBlock.ns2109.oracleGeneral.zst B-LRU cache size     6750, 56844956 req, miss ratio 0.6963, byte miss ratio 0.6963
result/tencentBlock.ns2109.oracleGeneral.zst B-LRU cache size    22500, 56844956 req, miss ratio 0.5964, byte miss ratio 0.5964
