result/tencentBlock.ns5936.oracleGeneral.zst Cacheus cache size      273, 3720288 req, miss ratio 0.1418, byte miss ratio 0.1418
result/tencentBlock.ns5936.oracleGeneral.zst Cacheus cache size      911, 3720288 req, miss ratio 0.1210, byte miss ratio 0.1210
result/tencentBlock.ns5936.oracleGeneral.zst Cacheus cache size     2734, 3720288 req, miss ratio 0.1134, byte miss ratio 0.1134
result/tencentBlock.ns5936.oracleGeneral.zst Cacheus cache size     9116, 3720288 req, miss ratio 0.0928, byte miss ratio 0.0928
result/tencentBlock.ns5936.oracleGeneral.zst Cacheus cache size    18232, 3720288 req, miss ratio 0.0608, byte miss ratio 0.0608
result/tencentBlock.ns5936.oracleGeneral.zst Cacheus cache size    36465, 3720288 req, miss ratio 0.0290, byte miss ratio 0.0290
result/tencentBlock.ns5936.oracleGeneral.zst Cacheus cache size    72930, 3720288 req, miss ratio 0.0251, byte miss ratio 0.0251
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-1 cache size       91, 3720288 req, miss ratio 0.1936, byte miss ratio 0.1936
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-1 cache size      273, 3720288 req, miss ratio 0.1347, byte miss ratio 0.1347
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-1 cache size      911, 3720288 req, miss ratio 0.1196, byte miss ratio 0.1196
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-1 cache size     2734, 3720288 req, miss ratio 0.1102, byte miss ratio 0.1102
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-1 cache size     9116, 3720288 req, miss ratio 0.0889, byte miss ratio 0.0889
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-1 cache size    18232, 3720288 req, miss ratio 0.0607, byte miss ratio 0.0607
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-1 cache size    36465, 3720288 req, miss ratio 0.0285, byte miss ratio 0.0285
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-1 cache size    72930, 3720288 req, miss ratio 0.0248, byte miss ratio 0.0248
result/tencentBlock.ns5936.oracleGeneral.zst FIFO cache size       91, 3720288 req, miss ratio 0.3182, byte miss ratio 0.3182
result/tencentBlock.ns5936.oracleGeneral.zst FIFO cache size      273, 3720288 req, miss ratio 0.1913, byte miss ratio 0.1913
result/tencentBlock.ns5936.oracleGeneral.zst FIFO cache size      911, 3720288 req, miss ratio 0.1400, byte miss ratio 0.1400
result/tencentBlock.ns5936.oracleGeneral.zst FIFO cache size     2734, 3720288 req, miss ratio 0.1244, byte miss ratio 0.1244
result/tencentBlock.ns5936.oracleGeneral.zst FIFO cache size     9116, 3720288 req, miss ratio 0.0986, byte miss ratio 0.0986
