result/tencentBlock.ns11988.oracleGeneral.zst LeCaR cache size      128, 2566050 req, miss ratio 0.2569, byte miss ratio 0.2569
result/tencentBlock.ns11988.oracleGeneral.zst LeCaR cache size      384, 2566050 req, miss ratio 0.1895, byte miss ratio 0.1895
result/tencentBlock.ns11988.oracleGeneral.zst LeCaR cache size     1281, 2566050 req, miss ratio 0.1699, byte miss ratio 0.1699
result/tencentBlock.ns11988.oracleGeneral.zst LeCaR cache size     3844, 2566050 req, miss ratio 0.1564, byte miss ratio 0.1564
result/tencentBlock.ns11988.oracleGeneral.zst LeCaR cache size    12815, 2566050 req, miss ratio 0.1208, byte miss ratio 0.1208
result/tencentBlock.ns11988.oracleGeneral.zst LeCaR cache size    25631, 2566050 req, miss ratio 0.0806, byte miss ratio 0.0806
result/tencentBlock.ns11988.oracleGeneral.zst LeCaR cache size    51263, 2566050 req, miss ratio 0.0580, byte miss ratio 0.0580
result/tencentBlock.ns11988.oracleGeneral.zst LeCaR cache size   102526, 2566050 req, miss ratio 0.0504, byte miss ratio 0.0504
result/tencentBlock.ns11988.oracleGeneral.zst Cacheus cache size      128, 2566050 req, miss ratio 0.2404, byte miss ratio 0.2404
result/tencentBlock.ns11988.oracleGeneral.zst Cacheus cache size      384, 2566050 req, miss ratio 0.1812, byte miss ratio 0.1812
result/tencentBlock.ns11988.oracleGeneral.zst Cacheus cache size     1281, 2566050 req, miss ratio 0.1669, byte miss ratio 0.1669
result/tencentBlock.ns11988.oracleGeneral.zst Cacheus cache size     3844, 2566050 req, miss ratio 0.1544, byte miss ratio 0.1544
result/tencentBlock.ns11988.oracleGeneral.zst Cacheus cache size    12815, 2566050 req, miss ratio 0.1213, byte miss ratio 0.1213
result/tencentBlock.ns11988.oracleGeneral.zst Cacheus cache size    25631, 2566050 req, miss ratio 0.0786, byte miss ratio 0.0786
result/tencentBlock.ns11988.oracleGeneral.zst Cacheus cache size    51263, 2566050 req, miss ratio 0.0596, byte miss ratio 0.0596
result/tencentBlock.ns11988.oracleGeneral.zst Cacheus cache size   102526, 2566050 req, miss ratio 0.0500, byte miss ratio 0.0500
result/tencentBlock.ns11988.oracleGeneral.zst FIFO cache size      128, 2566050 req, miss ratio 0.3558, byte miss ratio 0.3558
result/tencentBlock.ns11988.oracleGeneral.zst FIFO cache size      384, 2566050 req, miss ratio 0.2369, byte miss ratio 0.2369
result/tencentBlock.ns11988.oracleGeneral.zst FIFO cache size     1281, 2566050 req, miss ratio 0.1883, byte miss ratio 0.1883
result/tencentBlock.ns11988.oracleGeneral.zst FIFO cache size     3844, 2566050 req, miss ratio 0.1696, byte miss ratio 0.1696
result/tencentBlock.ns11988.oracleGeneral.zst FIFO cache size    12815, 2566050 req, miss ratio 0.1325, byte miss ratio 0.1325
result/tencentBlock.ns11988.oracleGeneral.zst FIFO cache size    25631, 2566050 req, miss ratio 0.0926, byte miss ratio 0.0926
