result/graph_feature_service_cache.1.oracleGeneral.sample10.zst clock2 cache size 12560974, 190994596 req, miss ratio 0.1768, byte miss ratio 0.1768
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst clock2 cache size 25121949, 190994596 req, miss ratio 0.1657, byte miss ratio 0.1657
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    31402, 190994596 req, miss ratio 0.6340, byte miss ratio 0.6340
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    94207, 190994596 req, miss ratio 0.5904, byte miss ratio 0.5904
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   314024, 190994596 req, miss ratio 0.4847, byte miss ratio 0.4847
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   942073, 190994596 req, miss ratio 0.3344, byte miss ratio 0.3344
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  3140243, 190994596 req, miss ratio 0.2275, byte miss ratio 0.2275
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  6280487, 190994596 req, miss ratio 0.1963, byte miss ratio 0.1963
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size 12560974, 190994596 req, miss ratio 0.1786, byte miss ratio 0.1786
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size 25121949, 190994596 req, miss ratio 0.1669, byte miss ratio 0.1669
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst FIFO cache size    31402, 190994596 req, miss ratio 0.6496, byte miss ratio 0.6496
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst FIFO cache size    94207, 190994596 req, miss ratio 0.6106, byte miss ratio 0.6106
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst FIFO cache size   314024, 190994596 req, miss ratio 0.5145, byte miss ratio 0.5145
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst FIFO cache size   942073, 190994596 req, miss ratio 0.3668, byte miss ratio 0.3668
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst FIFO cache size  3140243, 190994596 req, miss ratio 0.2483, byte miss ratio 0.2483
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst FIFO cache size  6280487, 190994596 req, miss ratio 0.2085, byte miss ratio 0.2085
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst FIFO cache size 12560974, 190994596 req, miss ratio 0.1862, byte miss ratio 0.1862
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst FIFO cache size 25121949, 190994596 req, miss ratio 0.1693, byte miss ratio 0.1693
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst ARC cache size    31402, 190994596 req, miss ratio 0.6398, byte miss ratio 0.6398
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst ARC cache size    94207, 190994596 req, miss ratio 0.5981, byte miss ratio 0.5981
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst ARC cache size   314024, 190994596 req, miss ratio 0.4910, byte miss ratio 0.4910
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst ARC cache size   942073, 190994596 req, miss ratio 0.3434, byte miss ratio 0.3434
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst ARC cache size  3140243, 190994596 req, miss ratio 0.2406, byte miss ratio 0.2406
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst ARC cache size  6280487, 190994596 req, miss ratio 0.1976, byte miss ratio 0.1976
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst ARC cache size 12560974, 190994596 req, miss ratio 0.1773, byte miss ratio 0.1773
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst ARC cache size 25121949, 190994596 req, miss ratio 0.1658, byte miss ratio 0.1658
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LRU cache size    31402, 190994596 req, miss ratio 0.6411, byte miss ratio 0.6411
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LRU cache size    94207, 190994596 req, miss ratio 0.5990, byte miss ratio 0.5990
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LRU cache size   314024, 190994596 req, miss ratio 0.5021, byte miss ratio 0.5021
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LRU cache size   942073, 190994596 req, miss ratio 0.3332, byte miss ratio 0.3332
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LRU cache size  3140243, 190994596 req, miss ratio 0.2298, byte miss ratio 0.2298
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LRU cache size  6280487, 190994596 req, miss ratio 0.1966, byte miss ratio 0.1966
