result/tencentBlock.ns21096.oracleGeneral.zst LHD cache size   631681, 8585481 req, miss ratio 0.0929, byte miss ratio 0.0929
result/tencentBlock.ns21096.oracleGeneral.zst ARC cache size      789, 8585481 req, miss ratio 0.4603, byte miss ratio 0.4603
result/tencentBlock.ns21096.oracleGeneral.zst ARC cache size     2368, 8585481 req, miss ratio 0.3959, byte miss ratio 0.3959
result/tencentBlock.ns21096.oracleGeneral.zst ARC cache size     7896, 8585481 req, miss ratio 0.3392, byte miss ratio 0.3392
result/tencentBlock.ns21096.oracleGeneral.zst ARC cache size    23688, 8585481 req, miss ratio 0.3136, byte miss ratio 0.3136
result/tencentBlock.ns21096.oracleGeneral.zst ARC cache size    78960, 8585481 req, miss ratio 0.2413, byte miss ratio 0.2413
result/tencentBlock.ns21096.oracleGeneral.zst ARC cache size   157920, 8585481 req, miss ratio 0.1749, byte miss ratio 0.1749
result/tencentBlock.ns21096.oracleGeneral.zst ARC cache size   315840, 8585481 req, miss ratio 0.1055, byte miss ratio 0.1055
result/tencentBlock.ns21096.oracleGeneral.zst ARC cache size   631681, 8585481 req, miss ratio 0.0929, byte miss ratio 0.0929
result/tencentBlock.ns21096.oracleGeneral.zst clock2 cache size      789, 8585481 req, miss ratio 0.4747, byte miss ratio 0.4747
result/tencentBlock.ns21096.oracleGeneral.zst clock2 cache size     2368, 8585481 req, miss ratio 0.4213, byte miss ratio 0.4213
result/tencentBlock.ns21096.oracleGeneral.zst clock2 cache size     7896, 8585481 req, miss ratio 0.3513, byte miss ratio 0.3513
result/tencentBlock.ns21096.oracleGeneral.zst clock2 cache size    23688, 8585481 req, miss ratio 0.3205, byte miss ratio 0.3205
result/tencentBlock.ns21096.oracleGeneral.zst clock2 cache size    78960, 8585481 req, miss ratio 0.2677, byte miss ratio 0.2677
result/tencentBlock.ns21096.oracleGeneral.zst clock2 cache size   157920, 8585481 req, miss ratio 0.1885, byte miss ratio 0.1885
result/tencentBlock.ns21096.oracleGeneral.zst clock2 cache size   315840, 8585481 req, miss ratio 0.1134, byte miss ratio 0.1134
result/tencentBlock.ns21096.oracleGeneral.zst clock2 cache size   631681, 8585481 req, miss ratio 0.0929, byte miss ratio 0.0929
