result/cdn2_allcolo.ns1318.oracleGeneral.zst FIFO cache size       11, 1009905 req, miss ratio 0.0217, byte miss ratio 0.0217
result/cdn2_allcolo.ns1318.oracleGeneral.zst FIFO cache size       22, 1009905 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns1318.oracleGeneral.zst FIFO cache size       44, 1009905 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns1318.oracleGeneral.zst FIFO cache size       88, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst LIRS cache size       11, 1009905 req, miss ratio 0.0070, byte miss ratio 0.0070
result/cdn2_allcolo.ns1318.oracleGeneral.zst LIRS cache size       22, 1009905 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_allcolo.ns1318.oracleGeneral.zst LIRS cache size       44, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst LIRS cache size       88, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst LeCaR cache size       11, 1009905 req, miss ratio 0.0070, byte miss ratio 0.0070
result/cdn2_allcolo.ns1318.oracleGeneral.zst LeCaR cache size       22, 1009905 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns1318.oracleGeneral.zst LeCaR cache size       44, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst LeCaR cache size       88, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst S3FIFO-1 cache size       11, 1009905 req, miss ratio 0.0089, byte miss ratio 0.0089
result/cdn2_allcolo.ns1318.oracleGeneral.zst S3FIFO-1 cache size       22, 1009905 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns1318.oracleGeneral.zst S3FIFO-1 cache size       44, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst S3FIFO-1 cache size       88, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst LHD cache size       11, 1009905 req, miss ratio 0.0089, byte miss ratio 0.0089
result/cdn2_allcolo.ns1318.oracleGeneral.zst LHD cache size       22, 1009905 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_allcolo.ns1318.oracleGeneral.zst LHD cache size       44, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst LHD cache size       88, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst clock2 cache size       11, 1009905 req, miss ratio 0.0075, byte miss ratio 0.0075
result/cdn2_allcolo.ns1318.oracleGeneral.zst clock2 cache size       22, 1009905 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns1318.oracleGeneral.zst clock2 cache size       44, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst clock2 cache size       88, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst ARC cache size       11, 1009905 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_allcolo.ns1318.oracleGeneral.zst ARC cache size       22, 1009905 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns1318.oracleGeneral.zst ARC cache size       44, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst ARC cache size       88, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst LRU cache size       11, 1009905 req, miss ratio 0.0085, byte miss ratio 0.0085
result/cdn2_allcolo.ns1318.oracleGeneral.zst LRU cache size       22, 1009905 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns1318.oracleGeneral.zst LRU cache size       44, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst LRU cache size       88, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst Cacheus cache size       11, 1009905 req, miss ratio 0.0133, byte miss ratio 0.0133
result/cdn2_allcolo.ns1318.oracleGeneral.zst Cacheus cache size       22, 1009905 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_allcolo.ns1318.oracleGeneral.zst Cacheus cache size       44, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst Cacheus cache size       88, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst Clock cache size       11, 1009905 req, miss ratio 0.0092, byte miss ratio 0.0092
result/cdn2_allcolo.ns1318.oracleGeneral.zst Clock cache size       22, 1009905 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns1318.oracleGeneral.zst Clock cache size       44, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst Clock cache size       88, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst S3FIFO-d-1 cache size       11, 1009905 req, miss ratio 0.0086, byte miss ratio 0.0086
result/cdn2_allcolo.ns1318.oracleGeneral.zst S3FIFO-d-1 cache size       22, 1009905 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns1318.oracleGeneral.zst S3FIFO-d-1 cache size       44, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst S3FIFO-d-1 cache size       88, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst LRB cache size       11, 1009905 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns1318.oracleGeneral.zst LRB cache size       22, 1009905 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns1318.oracleGeneral.zst LRB cache size       44, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst LRB cache size       88, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst S4LRU(25:25:25:25) cache size       11, 1009905 req, miss ratio 0.0244, byte miss ratio 0.0244
result/cdn2_allcolo.ns1318.oracleGeneral.zst S4LRU(25:25:25:25) cache size       22, 1009905 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_allcolo.ns1318.oracleGeneral.zst S4LRU(25:25:25:25) cache size       44, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst S4LRU(25:25:25:25) cache size       88, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst B-LRU cache size       11, 1009905 req, miss ratio 0.0084, byte miss ratio 0.0084
result/cdn2_allcolo.ns1318.oracleGeneral.zst B-LRU cache size       22, 1009905 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns1318.oracleGeneral.zst B-LRU cache size       44, 1009905 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns1318.oracleGeneral.zst B-LRU cache size       88, 1009905 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns1318.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       11, 1009905 req, miss ratio 0.0217, byte miss ratio 0.0217
result/cdn2_allcolo.ns1318.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       22, 1009905 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns1318.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       44, 1009905 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns1318.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       88, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst TwoQ cache size       11, 1009905 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns1318.oracleGeneral.zst TwoQ cache size       22, 1009905 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_allcolo.ns1318.oracleGeneral.zst TwoQ cache size       44, 1009905 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns1318.oracleGeneral.zst TwoQ cache size       88, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst S3FIFO-d cache size       11, 1009905 req, miss ratio 0.0089, byte miss ratio 0.0089
result/cdn2_allcolo.ns1318.oracleGeneral.zst S3FIFO-d cache size       22, 1009905 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns1318.oracleGeneral.zst S3FIFO-d cache size       44, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst S3FIFO-d cache size       88, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst S3FIFO cache size       11, 1009905 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1318.oracleGeneral.zst S3FIFO cache size       22, 1009905 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns1318.oracleGeneral.zst S3FIFO cache size       44, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst S3FIFO cache size       88, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       11, 1009905 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1318.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       22, 1009905 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1318.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       44, 1009905 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1318.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       88, 1009905 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1318.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       11, 1009905 req, miss ratio 0.0070, byte miss ratio 0.0070
result/cdn2_allcolo.ns1318.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       22, 1009905 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_allcolo.ns1318.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       44, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cdn2_allcolo.ns1318.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       88, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
