result/cdn1_lax.ns27.oracleGeneral.bin.zst FIFO cache size   255998, 3502955 req, miss ratio 0.2352, byte miss ratio 0.2352
result/cdn1_lax.ns27.oracleGeneral.bin.zst FIFO cache size   511996, 3502955 req, miss ratio 0.1887, byte miss ratio 0.1887
result/cdn1_lax.ns27.oracleGeneral.bin.zst LRU cache size      639, 3502955 req, miss ratio 0.8412, byte miss ratio 0.8412
result/cdn1_lax.ns27.oracleGeneral.bin.zst LRU cache size     1919, 3502955 req, miss ratio 0.8137, byte miss ratio 0.8137
result/cdn1_lax.ns27.oracleGeneral.bin.zst LRU cache size     6399, 3502955 req, miss ratio 0.7400, byte miss ratio 0.7400
result/cdn1_lax.ns27.oracleGeneral.bin.zst LRU cache size    19199, 3502955 req, miss ratio 0.6148, byte miss ratio 0.6148
result/cdn1_lax.ns27.oracleGeneral.bin.zst LRU cache size    63999, 3502955 req, miss ratio 0.3989, byte miss ratio 0.3989
result/cdn1_lax.ns27.oracleGeneral.bin.zst LRU cache size   127999, 3502955 req, miss ratio 0.2788, byte miss ratio 0.2788
result/cdn1_lax.ns27.oracleGeneral.bin.zst LRU cache size   255998, 3502955 req, miss ratio 0.2047, byte miss ratio 0.2047
result/cdn1_lax.ns27.oracleGeneral.bin.zst LRU cache size   511996, 3502955 req, miss ratio 0.1833, byte miss ratio 0.1833
result/cdn1_lax.ns27.oracleGeneral.bin.zst Cacheus cache size      639, 3502955 req, miss ratio 0.8402, byte miss ratio 0.8402
result/cdn1_lax.ns27.oracleGeneral.bin.zst Cacheus cache size     1919, 3502955 req, miss ratio 0.8050, byte miss ratio 0.8050
result/cdn1_lax.ns27.oracleGeneral.bin.zst Cacheus cache size     6399, 3502955 req, miss ratio 0.7192, byte miss ratio 0.7192
result/cdn1_lax.ns27.oracleGeneral.bin.zst Cacheus cache size    19199, 3502955 req, miss ratio 0.5835, byte miss ratio 0.5835
result/cdn1_lax.ns27.oracleGeneral.bin.zst Cacheus cache size    63999, 3502955 req, miss ratio 0.3721, byte miss ratio 0.3721
result/cdn1_lax.ns27.oracleGeneral.bin.zst Cacheus cache size   127999, 3502955 req, miss ratio 0.2630, byte miss ratio 0.2630
result/cdn1_lax.ns27.oracleGeneral.bin.zst Cacheus cache size   255998, 3502955 req, miss ratio 0.2071, byte miss ratio 0.2071
result/cdn1_lax.ns27.oracleGeneral.bin.zst Cacheus cache size   511996, 3502955 req, miss ratio 0.1835, byte miss ratio 0.1835
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-1 cache size      639, 3502955 req, miss ratio 0.8356, byte miss ratio 0.8356
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-1 cache size     1919, 3502955 req, miss ratio 0.7896, byte miss ratio 0.7896
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-1 cache size     6399, 3502955 req, miss ratio 0.6954, byte miss ratio 0.6954
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-1 cache size    19199, 3502955 req, miss ratio 0.5505, byte miss ratio 0.5505
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-1 cache size    63999, 3502955 req, miss ratio 0.3472, byte miss ratio 0.3472
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-1 cache size   127999, 3502955 req, miss ratio 0.2596, byte miss ratio 0.2596
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-1 cache size   255998, 3502955 req, miss ratio 0.2062, byte miss ratio 0.2062
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-1 cache size   511996, 3502955 req, miss ratio 0.1834, byte miss ratio 0.1834
result/cdn1_lax.ns27.oracleGeneral.bin.zst Clock cache size      639, 3502955 req, miss ratio 0.8417, byte miss ratio 0.8417
result/cdn1_lax.ns27.oracleGeneral.bin.zst Clock cache size     1919, 3502955 req, miss ratio 0.8138, byte miss ratio 0.8138
result/cdn1_lax.ns27.oracleGeneral.bin.zst Clock cache size     6399, 3502955 req, miss ratio 0.7378, byte miss ratio 0.7378
