result/cdn2_colo28.ns114.oracleGeneral.zst clock2 cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst LRU cache size     1162, 9861230 req, miss ratio 0.1184, byte miss ratio 0.1184
result/cdn2_colo28.ns114.oracleGeneral.zst LRU cache size     3488, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
result/cdn2_colo28.ns114.oracleGeneral.zst LRU cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
result/cdn2_colo28.ns114.oracleGeneral.zst LRU cache size    34880, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
result/cdn2_colo28.ns114.oracleGeneral.zst LRU cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_colo28.ns114.oracleGeneral.zst LRU cache size   232535, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_colo28.ns114.oracleGeneral.zst LRU cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst LRU cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst LeCaR cache size     1162, 9861230 req, miss ratio 0.1184, byte miss ratio 0.1184
result/cdn2_colo28.ns114.oracleGeneral.zst LeCaR cache size     3488, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
result/cdn2_colo28.ns114.oracleGeneral.zst LeCaR cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
result/cdn2_colo28.ns114.oracleGeneral.zst LeCaR cache size    34880, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
result/cdn2_colo28.ns114.oracleGeneral.zst LeCaR cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_colo28.ns114.oracleGeneral.zst LeCaR cache size   232535, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst LeCaR cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst LeCaR cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst LHD cache size     1162, 9861230 req, miss ratio 0.1184, byte miss ratio 0.1184
result/cdn2_colo28.ns114.oracleGeneral.zst LHD cache size     3488, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
result/cdn2_colo28.ns114.oracleGeneral.zst LHD cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
result/cdn2_colo28.ns114.oracleGeneral.zst LHD cache size    34880, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
result/cdn2_colo28.ns114.oracleGeneral.zst LHD cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_colo28.ns114.oracleGeneral.zst LHD cache size   232535, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_colo28.ns114.oracleGeneral.zst LHD cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst LHD cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst ARC cache size     1162, 9861230 req, miss ratio 0.1184, byte miss ratio 0.1184
result/cdn2_colo28.ns114.oracleGeneral.zst ARC cache size     3488, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
result/cdn2_colo28.ns114.oracleGeneral.zst ARC cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
result/cdn2_colo28.ns114.oracleGeneral.zst ARC cache size    34880, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
result/cdn2_colo28.ns114.oracleGeneral.zst ARC cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_colo28.ns114.oracleGeneral.zst ARC cache size   232535, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_colo28.ns114.oracleGeneral.zst ARC cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
