result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 18972163, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 37944327, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst LRB cache size    47430, 75570781 req, miss ratio 0.6280, byte miss ratio 0.6280
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst LRB cache size   142291, 75570781 req, miss ratio 0.6278, byte miss ratio 0.6278
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst LRB cache size   474304, 75570781 req, miss ratio 0.6277, byte miss ratio 0.6277
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst LRB cache size  1422912, 75570781 req, miss ratio 0.6277, byte miss ratio 0.6277
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst LRB cache size  4743040, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst LRB cache size  9486081, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst LRB cache size 18972163, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst LRB cache size 37944327, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst B-LRU cache size    47430, 75570781 req, miss ratio 0.8492, byte miss ratio 0.8492
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst B-LRU cache size   142291, 75570781 req, miss ratio 0.8492, byte miss ratio 0.8492
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst B-LRU cache size   474304, 75570781 req, miss ratio 0.8492, byte miss ratio 0.8492
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst B-LRU cache size  1422912, 75570781 req, miss ratio 0.8492, byte miss ratio 0.8492
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst B-LRU cache size  4743040, 75570781 req, miss ratio 0.8492, byte miss ratio 0.8492
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst B-LRU cache size  9486081, 75570781 req, miss ratio 0.8492, byte miss ratio 0.8492
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst B-LRU cache size 18972163, 75570781 req, miss ratio 0.8492, byte miss ratio 0.8492
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst B-LRU cache size 37944327, 75570781 req, miss ratio 0.8492, byte miss ratio 0.8492
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst TwoQ cache size    47430, 75570781 req, miss ratio 0.6279, byte miss ratio 0.6279
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst TwoQ cache size   142291, 75570781 req, miss ratio 0.6277, byte miss ratio 0.6277
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst TwoQ cache size   474304, 75570781 req, miss ratio 0.6277, byte miss ratio 0.6277
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst TwoQ cache size  1422912, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
