result/tencentBlock.ns16219.oracleGeneral.zst S3FIFO-1 cache size      259, 2138638 req, miss ratio 0.4912, byte miss ratio 0.4912
result/tencentBlock.ns16219.oracleGeneral.zst S3FIFO-1 cache size      777, 2138638 req, miss ratio 0.4478, byte miss ratio 0.4478
result/tencentBlock.ns16219.oracleGeneral.zst S3FIFO-1 cache size     2591, 2138638 req, miss ratio 0.3675, byte miss ratio 0.3675
result/tencentBlock.ns16219.oracleGeneral.zst S3FIFO-1 cache size     7775, 2138638 req, miss ratio 0.3529, byte miss ratio 0.3529
result/tencentBlock.ns16219.oracleGeneral.zst S3FIFO-1 cache size    25916, 2138638 req, miss ratio 0.2955, byte miss ratio 0.2955
result/tencentBlock.ns16219.oracleGeneral.zst S3FIFO-1 cache size    51833, 2138638 req, miss ratio 0.2384, byte miss ratio 0.2384
result/tencentBlock.ns16219.oracleGeneral.zst S3FIFO-1 cache size   103667, 2138638 req, miss ratio 0.1452, byte miss ratio 0.1452
result/tencentBlock.ns16219.oracleGeneral.zst S3FIFO-1 cache size   207335, 2138638 req, miss ratio 0.1218, byte miss ratio 0.1218
result/tencentBlock.ns16219.oracleGeneral.zst clock2 cache size      259, 2138638 req, miss ratio 0.5016, byte miss ratio 0.5016
result/tencentBlock.ns16219.oracleGeneral.zst clock2 cache size      777, 2138638 req, miss ratio 0.4590, byte miss ratio 0.4590
result/tencentBlock.ns16219.oracleGeneral.zst clock2 cache size     2591, 2138638 req, miss ratio 0.4108, byte miss ratio 0.4108
result/tencentBlock.ns16219.oracleGeneral.zst clock2 cache size     7775, 2138638 req, miss ratio 0.3589, byte miss ratio 0.3589
result/tencentBlock.ns16219.oracleGeneral.zst clock2 cache size    25916, 2138638 req, miss ratio 0.3079, byte miss ratio 0.3079
result/tencentBlock.ns16219.oracleGeneral.zst clock2 cache size    51833, 2138638 req, miss ratio 0.2721, byte miss ratio 0.2721
result/tencentBlock.ns16219.oracleGeneral.zst clock2 cache size   103667, 2138638 req, miss ratio 0.1592, byte miss ratio 0.1592
result/tencentBlock.ns16219.oracleGeneral.zst clock2 cache size   207335, 2138638 req, miss ratio 0.1218, byte miss ratio 0.1218
result/tencentBlock.ns16219.oracleGeneral.zst LHD cache size      259, 2138638 req, miss ratio 0.4951, byte miss ratio 0.4951
result/tencentBlock.ns16219.oracleGeneral.zst LHD cache size      777, 2138638 req, miss ratio 0.4597, byte miss ratio 0.4597
result/tencentBlock.ns16219.oracleGeneral.zst LHD cache size     2591, 2138638 req, miss ratio 0.4067, byte miss ratio 0.4067
result/tencentBlock.ns16219.oracleGeneral.zst LHD cache size     7775, 2138638 req, miss ratio 0.3608, byte miss ratio 0.3608
result/tencentBlock.ns16219.oracleGeneral.zst LHD cache size    25916, 2138638 req, miss ratio 0.3022, byte miss ratio 0.3022
result/tencentBlock.ns16219.oracleGeneral.zst LHD cache size    51833, 2138638 req, miss ratio 0.2481, byte miss ratio 0.2481
result/tencentBlock.ns16219.oracleGeneral.zst LHD cache size   103667, 2138638 req, miss ratio 0.1493, byte miss ratio 0.1493
result/tencentBlock.ns16219.oracleGeneral.zst LHD cache size   207335, 2138638 req, miss ratio 0.1241, byte miss ratio 0.1241
result/tencentBlock.ns16219.oracleGeneral.zst Clock cache size      259, 2138638 req, miss ratio 0.5066, byte miss ratio 0.5066
result/tencentBlock.ns16219.oracleGeneral.zst Clock cache size      777, 2138638 req, miss ratio 0.4603, byte miss ratio 0.4603
result/tencentBlock.ns16219.oracleGeneral.zst Clock cache size     2591, 2138638 req, miss ratio 0.4139, byte miss ratio 0.4139
result/tencentBlock.ns16219.oracleGeneral.zst Clock cache size     7775, 2138638 req, miss ratio 0.3659, byte miss ratio 0.3659
result/tencentBlock.ns16219.oracleGeneral.zst Clock cache size    25916, 2138638 req, miss ratio 0.3077, byte miss ratio 0.3077
result/tencentBlock.ns16219.oracleGeneral.zst Clock cache size    51833, 2138638 req, miss ratio 0.2725, byte miss ratio 0.2725
result/tencentBlock.ns16219.oracleGeneral.zst Clock cache size   103667, 2138638 req, miss ratio 0.1587, byte miss ratio 0.1587
result/tencentBlock.ns16219.oracleGeneral.zst Clock cache size   207335, 2138638 req, miss ratio 0.1218, byte miss ratio 0.1218
result/tencentBlock.ns16219.oracleGeneral.zst ARC cache size      259, 2138638 req, miss ratio 0.4799, byte miss ratio 0.4799
result/tencentBlock.ns16219.oracleGeneral.zst ARC cache size      777, 2138638 req, miss ratio 0.4474, byte miss ratio 0.4474
result/tencentBlock.ns16219.oracleGeneral.zst ARC cache size     2591, 2138638 req, miss ratio 0.3765, byte miss ratio 0.3765
result/tencentBlock.ns16219.oracleGeneral.zst ARC cache size     7775, 2138638 req, miss ratio 0.3548, byte miss ratio 0.3548
result/tencentBlock.ns16219.oracleGeneral.zst ARC cache size    25916, 2138638 req, miss ratio 0.2966, byte miss ratio 0.2966
result/tencentBlock.ns16219.oracleGeneral.zst ARC cache size    51833, 2138638 req, miss ratio 0.2407, byte miss ratio 0.2407
result/tencentBlock.ns16219.oracleGeneral.zst ARC cache size   103667, 2138638 req, miss ratio 0.1413, byte miss ratio 0.1413
result/tencentBlock.ns16219.oracleGeneral.zst ARC cache size   207335, 2138638 req, miss ratio 0.1218, byte miss ratio 0.1218
result/tencentBlock.ns16219.oracleGeneral.zst Cacheus cache size      259, 2138638 req, miss ratio 0.4810, byte miss ratio 0.4810
result/tencentBlock.ns16219.oracleGeneral.zst Cacheus cache size      777, 2138638 req, miss ratio 0.4502, byte miss ratio 0.4502
result/tencentBlock.ns16219.oracleGeneral.zst Cacheus cache size     2591, 2138638 req, miss ratio 0.3871, byte miss ratio 0.3871
result/tencentBlock.ns16219.oracleGeneral.zst Cacheus cache size     7775, 2138638 req, miss ratio 0.3549, byte miss ratio 0.3549
result/tencentBlock.ns16219.oracleGeneral.zst Cacheus cache size    25916, 2138638 req, miss ratio 0.3083, byte miss ratio 0.3083
result/tencentBlock.ns16219.oracleGeneral.zst Cacheus cache size    51833, 2138638 req, miss ratio 0.2499, byte miss ratio 0.2499
result/tencentBlock.ns16219.oracleGeneral.zst Cacheus cache size   103667, 2138638 req, miss ratio 0.1470, byte miss ratio 0.1470
result/tencentBlock.ns16219.oracleGeneral.zst Cacheus cache size   207335, 2138638 req, miss ratio 0.1218, byte miss ratio 0.1218
result/tencentBlock.ns16219.oracleGeneral.zst LIRS cache size      259, 2138638 req, miss ratio 0.5096, byte miss ratio 0.5096
result/tencentBlock.ns16219.oracleGeneral.zst LIRS cache size      777, 2138638 req, miss ratio 0.4700, byte miss ratio 0.4700
result/tencentBlock.ns16219.oracleGeneral.zst LIRS cache size     2591, 2138638 req, miss ratio 0.3862, byte miss ratio 0.3862
result/tencentBlock.ns16219.oracleGeneral.zst LIRS cache size     7775, 2138638 req, miss ratio 0.3553, byte miss ratio 0.3553
result/tencentBlock.ns16219.oracleGeneral.zst LIRS cache size    25916, 2138638 req, miss ratio 0.2935, byte miss ratio 0.2935
result/tencentBlock.ns16219.oracleGeneral.zst LIRS cache size    51833, 2138638 req, miss ratio 0.2334, byte miss ratio 0.2334
result/tencentBlock.ns16219.oracleGeneral.zst LIRS cache size   103667, 2138638 req, miss ratio 0.1444, byte miss ratio 0.1444
result/tencentBlock.ns16219.oracleGeneral.zst LIRS cache size   207335, 2138638 req, miss ratio 0.1229, byte miss ratio 0.1229
result/tencentBlock.ns16219.oracleGeneral.zst FIFO cache size      259, 2138638 req, miss ratio 0.6218, byte miss ratio 0.6218
result/tencentBlock.ns16219.oracleGeneral.zst FIFO cache size      777, 2138638 req, miss ratio 0.5053, byte miss ratio 0.5053
result/tencentBlock.ns16219.oracleGeneral.zst FIFO cache size     2591, 2138638 req, miss ratio 0.4388, byte miss ratio 0.4388
result/tencentBlock.ns16219.oracleGeneral.zst FIFO cache size     7775, 2138638 req, miss ratio 0.3921, byte miss ratio 0.3921
result/tencentBlock.ns16219.oracleGeneral.zst FIFO cache size    25916, 2138638 req, miss ratio 0.3305, byte miss ratio 0.3305
result/tencentBlock.ns16219.oracleGeneral.zst FIFO cache size    51833, 2138638 req, miss ratio 0.2565, byte miss ratio 0.2565
result/tencentBlock.ns16219.oracleGeneral.zst FIFO cache size   103667, 2138638 req, miss ratio 0.1841, byte miss ratio 0.1841
result/tencentBlock.ns16219.oracleGeneral.zst FIFO cache size   207335, 2138638 req, miss ratio 0.1400, byte miss ratio 0.1400
result/tencentBlock.ns16219.oracleGeneral.zst LeCaR cache size      259, 2138638 req, miss ratio 0.5012, byte miss ratio 0.5012
