result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO-1 cache size   100417, 8780879 req, miss ratio 0.0144, byte miss ratio 0.0144
result/cdn2_allcolo.ns312.oracleGeneral.zst FIFO cache size      125, 8780879 req, miss ratio 0.9373, byte miss ratio 0.9373
result/cdn2_allcolo.ns312.oracleGeneral.zst FIFO cache size      376, 8780879 req, miss ratio 0.8936, byte miss ratio 0.8936
result/cdn2_allcolo.ns312.oracleGeneral.zst FIFO cache size     1255, 8780879 req, miss ratio 0.8017, byte miss ratio 0.8017
result/cdn2_allcolo.ns312.oracleGeneral.zst FIFO cache size     3765, 8780879 req, miss ratio 0.6515, byte miss ratio 0.6515
result/cdn2_allcolo.ns312.oracleGeneral.zst FIFO cache size    12552, 8780879 req, miss ratio 0.3872, byte miss ratio 0.3872
result/cdn2_allcolo.ns312.oracleGeneral.zst FIFO cache size    25104, 8780879 req, miss ratio 0.1950, byte miss ratio 0.1950
result/cdn2_allcolo.ns312.oracleGeneral.zst FIFO cache size    50208, 8780879 req, miss ratio 0.0461, byte miss ratio 0.0461
result/cdn2_allcolo.ns312.oracleGeneral.zst FIFO cache size   100417, 8780879 req, miss ratio 0.0168, byte miss ratio 0.0168
result/cdn2_allcolo.ns312.oracleGeneral.zst LeCaR cache size      125, 8780879 req, miss ratio 0.9290, byte miss ratio 0.9290
result/cdn2_allcolo.ns312.oracleGeneral.zst LeCaR cache size      376, 8780879 req, miss ratio 0.8822, byte miss ratio 0.8822
result/cdn2_allcolo.ns312.oracleGeneral.zst LeCaR cache size     1255, 8780879 req, miss ratio 0.7795, byte miss ratio 0.7795
result/cdn2_allcolo.ns312.oracleGeneral.zst LeCaR cache size     3765, 8780879 req, miss ratio 0.6104, byte miss ratio 0.6104
result/cdn2_allcolo.ns312.oracleGeneral.zst LeCaR cache size    12552, 8780879 req, miss ratio 0.3247, byte miss ratio 0.3247
result/cdn2_allcolo.ns312.oracleGeneral.zst LeCaR cache size    25104, 8780879 req, miss ratio 0.1307, byte miss ratio 0.1307
result/cdn2_allcolo.ns312.oracleGeneral.zst LeCaR cache size    50208, 8780879 req, miss ratio 0.0206, byte miss ratio 0.0206
result/cdn2_allcolo.ns312.oracleGeneral.zst LeCaR cache size   100417, 8780879 req, miss ratio 0.0143, byte miss ratio 0.0143
result/cdn2_allcolo.ns312.oracleGeneral.zst Cacheus cache size      125, 8780879 req, miss ratio 0.8988, byte miss ratio 0.8988
result/cdn2_allcolo.ns312.oracleGeneral.zst Cacheus cache size      376, 8780879 req, miss ratio 0.8336, byte miss ratio 0.8336
result/cdn2_allcolo.ns312.oracleGeneral.zst Cacheus cache size     1255, 8780879 req, miss ratio 0.7260, byte miss ratio 0.7260
result/cdn2_allcolo.ns312.oracleGeneral.zst Cacheus cache size     3765, 8780879 req, miss ratio 0.5695, byte miss ratio 0.5695
result/cdn2_allcolo.ns312.oracleGeneral.zst Cacheus cache size    12552, 8780879 req, miss ratio 0.3174, byte miss ratio 0.3174
result/cdn2_allcolo.ns312.oracleGeneral.zst Cacheus cache size    25104, 8780879 req, miss ratio 0.1184, byte miss ratio 0.1184
result/cdn2_allcolo.ns312.oracleGeneral.zst Cacheus cache size    50208, 8780879 req, miss ratio 0.0216, byte miss ratio 0.0216
