result/tencentBlock.ns22437.oracleGeneral.zst ARC cache size      155, 1611766 req, miss ratio 0.3645, byte miss ratio 0.3645
result/tencentBlock.ns22437.oracleGeneral.zst ARC cache size      466, 1611766 req, miss ratio 0.3571, byte miss ratio 0.3571
result/tencentBlock.ns22437.oracleGeneral.zst ARC cache size     1554, 1611766 req, miss ratio 0.3536, byte miss ratio 0.3536
result/tencentBlock.ns22437.oracleGeneral.zst ARC cache size     4662, 1611766 req, miss ratio 0.3530, byte miss ratio 0.3530
result/tencentBlock.ns22437.oracleGeneral.zst ARC cache size    15540, 1611766 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tencentBlock.ns22437.oracleGeneral.zst ARC cache size    31081, 1611766 req, miss ratio 0.2442, byte miss ratio 0.2442
result/tencentBlock.ns22437.oracleGeneral.zst ARC cache size    62163, 1611766 req, miss ratio 0.1535, byte miss ratio 0.1535
result/tencentBlock.ns22437.oracleGeneral.zst ARC cache size   124326, 1611766 req, miss ratio 0.1028, byte miss ratio 0.1028
result/tencentBlock.ns22437.oracleGeneral.zst FIFO cache size      155, 1611766 req, miss ratio 0.4209, byte miss ratio 0.4209
result/tencentBlock.ns22437.oracleGeneral.zst FIFO cache size      466, 1611766 req, miss ratio 0.3792, byte miss ratio 0.3792
result/tencentBlock.ns22437.oracleGeneral.zst FIFO cache size     1554, 1611766 req, miss ratio 0.3624, byte miss ratio 0.3624
result/tencentBlock.ns22437.oracleGeneral.zst FIFO cache size     4662, 1611766 req, miss ratio 0.3561, byte miss ratio 0.3561
result/tencentBlock.ns22437.oracleGeneral.zst FIFO cache size    15540, 1611766 req, miss ratio 0.3119, byte miss ratio 0.3119
result/tencentBlock.ns22437.oracleGeneral.zst FIFO cache size    31081, 1611766 req, miss ratio 0.2656, byte miss ratio 0.2656
result/tencentBlock.ns22437.oracleGeneral.zst FIFO cache size    62163, 1611766 req, miss ratio 0.1916, byte miss ratio 0.1916
result/tencentBlock.ns22437.oracleGeneral.zst FIFO cache size   124326, 1611766 req, miss ratio 0.1235, byte miss ratio 0.1235
result/tencentBlock.ns22437.oracleGeneral.zst clock2 cache size      155, 1611766 req, miss ratio 0.3720, byte miss ratio 0.3720
result/tencentBlock.ns22437.oracleGeneral.zst clock2 cache size      466, 1611766 req, miss ratio 0.3597, byte miss ratio 0.3597
result/tencentBlock.ns22437.oracleGeneral.zst clock2 cache size     1554, 1611766 req, miss ratio 0.3550, byte miss ratio 0.3550
result/tencentBlock.ns22437.oracleGeneral.zst clock2 cache size     4662, 1611766 req, miss ratio 0.3533, byte miss ratio 0.3533
result/tencentBlock.ns22437.oracleGeneral.zst clock2 cache size    15540, 1611766 req, miss ratio 0.3495, byte miss ratio 0.3495
result/tencentBlock.ns22437.oracleGeneral.zst clock2 cache size    31081, 1611766 req, miss ratio 0.2859, byte miss ratio 0.2859
result/tencentBlock.ns22437.oracleGeneral.zst clock2 cache size    62163, 1611766 req, miss ratio 0.1919, byte miss ratio 0.1919
result/tencentBlock.ns22437.oracleGeneral.zst clock2 cache size   124326, 1611766 req, miss ratio 0.1085, byte miss ratio 0.1085
result/tencentBlock.ns22437.oracleGeneral.zst LeCaR cache size      155, 1611766 req, miss ratio 0.3693, byte miss ratio 0.3693
result/tencentBlock.ns22437.oracleGeneral.zst LeCaR cache size      466, 1611766 req, miss ratio 0.3582, byte miss ratio 0.3582
result/tencentBlock.ns22437.oracleGeneral.zst LeCaR cache size     1554, 1611766 req, miss ratio 0.3547, byte miss ratio 0.3547
result/tencentBlock.ns22437.oracleGeneral.zst LeCaR cache size     4662, 1611766 req, miss ratio 0.3531, byte miss ratio 0.3531
result/tencentBlock.ns22437.oracleGeneral.zst LeCaR cache size    15540, 1611766 req, miss ratio 0.2967, byte miss ratio 0.2967
result/tencentBlock.ns22437.oracleGeneral.zst LeCaR cache size    31081, 1611766 req, miss ratio 0.2460, byte miss ratio 0.2460
result/tencentBlock.ns22437.oracleGeneral.zst LeCaR cache size    62163, 1611766 req, miss ratio 0.1543, byte miss ratio 0.1543
result/tencentBlock.ns22437.oracleGeneral.zst LeCaR cache size   124326, 1611766 req, miss ratio 0.1026, byte miss ratio 0.1026
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-d-1 cache size      155, 1611766 req, miss ratio 0.3624, byte miss ratio 0.3624
