result/tencentBlock.ns15335.oracleGeneral.zst S3FIFO-1 cache size      826, 7518410 req, miss ratio 0.5051, byte miss ratio 0.5051
result/tencentBlock.ns15335.oracleGeneral.zst S3FIFO-1 cache size     2480, 7518410 req, miss ratio 0.3474, byte miss ratio 0.3474
result/tencentBlock.ns15335.oracleGeneral.zst S3FIFO-1 cache size     8269, 7518410 req, miss ratio 0.2905, byte miss ratio 0.2905
result/tencentBlock.ns15335.oracleGeneral.zst S3FIFO-1 cache size    24807, 7518410 req, miss ratio 0.2564, byte miss ratio 0.2564
result/tencentBlock.ns15335.oracleGeneral.zst S3FIFO-1 cache size    82692, 7518410 req, miss ratio 0.2086, byte miss ratio 0.2086
result/tencentBlock.ns15335.oracleGeneral.zst S3FIFO-1 cache size   165385, 7518410 req, miss ratio 0.1581, byte miss ratio 0.1581
result/tencentBlock.ns15335.oracleGeneral.zst S3FIFO-1 cache size   330770, 7518410 req, miss ratio 0.1235, byte miss ratio 0.1235
result/tencentBlock.ns15335.oracleGeneral.zst S3FIFO-1 cache size   661540, 7518410 req, miss ratio 0.1107, byte miss ratio 0.1107
result/tencentBlock.ns15335.oracleGeneral.zst LRU cache size      826, 7518410 req, miss ratio 0.5097, byte miss ratio 0.5097
result/tencentBlock.ns15335.oracleGeneral.zst LRU cache size     2480, 7518410 req, miss ratio 0.4077, byte miss ratio 0.4077
result/tencentBlock.ns15335.oracleGeneral.zst LRU cache size     8269, 7518410 req, miss ratio 0.3035, byte miss ratio 0.3035
result/tencentBlock.ns15335.oracleGeneral.zst LRU cache size    24807, 7518410 req, miss ratio 0.2655, byte miss ratio 0.2655
result/tencentBlock.ns15335.oracleGeneral.zst LRU cache size    82692, 7518410 req, miss ratio 0.1992, byte miss ratio 0.1992
result/tencentBlock.ns15335.oracleGeneral.zst LRU cache size   165385, 7518410 req, miss ratio 0.1518, byte miss ratio 0.1518
result/tencentBlock.ns15335.oracleGeneral.zst LRU cache size   330770, 7518410 req, miss ratio 0.1186, byte miss ratio 0.1186
result/tencentBlock.ns15335.oracleGeneral.zst LRU cache size   661540, 7518410 req, miss ratio 0.1104, byte miss ratio 0.1104
result/tencentBlock.ns15335.oracleGeneral.zst LHD cache size      826, 7518410 req, miss ratio 0.5247, byte miss ratio 0.5247
result/tencentBlock.ns15335.oracleGeneral.zst LHD cache size     2480, 7518410 req, miss ratio 0.3926, byte miss ratio 0.3926
result/tencentBlock.ns15335.oracleGeneral.zst LHD cache size     8269, 7518410 req, miss ratio 0.2942, byte miss ratio 0.2942
result/tencentBlock.ns15335.oracleGeneral.zst LHD cache size    24807, 7518410 req, miss ratio 0.2558, byte miss ratio 0.2558
result/tencentBlock.ns15335.oracleGeneral.zst LHD cache size    82692, 7518410 req, miss ratio 0.1897, byte miss ratio 0.1897
result/tencentBlock.ns15335.oracleGeneral.zst LHD cache size   165385, 7518410 req, miss ratio 0.1376, byte miss ratio 0.1376
result/tencentBlock.ns15335.oracleGeneral.zst LHD cache size   330770, 7518410 req, miss ratio 0.1175, byte miss ratio 0.1175
result/tencentBlock.ns15335.oracleGeneral.zst LHD cache size   661540, 7518410 req, miss ratio 0.1105, byte miss ratio 0.1105
result/tencentBlock.ns15335.oracleGeneral.zst FIFO cache size      826, 7518410 req, miss ratio 0.5822, byte miss ratio 0.5822
result/tencentBlock.ns15335.oracleGeneral.zst FIFO cache size     2480, 7518410 req, miss ratio 0.4491, byte miss ratio 0.4491
