result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LIRS cache size    92614, 68896859 req, miss ratio 0.4594, byte miss ratio 0.4594
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LIRS cache size   277843, 68896859 req, miss ratio 0.4494, byte miss ratio 0.4494
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LIRS cache size   926146, 68896859 req, miss ratio 0.4288, byte miss ratio 0.4288
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LIRS cache size  1852293, 68896859 req, miss ratio 0.3897, byte miss ratio 0.3897
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LIRS cache size  3704586, 68896859 req, miss ratio 0.2746, byte miss ratio 0.2746
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LIRS cache size  7409172, 68896859 req, miss ratio 0.1369, byte miss ratio 0.1369
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst FIFO cache size     9261, 68896859 req, miss ratio 0.4701, byte miss ratio 0.4701
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst FIFO cache size    27784, 68896859 req, miss ratio 0.4663, byte miss ratio 0.4663
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst FIFO cache size    92614, 68896859 req, miss ratio 0.4598, byte miss ratio 0.4598
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst FIFO cache size   277843, 68896859 req, miss ratio 0.4500, byte miss ratio 0.4500
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst FIFO cache size   926146, 68896859 req, miss ratio 0.4264, byte miss ratio 0.4264
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst FIFO cache size  1852293, 68896859 req, miss ratio 0.3930, byte miss ratio 0.3930
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst FIFO cache size  3704586, 68896859 req, miss ratio 0.2758, byte miss ratio 0.2758
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst FIFO cache size  7409172, 68896859 req, miss ratio 0.1659, byte miss ratio 0.1659
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LeCaR cache size     9261, 68896859 req, miss ratio 0.4699, byte miss ratio 0.4699
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LeCaR cache size    27784, 68896859 req, miss ratio 0.4663, byte miss ratio 0.4663
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LeCaR cache size    92614, 68896859 req, miss ratio 0.4600, byte miss ratio 0.4600
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LeCaR cache size   277843, 68896859 req, miss ratio 0.4503, byte miss ratio 0.4503
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LeCaR cache size   926146, 68896859 req, miss ratio 0.4356, byte miss ratio 0.4356
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LeCaR cache size  1852293, 68896859 req, miss ratio 0.3931, byte miss ratio 0.3931
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LeCaR cache size  3704586, 68896859 req, miss ratio 0.2599, byte miss ratio 0.2599
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LeCaR cache size  7409172, 68896859 req, miss ratio 0.1372, byte miss ratio 0.1372
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst Cacheus cache size     9261, 68896859 req, miss ratio 0.4697, byte miss ratio 0.4697
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst Cacheus cache size    27784, 68896859 req, miss ratio 0.4673, byte miss ratio 0.4673
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst Cacheus cache size    92614, 68896859 req, miss ratio 0.4618, byte miss ratio 0.4618
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst Cacheus cache size   277843, 68896859 req, miss ratio 0.4494, byte miss ratio 0.4494
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst Cacheus cache size   926146, 68896859 req, miss ratio 0.4400, byte miss ratio 0.4400
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst Cacheus cache size  1852293, 68896859 req, miss ratio 0.3897, byte miss ratio 0.3897
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst Cacheus cache size  3704586, 68896859 req, miss ratio 0.2210, byte miss ratio 0.2210
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst Cacheus cache size  7409172, 68896859 req, miss ratio 0.1385, byte miss ratio 0.1385
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst ARC cache size     9261, 68896859 req, miss ratio 0.4697, byte miss ratio 0.4697
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst ARC cache size    27784, 68896859 req, miss ratio 0.4660, byte miss ratio 0.4660
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst ARC cache size    92614, 68896859 req, miss ratio 0.4594, byte miss ratio 0.4594
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst ARC cache size   277843, 68896859 req, miss ratio 0.4494, byte miss ratio 0.4494
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst ARC cache size   926146, 68896859 req, miss ratio 0.4288, byte miss ratio 0.4288
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst ARC cache size  1852293, 68896859 req, miss ratio 0.3897, byte miss ratio 0.3897
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst ARC cache size  3704586, 68896859 req, miss ratio 0.2746, byte miss ratio 0.2746
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst ARC cache size  7409172, 68896859 req, miss ratio 0.1369, byte miss ratio 0.1369
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     9261, 68896859 req, miss ratio 0.4692, byte miss ratio 0.4692
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    27784, 68896859 req, miss ratio 0.4657, byte miss ratio 0.4657
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    92614, 68896859 req, miss ratio 0.4589, byte miss ratio 0.4589
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   277843, 68896859 req, miss ratio 0.4482, byte miss ratio 0.4482
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   926146, 68896859 req, miss ratio 0.4288, byte miss ratio 0.4288
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1852293, 68896859 req, miss ratio 0.3535, byte miss ratio 0.3535
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  3704586, 68896859 req, miss ratio 0.2465, byte miss ratio 0.2465
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  7409172, 68896859 req, miss ratio 0.1574, byte miss ratio 0.1574
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LRB cache size     9261, 68896859 req, miss ratio 0.4869, byte miss ratio 0.4869
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LRB cache size    27784, 68896859 req, miss ratio 0.4748, byte miss ratio 0.4748
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LRB cache size    92614, 68896859 req, miss ratio 0.4573, byte miss ratio 0.4573
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LRB cache size   277843, 68896859 req, miss ratio 0.4276, byte miss ratio 0.4276
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LRB cache size   926146, 68896859 req, miss ratio 0.3670, byte miss ratio 0.3670
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LRB cache size  1852293, 68896859 req, miss ratio 0.3026, byte miss ratio 0.3026
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LRB cache size  3704586, 68896859 req, miss ratio 0.2098, byte miss ratio 0.2098
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LRB cache size  7409172, 68896859 req, miss ratio 0.1480, byte miss ratio 0.1480
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     9261, 68896859 req, miss ratio 0.4705, byte miss ratio 0.4705
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    27784, 68896859 req, miss ratio 0.4664, byte miss ratio 0.4664
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    92614, 68896859 req, miss ratio 0.4596, byte miss ratio 0.4596
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   277843, 68896859 req, miss ratio 0.4485, byte miss ratio 0.4485
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   926146, 68896859 req, miss ratio 0.4116, byte miss ratio 0.4116
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1852293, 68896859 req, miss ratio 0.3446, byte miss ratio 0.3446
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  3704586, 68896859 req, miss ratio 0.2418, byte miss ratio 0.2418
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  7409172, 68896859 req, miss ratio 0.1564, byte miss ratio 0.1564
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst TwoQ cache size     9261, 68896859 req, miss ratio 0.4727, byte miss ratio 0.4727
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst TwoQ cache size    27784, 68896859 req, miss ratio 0.4673, byte miss ratio 0.4673
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst TwoQ cache size    92614, 68896859 req, miss ratio 0.4565, byte miss ratio 0.4565
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst TwoQ cache size   277843, 68896859 req, miss ratio 0.4371, byte miss ratio 0.4371
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst TwoQ cache size   926146, 68896859 req, miss ratio 0.3703, byte miss ratio 0.3703
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst TwoQ cache size  1852293, 68896859 req, miss ratio 0.3529, byte miss ratio 0.3529
