result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LIRS cache size   324667, 288703872 req, miss ratio 0.0503, byte miss ratio 0.0503
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LIRS cache size   649334, 288703872 req, miss ratio 0.0174, byte miss ratio 0.0174
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LIRS cache size  1298668, 288703872 req, miss ratio 0.0060, byte miss ratio 0.0060
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LHD cache size     1623, 288703872 req, miss ratio 0.2957, byte miss ratio 0.2957
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LHD cache size     4870, 288703872 req, miss ratio 0.2307, byte miss ratio 0.2307
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LHD cache size    16233, 288703872 req, miss ratio 0.1583, byte miss ratio 0.1583
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LHD cache size    48700, 288703872 req, miss ratio 0.1034, byte miss ratio 0.1034
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LHD cache size   162333, 288703872 req, miss ratio 0.0639, byte miss ratio 0.0639
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LHD cache size   324667, 288703872 req, miss ratio 0.0486, byte miss ratio 0.0486
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LHD cache size   649334, 288703872 req, miss ratio 0.0190, byte miss ratio 0.0190
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LHD cache size  1298668, 288703872 req, miss ratio 0.0061, byte miss ratio 0.0061
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LRU cache size     1623, 288703872 req, miss ratio 0.3179, byte miss ratio 0.3179
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LRU cache size     4870, 288703872 req, miss ratio 0.2490, byte miss ratio 0.2490
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LRU cache size    16233, 288703872 req, miss ratio 0.1702, byte miss ratio 0.1702
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LRU cache size    48700, 288703872 req, miss ratio 0.1090, byte miss ratio 0.1090
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LRU cache size   162333, 288703872 req, miss ratio 0.0655, byte miss ratio 0.0655
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LRU cache size   324667, 288703872 req, miss ratio 0.0503, byte miss ratio 0.0503
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LRU cache size   649334, 288703872 req, miss ratio 0.0174, byte miss ratio 0.0174
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LRU cache size  1298668, 288703872 req, miss ratio 0.0060, byte miss ratio 0.0060
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst clock2 cache size     1623, 288703872 req, miss ratio 0.3173, byte miss ratio 0.3173
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst clock2 cache size     4870, 288703872 req, miss ratio 0.2477, byte miss ratio 0.2477
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst clock2 cache size    16233, 288703872 req, miss ratio 0.1692, byte miss ratio 0.1692
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst clock2 cache size    48700, 288703872 req, miss ratio 0.1082, byte miss ratio 0.1082
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst clock2 cache size   162333, 288703872 req, miss ratio 0.0646, byte miss ratio 0.0646
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst clock2 cache size   324667, 288703872 req, miss ratio 0.0495, byte miss ratio 0.0495
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst clock2 cache size   649334, 288703872 req, miss ratio 0.0171, byte miss ratio 0.0171
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst clock2 cache size  1298668, 288703872 req, miss ratio 0.0060, byte miss ratio 0.0060
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size     1623, 288703872 req, miss ratio 0.3042, byte miss ratio 0.3042
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size     4870, 288703872 req, miss ratio 0.2342, byte miss ratio 0.2342
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    16233, 288703872 req, miss ratio 0.1572, byte miss ratio 0.1572
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    48700, 288703872 req, miss ratio 0.0997, byte miss ratio 0.0997
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   162333, 288703872 req, miss ratio 0.0606, byte miss ratio 0.0606
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   324667, 288703872 req, miss ratio 0.0461, byte miss ratio 0.0461
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   649334, 288703872 req, miss ratio 0.0154, byte miss ratio 0.0154
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  1298668, 288703872 req, miss ratio 0.0062, byte miss ratio 0.0062
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     1623, 288703872 req, miss ratio 0.3060, byte miss ratio 0.3060
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     4870, 288703872 req, miss ratio 0.2365, byte miss ratio 0.2365
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    16233, 288703872 req, miss ratio 0.1594, byte miss ratio 0.1594
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    48700, 288703872 req, miss ratio 0.1010, byte miss ratio 0.1010
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   162333, 288703872 req, miss ratio 0.0606, byte miss ratio 0.0606
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   324667, 288703872 req, miss ratio 0.0458, byte miss ratio 0.0458
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   649334, 288703872 req, miss ratio 0.0151, byte miss ratio 0.0151
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1298668, 288703872 req, miss ratio 0.0062, byte miss ratio 0.0062
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LRB cache size     1623, 288703872 req, miss ratio 0.2724, byte miss ratio 0.2724
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LRB cache size     4870, 288703872 req, miss ratio 0.2081, byte miss ratio 0.2081
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LRB cache size    16233, 288703872 req, miss ratio 0.1388, byte miss ratio 0.1388
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LRB cache size    48700, 288703872 req, miss ratio 0.0893, byte miss ratio 0.0893
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst LRB cache size   162333, 288703872 req, miss ratio 0.0555, byte miss ratio 0.0555
