result/cdn2_colo28.ns272.oracleGeneral.zst Cacheus cache size      632, 3529940 req, miss ratio 0.8951, byte miss ratio 0.8951
result/cdn2_colo28.ns272.oracleGeneral.zst Cacheus cache size     1897, 3529940 req, miss ratio 0.8467, byte miss ratio 0.8467
result/cdn2_colo28.ns272.oracleGeneral.zst Cacheus cache size     6325, 3529940 req, miss ratio 0.7764, byte miss ratio 0.7764
result/cdn2_colo28.ns272.oracleGeneral.zst Cacheus cache size    18975, 3529940 req, miss ratio 0.6795, byte miss ratio 0.6795
result/cdn2_colo28.ns272.oracleGeneral.zst Cacheus cache size    63252, 3529940 req, miss ratio 0.5044, byte miss ratio 0.5044
result/cdn2_colo28.ns272.oracleGeneral.zst Cacheus cache size   126505, 3529940 req, miss ratio 0.3795, byte miss ratio 0.3795
result/cdn2_colo28.ns272.oracleGeneral.zst Cacheus cache size   253011, 3529940 req, miss ratio 0.2334, byte miss ratio 0.2334
result/cdn2_colo28.ns272.oracleGeneral.zst Cacheus cache size   506022, 3529940 req, miss ratio 0.1841, byte miss ratio 0.1841
result/cdn2_colo28.ns272.oracleGeneral.zst FIFO cache size      632, 3529940 req, miss ratio 0.9348, byte miss ratio 0.9348
result/cdn2_colo28.ns272.oracleGeneral.zst FIFO cache size     1897, 3529940 req, miss ratio 0.8867, byte miss ratio 0.8867
result/cdn2_colo28.ns272.oracleGeneral.zst FIFO cache size     6325, 3529940 req, miss ratio 0.8176, byte miss ratio 0.8176
result/cdn2_colo28.ns272.oracleGeneral.zst FIFO cache size    18975, 3529940 req, miss ratio 0.7252, byte miss ratio 0.7252
result/cdn2_colo28.ns272.oracleGeneral.zst FIFO cache size    63252, 3529940 req, miss ratio 0.5692, byte miss ratio 0.5692
result/cdn2_colo28.ns272.oracleGeneral.zst FIFO cache size   126505, 3529940 req, miss ratio 0.4576, byte miss ratio 0.4576
result/cdn2_colo28.ns272.oracleGeneral.zst FIFO cache size   253011, 3529940 req, miss ratio 0.2934, byte miss ratio 0.2934
result/cdn2_colo28.ns272.oracleGeneral.zst FIFO cache size   506022, 3529940 req, miss ratio 0.2044, byte miss ratio 0.2044
result/cdn2_colo28.ns272.oracleGeneral.zst clock2 cache size      632, 3529940 req, miss ratio 0.9187, byte miss ratio 0.9187
result/cdn2_colo28.ns272.oracleGeneral.zst clock2 cache size     1897, 3529940 req, miss ratio 0.8644, byte miss ratio 0.8644
result/cdn2_colo28.ns272.oracleGeneral.zst clock2 cache size     6325, 3529940 req, miss ratio 0.7940, byte miss ratio 0.7940
result/cdn2_colo28.ns272.oracleGeneral.zst clock2 cache size    18975, 3529940 req, miss ratio 0.6960, byte miss ratio 0.6960
result/cdn2_colo28.ns272.oracleGeneral.zst clock2 cache size    63252, 3529940 req, miss ratio 0.5155, byte miss ratio 0.5155
result/cdn2_colo28.ns272.oracleGeneral.zst clock2 cache size   126505, 3529940 req, miss ratio 0.3719, byte miss ratio 0.3719
result/cdn2_colo28.ns272.oracleGeneral.zst clock2 cache size   253011, 3529940 req, miss ratio 0.2340, byte miss ratio 0.2340
result/cdn2_colo28.ns272.oracleGeneral.zst clock2 cache size   506022, 3529940 req, miss ratio 0.1821, byte miss ratio 0.1821
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-1 cache size      632, 3529940 req, miss ratio 0.8960, byte miss ratio 0.8960
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-1 cache size     1897, 3529940 req, miss ratio 0.8511, byte miss ratio 0.8511
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-1 cache size     6325, 3529940 req, miss ratio 0.7756, byte miss ratio 0.7756
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-1 cache size    18975, 3529940 req, miss ratio 0.6597, byte miss ratio 0.6597
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-1 cache size    63252, 3529940 req, miss ratio 0.4676, byte miss ratio 0.4676
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-1 cache size   126505, 3529940 req, miss ratio 0.3434, byte miss ratio 0.3434
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-1 cache size   253011, 3529940 req, miss ratio 0.2303, byte miss ratio 0.2303
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-1 cache size   506022, 3529940 req, miss ratio 0.1821, byte miss ratio 0.1821
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-d-1 cache size      632, 3529940 req, miss ratio 0.8908, byte miss ratio 0.8908
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-d-1 cache size     1897, 3529940 req, miss ratio 0.8451, byte miss ratio 0.8451
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-d-1 cache size     6325, 3529940 req, miss ratio 0.7730, byte miss ratio 0.7730
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-d-1 cache size    18975, 3529940 req, miss ratio 0.6601, byte miss ratio 0.6601
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-d-1 cache size    63252, 3529940 req, miss ratio 0.4672, byte miss ratio 0.4672
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-d-1 cache size   126505, 3529940 req, miss ratio 0.3431, byte miss ratio 0.3431
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-d-1 cache size   253011, 3529940 req, miss ratio 0.2306, byte miss ratio 0.2306
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-d-1 cache size   506022, 3529940 req, miss ratio 0.1821, byte miss ratio 0.1821
result/cdn2_colo28.ns272.oracleGeneral.zst LRB cache size      632, 3529940 req, miss ratio 0.8933, byte miss ratio 0.8933
result/cdn2_colo28.ns272.oracleGeneral.zst LRB cache size     1897, 3529940 req, miss ratio 0.8516, byte miss ratio 0.8516
result/cdn2_colo28.ns272.oracleGeneral.zst LRB cache size     6325, 3529940 req, miss ratio 0.7777, byte miss ratio 0.7777
result/cdn2_colo28.ns272.oracleGeneral.zst LRB cache size    18975, 3529940 req, miss ratio 0.6653, byte miss ratio 0.6653
result/cdn2_colo28.ns272.oracleGeneral.zst LRB cache size    63252, 3529940 req, miss ratio 0.4897, byte miss ratio 0.4897
result/cdn2_colo28.ns272.oracleGeneral.zst LRB cache size   126505, 3529940 req, miss ratio 0.3747, byte miss ratio 0.3747
result/cdn2_colo28.ns272.oracleGeneral.zst LRB cache size   253011, 3529940 req, miss ratio 0.2527, byte miss ratio 0.2527
result/cdn2_colo28.ns272.oracleGeneral.zst LRB cache size   506022, 3529940 req, miss ratio 0.1849, byte miss ratio 0.1849
result/cdn2_colo28.ns272.oracleGeneral.zst TwoQ cache size      632, 3529940 req, miss ratio 0.9018, byte miss ratio 0.9018
result/cdn2_colo28.ns272.oracleGeneral.zst TwoQ cache size     1897, 3529940 req, miss ratio 0.8559, byte miss ratio 0.8559
result/cdn2_colo28.ns272.oracleGeneral.zst TwoQ cache size     6325, 3529940 req, miss ratio 0.7839, byte miss ratio 0.7839
result/cdn2_colo28.ns272.oracleGeneral.zst TwoQ cache size    18975, 3529940 req, miss ratio 0.6692, byte miss ratio 0.6692
result/cdn2_colo28.ns272.oracleGeneral.zst TwoQ cache size    63252, 3529940 req, miss ratio 0.4796, byte miss ratio 0.4796
result/cdn2_colo28.ns272.oracleGeneral.zst TwoQ cache size   126505, 3529940 req, miss ratio 0.3612, byte miss ratio 0.3612
result/cdn2_colo28.ns272.oracleGeneral.zst TwoQ cache size   253011, 3529940 req, miss ratio 0.2590, byte miss ratio 0.2590
result/cdn2_colo28.ns272.oracleGeneral.zst TwoQ cache size   506022, 3529940 req, miss ratio 0.2044, byte miss ratio 0.2044
result/cdn2_colo28.ns272.oracleGeneral.zst S4LRU(25:25:25:25) cache size      632, 3529940 req, miss ratio 0.9111, byte miss ratio 0.9111
result/cdn2_colo28.ns272.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1897, 3529940 req, miss ratio 0.8640, byte miss ratio 0.8640
result/cdn2_colo28.ns272.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6325, 3529940 req, miss ratio 0.7853, byte miss ratio 0.7853
result/cdn2_colo28.ns272.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18975, 3529940 req, miss ratio 0.6721, byte miss ratio 0.6721
result/cdn2_colo28.ns272.oracleGeneral.zst S4LRU(25:25:25:25) cache size    63252, 3529940 req, miss ratio 0.4778, byte miss ratio 0.4778
result/cdn2_colo28.ns272.oracleGeneral.zst S4LRU(25:25:25:25) cache size   126505, 3529940 req, miss ratio 0.3514, byte miss ratio 0.3514
result/cdn2_colo28.ns272.oracleGeneral.zst S4LRU(25:25:25:25) cache size   253011, 3529940 req, miss ratio 0.2414, byte miss ratio 0.2414
result/cdn2_colo28.ns272.oracleGeneral.zst S4LRU(25:25:25:25) cache size   506022, 3529940 req, miss ratio 0.1823, byte miss ratio 0.1823
result/cdn2_colo28.ns272.oracleGeneral.zst B-LRU cache size      632, 3529940 req, miss ratio 0.9220, byte miss ratio 0.9220
result/cdn2_colo28.ns272.oracleGeneral.zst B-LRU cache size     1897, 3529940 req, miss ratio 0.8707, byte miss ratio 0.8707
result/cdn2_colo28.ns272.oracleGeneral.zst B-LRU cache size     6325, 3529940 req, miss ratio 0.8010, byte miss ratio 0.8010
result/cdn2_colo28.ns272.oracleGeneral.zst B-LRU cache size    18975, 3529940 req, miss ratio 0.7043, byte miss ratio 0.7043
result/cdn2_colo28.ns272.oracleGeneral.zst B-LRU cache size    63252, 3529940 req, miss ratio 0.5315, byte miss ratio 0.5315
result/cdn2_colo28.ns272.oracleGeneral.zst B-LRU cache size   126505, 3529940 req, miss ratio 0.3855, byte miss ratio 0.3855
result/cdn2_colo28.ns272.oracleGeneral.zst B-LRU cache size   253011, 3529940 req, miss ratio 0.2892, byte miss ratio 0.2892
result/cdn2_colo28.ns272.oracleGeneral.zst B-LRU cache size   506022, 3529940 req, miss ratio 0.2816, byte miss ratio 0.2816
result/cdn2_colo28.ns272.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      632, 3529940 req, miss ratio 0.9148, byte miss ratio 0.9148
result/cdn2_colo28.ns272.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1897, 3529940 req, miss ratio 0.8674, byte miss ratio 0.8674
result/cdn2_colo28.ns272.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6325, 3529940 req, miss ratio 0.7977, byte miss ratio 0.7977
result/cdn2_colo28.ns272.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    18975, 3529940 req, miss ratio 0.7009, byte miss ratio 0.7009
result/cdn2_colo28.ns272.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    63252, 3529940 req, miss ratio 0.5203, byte miss ratio 0.5203
result/cdn2_colo28.ns272.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   126505, 3529940 req, miss ratio 0.3837, byte miss ratio 0.3837
result/cdn2_colo28.ns272.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   253011, 3529940 req, miss ratio 0.2547, byte miss ratio 0.2547
result/cdn2_colo28.ns272.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   506022, 3529940 req, miss ratio 0.1948, byte miss ratio 0.1948
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-d cache size      632, 3529940 req, miss ratio 0.8966, byte miss ratio 0.8966
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-d cache size     1897, 3529940 req, miss ratio 0.8470, byte miss ratio 0.8470
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-d cache size     6325, 3529940 req, miss ratio 0.7736, byte miss ratio 0.7736
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-d cache size    18975, 3529940 req, miss ratio 0.6591, byte miss ratio 0.6591
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-d cache size    63252, 3529940 req, miss ratio 0.4703, byte miss ratio 0.4703
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-d cache size   126505, 3529940 req, miss ratio 0.3500, byte miss ratio 0.3500
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-d cache size   253011, 3529940 req, miss ratio 0.2368, byte miss ratio 0.2368
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO-d cache size   506022, 3529940 req, miss ratio 0.1836, byte miss ratio 0.1836
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO cache size      632, 3529940 req, miss ratio 0.8966, byte miss ratio 0.8966
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO cache size     1897, 3529940 req, miss ratio 0.8522, byte miss ratio 0.8522
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO cache size     6325, 3529940 req, miss ratio 0.7760, byte miss ratio 0.7760
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO cache size    18975, 3529940 req, miss ratio 0.6571, byte miss ratio 0.6571
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO cache size    63252, 3529940 req, miss ratio 0.4642, byte miss ratio 0.4642
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO cache size   126505, 3529940 req, miss ratio 0.3444, byte miss ratio 0.3444
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO cache size   253011, 3529940 req, miss ratio 0.2372, byte miss ratio 0.2372
result/cdn2_colo28.ns272.oracleGeneral.zst S3FIFO cache size   506022, 3529940 req, miss ratio 0.1836, byte miss ratio 0.1836
result/cdn2_colo28.ns272.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      632, 3529940 req, miss ratio 0.9138, byte miss ratio 0.9138
result/cdn2_colo28.ns272.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1897, 3529940 req, miss ratio 0.8787, byte miss ratio 0.8787
result/cdn2_colo28.ns272.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6325, 3529940 req, miss ratio 0.8057, byte miss ratio 0.8057
result/cdn2_colo28.ns272.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    18975, 3529940 req, miss ratio 0.6843, byte miss ratio 0.6843
result/cdn2_colo28.ns272.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    63252, 3529940 req, miss ratio 0.5268, byte miss ratio 0.5268
result/cdn2_colo28.ns272.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   126505, 3529940 req, miss ratio 0.3863, byte miss ratio 0.3863
result/cdn2_colo28.ns272.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   253011, 3529940 req, miss ratio 0.2580, byte miss ratio 0.2580
result/cdn2_colo28.ns272.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   506022, 3529940 req, miss ratio 0.1911, byte miss ratio 0.1911
result/cdn2_colo28.ns272.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      632, 3529940 req, miss ratio 0.9125, byte miss ratio 0.9125
result/cdn2_colo28.ns272.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1897, 3529940 req, miss ratio 0.8707, byte miss ratio 0.8707
result/cdn2_colo28.ns272.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6325, 3529940 req, miss ratio 0.7892, byte miss ratio 0.7892
result/cdn2_colo28.ns272.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    18975, 3529940 req, miss ratio 0.6672, byte miss ratio 0.6672
result/cdn2_colo28.ns272.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    63252, 3529940 req, miss ratio 0.4741, byte miss ratio 0.4741
result/cdn2_colo28.ns272.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   126505, 3529940 req, miss ratio 0.3765, byte miss ratio 0.3765
result/cdn2_colo28.ns272.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   253011, 3529940 req, miss ratio 0.2703, byte miss ratio 0.2703
result/cdn2_colo28.ns272.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   506022, 3529940 req, miss ratio 0.2029, byte miss ratio 0.2029
