result/cdn2_allcolo.ns2571.oracleGeneral.zst LIRS cache size      317, 1066831 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns2571.oracleGeneral.zst LIRS cache size      634, 1066831 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns2571.oracleGeneral.zst LHD cache size        7, 1066831 req, miss ratio 0.4890, byte miss ratio 0.4890
result/cdn2_allcolo.ns2571.oracleGeneral.zst LHD cache size       23, 1066831 req, miss ratio 0.2604, byte miss ratio 0.2604
result/cdn2_allcolo.ns2571.oracleGeneral.zst LHD cache size       79, 1066831 req, miss ratio 0.0809, byte miss ratio 0.0809
result/cdn2_allcolo.ns2571.oracleGeneral.zst LHD cache size      158, 1066831 req, miss ratio 0.0278, byte miss ratio 0.0278
result/cdn2_allcolo.ns2571.oracleGeneral.zst LHD cache size      317, 1066831 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_allcolo.ns2571.oracleGeneral.zst LHD cache size      634, 1066831 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns2571.oracleGeneral.zst LeCaR cache size        7, 1066831 req, miss ratio 0.5179, byte miss ratio 0.5179
result/cdn2_allcolo.ns2571.oracleGeneral.zst LeCaR cache size       23, 1066831 req, miss ratio 0.2899, byte miss ratio 0.2899
result/cdn2_allcolo.ns2571.oracleGeneral.zst LeCaR cache size       79, 1066831 req, miss ratio 0.0886, byte miss ratio 0.0886
result/cdn2_allcolo.ns2571.oracleGeneral.zst LeCaR cache size      158, 1066831 req, miss ratio 0.0244, byte miss ratio 0.0244
result/cdn2_allcolo.ns2571.oracleGeneral.zst LeCaR cache size      317, 1066831 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns2571.oracleGeneral.zst LeCaR cache size      634, 1066831 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO-d-1 cache size        7, 1066831 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO-d-1 cache size       23, 1066831 req, miss ratio 0.2522, byte miss ratio 0.2522
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO-d-1 cache size       79, 1066831 req, miss ratio 0.0810, byte miss ratio 0.0810
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO-d-1 cache size      158, 1066831 req, miss ratio 0.0232, byte miss ratio 0.0232
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO-d-1 cache size      317, 1066831 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns2571.oracleGeneral.zst S3FIFO-d-1 cache size      634, 1066831 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns2571.oracleGeneral.zst LRB cache size        7, 1066831 req, miss ratio 0.4741, byte miss ratio 0.4741
result/cdn2_allcolo.ns2571.oracleGeneral.zst LRB cache size       23, 1066831 req, miss ratio 0.2507, byte miss ratio 0.2507
result/cdn2_allcolo.ns2571.oracleGeneral.zst LRB cache size       79, 1066831 req, miss ratio 0.0751, byte miss ratio 0.0751
result/cdn2_allcolo.ns2571.oracleGeneral.zst LRB cache size      158, 1066831 req, miss ratio 0.0216, byte miss ratio 0.0216
result/cdn2_allcolo.ns2571.oracleGeneral.zst LRB cache size      317, 1066831 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns2571.oracleGeneral.zst LRB cache size      634, 1066831 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns2571.oracleGeneral.zst TwoQ cache size        7, 1066831 req, miss ratio 0.4911, byte miss ratio 0.4911
result/cdn2_allcolo.ns2571.oracleGeneral.zst TwoQ cache size       23, 1066831 req, miss ratio 0.2747, byte miss ratio 0.2747
result/cdn2_allcolo.ns2571.oracleGeneral.zst TwoQ cache size       79, 1066831 req, miss ratio 0.0936, byte miss ratio 0.0936
